IsRaceOn,TimestampMS,EngineMaxRpm,EngineIdleRpm,CurrentEngineRpm,AccelerationX,AccelerationY,AccelerationZ,VelocityX,VelocityY,VelocityZ,AngularVelocityX,AngularVelocityY,AngularVelocityZ,Yaw,Pitch,Roll,NormalizedSuspensionTravelFrontLeft,NormalizedSuspensionTravelFrontRight,NormalizedSuspensionTravelRearLeft,NormalizedSuspensionTravelRearRight,TireSlipRatioFrontLeft,TireSlipRatioFrontRight,TireSlipRatioRearLeft,TireSlipRatioRearRight,WheelRotationSpeedFrontLeft,WheelRotationSpeedFrontRight,WheelRotationSpeedRearLeft,WheelRotationSpeedRearRight,WheelOnRumbleStripFrontLeft,WheelOnRumbleStripFrontRight,WheelOnRumbleStripRearLeft,WheelOnRumbleStripRearRight,WheelInPuddleDepthFrontLeft,WheelInPuddleDepthFrontRight,WheelInPuddleDepthRearLeft,WheelInPuddleDepthRearRight,SurfaceRumbleFrontLeft,SurfaceRumbleFrontRight,SurfaceRumbleRearLeft,SurfaceRumbleRearRight,TireSlipAngleFrontLeft,TireSlipAngleFrontRight,TireSlipAngleRearLeft,TireSlipAngleRearRight,TireCombinedSlipFrontLeft,TireCombinedSlipFrontRight,TireCombinedSlipRearLeft,TireCombinedSlipRearRight,SuspensionTravelMetersFrontLeft,SuspensionTravelMetersFrontRight,SuspensionTravelMetersRearLeft,SuspensionTravelMetersRearRight,CarOrdinal,CarClass,CarPerformanceIndex,DrivetrainType,NumCylinders,PositionX,PositionY,PositionZ,Speed,Power,Torque,TireTempFl,TireTempFr,TireTempRl,TireTempRr,Boost,Fuel,Distance,BestLapTime,LastLapTime,CurrentLapTime,CurrentRaceTime,Lap,RacePosition,Accelerator,Brake,Clutch,Handbrake,Gear,Steer,NormalDrivingLine,NormalAiBrakeDifference
True,1267453,7999.995,1269.8213,1269.8784,0.17322496,0.0009939609,0.15586019,-0.009083541,0.00012087171,-0.009407859,0.0001596846,-2.7555483E-05,0.00055029185,2.3737211,0.0009907081,0.00065107684,0.5152723,0.48810396,0.4830771,0.47757185,0.00057139905,0.00061024167,-0.033332754,-0.01456276,-0.029076986,-0.029076986,-0.029076986,-0.029076986,0,0,0,0,0,0,0,0,0,0,0,0,0.027908422,0.022370597,0.0021824855,0.003495152,0.02791427,0.02237892,0.033404127,0.014976316,0.0018021464,-0.0014037192,0.0003388822,-0.00028586388,53,3,190,2,4,-3205.648,474.13953,-3420.96,0.013077965,-0.102562994,-0.00077125843,150.06468,149.50449,146.62608,146.62608,-11.024998,1,0,0,0,0,200.69371,0,0,0,0,0,255,1,-127,0,0
True,1312093,7999.995,1269.8213,1650.3123,-0.08807562,-0.00060547283,0.15697855,0.0020751436,-0.00020085365,0.008225906,-0.00083116966,-3.81211E-05,-0.0036086712,1.7655796,0.013273055,-0.036863253,0.49427405,0.50912493,0.47413182,0.48135015,-0.00025175983,-0.00023972515,-0.00033860822,-0.00032521717,0.026872411,0.027037239,0.027132574,0.027264727,0,0,0,0,0,0,0,0,0,0,0,0,-0.008548124,-0.008582872,-0.007202483,-0.005730444,0.00855183,0.0085862195,0.0072104377,0.005739665,-0.00067564845,0.0010767579,-0.0006762445,0.00014290214,53,3,190,2,4,-3303.7498,174.69171,-3402.8618,0.008485993,35690.08,208.85175,107.053474,107.05286,109.821945,109.821945,-11.024998,1,-71.66743,0,0,0.08908843,0.08908843,0,8,255,0,0,0,1,0,53,0
True,1312203,7999.995,1269.8213,3015.736,-0.0138602555,0.0010976801,-0.050860025,0.005076503,-0.00077302393,0.018954232,-0.0004636934,1.15948205E-05,-0.008492874,1.7655818,0.013192982,-0.037611898,0.49057248,0.5125305,0.4723279,0.48634514,-0.00024887547,-0.00023030334,-0.00035163976,-0.0003210712,0.059507526,0.059375204,0.059508838,0.05934465,0,0,0,0,0,0,0,0,0,0,0,0,-0.009351914,-0.009270139,-0.007749951,-0.006210301,0.009355225,0.009272999,0.0077579245,0.006218595,-0.0011124313,0.0014786124,-0.00088095665,0.0007097423,53,3,190,2,4,-3303.7483,174.6916,-3402.8625,0.019637497,139534.33,447.78085,107.0006,107.00017,109.7646,109.7646,-8.845093,1,-71.666214,0,0,0.20491543,0.2049154,0,8,255,0,0,0,1,0,53,0
True,1312312,7999.995,1269.8213,4697.7554,0.007773049,-0.00255626,0.36179718,0.004206622,-0.00025314157,0.06402344,-0.006258608,-3.1754782E-05,-0.0069227945,1.7655857,0.013094921,-0.03852212,0.48609254,0.51708215,0.46920744,0.4928397,0.03519305,0.03134932,0.12041299,0.109314255,0.2701786,0.26319024,0.4194427,0.39744252,0,0,0,0,0,0,0,0,0,0,0,0,-0.010532845,-0.010314448,-0.008706885,-0.0070787976,0.036735423,0.03300254,0.12072737,0.10954321,-0.0016410649,0.0020157099,-0.0012350678,0.0014467537,53,3,190,2,4,-3303.7456,174.69147,-3402.8638,0.06416199,232187.62,474.94983,106.95178,106.951546,109.712425,109.712425,1.2109938,1,-71.66395,0,0,0.31351304,0.313513,0,8,255,0,0,0,1,0,53,0
True,1312421,7999.995,1269.8213,4785.2227,0.043990016,-0.079129696,6.3155293,0.0065458417,-0.008195512,0.7357632,-0.07371549,-0.0007911022,-0.0010400852,1.7656897,0.009501282,-0.038761932,0.46516702,0.49979883,0.50362885,0.53165656,-0.04547743,-0.060231343,0.936922,0.7465205,4.066046,4.2390666,4.3974624,4.000576,0,0,0,0,0,0,0,0,0,0,0,0,-0.026479188,-0.026361093,-0.031805206,-0.03194138,0.052624557,0.06574741,0.9374617,0.7472035,-0.0041102767,-2.3722649E-05,0.0026711226,0.0058517456,53,3,190,2,4,-3303.715,174.69084,-3402.87,0.7358379,187409.16,372.97568,106.97356,106.97278,109.80102,109.80102,12.163316,1,-71.6395,0,0,0.40342084,0.4034208,0,8,255,0,0,0,1,0,53,0
True,1312531,7999.995,1269.8213,4228.58,-0.036448598,-0.108617425,10.437443,0.004297316,-0.02872712,2.0989256,-0.08199247,-0.0009401527,-0.002028917,1.7660023,-0.0005328981,-0.03908985,0.39750767,0.43096456,0.6024777,0.6360188,0.17892079,0.57378906,0.62890875,0.5313901,7.5416756,6.6403766,7.924719,7.71847,0,0,0,0,0,0,0,0,0,0,0,0,-0.01724184,-0.015780503,-0.011919518,-0.0019552151,0.17974964,0.574006,0.6290217,0.53139365,-0.01209408,-0.008146167,0.013888627,0.01769492,53,3,190,2,4,-3303.5544,174.68819,-3402.9023,2.0991266,198997.19,448.44452,107.06573,107.10483,110.91191,110.91191,20.982738,1,-71.51104,0,0,0.5180978,0.5180978,0,8,255,0,0,0,1,0,53,0
True,1312656,7999.995,1269.8213,4028.1726,-0.0026750565,0.035335936,10.648357,0.0044842362,-0.046237037,3.315252,-0.027343374,0.00058570807,-5.306024E-05,1.76628,-0.006783726,-0.03918059,0.34534705,0.37763077,0.67198837,0.709104,0.04669154,-0.05312001,0.4271314,0.5500539,11.319472,11.766523,11.393387,11.079932,0,0,0,0,0,0,0,0,0,0,0,0,-0.016139012,-0.014671468,-0.020809917,0.004396361,0.049402103,0.055108868,0.42763805,0.5500715,-0.018249035,-0.014439553,0.021776795,0.025988728,53,3,190,2,4,-3303.2505,174.68513,-3402.963,3.3155775,196522.72,465.63867,107.15514,107.21881,111.10945,111.10945,22.806503,1,-71.26804,0,0,0.6314763,0.6314763,0,8,255,0,0,0,1,0,53,0
True,1312765,7999.995,1269.8213,3939.0137,-0.16125035,-0.09239191,11.598421,0.00536114,-0.058979217,4.3057723,-0.0018546089,0.0004620784,0.0010663759,1.7663697,-0.007871501,-0.039127138,0.32519662,0.35719725,0.68160766,0.71791995,0.33859915,0.11144183,0.57047707,0.48738858,13.671565,13.91127,14.488491,14.329657,0,0,0,0,0,0,0,0,0,0,0,0,-0.0140561685,-0.012768831,-0.025041915,0.00282431,0.33889076,0.112170964,0.57102644,0.48739678,-0.020626783,-0.01685071,0.02286841,0.026989177,53,3,190,2,4,-3302.894,174.68294,-3403.0337,4.30618,193607.2,469.12842,107.232056,107.32834,111.259796,111.259796,23.105453,1,-70.983116,0,0,0.7264583,0.7264583,0,8,255,0,0,0,1,0,53,0
True,1312859,7999.995,1269.8213,3789,-1.447056,-0.26387924,10.615063,0.0061627626,-0.081833795,5.3840985,0.00095749693,0.000695608,0.0021011618,1.7663778,-0.007850975,-0.038966406,0.31707928,0.34779915,0.67417955,0.70843655,0.2596174,-0.055771925,0.64314216,0.53938115,17.05272,18.219885,17.959581,17.770826,0,0,0,0,0,0,0,0,0,0,0,0,-0.012695237,-0.01151481,-0.025443023,0.0004838739,0.2599276,0.056948207,0.6436452,0.5393814,-0.02158463,-0.017959684,0.022025451,0.025912985,53,3,190,2,4,-3302.4146,174.67967,-3403.129,5.384723,187287.38,471.52924,107.31492,107.43086,111.4682,111.4682,23.17707,1,-70.59985,0,0,0.8271135,0.82711345,0,8,255,0,0,0,1,0,53,0
True,1312968,7999.995,1269.8213,3587.4487,0.37992513,-0.19897188,10.02407,0.0071154833,-0.10862274,6.6786356,0.0021451877,0.000802709,0.0030638184,1.7663832,-0.007743648,-0.038660802,0.3128312,0.3407105,0.67171025,0.7020953,0.35331175,0.057465155,0.62428755,0.5389769,20.913473,21.844782,22.063793,21.892672,0,0,0,0,0,0,0,0,0,0,0,0,-0.012892943,-0.011761178,-0.023818577,0.0009492515,0.35354692,0.05865637,0.6247418,0.53897774,-0.022085905,-0.018796146,0.021745235,0.025193378,53,3,190,2,4,-3301.71,174.67389,-3403.269,6.6795225,178094.48,473.4847,107.41655,107.53793,111.737495,111.737495,23.19342,1,-70.0366,0,0,0.94588184,0.9458818,0,8,255,0,0,0,1,0,53,0
