IsRaceOn,TimestampMS,EngineMaxRpm,EngineIdleRpm,CurrentEngineRpm,AccelerationX,AccelerationY,AccelerationZ,VelocityX,VelocityY,VelocityZ,AngularVelocityX,AngularVelocityY,AngularVelocityZ,Yaw,Pitch,Roll,NormalizedSuspensionTravelFrontLeft,NormalizedSuspensionTravelFrontRight,NormalizedSuspensionTravelRearLeft,NormalizedSuspensionTravelRearRight,TireSlipRatioFrontLeft,TireSlipRatioFrontRight,TireSlipRatioRearLeft,TireSlipRatioRearRight,WheelRotationSpeedFrontLeft,WheelRotationSpeedFrontRight,WheelRotationSpeedRearLeft,WheelRotationSpeedRearRight,WheelOnRumbleStripFrontLeft,WheelOnRumbleStripFrontRight,WheelOnRumbleStripRearLeft,WheelOnRumbleStripRearRight,WheelInPuddleDepthFrontLeft,WheelInPuddleDepthFrontRight,WheelInPuddleDepthRearLeft,WheelInPuddleDepthRearRight,SurfaceRumbleFrontLeft,SurfaceRumbleFrontRight,SurfaceRumbleRearLeft,SurfaceRumbleRearRight,TireSlipAngleFrontLeft,TireSlipAngleFrontRight,TireSlipAngleRearLeft,TireSlipAngleRearRight,TireCombinedSlipFrontLeft,TireCombinedSlipFrontRight,TireCombinedSlipRearLeft,TireCombinedSlipRearRight,SuspensionTravelMetersFrontLeft,SuspensionTravelMetersFrontRight,SuspensionTravelMetersRearLeft,SuspensionTravelMetersRearRight,CarOrdinal,CarClass,CarPerformanceIndex,DrivetrainType,NumCylinders,PositionX,PositionY,PositionZ,Speed,Power,Torque,TireTempFl,TireTempFr,TireTempRl,TireTempRr,Boost,Fuel,Distance,BestLapTime,LastLapTime,CurrentLapTime,CurrentRaceTime,Lap,RacePosition,Accelerator,Brake,Clutch,Handbrake,Gear,Steer,NormalDrivingLine,NormalAiBrakeDifference
True,13044078,7999.995,1082.2844,1082.3015,0.004717204,0.006665167,0.004935188,-0.008281131,-8.543114E-05,-0.0027393396,-0.00018460394,-0.00022341218,-0.0033345486,-0.061046537,-0.00057873165,0.0010289272,0.35170856,0.33890066,0.37628326,0.37104216,0.00034276178,0.00035347632,-0.03733026,0.010755433,-0.007996904,-0.007996904,-0.007996904,-0.007996904,0,0,0,0,0,0,0,0,0,0,0,0,0.020795427,0.015469497,-0.004020521,-0.0049112462,0.020798253,0.015473535,0.037546143,0.011823691,0.0016407222,-0.0010828823,0.00092309713,-0.0002564937,59,3,32,2,4,234.06166,463.59726,-1317.5391,0.008722866,-0.02052594,-0.00018110321,88.51256,88.36296,88.135124,88.135124,-11.024998,1,0,0,0,0,316.5207,0,0,0,0,0,255,1,-127,0,0
True,13166843,7999.995,1082.2844,1833.5806,-0.062485434,-0.012375057,-0.11690565,0.0024406873,-0.0006773642,-0.0073696384,0.0007713301,-3.5324476E-05,-0.004203104,2.0856807,-0.010682812,-0.00014427396,0.34296072,0.34360847,0.37318876,0.37363666,0.00023145735,0.00023262194,0.00026676187,0.00025719017,-0.02292247,-0.022772782,-0.023067828,-0.022937598,0,0,0,0,0,0,0,0,0,0,0,0,0.0012162228,0.0006521838,0.0007411279,0.0006124982,0.0012380511,0.00069242803,0.0007876753,0.00066430477,-0.000219509,-8.176267E-05,0.00022663176,0.00032743812,59,3,32,2,4,159.90025,162.04079,-1275.0602,0.007792775,35984.375,191.31303,68.51154,68.48065,69.36331,69.36331,-11.024998,1,-51.66287,0,0,0.09333069,0.09333069,0,8,255,0,0,0,1,0,58,0
True,13166937,7999.995,1082.2844,4024.466,0.066532195,-0.02212783,-0.0482188,0.00611192,-0.002230133,-0.014872057,0.00017466722,1.0789679E-05,-0.010128557,2.0856798,-0.010633177,-0.0008788236,0.34206784,0.34635746,0.37191808,0.3755681,0.00022607016,0.00021663711,0.00026482367,0.00024900213,-0.043680057,-0.043756858,-0.04368699,-0.04376007,0,0,0,0,0,0,0,0,0,0,0,0,0.0008625553,0.0002756205,0.00049695576,0.00034866406,0.00089168904,0.00035056853,0.00056311337,0.00042844916,-0.0004093796,0.0005028099,-5.9351325E-05,0.0007621348,59,3,32,2,4,159.8991,162.04062,-1275.06,0.016232904,164890.98,398.95178,68.49337,68.46229,69.34409,69.34409,-9.314956,1,-51.66356,0,0,0.19142409,0.1914241,0,8,255,0,0,0,1,0,58,0
True,13167062,7999.995,1082.2844,4526.521,-0.051304817,-0.36667874,8.575746,0.00582093,-0.042309675,0.9668517,-0.1484605,-0.0010000777,-0.010460455,2.0856366,-0.017993625,-0.002367627,0.31888533,0.33030075,0.4113029,0.42266795,0.98216414,0.66033536,0.4182711,0.37056872,5.681119,4.881514,4.2148814,4.100087,0,0,0,0,0,0,0,0,0,0,0,0,0.008196905,0.008761288,-0.005838979,-0.004667202,0.98219836,0.6603935,0.41831183,0.3705981,-0.0053391457,-0.002911657,0.008804798,0.011362672,59,3,32,2,4,159.93387,162.03944,-1275.0807,0.9677946,206110.84,433.55542,68.59807,68.55549,69.43239,69.43239,4.1745367,1,-51.63743,0,0,0.30583593,0.30583596,0,7,255,0,0,0,1,0,58,0
True,13167156,7999.995,1082.2844,4291.505,-0.1108284,-0.041241683,12.485708,-0.0041922927,-0.062154796,2.3010895,-0.18365198,-0.0055137845,2.8833747E-06,2.085387,-0.03589839,-0.0030436874,0.24391611,0.26736918,0.5352468,0.5608377,2.4800653,1.8498437,0.44404274,0.38611022,13.446576,11.971791,8.294825,8.171192,0,0,0,0,0,0,0,0,0,0,0,0,0.028409792,0.028225817,-0.01055352,-0.0025311946,2.480228,1.8500592,0.44416812,0.3861185,-0.021281362,-0.016294062,0.03670025,0.04245986,59,3,32,2,4,160.0767,162.03831,-1275.1617,2.3019323,245094.97,545.03033,70.20207,69.061844,69.60125,69.60125,19.02473,1,-51.531246,0,0,0.4058647,0.40586475,0,7,255,0,0,0,1,0,58,0
True,13167265,7999.995,1082.2844,4085.8948,-0.15608597,-0.25711712,13.8679,-0.014487624,-0.11509508,3.7455945,-0.08886744,-0.019085338,0.0041382536,2.0843332,-0.050659206,-0.0026353754,0.16631001,0.19039305,0.61333364,0.64063454,7.6434164,7.094937,3.8396459,3.4668546,30.460035,29.451946,22.642536,21.9898,0,0,0,0,0,0,0,0,0,0,0,0,0.06678819,0.06284574,-0.032860704,-0.014275861,7.643708,7.095215,3.8397865,3.466884,-0.03778431,-0.032663047,0.054274872,0.06041935,59,3,32,2,4,160.34752,162.04427,-1275.3135,3.74739,260797.3,608.5767,76.52437,74.65166,70.41504,70.41504,27.201801,1,-51.33047,0,0,0.50745267,0.5074527,0,8,255,0,0,0,1,0,58,0
True,13167375,7999.995,1082.2844,4844.825,0.050990105,-0.6033115,12.580631,-0.00869441,-0.19613163,4.999976,0.005311965,-0.028741142,-0.0048894347,2.0818148,-0.053948887,-0.0026954832,0.13355075,0.1502106,0.62630206,0.6516488,8.860869,8.69216,6.236902,5.797607,36.839565,36.614468,31.795574,30.994822,0,0,0,0,0,0,0,0,0,0,0,0,0.06926312,0.06358042,-0.047822982,-0.02576879,8.86114,8.692392,6.237086,5.797664,-0.04475057,-0.04120785,0.057193607,0.06289828,59,3,32,2,4,160.74081,162.05179,-1275.5332,5.003829,306604.2,606.7746,83.72812,82.02437,79.581566,79.581566,28.942204,1,-51.039112,0,0,0.6101215,0.61012155,0,8,255,0,0,0,1,0,58,0
True,13167500,7999.995,1082.2844,5570.1006,-0.08466339,-0.5578968,12.809051,0.007980108,-0.25073802,6.5761166,0.021884542,-0.04671244,-0.009218117,2.076143,-0.050458726,-0.0011347758,0.14415008,0.16634478,0.6205587,0.6271778,8.326841,7.4319434,5.617825,6.016051,42.144154,40.537693,36.42878,37.52974,0,0,0,0,0,0,0,0,0,0,0,0,0.05964578,0.054361455,-0.07626615,-0.059555493,8.327055,7.4321423,5.618343,6.0163455,-0.04249662,-0.037776917,0.055900976,0.057390705,59,3,32,2,4,161.36513,162.06079,-1275.8806,6.5808992,345089.62,592.5895,92.128136,90.70496,89.87296,89.87296,29.330471,1,-50.577076,0,0,0.73338354,0.73338366,0,8,255,0,0,0,1,0,58,0
True,13167609,7999.995,1082.2844,6144.521,0.91686773,-0.62350583,12.586201,0.13133955,-0.3021895,8.162903,0.0154257445,0.010546203,0.03169586,2.0719786,-0.048177406,0.0010662863,0.15219481,0.16165811,0.58970755,0.6046071,5.665607,6.84952,4.5664997,4.8663483,43.502777,46.4035,41.1169,41.77082,0,0,0,0,0,0,0,0,0,0,0,0,1.1312093,1.3365328,-0.11225816,-0.098388195,5.7774334,6.9786997,4.567879,4.8673425,-0.04078591,-0.038773537,0.048957467,0.05231084,59,3,32,2,4,162.16536,162.07262,-1276.3278,8.169551,358471.22,557.98505,100.20833,98.925476,99.7481,99.7481,29.389492,1,-49.984238,0,0,0.85701996,0.8570201,0,8,255,0,0,0,1,127,58,0
True,13167703,7999.995,1082.2844,6291.7666,1.434844,-0.3693617,13.461452,0.21059489,-0.32152724,9.28425,0.00418026,0.114764795,0.031028602,2.0780175,-0.04780875,0.0026098813,0.14583227,0.16327652,0.593533,0.5992865,5.0147,5.54973,3.250806,3.1728375,46.888493,47.918453,41.70361,40.424232,0,0,0,0,0,0,0,0,0,0,0,0,0.5402526,0.6034102,-0.050764877,-0.035302706,5.0437174,5.582437,3.2512023,3.173034,-0.042138904,-0.03842938,0.04981844,0.051113352,59,3,32,2,4,162.79155,162.08186,-1276.6904,9.292202,359367.47,546.20703,105.512825,104.130745,106.31059,106.31059,29.397034,1,-49.516254,0,0,0.9397145,0.93971467,0,8,255,0,0,0,1,0,58,0
