IsRaceOn,TimestampMS,EngineMaxRpm,EngineIdleRpm,CurrentEngineRpm,AccelerationX,AccelerationY,AccelerationZ,VelocityX,VelocityY,VelocityZ,AngularVelocityX,AngularVelocityY,AngularVelocityZ,Yaw,Pitch,Roll,NormalizedSuspensionTravelFrontLeft,NormalizedSuspensionTravelFrontRight,NormalizedSuspensionTravelRearLeft,NormalizedSuspensionTravelRearRight,TireSlipRatioFrontLeft,TireSlipRatioFrontRight,TireSlipRatioRearLeft,TireSlipRatioRearRight,WheelRotationSpeedFrontLeft,WheelRotationSpeedFrontRight,WheelRotationSpeedRearLeft,WheelRotationSpeedRearRight,WheelOnRumbleStripFrontLeft,WheelOnRumbleStripFrontRight,WheelOnRumbleStripRearLeft,WheelOnRumbleStripRearRight,WheelInPuddleDepthFrontLeft,WheelInPuddleDepthFrontRight,WheelInPuddleDepthRearLeft,WheelInPuddleDepthRearRight,SurfaceRumbleFrontLeft,SurfaceRumbleFrontRight,SurfaceRumbleRearLeft,SurfaceRumbleRearRight,TireSlipAngleFrontLeft,TireSlipAngleFrontRight,TireSlipAngleRearLeft,TireSlipAngleRearRight,TireCombinedSlipFrontLeft,TireCombinedSlipFrontRight,TireCombinedSlipRearLeft,TireCombinedSlipRearRight,SuspensionTravelMetersFrontLeft,SuspensionTravelMetersFrontRight,SuspensionTravelMetersRearLeft,SuspensionTravelMetersRearRight,CarOrdinal,CarClass,CarPerformanceIndex,DrivetrainType,NumCylinders,PositionX,PositionY,PositionZ,Speed,Power,Torque,TireTempFl,TireTempFr,TireTempRl,TireTempRr,Boost,Fuel,Distance,BestLapTime,LastLapTime,CurrentLapTime,CurrentRaceTime,Lap,RacePosition,Accelerator,Brake,Clutch,Handbrake,Gear,Steer,NormalDrivingLine,NormalAiBrakeDifference
True,27512687,15999.99,0,0,-0.06401284,0.0026671123,0.030577475,-0.010293735,5.9054357E-05,-0.0020292155,0.00025173754,0.00035608423,-0.0008053157,-0.59075314,-0.0018264016,7.393345E-05,0.2761763,0.2561241,0.24392359,0.2431026,0.0006533719,0.00039608846,-0.026396498,0.014616237,-0.0062901904,-0.0062901904,-0.0062901904,-0.0062901904,0,0,0,0,0,0,0,0,0,0,0,0,0.018353024,0.011786955,-0.0023235579,-0.0027727983,0.018364651,0.011793609,0.026498567,0.014876922,0.0012111701,-0.0012485608,0.0001081191,1.0509044E-05,164,6,231,2,0,2822.3594,466.0716,-1407.5935,0.010492006,0,0,127.43524,127.5824,127.38391,127.38391,-14.7,1,0,0,0,0,137.44882,0,0,0,0,0,255,1,-127,0,0
True,27530453,15999.99,0,113.6906,-0.024015903,-0.023102567,5.4711194,9.825826E-05,-0.0029939488,0.6030442,-0.024633963,-0.0026440707,-0.011175533,-1.2796625,0.006129491,-0.00011747805,0.2564346,0.26056057,0.25039297,0.25520644,0.8064587,-0.045946952,1.3314633,0.083277546,1.774479,3.3135097,1.7743726,3.5651875,0,0,0,0,0,0,0,0,0,0,0,0,0.022103233,0.022530748,-0.013528147,-0.013454962,0.80676156,0.05117379,1.331532,0.084357485,-0.0012104772,-0.00070435554,0.0008772798,0.0014495663,164,6,231,2,0,2890.5574,166.59134,-1433.8331,0.6030516,10234.646,798.5659,103.038,105.53501,105.146706,105.146706,0,1,-53.703846,0,0,0.10335109,0.10335108,0,8,255,0,0,0,1,0,49,0
True,27530562,15999.99,0,331.8128,0.012617588,0.06489364,12.320605,0.0027849078,0.0014189702,1.9981885,-0.037200466,-0.003739915,-0.017584529,-1.2799089,0.0027833888,-0.0017681256,0.24273154,0.26229423,0.28615496,0.31297156,1.9166627,0.35217878,0.7884262,0.49980468,9.4897585,6.919355,7.6092453,7.131144,0,0,0,0,0,0,0,0,0,0,0,0,0.031286962,0.034087773,-0.011005727,-0.009626111,1.916918,0.35382462,0.788503,0.49989736,-0.0028913803,-0.0004916936,0.005129114,0.008317415,164,6,231,2,0,2890.4294,166.59044,-1433.7944,1.998191,52658.867,1546.6406,103.20056,105.67497,105.376236,105.376236,0,1,-53.614117,0,0,0.20976211,0.20976213,0,7,255,0,0,0,1,0,49,0
True,27530671,15999.99,0,568.7532,0.07279515,0.08510291,14.082004,0.013612628,0.015945619,3.5613167,-0.009543118,0.00487357,-0.0012775036,-1.2802955,0.0002437315,-0.0027582415,0.22040978,0.24975914,0.30727482,0.34999344,0.68149316,0.43062186,1.490354,1.450032,12.5919285,12.04462,13.861622,13.292041,0,0,0,0,0,0,0,0,0,0,0,0,0.32602233,0.3258291,-0.010690499,-0.0064458665,0.7554624,0.5399998,1.4903923,1.4500463,-0.0056295097,-0.0020293295,0.007640112,0.012719035,164,6,231,2,0,2890.1382,166.59184,-1433.7073,3.5613782,90865.805,1546.6406,106.14877,105.79674,106.114044,106.114044,0,1,-53.410053,0,0,0.31726366,0.31726366,0,7,255,0,0,0,1,26,49,0
True,27530796,15999.99,0,704.445,4.100157,-0.15879306,10.403475,0.45473325,-0.0054102344,4.6650066,0.010186412,0.35884708,0.014451689,-1.2605532,0.0002615869,-0.0004778513,0.20070063,0.21085633,0.290452,0.31928265,0.02370835,0.7435225,0.028974254,0.08197319,16.693516,15.113131,17.131659,15.801317,0,0,0,0,0,0,0,0,0,0,0,0,0.8114101,1.1188803,-0.012798331,-0.013305152,0.81175643,1.3433982,0.031674985,0.08304596,-0.00804716,-0.0068013966,0.005640004,0.0090677515,164,6,231,2,0,2889.7,166.59239,-1433.5461,4.687121,103902.37,1546.6406,106.944595,108.11755,106.436554,106.436554,0,1,-53.09709,0,0,0.42856446,0.42856446,0,7,255,0,0,0,1,57,48,0
True,27530906,15999.99,0,850.8715,-0.9875493,-0.26159775,11.072208,0.17195666,-0.042081703,5.992384,-0.0014594537,0.16774967,-0.00997236,-1.2229046,-0.00043846306,-0.001639784,0.17127362,0.18559915,0.27698755,0.31153983,1.6118748,0.9157429,1.2943269,2.1468146,21.145407,18.846737,19.693443,19.23366,0,0,0,0,0,0,0,0,0,0,0,0,-0.7342994,-0.7375757,0.06967868,0.07167119,1.7712528,1.1758413,1.2962011,2.1480107,-0.0116568655,-0.009899605,0.0040391795,0.008147191,164,6,231,2,0,2889.1477,166.58951,-1433.31,5.994999,16103.177,167.61932,108.39447,109.451416,107.86075,107.86075,0,1,-52.696194,0,0,0.54041684,0.54041684,0,7,255,0,0,0,1,0,47,0
True,27531031,15999.99,0,1121.7112,-0.7612996,-0.11787597,14.876698,0.0005810261,-0.060599983,7.802276,-0.012892173,-0.0021032705,-0.00085890293,-1.2177396,-0.0010759603,-0.002218621,0.15849781,0.1806883,0.27785754,0.31523854,1.2712505,0.5565076,0.6694941,0.7269559,26.924616,25.418736,25.899332,25.623371,0,0,0,0,0,0,0,0,0,0,0,0,0.0002747435,0.0020489201,-0.0022945143,-0.0009661991,1.2712505,0.55651134,0.669498,0.72695655,-0.013224028,-0.010501999,0.004142612,0.008586936,164,6,231,2,0,2888.353,166.58377,-1433.0126,7.8025107,181026.66,1546.6406,109.7392,109.50453,108.911896,108.911896,0,1,-52.127605,0,0,0.6639996,0.66399956,0,7,255,0,0,0,1,0,46,0
True,27531125,15999.99,0,1323.2595,-0.2998562,-0.15614226,15.60514,-0.0067493916,-0.08493294,9.277157,-0.007906211,-0.0069641583,0.005197198,-1.2182909,-0.002152868,-0.0020022786,0.14454685,0.16304278,0.2858066,0.31834647,0.97826177,0.6571118,0.6309559,0.54431355,31.21327,30.477186,30.49615,30.315447,0,0,0,0,0,0,0,0,0,0,0,0,0.016195122,0.018012417,-0.0032450783,-0.0018004,0.9783958,0.65735865,0.6309642,0.54431653,-0.014935341,-0.012666512,0.005087696,0.008956451,164,6,231,2,0,2887.6094,166.57835,-1432.7393,9.277549,213404.98,1546.6406,109.94805,109.526794,109.0596,109.0596,0,1,-51.596523,0,0,0.75655127,0.75655127,0,7,255,0,0,0,1,0,45,0
True,27531250,15999.99,0,1600.0615,-0.016837597,-0.20985553,15.972945,-0.0075547695,-0.113219514,11.249912,0.004595482,-0.0020748125,0.0056862705,-1.2188344,-0.0023365687,-0.0011009277,0.13336591,0.1410266,0.29338202,0.3120871,0.6769478,0.82924104,0.58138436,0.5678048,36.967026,37.436424,36.83248,36.803402,0,0,0,0,0,0,0,0,0,0,0,0,0.007734653,0.010005882,0.0031732246,0.004500971,0.67699194,0.8293014,0.581393,0.56782264,-0.016306868,-0.01536716,0.0059883595,0.008212257,164,6,231,2,0,2886.4106,166.56898,-1432.2997,11.250484,258223.08,1546.6406,109.9445,109.646324,109.22432,109.22432,0,1,-50.74063,0,0,0.8806915,0.88069147,0,7,255,0,0,0,1,0,44,0
True,27531359,15999.99,0,1841.8861,0.04789734,-0.26397565,15.88451,-0.0072050095,-0.13112639,12.953567,0.012683351,-0.0012521632,0.0009390353,-1.2189988,-0.001357669,-0.00078602263,0.12675764,0.12896304,0.29315016,0.30217457,0.7038209,0.7557864,0.5875043,0.583296,42.65299,42.836037,42.428513,42.42247,0,0,0,0,0,0,0,0,0,0,0,0,0.0066205743,0.009099823,0.0043675206,0.005207526,0.703852,0.7558412,0.5875206,0.58331925,-0.017117482,-0.016846951,0.005960796,0.007033732,164,6,231,2,0,2885.1885,166.55824,-1431.8518,12.954233,297391,1546.6406,109.92811,109.78792,109.37763,109.37763,0,1,-49.86807,0,0,0.9880715,0.98807144,0,7,255,0,0,0,1,0,42,0
