IsRaceOn,TimestampMS,EngineMaxRpm,EngineIdleRpm,CurrentEngineRpm,AccelerationX,AccelerationY,AccelerationZ,VelocityX,VelocityY,VelocityZ,AngularVelocityX,AngularVelocityY,AngularVelocityZ,Yaw,Pitch,Roll,NormalizedSuspensionTravelFrontLeft,NormalizedSuspensionTravelFrontRight,NormalizedSuspensionTravelRearLeft,NormalizedSuspensionTravelRearRight,TireSlipRatioFrontLeft,TireSlipRatioFrontRight,TireSlipRatioRearLeft,TireSlipRatioRearRight,WheelRotationSpeedFrontLeft,WheelRotationSpeedFrontRight,WheelRotationSpeedRearLeft,WheelRotationSpeedRearRight,WheelOnRumbleStripFrontLeft,WheelOnRumbleStripFrontRight,WheelOnRumbleStripRearLeft,WheelOnRumbleStripRearRight,WheelInPuddleDepthFrontLeft,WheelInPuddleDepthFrontRight,WheelInPuddleDepthRearLeft,WheelInPuddleDepthRearRight,SurfaceRumbleFrontLeft,SurfaceRumbleFrontRight,SurfaceRumbleRearLeft,SurfaceRumbleRearRight,TireSlipAngleFrontLeft,TireSlipAngleFrontRight,TireSlipAngleRearLeft,TireSlipAngleRearRight,TireCombinedSlipFrontLeft,TireCombinedSlipFrontRight,TireCombinedSlipRearLeft,TireCombinedSlipRearRight,SuspensionTravelMetersFrontLeft,SuspensionTravelMetersFrontRight,SuspensionTravelMetersRearLeft,SuspensionTravelMetersRearRight,CarOrdinal,CarClass,CarPerformanceIndex,DrivetrainType,NumCylinders,PositionX,PositionY,PositionZ,Speed,Power,Torque,TireTempFl,TireTempFr,TireTempRl,TireTempRr,Boost,Fuel,Distance,BestLapTime,LastLapTime,CurrentLapTime,CurrentRaceTime,Lap,RacePosition,Accelerator,Brake,Clutch,Handbrake,Gear,Steer,NormalDrivingLine,NormalAiBrakeDifference
True,21214187,15999.99,0,933.8064,-0.18601799,-0.41527092,12.993246,0.054617643,0.0073463377,7.0181046,-0.002779838,-0.0021562804,0.0035436228,1.3045026,0.039882638,-0.0016249798,0.15677641,0.1749708,0.12158027,0.141239,-0.011003511,-0.009793936,-0.011364191,-0.009370955,21.563484,21.571985,21.557503,21.572021,0,0,0,0,0,0,0,0,0,0,0,0,-0.07351849,-0.07304425,-0.08950982,-0.074351445,0.07433738,0.07369792,0.090228334,0.07493966,-0.013435185,-0.011203345,-0.014437595,-0.012100318,164,6,231,2,0,-6417.493,149.67213,146.04614,7.018321,-1111.7411,-11.3783865,110.36202,109.64543,113.48357,113.48357,0,1,-59.86753,0,0,0.43467683,3.0192425,0,9,0,0,0,0,1,0,63,0
True,21226156,15999.99,0,114.476974,-0.04884267,-0.036152452,5.2793083,0.0012478828,-0.003158282,0.63399374,-0.02424267,-0.0040953546,-0.011007855,1.3079649,0.036790743,-0.0006895204,0.25714836,0.260869,0.25018004,0.2543486,0.74168456,0.7259833,1.2764007,-0.015181307,1.7596868,1.846941,1.8543949,4.3422985,0,0,0,0,0,0,0,0,0,0,0,0,0.01810059,0.0181368,-0.012943276,-0.012896061,0.7419054,0.7262099,1.2764663,0.019919349,-0.0011229217,-0.0006665252,0.0008519627,0.0013475753,164,6,231,2,0,-6418.855,149.70998,145.71655,0.63400275,10646.901,780.2438,97.6197,97.61815,98.16498,98.16498,0,1,-60.93495,0,0,0.10098028,0.100980274,0,7,255,0,0,0,1,0,63,0
True,21226281,15999.99,0,384.47934,-0.08626342,-0.049446177,12.604898,0.0023396015,-0.011504757,2.1700187,-0.02304981,-0.0005742335,-0.015596446,1.3077283,0.033112988,-0.0025645555,0.21202886,0.23603235,0.27845457,0.3029822,2.331193,0.018914323,0.007595462,0.017902318,9.9759655,7.8369412,8.816462,8.912967,0,0,0,0,0,0,0,0,0,0,0,0,0.031718202,0.031936925,0.0046044854,0.0052977386,2.3314087,0.037117634,0.008882135,0.018669736,-0.006657567,-0.0037131459,0.004213594,0.007129755,164,6,231,2,0,-6418.695,149.70349,145.75923,2.1700504,51970.32,1546.6406,98.11792,97.783325,98.43775,98.43775,0,1,-60.80859,0,0,0.22063182,0.22063181,0,7,255,0,0,0,1,0,63,0
True,21226390,15999.99,0,566.3176,0.06329179,-0.0389122,13.974984,-0.0012833476,-0.019959703,3.5846395,-0.00013632793,-0.0023031787,-0.006796789,1.3073004,0.031483486,-0.003222206,0.17921968,0.21393721,0.29254994,0.32682857,1.9652281,0.015290931,0.005175155,0.014449614,13.684416,12.192376,13.057329,13.252237,0,0,0,0,0,0,0,0,0,0,0,0,0.028696137,0.029471057,-0.0063567916,-0.0038230012,1.9654375,0.033201743,0.008197013,0.014946795,-0.010682153,-0.006423477,0.0058894306,0.009964906,164,6,231,2,0,-6418.404,149.69225,145.83765,3.5846956,81844.91,1546.6406,101.1525,97.88415,98.91654,98.91654,0,1,-60.578827,0,0,0.32385746,0.32385746,0,7,255,0,0,0,1,0,63,0
True,21226500,15999.99,0,788.32196,-0.059215784,-0.12806061,14.909493,-0.0018676519,-0.036888212,5.399764,-0.0062768077,-0.004547323,-0.001617202,1.3066564,0.030761523,-0.0032355604,0.16711129,0.19918849,0.29345962,0.3285845,1.2134981,0.487251,0.7190792,0.99642634,18.983168,17.553457,18.4863,17.858034,0,0,0,0,0,0,0,0,0,0,0,0,0.012796438,0.014744425,-0.0042793443,-0.0015690112,1.2135656,0.48747405,0.7190919,0.99642754,-0.012167444,-0.008232649,0.005997587,0.010173671,164,6,231,2,0,-6417.8926,149.67245,145.97603,5.399891,127019.46,1546.6406,103.4147,98.01673,99.46832,99.46832,0,1,-60.175056,0,0,0.44155043,0.44155046,0,7,255,0,0,0,1,0,63,0
True,21226609,15999.99,0,1026.9722,-0.13496804,-0.20454742,14.956498,-0.0049266815,-0.06298429,7.0152836,-0.000919848,-0.008737089,0.0107348515,1.3056904,0.029938366,-0.0032945536,0.15012719,0.18432994,0.29343525,0.32987165,1.6416955,0.516818,1.1429441,0.7229245,25.000517,22.843706,24.041159,23.17229,0,0,0,0,0,0,0,0,0,0,0,0,0.01967642,0.021696212,-0.01273531,-0.009691803,1.6418134,0.5172732,1.1430151,0.72298944,-0.014250822,-0.010055292,0.0059946887,0.010326706,164,6,231,2,0,-6417.2637,149.64757,146.14677,7.015568,165591.19,1546.6406,105.97156,98.16618,99.82261,99.82261,0,1,-59.678253,0,0,0.54593265,0.5459327,0,7,255,0,0,0,1,0,63,0
True,21226734,15999.99,0,1194.8737,2.461516,-0.1426493,13.589656,0.20837724,-0.07769364,8.657752,0.013432955,0.16284682,0.02408079,1.3095659,0.030217161,-0.0013348243,0.16142097,0.16888945,0.29816705,0.3216317,0.36675578,1.9780228,-0.04249585,-0.027298762,27.222132,29.706863,27.5656,26.683985,0,0,0,0,0,0,0,0,0,0,0,0,1.1636881,1.3974046,-0.011637373,-0.00946184,1.2201147,2.421841,0.04406048,0.02889202,-0.012865454,-0.011949323,0.0065572634,0.0093470365,164,6,231,2,0,-6416.3623,149.6109,146.38515,8.660606,0,0,108.49985,99.27152,100.12109,100.12109,0,1,-58.967434,0,0,0.6637023,0.66370225,0,7,255,0,0,0,1,110,63,0
True,21226828,15999.99,0,1726.3983,4.3954005,-0.101900265,13.507706,0.41186154,-0.086631484,10.004002,-0.00897656,0.4813122,0.020956397,1.3440521,0.030612413,0.0020207318,0.1775289,0.16834511,0.29569894,0.29798552,1.2664254,4.4544325,2.453784,3.7434638,36.112827,41.89889,40.09938,40.576347,0,0,0,0,0,0,0,0,0,0,0,0,0.7887198,0.9597667,0.17113443,0.19001216,1.4919491,4.556657,2.4597445,3.748283,-0.0108895525,-0.012016097,0.006263826,0.006535683,164,6,231,2,0,-6415.416,149.57309,146.5851,10.012851,277142.12,1546.6406,109.76666,105.40482,101.04932,101.04932,0,1,-58.231186,0,0,0.7674783,0.76747817,0,7,255,0,0,0,1,17,62,0
True,21226937,15999.99,0,2303.4788,1.066438,-0.10561231,13.732679,-0.04171276,-0.103570744,11.467991,0.008460342,0.46415904,-0.0077264262,1.3958433,0.02998976,0.0034000739,0.15956295,0.15250479,0.31261882,0.3056921,5.2298713,5.9560604,4.5835557,5.4300833,53.923447,52.91364,53.471275,52.68532,0,0,0,0,0,0,0,0,0,0,0,0,-0.5391376,-0.56923366,0.50785506,0.5435048,5.257587,5.9832,4.611605,5.4572153,-0.013093373,-0.013959169,0.008275475,0.0074519403,164,6,231,2,0,-6414.314,149.52887,146.78656,11.468534,371347.75,1546.6406,113.775055,112.85494,109.56819,109.56819,0,1,-57.37989,0,0,0.87170815,0.87170815,0,7,255,0,0,0,1,0,60,0
True,21227062,15999.99,0,2922.7358,0.6168649,-0.04628943,14.000833,-0.538947,-0.107746005,13.134483,-0.013055851,0.3851476,-0.009876565,1.444713,0.029112436,0.0052263243,0.16623466,0.15498541,0.30049694,0.2919034,6.595251,7.9734273,6.1112633,7.492033,66.42629,68.10179,67.1364,68.116264,0,0,0,0,0,0,0,0,0,0,0,0,0.01220152,0.014272766,0.7324429,0.7987649,6.5952625,7.97344,6.154999,7.534493,-0.012274977,-0.013654882,0.0068342723,0.005812563,164,6,231,2,0,-6412.8774,149.47374,147.03772,13.145977,470836.38,1546.6406,122.187195,121.08498,119.44803,119.44803,0,1,-56.272617,0,0,0.9899872,0.9899872,0,7,255,0,0,0,1,0,56,0
