IsRaceOn,TimestampMS,EngineMaxRpm,EngineIdleRpm,CurrentEngineRpm,AccelerationX,AccelerationY,AccelerationZ,VelocityX,VelocityY,VelocityZ,AngularVelocityX,AngularVelocityY,AngularVelocityZ,Yaw,Pitch,Roll,NormalizedSuspensionTravelFrontLeft,NormalizedSuspensionTravelFrontRight,NormalizedSuspensionTravelRearLeft,NormalizedSuspensionTravelRearRight,TireSlipRatioFrontLeft,TireSlipRatioFrontRight,TireSlipRatioRearLeft,TireSlipRatioRearRight,WheelRotationSpeedFrontLeft,WheelRotationSpeedFrontRight,WheelRotationSpeedRearLeft,WheelRotationSpeedRearRight,WheelOnRumbleStripFrontLeft,WheelOnRumbleStripFrontRight,WheelOnRumbleStripRearLeft,WheelOnRumbleStripRearRight,WheelInPuddleDepthFrontLeft,WheelInPuddleDepthFrontRight,WheelInPuddleDepthRearLeft,WheelInPuddleDepthRearRight,SurfaceRumbleFrontLeft,SurfaceRumbleFrontRight,SurfaceRumbleRearLeft,SurfaceRumbleRearRight,TireSlipAngleFrontLeft,TireSlipAngleFrontRight,TireSlipAngleRearLeft,TireSlipAngleRearRight,TireCombinedSlipFrontLeft,TireCombinedSlipFrontRight,TireCombinedSlipRearLeft,TireCombinedSlipRearRight,SuspensionTravelMetersFrontLeft,SuspensionTravelMetersFrontRight,SuspensionTravelMetersRearLeft,SuspensionTravelMetersRearRight,CarOrdinal,CarClass,CarPerformanceIndex,DrivetrainType,NumCylinders,PositionX,PositionY,PositionZ,Speed,Power,Torque,TireTempFl,TireTempFr,TireTempRl,TireTempRr,Boost,Fuel,Distance,BestLapTime,LastLapTime,CurrentLapTime,CurrentRaceTime,Lap,RacePosition,Accelerator,Brake,Clutch,Handbrake,Gear,Steer,NormalDrivingLine,NormalAiBrakeDifference
True,24523515,15999.99,0,0,0.001998566,0.068572275,0.077160865,-0.008360675,0.00018937574,-0.0006906403,-7.435004E-05,-9.680376E-05,-0.00087019353,-1.7333163,-0.0018050442,0.00014299898,0.2764039,0.25598744,0.2440937,0.24275446,0.0008428731,0.00076257554,-0.03211413,0.0132325655,-0.0021408563,-0.0021408563,-0.0021408563,-0.0021408563,0,0,0,0,0,0,0,0,0,0,0,0,0.021742783,0.010029532,-0.0010772257,-0.0032772417,0.021759113,0.01005848,0.03213219,0.013632355,0.0012390874,-0.0012653284,0.0001283437,-3.0882657E-05,164,6,231,2,0,-834.6955,554.3862,3557.6506,0.008391289,0,0,119.72891,117.95471,123.940506,123.940506,-14.7,1,0,0,0,0,151.4549,0,0,0,0,0,255,1,-127,0,0
True,24633187,15999.99,0,117.95215,0.035402775,-0.021682277,5.620658,0.006424248,-0.0035861614,0.6813682,-0.02270812,-0.0037837927,-0.011383778,0.52921534,0.00428319,-0.021900605,0.2528374,0.2616954,0.2528646,0.25532708,0.57039225,0.6525808,0.4957143,-0.017776415,1.9991243,2.035649,2.0003695,4.2120957,0,0,0,0,0,0,0,0,0,0,0,0,0.009494382,0.009318463,-0.018789768,-0.018898845,0.5704713,0.6526473,0.4960703,0.025945468,-0.0016517304,-0.0005651489,0.0011711381,0.0014639087,164,6,231,2,0,-882.3744,255.00925,3481.997,0.68140787,10413.506,829.68646,70.23632,69.99501,70.28093,70.28093,0,1,-83.64971,0,0,0.1073636,0.1073636,0,7,255,0,0,0,1,0,64,0
True,24633296,15999.99,0,371.14886,0.038956642,-0.055357404,11.503607,0.006968975,-0.010736682,1.8802062,-0.035821017,-0.007031652,-0.020631164,0.52911454,0.0014041117,-0.023439838,0.22319464,0.23839019,0.27481282,0.28751865,2.3637335,0.44420767,1.4379283,0.9008347,10.693582,6.776982,9.031485,7.934368,0,0,0,0,0,0,0,0,0,0,0,0,0.038255163,0.03662999,-0.043303497,-0.04218624,2.364043,0.4457154,1.4385803,0.9018219,-0.0052879006,-0.003423918,0.0037806183,0.005291246,164,6,231,2,0,-882.3138,255.0083,3482.0996,1.8802499,58176.793,1546.6406,70.28911,70.037346,70.34817,70.34817,0,1,-83.52534,0,0,0.20252228,0.2025223,0,7,255,0,0,0,1,0,64,0
True,24633421,15999.99,0,533.3087,-0.046595097,-0.07922044,12.939852,0.005695343,-0.024260709,3.304871,-0.0066098496,-0.004039881,-0.0147197,0.5287216,-0.00073059933,-0.024703667,0.18440032,0.20656586,0.2945084,0.317437,0.8811231,0.44020703,1.4830467,0.29438758,12.126519,10.897734,13.263002,12.240081,0,0,0,0,0,0,0,0,0,0,0,0,0.013454182,0.014294042,-0.018885992,-0.01684068,0.8812258,0.44043905,1.4831669,0.29486886,-0.010046661,-0.0073276944,0.006122276,0.008848317,164,6,231,2,0,-882.16364,255.00629,3482.3555,3.304965,82745.01,1546.6406,70.73572,70.09033,70.83225,70.83225,0,1,-83.2156,0,0,0.31715763,0.31715757,0,7,255,0,0,0,1,0,64,0
True,24633515,15999.99,0,729.39594,-0.010746002,-0.07567771,13.010643,0.0062019825,-0.034629673,4.638633,-0.0017055064,-0.0010986519,0.012211548,0.52838826,-0.0010836899,-0.024979265,0.17123596,0.20195717,0.2964235,0.32180598,1.1236445,0.48908082,1.5247079,1.1884845,16.688353,14.76253,17.843925,17.057196,0,0,0,0,0,0,0,0,0,0,0,0,-0.017128304,-0.014673764,-0.020152835,-0.017638454,1.123775,0.48930088,1.5248411,1.1886154,-0.011661485,-0.007893026,0.006349966,0.009367757,164,6,231,2,0,-881.9603,255.00371,3482.7024,4.6387663,116936.56,1546.6406,71.09385,70.136475,71.23924,71.23924,0,1,-82.79574,0,0,0.41818467,0.4181846,0,7,255,0,0,0,1,0,64,0
True,24633625,15999.99,0,932.09344,0.0015597343,-0.12019783,13.061801,0.007174492,-0.04834951,6.155952,0.0010488128,-0.00832074,-0.00015149277,0.5277217,-0.0010608482,-0.025121178,0.16379943,0.20286046,0.2921227,0.3197246,0.8121211,0.5503106,1.817783,0.7930688,21.005466,19.982943,22.743692,21.425117,0,0,0,0,0,0,0,0,0,0,0,0,0.0029899087,0.004901355,-0.02234168,-0.019940078,0.8121266,0.5503324,1.8179203,0.79331946,-0.012573699,-0.007782221,0.0058386363,0.009120297,164,6,231,2,0,-881.64136,254.99947,3483.2478,6.1561456,149018.39,1546.6406,71.37459,70.19762,71.63425,71.63425,0,1,-82.136024,0,0,0.5349721,0.534972,0,7,255,0,0,0,1,0,64,0
True,24633734,15999.99,0,1156.2756,0.047549248,-0.11518653,13.198887,0.009200096,-0.06397241,7.6916494,-0.0045781923,-0.009518757,0.0058464105,0.52693427,-0.0013254437,-0.024515983,0.1586991,0.20212115,0.29432076,0.31639242,1.3402278,0.50478756,1.1809794,1.0258248,27.48341,25.183474,26.917545,26.890114,0,0,0,0,0,0,0,0,0,0,0,0,0.00033383886,0.0024927328,-0.024497446,-0.022235285,1.3402278,0.5047937,1.1812334,1.0260657,-0.013199337,-0.007872909,0.006099969,0.008724123,164,6,231,2,0,-881.24115,254.99391,3483.9336,7.6919208,185569.44,1546.6406,71.54146,70.24634,71.89942,71.89942,0,1,-81.30695,0,0,0.6495102,0.64951015,0,7,255,0,0,0,1,0,64,0
True,24633843,15999.99,0,1302.0953,0.03966713,-0.10887336,13.967779,0.009608984,-0.07789822,9.089891,-0.003640188,-0.009509768,0.012090357,0.5260868,-0.0016762685,-0.023597628,0.15081377,0.19845372,0.30071083,0.31694794,1.5934148,0.45694762,0.87023777,0.9269418,32.14699,29.018879,29.717278,29.871782,0,0,0,0,0,0,0,0,0,0,0,0,-0.0014120423,0.0009760791,-0.02409894,-0.021826105,1.5934154,0.45694867,0.87057143,0.9271987,-0.014166603,-0.008322779,0.0068596974,0.008790176,164,6,231,2,0,-880.8244,254.98816,3484.6492,9.090231,74898.2,533.12366,71.80157,70.29507,72.02754,72.02754,0,1,-80.442314,0,0,0.7481254,0.7481252,0,7,255,0,0,0,1,0,64,0
True,24633953,15999.99,0,1604.7703,0.039093494,-0.16327046,14.410722,0.010861874,-0.099403314,10.796133,0.0012501739,0.00080695096,0.021342412,0.52559274,-0.0016722154,-0.021386946,0.14413945,0.1848756,0.30275726,0.31432843,1.2727123,0.65998924,0.90831894,0.97054195,37.981487,35.876316,37.024517,37.241577,0,0,0,0,0,0,0,0,0,0,0,0,0.022963172,0.025211647,-0.013093395,-0.010981783,1.2729195,0.6604706,0.9084133,0.97060406,-0.014985317,-0.00998836,0.0071030073,0.008478731,164,6,231,2,0,-880.23676,254.97966,3485.6606,10.796596,258542.19,1546.6406,72.228004,70.37062,72.1345,72.1345,0,1,-79.220894,0,0,0.86566186,0.86566174,0,7,255,0,0,0,1,1,64,0
True,24634078,15999.99,0,1875.5131,2.0555897,-0.14778045,14.511606,0.15788412,-0.11381642,12.480841,0.0014558192,0.17308943,0.018544916,0.5362098,-0.0011894496,-0.018185215,0.15393816,0.16862588,0.30639496,0.31060573,0.6440149,1.5596361,0.87088424,1.2063832,41.858215,44.615044,43.135075,43.576817,0,0,0,0,0,0,0,0,0,0,0,0,-0.070837416,-0.07271334,0.031487554,0.034919836,0.64789903,1.5613302,0.8714533,1.2068886,-0.013783345,-0.011981655,0.007535506,0.008036129,164,6,231,2,0,-879.54004,254.96889,3486.828,12.482358,302222.94,1546.6406,72.36711,70.699234,72.23018,72.23018,0,1,-77.801605,0,0,0.9822819,0.9822818,0,7,255,0,0,0,1,0,64,0
