IsRaceOn,TimestampMS,EngineMaxRpm,EngineIdleRpm,CurrentEngineRpm,AccelerationX,AccelerationY,AccelerationZ,VelocityX,VelocityY,VelocityZ,AngularVelocityX,AngularVelocityY,AngularVelocityZ,Yaw,Pitch,Roll,NormalizedSuspensionTravelFrontLeft,NormalizedSuspensionTravelFrontRight,NormalizedSuspensionTravelRearLeft,NormalizedSuspensionTravelRearRight,TireSlipRatioFrontLeft,TireSlipRatioFrontRight,TireSlipRatioRearLeft,TireSlipRatioRearRight,WheelRotationSpeedFrontLeft,WheelRotationSpeedFrontRight,WheelRotationSpeedRearLeft,WheelRotationSpeedRearRight,WheelOnRumbleStripFrontLeft,WheelOnRumbleStripFrontRight,WheelOnRumbleStripRearLeft,WheelOnRumbleStripRearRight,WheelInPuddleDepthFrontLeft,WheelInPuddleDepthFrontRight,WheelInPuddleDepthRearLeft,WheelInPuddleDepthRearRight,SurfaceRumbleFrontLeft,SurfaceRumbleFrontRight,SurfaceRumbleRearLeft,SurfaceRumbleRearRight,TireSlipAngleFrontLeft,TireSlipAngleFrontRight,TireSlipAngleRearLeft,TireSlipAngleRearRight,TireCombinedSlipFrontLeft,TireCombinedSlipFrontRight,TireCombinedSlipRearLeft,TireCombinedSlipRearRight,SuspensionTravelMetersFrontLeft,SuspensionTravelMetersFrontRight,SuspensionTravelMetersRearLeft,SuspensionTravelMetersRearRight,CarOrdinal,CarClass,CarPerformanceIndex,DrivetrainType,NumCylinders,PositionX,PositionY,PositionZ,Speed,Power,Torque,TireTempFl,TireTempFr,TireTempRl,TireTempRr,Boost,Fuel,Distance,BestLapTime,LastLapTime,CurrentLapTime,CurrentRaceTime,Lap,RacePosition,Accelerator,Brake,Clutch,Handbrake,Gear,Steer,NormalDrivingLine,NormalAiBrakeDifference
True,9475468,10999.993,999.9994,1000.00574,-0.0050010197,-0.0005979104,-0.0029378706,-0.010557531,-1.4123632E-05,0.003205898,6.5859946E-05,-0.0002020879,0.000418703,2.6018,-0.0021621126,0.0004683042,0.52335685,0.50668526,0.48902935,0.4817336,0.00092690875,0.000701744,-0.0037960084,-0.0019989642,0.00949755,0.00949755,0.008967547,0.008967547,0,0,0,0,0,0,0,0,0,0,0,0,0.015666764,0.011503531,0.0012704979,0.011628559,0.01569416,0.011524915,0.0040029795,0.01179912,0.00053922087,-0.0007521622,0.0003986843,-0.00013048574,36,6,231,2,6,3245.9304,501.51364,683.48914,0.011033561,-0.026339741,-0.00025152453,170.73152,160.94135,176.06734,176.06734,-11.024998,1,0,0,0,0,114.898315,0,0,0,0,0,255,1,-127,0,0
True,9504906,10999.993,999.9994,1642.367,-0.088648185,-0.011279807,-0.19931234,0.0012290729,-0.00036899553,-0.007594805,9.437266E-05,-1.1685323E-05,-0.0037954801,1.0212405,-0.009595113,-0.00022184852,0.51518255,0.5170082,0.48285162,0.48451212,0.0003931262,0.00024399588,0.00033427615,0.00032362452,-0.022411417,-0.022662446,-0.0214258,-0.021428198,0,0,0,0,0,0,0,0,0,0,0,0,0.0011001081,-0.0006959239,0.00030121978,0.00066214893,0.0011682406,0.0007374579,0.000449971,0.0007370034,-9.3961135E-05,4.745461E-05,-4.9393624E-05,7.104501E-05,36,6,231,2,6,3177.1992,200.4961,646.84955,0.007702457,40511.81,239.8655,99.36734,99.43471,101.56629,101.56629,-11.024998,1,-62.852444,0,0,0.086098105,0.086098105,0,8,255,0,0,0,1,0,58,0
True,9505031,10999.993,999.9994,4513.598,0.046928223,-0.001621138,-0.10585122,0.0027952236,-0.00076285866,-0.018628394,4.8312126E-05,-3.281746E-06,-0.00872908,1.0212405,-0.009585772,-0.0010520667,0.51033485,0.52425843,0.47784996,0.4914335,0.00026238168,0.0003564405,0.00035056958,0.00031611728,-0.055328194,-0.055174474,-0.052129295,-0.05220419,0,0,0,0,0,0,0,0,0,0,0,0,0.0008865572,-0.0008608088,0.000121929974,0.00055531826,0.000924569,0.00093168754,0.00037116834,0.0006389902,-0.00046945922,0.0006090589,-0.00041216984,0.0005730614,36,6,231,2,6,3177.198,200.496,646.84845,0.018852383,273990,589.3624,99.3051,99.3723,101.50104,101.50104,-5.53341,1,-62.853687,0,0,0.21153374,0.21153374,0,8,255,0,0,0,1,0,58,0
True,9505140,10999.993,999.9994,7582.7173,0.06420616,0.0061976104,0.28647122,0.0013927883,0.00016542451,0.036546305,-0.0069522513,-0.000654521,-0.0046574185,1.0212377,-0.009624855,-0.0018045831,0.504127,0.53070587,0.47245687,0.4987265,0.07419135,0.093349725,0.30405378,0.26780915,0.26587856,0.31414142,0.7553549,0.675824,0,0,0,0,0,0,0,0,0,0,0,0,0.0014107237,-0.00030348764,-0.00082687946,-0.00055444567,0.07420476,0.09335022,0.30405492,0.26780972,-0.0009503197,0.0011084769,-0.0008033365,0.0011020303,36,6,231,2,6,3177.1963,200.49594,646.8471,0.03657321,466472.16,589.3624,99.25096,99.31838,101.44446,101.44446,20.414955,1,-62.855415,0,0,0.32044193,0.32044196,0,8,255,0,0,0,1,0,58,0
True,9505234,10999.993,999.9994,7245.296,-0.68368196,0.16634502,12.332042,0.0032664537,0.0136924535,1.3362778,-0.04296501,-0.023718111,-0.0061238147,1.0203818,-0.0131175555,-0.002512644,0.44976586,0.4934743,0.51485914,0.5511689,22.93053,16.96324,26.437992,25.456104,42.433834,33.90197,53.44789,52.89609,0,0,0,0,0,0,0,0,0,0,0,0,0.2837294,0.26282018,-0.18446022,-0.17404689,22.932285,16.965275,26.438635,25.4567,-0.0051611345,-0.001775479,0.0022721514,0.0049057417,36,6,231,2,6,3177.2498,200.49716,646.8797,1.3363519,823480.75,1082.446,102.05531,101.32317,106.60951,106.60951,32.686764,1,-62.806213,0,0,0.41137463,0.41137466,0,8,255,0,0,0,1,0,58,0
True,9505359,10999.993,999.9994,7167.578,-0.0006532669,-0.16281833,12.64872,0.008443952,-0.016684456,2.764563,-0.023746375,-0.043402318,-0.0059145847,1.016762,-0.016652016,-0.0033456793,0.39438638,0.43927535,0.55634594,0.5795339,36.213436,20.559814,30.16887,29.22708,65.808754,42.417694,60.761612,60.15576,0,0,0,0,0,0,0,0,0,0,0,0,0.23791797,0.22837524,-0.18634173,-0.1771998,36.21422,20.561083,30.169447,29.227615,-0.00945083,-0.0059737302,0.005281236,0.0069630854,36,6,231,2,6,3177.4434,200.50049,646.9983,2.764626,503265,671.7714,110.48416,110.18881,117.50452,117.50452,35.70604,1,-62.627934,0,0,0.52080667,0.52080667,0,8,255,0,0,0,1,0,58,0
True,9505468,10999.993,999.9994,7338.951,0.06911039,-0.09290273,12.556047,0.025822163,-0.038375348,4.367838,-0.0046781166,-0.05566734,-0.0024060677,1.010399,-0.017983893,-0.0031783045,0.384511,0.39786422,0.5798839,0.6114237,29.742542,26.392796,27.837711,25.685225,61.378098,56.120712,61.66971,60.261295,0,0,0,0,0,0,0,0,0,0,0,0,0.14864285,0.14932965,-0.18289228,-0.16684087,29.742914,26.393217,27.838312,25.685766,-0.010215778,-0.009181435,0.0069884732,0.009276092,36,6,231,2,6,3177.828,200.50398,647.2356,4.3680825,596373.3,777.8445,120.020966,119.49183,128.67685,128.67685,36.577415,1,-62.273182,0,0,0.6474104,0.64741045,0,8,255,0,0,0,1,0,58,0
True,9505562,10999.993,999.9994,7448.0503,0.07019186,0.042094827,13.663632,0.049227,-0.026803616,5.5915737,0.009107485,-0.0687256,-0.0058389213,1.0044706,-0.017845785,-0.0027247248,0.35987037,0.38381565,0.5923451,0.6005719,28.45898,27.40277,25.1935,25.715517,61.874065,61.57789,61.13958,61.422623,0,0,0,0,0,0,0,0,0,0,0,0,0.116899386,0.112673804,-0.20068727,-0.19827816,28.45922,27.403,25.1943,25.716282,-0.01212444,-0.01026964,0.007892303,0.008488998,36,6,231,2,6,3178.2073,200.50972,647.4714,5.591855,379636.72,486.50595,126.38749,125.73703,136.09714,136.09714,36.70588,1,-61.922436,0,0,0.7365931,0.7365931,0,8,255,0,0,0,1,0,58,0
True,9505687,10999.993,999.9994,8418.033,0.07039356,-0.14213255,13.612287,0.09141564,-0.044287737,7.025793,-0.0018519247,-0.08794911,0.00886015,0.9963876,-0.017746568,-0.0025030435,0.3556617,0.36808717,0.5409211,0.58614075,25.563591,24.070858,25.135584,22.69937,68.728386,66.8543,70.4098,69.22254,0,0,0,0,0,0,0,0,0,0,0,0,0.06517352,0.067135386,-0.25392395,-0.23422788,25.563675,24.070951,25.136866,22.700577,-0.012450446,-0.011487966,0.004162457,0.007442292,36,6,231,2,6,3178.7788,200.51793,647.82935,7.0265274,685411.25,779.3655,133.46826,133.08435,144.59753,144.59753,36.741356,1,-61.3779,0,0,0.84320706,0.8432072,0,8,255,0,0,0,1,0,58,0
True,9505796,10999.993,999.9994,9252.18,-0.06883669,-0.19089344,12.569531,0.1523366,-0.068180904,8.513182,-0.0058978978,-0.09282437,0.011971732,0.9866574,-0.017536145,-0.0024101972,0.34809774,0.37464628,0.53049886,0.5620379,23.3207,18.828007,21.781837,19.867746,78.27879,69.75941,77.37049,76.37317,0,0,0,0,0,0,0,0,0,0,0,0,-0.013123289,-0.010827476,-0.27972656,-0.26118904,23.320704,18.82801,21.783634,19.869463,-0.013036349,-0.010979897,0.0034065172,0.00569408,36,6,231,2,6,3179.5103,200.52664,648.2919,8.514818,761131.06,787.2554,140.48639,140.31662,153.20963,153.20963,36.748425,1,-60.698414,0,0,0.95437163,0.95437175,0,8,255,0,0,0,1,0,58,0
