IsRaceOn,TimestampMS,EngineMaxRpm,EngineIdleRpm,CurrentEngineRpm,AccelerationX,AccelerationY,AccelerationZ,VelocityX,VelocityY,VelocityZ,AngularVelocityX,AngularVelocityY,AngularVelocityZ,Yaw,Pitch,Roll,NormalizedSuspensionTravelFrontLeft,NormalizedSuspensionTravelFrontRight,NormalizedSuspensionTravelRearLeft,NormalizedSuspensionTravelRearRight,TireSlipRatioFrontLeft,TireSlipRatioFrontRight,TireSlipRatioRearLeft,TireSlipRatioRearRight,WheelRotationSpeedFrontLeft,WheelRotationSpeedFrontRight,WheelRotationSpeedRearLeft,WheelRotationSpeedRearRight,WheelOnRumbleStripFrontLeft,WheelOnRumbleStripFrontRight,WheelOnRumbleStripRearLeft,WheelOnRumbleStripRearRight,WheelInPuddleDepthFrontLeft,WheelInPuddleDepthFrontRight,WheelInPuddleDepthRearLeft,WheelInPuddleDepthRearRight,SurfaceRumbleFrontLeft,SurfaceRumbleFrontRight,SurfaceRumbleRearLeft,SurfaceRumbleRearRight,TireSlipAngleFrontLeft,TireSlipAngleFrontRight,TireSlipAngleRearLeft,TireSlipAngleRearRight,TireCombinedSlipFrontLeft,TireCombinedSlipFrontRight,TireCombinedSlipRearLeft,TireCombinedSlipRearRight,SuspensionTravelMetersFrontLeft,SuspensionTravelMetersFrontRight,SuspensionTravelMetersRearLeft,SuspensionTravelMetersRearRight,CarOrdinal,CarClass,CarPerformanceIndex,DrivetrainType,NumCylinders,PositionX,PositionY,PositionZ,Speed,Power,Torque,TireTempFl,TireTempFr,TireTempRl,TireTempRr,Boost,Fuel,Distance,BestLapTime,LastLapTime,CurrentLapTime,CurrentRaceTime,Lap,RacePosition,Accelerator,Brake,Clutch,Handbrake,Gear,Steer,NormalDrivingLine,NormalAiBrakeDifference
True,4173656,7999.995,1269.8213,4451.493,14.444193,1.0193342,0.03466463,-11.036049,0.45068032,27.831745,0.12994362,0.412502,-0.023037788,-0.6683016,0.0066267727,-0.025280712,0.70510703,0.21506013,0.80689406,0.48284733,0.0038986886,0.03922899,-0.0034822652,0.016202763,87.70291,86.692924,87.66474,86.11701,0,0,0,0,0,0,0,0,0.59999996,0.59999996,0.59999996,0.59999996,1.2064425,1.3995466,1.4103365,1.6015413,1.2064488,1.4000963,1.4103408,1.6016232,0.024202645,-0.03362289,0.037086084,0.00031280518,53,3,190,2,4,-922.80817,186.51729,-1145.0912,29.943336,-20047.947,-42.98775,192.80067,184.43138,178.65569,178.65569,-10.447383,1,166.83743,0,0,0.64044905,125.16104,0,6,0,0,0,0,3,0,127,0
True,4200218,7999.995,1269.8213,1694.3246,-0.04736996,-0.012472417,-0.112125486,0.0022361798,-0.00041324075,-0.008745195,0.0008381733,-4.1291434E-05,-0.00381175,2.085706,-0.0095062,-0.00014577154,0.4985686,0.49971524,0.48061034,0.48163953,0.00023954367,0.00023769839,0.0003305021,0.00032499759,-0.028667504,-0.028488245,-0.028848901,-0.028673723,0,0,0,0,0,0,0,0,0,0,0,0,0.0009294625,0.0009353726,0.00061223534,0.00061572,0.0009598342,0.0009651023,0.00069574686,0.0006962288,-0.00016888976,-3.3587217E-05,5.8948994E-05,0.0001757443,53,3,190,2,4,159.89961,162.05516,-1275.0599,0.009036022,39273.805,223.77193,90.56122,90.56405,91.078125,91.078125,-11.0250025,1,-51.663197,0,0,0.095437095,0.095437095,0,8,255,0,0,0,1,0,58,0
True,4200312,7999.995,1269.8213,2933.9402,0.08469911,-0.015656788,-0.042087164,0.0052102646,-0.0010866666,-0.017863827,0.0005657396,9.797291E-06,-0.008586011,2.0857058,-0.009433119,-0.0007993765,0.49688932,0.50392747,0.4772827,0.4843511,0.00022458476,0.00020932226,0.00033382885,0.00031862367,-0.056170993,-0.05628431,-0.05618459,-0.056309484,0,0,0,0,0,0,0,0,0,0,0,0,0.00042145757,0.00040862954,0.000342404,0.00032380587,0.00047756132,0.00045912297,0.00047820728,0.00045428105,-0.0003670454,0.00046345592,-0.00031867623,0.00048345327,53,3,190,2,4,159.89825,162.05507,-1275.0597,0.01863985,140906.38,464.77814,90.52203,90.52486,91.03827,91.03827,-9.191984,1,-51.66405,0,0,0.1959059,0.1959059,0,8,255,0,0,0,1,0,58,0
True,4200421,7999.995,1269.8213,4529.7227,-0.053596422,0.0033943316,0.020882234,0.004483926,-0.000749029,-0.0095402505,-0.0027439143,2.1022643E-06,-0.0073953113,2.0857072,-0.009422752,-0.0016795192,0.49339488,0.5094083,0.47322392,0.4894136,0.019087635,0.017663838,0.06821391,0.06338824,0.012279614,0.009326093,0.10925125,0.09956325,0,0,0,0,0,0,0,0,0,0,0,0,-0.0009800512,-0.0009992754,-0.00069579977,-0.00072496576,0.019112779,0.017692082,0.068217464,0.063392386,-0.00077939034,0.0011101961,-0.0007792711,0.0010579526,53,3,190,2,4,159.89613,162.05495,-1275.0591,0.010568018,223513.02,474.94983,90.482666,90.48548,90.99869,90.99869,-0.2562933,1,-51.66543,0,0,0.2970952,0.2970952,0,8,255,0,0,0,1,0,58,0
True,4200531,7999.995,1269.8213,4789.5225,-0.05798292,-0.07367043,5.9635367,0.0018878281,-0.007869404,0.6294676,-0.07172765,-0.0012493087,-0.0012740251,2.0856812,-0.012818884,-0.0021458918,0.4731283,0.49434274,0.50509924,0.5270576,-0.056756746,-0.049838584,1.0097874,0.83574104,3.7762985,3.7715073,4.2214584,3.8764572,0,0,0,0,0,0,0,0,0,0,0,0,-2.2266593E-05,4.8109464E-06,-0.0040102433,-0.004044686,0.05675675,0.049838584,1.0097954,0.8357508,-0.003170848,-0.0006675422,0.0028379858,0.0053298473,53,3,190,2,4,159.9164,162.05495,-1275.0709,0.6295196,185358.42,368.54526,90.497406,90.501305,91.094864,91.094864,11.87337,1,-51.65026,0,0,0.39498836,0.39498833,0,7,255,0,0,0,1,0,58,0
True,4200640,7999.995,1269.8213,4204.767,-0.00912714,-0.0028733276,10.767572,0.0048989058,-0.020286726,1.9825449,-0.07181851,0.005072062,-0.011054775,2.0859582,-0.022830823,-0.0030985475,0.4014019,0.4383967,0.64945126,0.6738754,0.40030798,0.16611533,3.0221577,3.4984894,6.9579844,7.1541867,13.039883,13.226671,0,0,0,0,0,0,0,0,0,0,0,0,-0.015849626,-0.013976519,0.04146937,0.0584474,0.40062162,0.16670227,3.022442,3.4989774,-0.011634558,-0.007269174,0.01921925,0.02199094,53,3,190,2,4,160.05247,162.05595,-1275.1483,1.9826547,197952.77,448.62256,90.61972,90.64264,96.93254,96.93254,21.062206,1,-51.549,0,0,0.5139938,0.5139938,0,7,255,0,0,0,1,0,58,0
True,4200750,7999.995,1269.8213,4026.6812,-0.13398695,0.07359664,10.992588,-0.009934664,-0.025105326,3.0878692,-0.020171527,-0.0019446367,0.013639763,2.0856795,-0.027729029,-0.002199913,0.3519101,0.39851084,0.71486205,0.76006144,0.5580447,0.020522619,0.52816606,0.33083048,9.679044,10.825248,10.389921,10.696135,0,0,0,0,0,0,0,0,0,0,0,0,0.019348007,0.020636493,-0.028053137,0.009433085,0.55838,0.029104,0.5289106,0.33096495,-0.017474592,-0.011975706,0.026642159,0.03177145,53,3,190,2,4,160.27568,162.05994,-1275.2743,3.0879872,196243,465.13196,90.7128,90.74608,103.74866,103.74866,22.737595,1,-51.38327,0,0,0.61450416,0.6145041,0,7,255,0,0,0,1,0,58,0
True,4200859,7999.995,1269.8213,3934.482,-0.03813839,-0.15997416,10.207506,-0.0037260056,-0.04519538,4.129394,0.008205415,-9.8955206E-05,0.0064263726,2.0855317,-0.027773233,-0.0012872091,0.32751465,0.36438036,0.7035781,0.73916173,0.6999593,0.025061237,0.58742756,0.51950824,12.947543,14.015754,13.946719,13.849038,0,0,0,0,0,0,0,0,0,0,0,0,0.003857782,0.004933093,-0.021148551,0.012707732,0.6999699,0.025542142,0.58780813,0.51966363,-0.020353258,-0.016003102,0.025361642,0.029399723,53,3,190,2,4,160.59924,162.06694,-1275.4567,4.1296425,193455.16,469.1753,90.80415,90.85023,103.29393,103.29393,23.10094,1,-51.14304,0,0,0.7171272,0.71712714,0,7,255,0,0,0,1,0,58,0
True,4200968,7999.995,1269.8213,3777.7312,0.09158087,-0.27577838,10.566565,-0.0027852058,-0.07414156,5.2287455,0.0034110243,-0.00014420017,0.00498663,2.085422,-0.02713169,-0.00072120794,0.31935233,0.35168508,0.6824577,0.71151024,0.62633675,0.06556922,0.6517593,0.59067595,16.340582,17.22441,17.48743,17.385176,0,0,0,0,0,0,0,0,0,0,0,0,0.002401131,0.0033420546,-0.01664607,0.010410257,0.62634134,0.06565434,0.6519719,0.5907677,-0.02131641,-0.017501146,0.022964865,0.026261792,53,3,190,2,4,161.02417,162.07404,-1275.6967,5.229272,186790.39,471.64035,90.90242,90.97269,102.933334,102.933334,23.177109,1,-50.827435,0,0,0.8211928,0.82119274,0,7,255,0,0,0,1,0,58,0
True,4201093,7999.995,1269.8213,3564.6396,-0.034157276,-0.24598101,10.564275,-0.0028467178,-0.10400061,6.5717897,-0.000658541,-0.0017028677,0.0050703455,2.0852983,-0.027043967,-9.908619E-05,0.31529266,0.3446227,0.6762151,0.6990336,0.08845077,0.59991413,0.6066794,0.5742551,21.355255,20.431244,21.683338,21.610346,0,0,0,0,0,0,0,0,0,0,0,0,-0.00051220396,0.0004026636,-0.011833035,0.013132358,0.08845225,0.59991425,0.6067948,0.57440525,-0.021795452,-0.018334508,0.022256449,0.024845928,53,3,190,2,4,161.6701,162.08282,-1276.0614,6.572613,177002.53,473.63834,91.0344,91.1216,102.57182,102.57182,23.193733,1,-50.34769,0,0,0.9466188,0.9466187,0,7,255,0,0,0,1,0,58,0
True,4201203,7999.995,1269.8213,3220.9146,-0.021800041,-0.20419714,10.189747,-0.0039713383,-0.12418428,7.6255064,0.008833837,-0.0010294844,0.0072768144,2.0852165,-0.027001802,0.0005160998,0.31492797,0.34194958,0.67776716,0.6953369,0.54203206,0.54330057,1.0936006,1.0875024,23.972553,23.842163,26.525854,26.46924,0,0,0,0,0,0,0,0,0,0,0,0,0.00032496333,0.0012230146,-0.013460148,0.011401559,0.5420322,0.54330194,1.0936835,1.0875621,-0.021838486,-0.018649936,0.02243258,0.024426416,53,3,190,2,4,162.31364,162.09091,-1276.4248,7.626518,124545.33,367.65375,91.1248,91.22468,102.3064,102.3064,23.196007,1,-49.869743,0,0,1.0502143,1.0502142,0,7,255,0,0,0,1,0,58,0
