IsRaceOn,TimestampMS,EngineMaxRpm,EngineIdleRpm,CurrentEngineRpm,AccelerationX,AccelerationY,AccelerationZ,VelocityX,VelocityY,VelocityZ,AngularVelocityX,AngularVelocityY,AngularVelocityZ,Yaw,Pitch,Roll,NormalizedSuspensionTravelFrontLeft,NormalizedSuspensionTravelFrontRight,NormalizedSuspensionTravelRearLeft,NormalizedSuspensionTravelRearRight,TireSlipRatioFrontLeft,TireSlipRatioFrontRight,TireSlipRatioRearLeft,TireSlipRatioRearRight,WheelRotationSpeedFrontLeft,WheelRotationSpeedFrontRight,WheelRotationSpeedRearLeft,WheelRotationSpeedRearRight,WheelOnRumbleStripFrontLeft,WheelOnRumbleStripFrontRight,WheelOnRumbleStripRearLeft,WheelOnRumbleStripRearRight,WheelInPuddleDepthFrontLeft,WheelInPuddleDepthFrontRight,WheelInPuddleDepthRearLeft,WheelInPuddleDepthRearRight,SurfaceRumbleFrontLeft,SurfaceRumbleFrontRight,SurfaceRumbleRearLeft,SurfaceRumbleRearRight,TireSlipAngleFrontLeft,TireSlipAngleFrontRight,TireSlipAngleRearLeft,TireSlipAngleRearRight,TireCombinedSlipFrontLeft,TireCombinedSlipFrontRight,TireCombinedSlipRearLeft,TireCombinedSlipRearRight,SuspensionTravelMetersFrontLeft,SuspensionTravelMetersFrontRight,SuspensionTravelMetersRearLeft,SuspensionTravelMetersRearRight,CarOrdinal,CarClass,CarPerformanceIndex,DrivetrainType,NumCylinders,PositionX,PositionY,PositionZ,Speed,Power,Torque,TireTempFl,TireTempFr,TireTempRl,TireTempRr,Boost,Fuel,Distance,BestLapTime,LastLapTime,CurrentLapTime,CurrentRaceTime,Lap,RacePosition,Accelerator,Brake,Clutch,Handbrake,Gear,Steer,NormalDrivingLine,NormalAiBrakeDifference
True,2374093,7999.995,1269.8213,1269.8784,0.33132616,0.0014835608,0.11453218,-0.006050973,0.0003069209,-0.0020156242,-5.1226234E-06,0.001630068,-0.001505934,1.8922895,0.0010890904,0.00028584062,0.51460326,0.49141404,0.48123854,0.4784755,0.0003584873,0.0003612274,-0.024647953,-0.0028216187,-0.0062297145,-0.0062297145,-0.0062297145,-0.0062297145,0,0,0,0,0,0,0,0,0,0,0,0,0.015733382,0.017706335,-0.006792099,0.005563787,0.015737467,0.017710019,0.025566662,0.00623837,0.0017232001,-0.00101313,0.00013023615,-0.00018331409,53,3,190,2,4,-7168.354,431.50143,-1792.6267,0.0063852347,-0.102562994,-0.00077125843,136.5849,136.98074,130.63242,130.63242,-11.024998,1,0,0,0,0,230.6976,0,0,0,0,0,255,1,-127,0,0
True,2396578,7999.995,1269.8213,1771.3708,0.035455346,-0.007857224,-0.32131773,0.0026852614,-0.0008593893,-0.04376428,0.0032643687,-4.736136E-05,-0.004477415,0.108733356,-0.048705086,-0.05365963,0.4828908,0.50413054,0.47923395,0.49115342,0.0011556587,0.0009864148,0.0015970587,0.001481739,-0.14141613,-0.1409474,-0.14190534,-0.14167874,0,0,0,0,0,0,0,0,0,0,0,0,-0.01286908,-0.012720742,-0.010719487,-0.008849333,0.012920865,0.01275893,0.0108378045,0.008972527,-0.002018869,0.00048741698,-9.724498E-05,0.001255393,53,3,190,2,4,-7188.8784,126.01792,-1892.0636,0.043855,44557.84,243.21391,113.746925,113.84046,117.707855,117.707855,-11.024998,1,-85.19601,0,0,0.103729464,0.10372947,0,8,255,0,0,0,1,0,53,0
True,2396687,7999.995,1269.8213,2857.349,0.12740645,0.005525818,-0.4055813,0.005240447,-0.0012060571,-0.08052592,0.0024104854,2.4736742E-05,-0.008568681,0.10871926,-0.0484505,-0.054254472,0.48302898,0.50966644,0.47423527,0.49133727,0.0011479037,0.0009419063,0.00163433,0.0014570367,-0.253304,-0.25321117,-0.25333154,-0.25336498,0,0,0,0,0,0,0,0,0,0,0,0,-0.013408873,-0.01309799,-0.011103338,-0.009142188,0.013457918,0.013131814,0.0112229735,0.009257568,-0.002002567,0.0011406541,-0.0006645024,0.0012762547,53,3,190,2,4,-7188.879,126.01755,-1892.0691,0.08070526,133288.03,451.91055,113.70638,113.79999,117.662445,117.662445,-9.436427,1,-85.2012,0,0,0.19070686,0.19070688,0,8,255,0,0,0,1,0,53,0
True,2396796,7999.995,1269.8213,4617.7666,0.1181189,0.007000627,-0.19861759,0.004390773,-0.00079897186,-0.09914264,-0.0039383904,-7.681374E-06,-0.007262354,0.10871506,-0.048326045,-0.0552411,0.48022476,0.5170784,0.46793324,0.4954903,0.028161,0.024513362,0.09537555,0.08478084,-0.25166857,-0.2581419,-0.13427523,-0.15271696,0,0,0,0,0,0,0,0,0,0,0,0,-0.014971202,-0.014418136,-0.012181229,-0.010077135,0.031893242,0.02843919,0.09615029,0.08537763,-0.0023334622,0.0020152628,-0.0013796687,0.0017475486,53,3,190,2,4,-7188.8794,126.01682,-1892.0806,0.099243045,228061.55,474.94983,113.65459,113.748344,117.604706,117.604706,0.54396343,1,-85.21198,0,0,0.3034206,0.3034206,0,8,255,0,0,0,1,0,53,0
True,2396906,7999.995,1269.8213,4576.4863,-0.2514066,-0.1952444,7.420588,0.011578679,-0.020414032,0.90529054,-0.09198433,-0.010698978,0.0038452959,0.10874174,-0.054985445,-0.05552511,0.44153354,0.48165956,0.53035474,0.5758881,0.381935,0.5255578,7.3296175,5.795086,3.7553892,3.446165,18.04492,15.670715,0,0,0,0,0,0,0,0,0,0,0,0,-0.03148017,-0.031829465,-0.22261687,-0.21758656,0.38323015,0.5265208,7.3329973,5.799169,-0.006899029,-0.0021641552,0.0057040155,0.010871202,53,3,190,2,4,-7188.874,126.01798,-1892.0402,0.90559465,197663.25,410.98895,113.691086,113.79064,119.97418,119.97418,16.873768,1,-85.173706,0,0,0.43404645,0.4340465,0,8,255,0,0,0,1,0,53,0
True,2397015,7999.995,1269.8213,4104.3745,0.07534242,0.06238854,10.995062,0.020316377,-0.016208544,2.105812,-0.061915126,-0.007870719,-0.013148595,0.107789785,-0.06355164,-0.05501036,0.38974592,0.43443754,0.67368394,0.6913792,0.46276134,0.29456234,5.8126082,6.3728786,7.4780006,7.2048607,18.633024,19.568483,0,0,0,0,0,0,0,0,0,0,0,0,-0.020041993,-0.017100032,-0.11630905,-0.096126854,0.46319515,0.29505828,5.8137717,6.3736033,-0.013009965,-0.007736355,0.021969214,0.023977295,53,3,190,2,4,-7188.856,126.02547,-1891.8845,2.1059723,196680.88,456.9002,113.814606,113.8995,129.27432,129.27432,21.891655,1,-85.02637,0,0,0.53719383,0.53719395,0,8,255,0,0,0,1,0,53,0
True,2397109,7999.995,1269.8213,4024.999,-0.10671282,0.019364476,10.736453,0.013346672,-0.021171033,2.832162,-0.029941117,-0.01475884,0.012014498,0.10736227,-0.06662774,-0.055305667,0.35969812,0.41531253,0.6867273,0.76174587,0.36919498,0.03732783,3.1036577,1.6178942,9.12836,10.121508,14.481027,11.772448,0,0,0,0,0,0,0,0,0,0,0,0,-0.016800465,-0.014833567,-0.15909636,-0.114500105,0.36957705,0.04016717,3.1077328,1.6219407,-0.016555607,-0.009993106,0.023449391,0.031962603,53,3,190,2,4,-7188.8364,126.035034,-1891.7183,2.8322723,196116.16,465.12552,113.88496,113.955315,135.0924,135.0924,22.731766,1,-84.86888,0,0,0.6047053,0.6047054,0,8,255,0,0,0,1,0,53,0
True,2397234,7999.995,1269.8213,3923.7004,-0.030059159,-0.21503553,9.827155,0.0049113333,-0.050379574,4.1224914,0.0038293202,-0.00082338403,0.0051566297,0.10700121,-0.06751363,-0.054377723,0.32500166,0.37327763,0.6899745,0.7386416,0.0703546,0.66760266,0.6288398,0.5207683,13.860695,12.658858,14.0356455,13.796007,0,0,0,0,0,0,0,0,0,0,0,0,-0.022147873,-0.020559516,-0.02752607,0.0053922324,0.07375838,0.66791916,0.629442,0.52079624,-0.02064979,-0.014953226,0.023817882,0.0293407,53,3,190,2,4,-7188.788,126.06122,-1891.2684,4.1228013,193106.02,469.55692,113.97889,114.07687,135.86798,135.86798,23.132679,1,-84.443214,0,0,0.73439646,0.7343966,0,8,255,0,0,0,1,0,53,0
True,2397343,7999.995,1269.8213,3734.1802,1.0812018,-0.19586807,9.557867,0.0069465637,-0.08238688,5.294851,0.0016855383,-0.00074662187,0.005871251,0.10698138,-0.06719681,-0.053790476,0.30622745,0.35975698,0.67819613,0.7219283,0.097664475,0.8038311,0.6738315,0.55772924,17.423815,16.532349,17.747583,17.511772,0,0,0,0,0,0,0,0,0,0,0,0,-0.02139361,-0.019983498,-0.027072007,0.001525904,0.099980175,0.8040795,0.6743751,0.55773133,-0.022865146,-0.016548663,0.022481263,0.02744405,53,3,190,2,4,-7188.7305,126.08967,-1890.736,5.295496,184849.42,472.14255,114.076385,114.19011,135.10826,135.10826,23.185371,1,-83.939445,0,0,0.848023,0.848023,0,8,255,0,0,0,1,0,53,0
True,2397453,7999.995,1269.8213,3547.2437,0.79713506,-0.17286187,9.653803,0.0070831776,-0.10771406,6.431344,0.004110923,0.0012664129,0.008438392,0.107022196,-0.06694048,-0.052998506,0.29199028,0.35419834,0.6800313,0.71689075,0.123027705,-0.017280383,0.6135642,0.5419275,20.811594,21.44442,21.231478,21.082972,0,0,0,0,0,0,0,0,0,0,0,0,-0.019923434,-0.018614877,-0.027755963,-3.3817214E-05,0.124630496,0.025399316,0.61419165,0.5419275,-0.024545133,-0.017204583,0.022689521,0.026872382,53,3,190,2,4,-7188.6616,126.12247,-1890.0935,6.43225,176198.77,473.7557,114.164474,114.31309,134.44048,134.44048,23.194515,1,-83.33174,0,0,0.95805675,0.95805675,0,8,255,0,0,0,1,0,53,0
True,2397578,7999.995,1269.8213,3123.4282,0.12836117,-0.20170629,9.698591,0.0069423914,-0.12623131,7.479944,0.012348907,0.0020063776,0.012434613,0.10711978,-0.06636412,-0.051908657,0.2831718,0.34634492,0.68610847,0.7122931,0.32082635,-0.040589035,1.0839883,1.0024835,23.32267,24.757847,25.424004,25.232973,0,0,0,0,0,0,0,0,0,0,0,0,-0.019434717,-0.018236881,-0.028465245,-0.00082001375,0.32141447,0.04449779,1.084362,1.0024838,-0.025585711,-0.018131286,0.023379162,0.026350632,53,3,190,2,4,-7188.5835,126.158844,-1889.3679,7.481013,128154.99,391.02094,114.228546,114.40875,133.8544,133.8544,23.196178,1,-82.6454,0,0,1.0626714,1.0626714,0,8,255,0,0,0,1,0,53,0
True,2397687,7999.995,1269.8213,3317.9282,-0.32439104,-0.23806623,7.76783,0.0070605874,-0.1322684,8.322033,0.034036763,0.0017651459,0.007646422,0.10711553,-0.0637866,-0.050858676,0.29050016,0.342212,0.6771509,0.69192135,0.4149064,-0.023391623,0.34622875,0.3330857,25.606928,26.825272,26.612951,26.616638,0,0,0,0,0,0,0,0,0,0,0,0,-0.0132582905,-0.012274952,-0.024376582,-0.00032010287,0.41511822,0.026416708,0.3470858,0.33308583,-0.024720967,-0.018618971,0.02236265,0.024038821,53,3,190,2,4,-7188.492,126.200516,-1888.518,8.323088,164609.11,474.8262,114.28188,114.4774,133.29234,133.29234,23.196514,1,-81.84147,0,0,1.170537,1.1705369,0,8,255,0,0,0,1,0,53,0
True,2397781,7999.995,1269.8213,3626.1013,-0.014079273,-0.15872121,7.5402822,0.0076196194,-0.12133205,9.089665,0.02677903,-0.0005947469,0.010155508,0.107012905,-0.06052003,-0.049979486,0.31441247,0.35934174,0.6363967,0.6658494,-0.021874147,0.4141781,0.34314844,0.3386198,29.26261,27.977694,29.133163,29.06697,0,0,0,0,0,0,0,0,0,0,0,0,-0.01619292,-0.015224735,-0.017815448,-0.0017452277,0.027215602,0.41445783,0.34361058,0.3386243,-0.021899313,-0.016597658,0.017737806,0.021080136,53,3,190,2,4,-7188.396,126.24315,-1887.624,9.090478,179355.53,473.3718,114.333435,114.53577,132.6879,132.6879,23.196556,1,-80.996,0,0,1.2737926,1.2737925,0,8,255,0,0,0,1,0,53,0
True,2397890,7999.995,1269.8213,3967.2795,-0.074560165,-0.09316465,7.26705,0.006013751,-0.10907906,9.946152,0.015270344,0.0018288854,0.012992903,0.10697412,-0.058092013,-0.048513584,0.3342967,0.37001276,0.6058416,0.63532054,0.26350772,-0.018146528,0.36205804,0.34876844,30.866255,31.755907,31.855017,31.822798,0,0,0,0,0,0,0,0,0,0,0,0,-0.013910663,-0.013077012,-0.015877604,-0.005963689,0.26387465,0.022367492,0.36240602,0.34881943,-0.019552976,-0.0153384805,0.014270365,0.017615676,53,3,190,2,4,-7188.276,126.29617,-1886.507,9.946752,194733.6,469.5943,114.38147,114.59022,132.05948,132.05948,23.196556,1,-79.93953,0,0,1.3918065,1.3918064,0,8,255,0,0,0,1,0,53,0
True,2398015,7999.995,1269.8213,4255.6196,-0.1798231,-0.11186811,6.975028,0.006397009,-0.110075235,10.672263,0.006999103,0.0022580754,0.011629964,0.10709079,-0.05699343,-0.047235735,0.34113455,0.37051862,0.5925796,0.6098016,0.19766617,0.05981073,0.34764847,0.3400804,33.310734,33.72207,34.196507,34.16968,0,0,0,0,0,0,0,0,0,0,0,0,-0.0136714885,-0.012896761,-0.012417387,-0.0053924355,0.19813839,0.061185375,0.34787017,0.34012315,-0.018746108,-0.015278786,0.012765378,0.014719754,53,3,190,2,4,-7188.1626,126.345856,-1885.4546,10.672832,206838.28,464.9147,114.405304,114.61534,131.5609,131.5609,23.196556,1,-78.94423,0,0,1.4944887,1.4944886,0,8,255,0,0,0,1,0,53,0
True,2398125,7999.995,1269.8213,4548.023,-0.4092755,-0.13368851,7.756938,0.006739974,-0.11635667,11.412018,0.0012073598,0.0023208647,0.012883809,0.10729469,-0.056571238,-0.046019044,0.34322172,0.38782266,0.5901278,0.5992485,0.14345703,0.12872566,0.32968482,0.3301861,35.81582,35.759743,36.549957,36.540695,0,0,0,0,0,0,0,0,0,0,0,0,-0.014341051,-0.01343404,-0.011589379,-0.005240212,0.14417206,0.12942477,0.32988846,0.3302277,-0.018499821,-0.01323691,0.012487143,0.013522178,53,3,190,2,4,-7188.0376,126.40017,-1884.2927,11.412613,218208.11,458.84143,114.42854,114.63651,131.08821,131.08821,23.196556,1,-77.845406,0,0,1.6003243,1.600324,0,8,255,0,0,0,1,0,53,0
True,2398234,7999.995,1269.8213,4840.04,-0.46258157,-0.084620446,6.723907,0.0054979324,-0.12387949,12.150374,-0.0031784861,0.0027301018,0.014289859,0.10757617,-0.056675743,-0.04451294,0.34885612,0.40114608,0.59327084,0.5944534,0.1401546,0.12610623,0.3180143,0.32589948,38.13065,38.067726,38.879047,38.89296,0,0,0,0,0,0,0,0,0,0,0,0,-0.013594894,-0.012654574,-0.010499513,-0.004093984,0.14081241,0.12673958,0.31818756,0.3259252,-0.017834961,-0.011664748,0.0128438175,0.012978017,53,3,190,2,4,-7187.902,126.458885,-1883.0355,12.151007,228588.03,451.61658,114.45244,114.6575,130.64734,130.64734,23.196556,1,-76.65637,0,0,1.7076812,1.707681,0,8,255,0,0,0,1,0,53,0
True,2398343,7999.995,1269.8213,5112.869,-0.0029271245,0.0027187765,6.722791,0.00726521,-0.13069147,12.842183,-0.007869461,0.0025866968,0.010788577,0.10787746,-0.057251856,-0.043267235,0.37033856,0.40943214,0.59524333,0.6082382,0.13282476,0.12517302,0.31448767,0.31215793,40.282303,40.240597,41.084213,41.059166,0,0,0,0,0,0,0,0,0,0,0,0,-0.0124416435,-0.011513055,-0.010219873,-0.0028462028,0.13340619,0.12570137,0.31465366,0.3121709,-0.0153000355,-0.010686994,0.013067663,0.014542341,53,3,190,2,4,-7187.764,126.51867,-1881.7642,12.842851,237508.08,444.22983,114.47486,114.67755,130.26218,130.26218,23.196556,1,-75.45389,0,0,1.8100406,1.8100405,0,8,255,0,0,0,1,0,53,0
True,2398453,7999.995,1269.8213,5435.763,0.002461493,0.052867442,6.6174617,0.0108703375,-0.13725537,13.663155,-0.009459297,0.0019698432,0.0056357766,0.10820739,-0.058378875,-0.042197146,0.39599305,0.4109907,0.600985,0.6319348,0.12566777,0.12706898,0.3120076,0.2957157,42.82658,42.82236,43.69301,43.62053,0,0,0,0,0,0,0,0,0,0,0,0,-0.011682013,-0.010717042,-0.011293712,-0.0017051994,0.12620957,0.12752011,0.31221193,0.2957206,-0.012272805,-0.0105030835,0.013719231,0.017231464,53,3,190,2,4,-7187.5864,126.597176,-1880.1295,13.663849,246814.06,434.09576,114.5009,114.70236,129.83926,129.83926,23.196556,1,-73.907646,0,0,1.9341538,1.9341538,0,8,255,0,0,0,1,0,53,0
True,2398562,7999.995,1269.8213,5706.5415,0.63883084,0.030374944,6.45453,0.05705893,-0.14411712,14.354674,-0.0034079936,0.02368887,0.009652559,0.10905111,-0.059082437,-0.041557286,0.40816605,0.40617737,0.6203389,0.6385494,0.11816161,0.13559178,0.29330093,0.30106747,45.004726,44.95843,45.86074,45.78182,0,0,0,0,0,0,0,0,0,0,0,0,0.045305006,0.04774141,-0.021267388,-0.010173332,0.12654924,0.14375107,0.29407096,0.3012393,-0.010836393,-0.011071056,0.015915543,0.017982095,53,3,190,2,4,-7187.4224,126.670204,-1878.64,14.355512,253885.4,425.328,114.52479,114.72618,129.51,129.51,23.196556,1,-72.49841,0,0,2.0411708,2.0411708,0,8,255,0,0,0,1,8,53,0
True,2398687,7999.995,1269.8213,5965.9136,0.15512407,-0.025732964,6.3352056,0.023786426,-0.14676934,15.017816,0.0038117429,0.012095427,-0.0069371583,0.111248225,-0.058917567,-0.04216634,0.41164887,0.4011357,0.62941,0.63829285,0.12518694,0.12028573,0.29703283,0.2906304,47.065033,46.983765,47.9465,47.862797,0,0,0,0,0,0,0,0,0,0,0,0,-0.021489669,-0.020273414,-0.0058367327,0.0060563553,0.127018,0.12198224,0.29709017,0.2906935,-0.010425419,-0.01166597,0.016944945,0.017952979,53,3,190,2,4,-7187.249,126.74576,-1877.11,15.018553,260054.86,416.702,114.548645,114.75023,129.21503,129.21503,23.196556,1,-71.05035,0,0,2.1460662,2.146066,0,8,255,0,0,0,1,0,53,0
True,2398796,7999.995,1269.8213,6255.2354,-0.1464858,-0.0623731,6.091432,0.018745065,-0.14636463,15.761892,0.0034614466,0.0045558577,-0.0016451904,0.112101264,-0.05836535,-0.04281707,0.39411095,0.40603417,0.6300445,0.63101935,0.12033653,0.11053009,0.2848482,0.28330207,49.351097,49.28345,50.23655,50.208477,0,0,0,0,0,0,0,0,0,0,0,0,-0.014041721,-0.012922682,-0.011749929,-0.00053814676,0.12115301,0.11128296,0.28509045,0.28330258,-0.012494892,-0.011087954,0.017016947,0.017127573,53,3,190,2,4,-7187.0386,126.837685,-1875.2496,15.762583,260472.06,397.99307,114.5738,114.774124,128.90776,128.90776,23.196556,1,-69.28966,0,0,2.267778,2.267778,0,8,255,0,0,0,1,0,53,0
True,2398921,7999.995,1269.8213,6523.7627,0.16765654,-0.025811434,5.8151765,0.014770627,-0.14712715,16.459442,0.0014638263,0.0037785778,0.003895482,0.112574086,-0.05811548,-0.042612683,0.36865827,0.39348662,0.6230557,0.6197186,0.11446753,0.10415645,0.26736555,0.26996657,51.50512,51.43748,52.36675,52.3586,0,0,0,0,0,0,0,0,0,0,0,0,-0.012421624,-0.011549749,-0.011091543,-0.0017274644,0.11513954,0.10479486,0.2675955,0.26997212,-0.01549831,-0.012568563,0.016223848,0.01584515,53,3,190,2,4,-7186.8203,126.93277,-1873.3263,16.460106,258759.77,379.07175,114.59677,114.79549,128.63368,128.63368,23.196556,1,-67.46892,0,0,2.3879893,2.387989,0,8,255,0,0,0,1,0,53,0
True,2399015,7999.995,1269.8213,6669.7744,0.09536773,-0.027723819,5.6451397,0.012942076,-0.14672351,16.840742,0.0026556808,0.0033213785,0.009288148,0.11281232,-0.057973158,-0.042179927,0.36351457,0.38724026,0.5984967,0.61713916,0.10943014,0.102653995,0.26354596,0.2572286,52.66864,52.61986,53.549435,53.501858,0,0,0,0,0,0,0,0,0,0,0,0,-0.012565665,-0.011827167,-0.010762778,-0.0029353,0.11014923,0.10333307,0.26376563,0.25724536,-0.016105264,-0.013305634,0.013436854,0.015552431,53,3,190,2,4,-7186.6914,126.98892,-1872.193,16.841387,257288.81,368.6501,114.608986,114.80698,128.48923,128.48923,23.196556,1,-66.39625,0,0,2.4565449,2.4565446,0,8,255,0,0,0,1,0,53,0
True,2399140,7999.995,1269.8213,6653.756,0.8870337,-0.07637402,2.8041427,0.099853754,-0.12876892,17.252106,0.04269688,0.043739002,0.050444186,0.114038594,-0.05636434,-0.039854363,0.36886787,0.4113943,0.5667167,0.5698258,-0.009049813,-0.0076152715,-0.02149476,-0.022993226,53.299107,53.08257,53.22172,52.995594,0,0,0,0,0,0,0,0,0,0,0,0,0.18343623,0.19470605,-0.033242512,-0.030604498,0.18365934,0.19485492,0.03958648,0.03827955,-0.015473574,-0.010455459,0.009830415,0.010183245,53,3,190,2,4,-7186.4478,127.093994,-1870.0703,17.252874,-44519.742,-63.8704,114.62912,114.8257,128.21968,128.21968,4.2204523,1,-64.386894,0,0,2.5813756,2.581375,0,8,255,0,0,0,1,47,52,0
True,2399250,7999.995,1269.8213,6475.262,0.9037858,-0.1678356,-0.76542914,0.11561489,-0.03083831,17.097227,0.05060015,0.1434606,-0.033898257,0.13058501,-0.048828967,-0.034976684,0.48671636,0.46246132,0.52097875,0.48087507,0.0026090688,-0.0011710017,0.0026622957,0.00021755496,53.113773,52.395615,53.109165,52.407757,0,0,0,0,0,0,0,0,0,0,0,0,-0.14270586,-0.13976894,0.07071804,0.07046636,0.14272971,0.13977385,0.07076814,0.0704667,-0.0015674531,-0.004429549,0.004640013,8.8989735E-05,53,3,190,2,4,-7186.168,127.19375,-1867.9896,17.097645,-43349.348,-63.8704,114.73799,114.91835,127.89635,127.89635,-8.68417,1,-62.413334,0,0,2.7038329,2.703832,0,8,255,0,0,0,1,0,51,0
True,2399359,7999.995,1269.8213,6252.7803,0.7405616,-0.060568813,-0.5409513,-0.006486416,0.027713954,17.02839,0.023763102,0.04241778,0.0050709434,0.13893384,-0.04481284,-0.03638501,0.521648,0.51562613,0.49044645,0.48654684,0.0012752669,0.0001585476,0.0013269159,0.0006100814,52.69713,52.484756,52.69563,52.48869,0,0,0,0,0,0,0,0,0,0,0,0,-0.023463935,-0.023572844,0.040187236,0.040272422,0.023498565,0.023573378,0.040209137,0.04027704,0.0025544763,0.0018438995,0.0011751652,0.0007326305,53,3,190,2,4,-7185.928,127.27533,-1866.2566,17.028414,-41857.605,-63.8704,114.74843,114.93222,127.65039,127.65039,-10.538109,1,-60.76893,0,0,2.806482,2.806481,0,8,255,0,0,0,1,0,50,0
True,2399468,7999.995,1269.8213,5977.537,0.2567769,-0.067129724,-0.4658666,0.00015211105,0.045912564,16.983734,0.0033897539,0.011823292,0.007141254,0.14129092,-0.0432974,-0.03580814,0.5038118,0.5247469,0.49985975,0.4886021,0.021484982,0.02063956,0.063635245,0.06918863,52.649773,52.58796,52.900314,52.872673,0,0,0,0,0,0,0,0,0,0,0,0,-0.009194319,-0.009458873,0.008597861,0.008284715,0.023369638,0.022703782,0.064213455,0.06968288,0.00044980645,0.0029201508,0.0022433996,0.00096586347,53,3,190,2,4,-7185.6865,127.35545,-1864.5419,16.983795,-21139.95,-33.696785,114.729866,114.91356,127.41136,127.41136,-7.6324944,1,-59.14149,0,0,2.9084785,2.9084773,0,8,255,0,0,0,2,0,49,0
True,2399562,7999.995,1269.8213,5225.8833,0.27992442,-0.047297202,2.1733315,0.0076749325,0.02268362,17.218336,-0.031633157,0.004655822,0.003942088,0.14195915,-0.044454083,-0.035392843,0.47882256,0.49509132,0.5103973,0.50464386,0.08742147,0.08299175,0.24125192,0.24614307,53.805496,53.760227,54.705994,54.705086,0,0,0,0,0,0,0,0,0,0,0,0,-0.007974547,-0.008191373,-0.0009839935,-0.001507241,0.08778443,0.08339502,0.24125393,0.24614769,-0.0024989247,-0.00057920814,0.0034392178,0.0027863085,53,3,190,2,4,-7185.4814,127.42188,-1863.1094,17.218351,40733.613,74.01832,114.724365,114.908356,127.262405,127.262405,-1.145091,1,-57.7816,0,0,2.9933057,2.9933045,0,8,255,0,0,0,2,0,48,0
