IsRaceOn,TimestampMS,EngineMaxRpm,EngineIdleRpm,CurrentEngineRpm,AccelerationX,AccelerationY,AccelerationZ,VelocityX,VelocityY,VelocityZ,AngularVelocityX,AngularVelocityY,AngularVelocityZ,Yaw,Pitch,Roll,NormalizedSuspensionTravelFrontLeft,NormalizedSuspensionTravelFrontRight,NormalizedSuspensionTravelRearLeft,NormalizedSuspensionTravelRearRight,TireSlipRatioFrontLeft,TireSlipRatioFrontRight,TireSlipRatioRearLeft,TireSlipRatioRearRight,WheelRotationSpeedFrontLeft,WheelRotationSpeedFrontRight,WheelRotationSpeedRearLeft,WheelRotationSpeedRearRight,WheelOnRumbleStripFrontLeft,WheelOnRumbleStripFrontRight,WheelOnRumbleStripRearLeft,WheelOnRumbleStripRearRight,WheelInPuddleDepthFrontLeft,WheelInPuddleDepthFrontRight,WheelInPuddleDepthRearLeft,WheelInPuddleDepthRearRight,SurfaceRumbleFrontLeft,SurfaceRumbleFrontRight,SurfaceRumbleRearLeft,SurfaceRumbleRearRight,TireSlipAngleFrontLeft,TireSlipAngleFrontRight,TireSlipAngleRearLeft,TireSlipAngleRearRight,TireCombinedSlipFrontLeft,TireCombinedSlipFrontRight,TireCombinedSlipRearLeft,TireCombinedSlipRearRight,SuspensionTravelMetersFrontLeft,SuspensionTravelMetersFrontRight,SuspensionTravelMetersRearLeft,SuspensionTravelMetersRearRight,CarOrdinal,CarClass,CarPerformanceIndex,DrivetrainType,NumCylinders,PositionX,PositionY,PositionZ,Speed,Power,Torque,TireTempFl,TireTempFr,TireTempRl,TireTempRr,Boost,Fuel,Distance,BestLapTime,LastLapTime,CurrentLapTime,CurrentRaceTime,Lap,RacePosition,Accelerator,Brake,Clutch,Handbrake,Gear,Steer,NormalDrivingLine,NormalAiBrakeDifference
True,1879359,7999.995,1269.8213,5220.1416,-0.30815712,0.6709977,-1.47704,0.00053840876,0.108175986,33.033997,-0.017326996,0.0003943218,0.011467249,-1.5910003,0.0089418655,-0.00019088753,0.59025544,0.6011308,0.52869344,0.53190553,-0.0044522546,-0.004570725,-0.014576344,-0.014546537,102.080345,102.07736,101.97054,101.96905,0,0,0,0,0,0,0,0,0,0,0,0,-0.001872691,-0.002307565,-0.0011378591,-0.0028139367,0.0048300666,0.0051201936,0.014620688,0.014816206,0.010650158,0.011933446,0.005515486,0.005879998,53,3,190,2,4,-5062.623,128.67787,-2598.6912,33.034172,-29167.621,-53.35224,186.34557,186.08235,187.99219,187.99219,-11.013586,1,672.999,0,0,0.7153718,133.59796,0,11,0,0,0,0,3,0,30,0
True,1894625,7999.995,1269.8213,1715.566,-1.3191858E-07,4.8818094E-10,2.316748E-07,0.0023118672,-0.0003232665,-6.2886276E-05,-9.774917E-05,-4.0389627E-05,-0.003931895,-1.0531725,0.0021581808,-0.0001550102,0.50025016,0.5014776,0.478735,0.4799756,1.5963986E-05,1.8191577E-05,2.4792738E-05,2.697462E-05,-7.396742E-05,9.1266826E-05,-5.386484E-05,0.00010993749,0,0,0,0,0,0,0,0,0,0,0,0,0.0011141058,0.0011150264,0.0007466069,0.00074744003,0.0011142202,0.0011151748,0.00074701844,0.00074792665,2.9534101E-05,0.00017437339,-0.00015386939,-1.30832195E-05,53,3,190,2,4,-906.0598,320.3751,-3661.7603,0.0023352057,40732.73,229.30434,96.71877,96.719055,96.71956,96.71956,-11.0250025,1,-63.47588,0,0,0.09779856,0.09779856,0,8,255,0,0,0,1,0,53,0
True,1894734,7999.995,1269.8213,3073.5715,0.19519022,-0.020602113,0.07467972,0.0053293705,-0.00095524866,-2.272008E-05,-3.8596336E-05,1.0654844E-05,-0.008816135,-1.0531725,0.0021497733,-0.0008797447,0.49742752,0.50522107,0.47605813,0.4840404,1.8653406E-06,2.1300411E-07,2.399088E-06,3.957441E-07,6.382004E-05,-8.338395E-05,6.1623556E-05,-8.513217E-05,0,0,0,0,0,0,0,0,0,0,0,0,0.0004765995,0.0004916025,0.00040901513,0.00042406525,0.00047660316,0.0004916026,0.00040902218,0.00042406542,-0.00030353665,0.0006161034,-0.00045764446,0.00044819713,53,3,190,2,4,-906.0596,320.375,-3661.7598,0.005414352,150860.69,474.94983,96.67613,96.67642,96.67673,96.67673,-8.68976,1,-63.475853,0,0,0.205059,0.205059,0,8,255,0,0,0,1,0,53,0
True,1894859,7999.995,1269.8213,4910.9243,-0.2727722,0.013495444,0.94679505,0.0035542548,-0.00048494426,0.100131795,-0.016271265,-9.039746E-05,-0.0060159517,-1.0531731,0.0018800736,-0.001902344,0.49183783,0.5099978,0.47368327,0.4925298,0.06746246,0.06222859,0.23802468,0.21983266,0.42925823,0.42207146,0.6646008,0.6323554,0,0,0,0,0,0,0,0,0,0,0,0,-0.00069740246,-0.0006536049,-0.000790112,-0.0007393216,0.067466065,0.06223202,0.238026,0.21983391,-0.00096312165,0.0011797547,-0.00072714686,0.001411587,53,3,190,2,4,-906.06067,320.3749,-3661.7585,0.10019602,243193.84,474.94983,96.62901,96.62924,96.635544,96.635544,3.8505697,1,-63.474613,0,0,0.33060226,0.3306023,0,8,255,0,0,0,1,0,53,0
True,1894968,7999.995,1269.8213,4522.15,-0.024969578,-0.015698744,9.5839405,0.0011748672,-0.008199577,1.2857945,-0.08902353,-0.000972012,-0.0017503947,-1.053258,-0.0056075654,-0.002242448,0.44487366,0.46779618,0.56753945,0.5909209,0.45269477,0.6511198,1.7300537,1.5266721,4.548661,4.4019256,7.6833334,7.256553,0,0,0,0,0,0,0,0,0,0,0,0,0.00021916303,0.0010907457,-0.005831944,-0.0021421895,0.45269483,0.6511207,1.7300636,1.5266737,-0.0065048933,-0.0038000345,0.009923786,0.012577146,53,3,190,2,4,-906.1258,320.37442,-3661.7212,1.285821,197561.6,415.74158,96.70801,96.71513,97.896484,97.896484,17.659592,1,-63.414967,0,0,0.44936204,0.44936204,0,7,255,0,0,0,1,0,53,0
True,1895078,7999.995,1269.8213,4119.9414,-0.021030903,-0.09164982,10.8072605,0.00022983551,-0.031487383,2.4290257,-0.060235597,-0.0038019612,0.0040879827,-1.0534883,-0.013668905,-0.0020781446,0.3923554,0.42829522,0.6894008,0.7360293,0.2898665,0.48972377,4.9679503,4.6640987,8.327087,7.9435673,17.772348,17.276867,0,0,0,0,0,0,0,0,0,0,0,0,0.0009282285,0.0027836035,-0.03790505,-0.009133721,0.289868,0.4897317,4.968095,4.664108,-0.012702048,-0.008461148,0.023752779,0.029044256,53,3,190,2,4,-906.2926,320.37415,-3661.6262,2.4292297,197980.95,458.32852,96.80261,96.818405,104.51617,104.51617,22.035011,1,-63.262436,0,0,0.55146337,0.55146337,0,7,255,0,0,0,1,0,53,0
True,1895187,7999.995,1269.8213,4013.019,-0.045966625,-0.02938908,10.790756,-0.0015957355,-0.038110353,3.5719452,-0.011413103,-0.004775256,0.004648555,-1.0539435,-0.017123068,-0.0015549423,0.34880993,0.38098758,0.73406667,0.7785754,0.09230933,0.3934732,0.71168965,0.43580624,12.07495,11.05994,11.896319,12.072005,0,0,0,0,0,0,0,0,0,0,0,0,0.006683295,0.00814892,-0.038592394,0.005161505,0.092550956,0.39355758,0.71273524,0.43583682,-0.017840415,-0.01404345,0.028821528,0.03387244,53,3,190,2,4,-906.5668,320.3756,-3661.4702,3.5721488,196366.48,467.04187,96.901825,96.92704,112.629654,112.629654,22.962658,1,-63.01176,0,0,0.656178,0.656178,0,7,255,0,0,0,1,0,53,0
True,1895296,7999.995,1269.8213,3902.0837,-0.042642117,-0.17163807,10.430332,-0.0010814667,-0.053125802,4.6410336,0.0158601,-0.0023178488,0.002482892,-1.0541177,-0.016206028,-0.001189775,0.32713327,0.3523756,0.7160181,0.75404775,0.015655411,0.8189768,0.63711685,0.5445026,15.6751585,14.584933,15.633348,15.449035,0,0,0,0,0,0,0,0,0,0,0,0,-0.0008489436,0.00025223158,-0.017606664,0.020129733,0.015678411,0.8189769,0.6373601,0.54487455,-0.02039826,-0.017419666,0.026773348,0.031089008,53,3,190,2,4,-906.9363,320.3784,-3661.2605,4.6413374,192223.33,469.96756,97.005875,97.04843,112.09345,112.09345,23.148373,1,-62.674164,0,0,0.7594058,0.7594058,0,7,255,0,0,0,1,0,53,0
True,1895421,7999.995,1269.8213,3667.8145,0.029024124,-0.30070394,10.805524,-3.1471252E-05,-0.09078371,6.150193,0.0067159967,-0.0005967881,0.00061053736,-1.0543414,-0.014628837,-0.0009844829,0.31930208,0.3363624,0.6767939,0.7112434,0.46961045,-0.001859367,0.6814104,0.57440394,19.038021,20.445793,20.417429,20.225565,0,0,0,0,0,0,0,0,0,0,0,0,0.003087477,0.003943822,-0.017210312,0.008918271,0.46962062,0.004360158,0.6816277,0.5744732,-0.02132234,-0.019309223,0.022322133,0.026231512,53,3,190,2,4,-907.5941,320.37973,-3660.887,6.1508627,181814.89,472.81036,97.150055,97.205505,111.44294,111.44294,23.190914,1,-62.073025,0,0,0.899283,0.89928293,0,7,255,0,0,0,1,0,53,0
True,1895515,7999.995,1269.8213,3533.8245,-0.13172436,-0.25562897,10.73871,0.000490427,-0.108607575,7.021969,0.0032677515,-0.0025277731,-0.00015421025,-1.0544788,-0.0142486,-0.00096892344,0.3188841,0.33128765,0.669025,0.7013689,0.05000234,0.6017757,0.63588077,0.5602525,22.992485,21.844357,23.22487,23.05318,0,0,0,0,0,0,0,0,0,0,0,0,0.0001157803,0.0009322068,-0.012409769,0.011696864,0.050002474,0.6017764,0.6360018,0.5603746,-0.021371663,-0.01990804,0.021440506,0.025110945,53,3,190,2,4,-908.05804,320.37933,-3660.6235,7.0228086,175556.27,473.81772,97.22946,97.289185,111.104996,111.104996,23.194946,1,-61.649075,0,0,0.9801039,0.9801039,0,7,255,0,0,0,1,0,53,0
