IsRaceOn,TimestampMS,EngineMaxRpm,EngineIdleRpm,CurrentEngineRpm,AccelerationX,AccelerationY,AccelerationZ,VelocityX,VelocityY,VelocityZ,AngularVelocityX,AngularVelocityY,AngularVelocityZ,Yaw,Pitch,Roll,NormalizedSuspensionTravelFrontLeft,NormalizedSuspensionTravelFrontRight,NormalizedSuspensionTravelRearLeft,NormalizedSuspensionTravelRearRight,TireSlipRatioFrontLeft,TireSlipRatioFrontRight,TireSlipRatioRearLeft,TireSlipRatioRearRight,WheelRotationSpeedFrontLeft,WheelRotationSpeedFrontRight,WheelRotationSpeedRearLeft,WheelRotationSpeedRearRight,WheelOnRumbleStripFrontLeft,WheelOnRumbleStripFrontRight,WheelOnRumbleStripRearLeft,WheelOnRumbleStripRearRight,WheelInPuddleDepthFrontLeft,WheelInPuddleDepthFrontRight,WheelInPuddleDepthRearLeft,WheelInPuddleDepthRearRight,SurfaceRumbleFrontLeft,SurfaceRumbleFrontRight,SurfaceRumbleRearLeft,SurfaceRumbleRearRight,TireSlipAngleFrontLeft,TireSlipAngleFrontRight,TireSlipAngleRearLeft,TireSlipAngleRearRight,TireCombinedSlipFrontLeft,TireCombinedSlipFrontRight,TireCombinedSlipRearLeft,TireCombinedSlipRearRight,SuspensionTravelMetersFrontLeft,SuspensionTravelMetersFrontRight,SuspensionTravelMetersRearLeft,SuspensionTravelMetersRearRight,CarOrdinal,CarClass,CarPerformanceIndex,DrivetrainType,NumCylinders,PositionX,PositionY,PositionZ,Speed,Power,Torque,TireTempFl,TireTempFr,TireTempRl,TireTempRr,Boost,Fuel,Distance,BestLapTime,LastLapTime,CurrentLapTime,CurrentRaceTime,Lap,RacePosition,Accelerator,Brake,Clutch,Handbrake,Gear,Steer,NormalDrivingLine,NormalAiBrakeDifference
True,39188984,9499.995,1203.1134,1203.128,-0.0023323335,-0.00024174094,0.12507007,-0.0074899066,-5.889017E-05,0.0018279802,-0.00078767474,1.11435975E-05,-0.00021661559,-0.23939411,-0.001922125,0.00020875316,0.4977211,0.46989188,0.48245376,0.47934857,0.00068823213,0.00022698275,-0.04244021,-0.007864246,0.0052116327,0.0052116327,0.0051931255,0.0051931255,0,0,0,0,0,0,0,0,0,0,0,0,0.037887678,0.031568926,0.009586558,0.009849412,0.03789393,0.03156974,0.043509465,0.01260386,0.0009150654,-0.0006964132,1.3716519E-05,-0.00016619638,85,4,132,2,10,240.65681,463.39722,-1325.3125,0.007709972,-0.056312375,-0.00044695454,142.05392,139.58543,139.45789,139.45789,-11.024998,1,0,0,0,0,223.44728,0,0,0,0,0,255,1,-127,0,0
True,39206203,9499.995,1203.1134,1877.5707,0.0732477,0.004410382,-0.05442893,0.0018081001,-0.00048618135,-0.009448631,8.800265E-05,9.205513E-06,-0.004074756,2.0856643,-0.0133623015,-0.00021723376,0.48064366,0.48365828,0.48128134,0.484128,0.00021044939,0.00028282602,0.00034737348,0.00032839735,-0.027096735,-0.026996981,-0.026982857,-0.02698939,0,0,0,0,0,0,0,0,0,0,0,0,-0.0041361093,0.0046243793,-2.1624859E-05,0.00023015507,0.0041414597,0.00463302,0.00034804593,0.00040101891,-7.382035E-05,0.000100743026,-5.421415E-05,0.00011071935,85,4,132,2,10,159.89914,161.8799,-1275.0598,0.009632352,72562.21,374.9704,105.55344,105.36702,106.74044,106.74044,-7.7775435,1,-51.66482,0,0,0.107662454,0.107662454,0,8,255,0,0,0,1,0,58,0
True,39206312,9499.995,1203.1134,3913.2844,0.014705446,-0.00021877889,-0.09238687,0.0030507073,-0.00060776604,-0.01964525,1.6267644E-05,2.3323406E-05,-0.007026906,2.0856674,-0.013355435,-0.0009208046,0.4755144,0.49150553,0.47671467,0.49085346,0.00030413546,0.00026951454,0.00036073753,0.00031425196,-0.055933274,-0.056028448,-0.055806536,-0.055838745,0,0,0,0,0,0,0,0,0,0,0,0,-0.00445506,0.0038516046,-0.00027008043,-2.903949E-05,0.0044654296,0.0038610226,0.00045063844,0.00031559085,-0.00037083402,0.0005551465,-0.0003188029,0.00050038844,85,4,132,2,10,159.8975,161.87979,-1275.0592,0.019889995,288208.6,712.5903,105.48906,105.302986,106.67285,106.67285,0.028731346,1,-51.665955,0,0,0.22433768,0.22433768,0,8,255,0,0,0,1,0,58,0
True,39206421,9499.995,1203.1134,5918.2,0.028386578,0.0096205035,-0.0014251182,0.00095047476,0.0003888522,-0.015179184,-0.0018128165,-0.0006162734,-0.0048977593,2.085658,-0.013363963,-0.0014715139,0.47627974,0.48673958,0.47234908,0.49634662,0.033543892,0.030676717,0.0678578,0.06005221,0.040432826,0.036586203,0.1261562,0.109230176,0,0,0,0,0,0,0,0,0,0,0,0,-0.007761661,-0.00020581746,0.00029285016,0.0005414689,0.034430165,0.030677408,0.067858435,0.06005465,-0.00032651797,0.00027916953,-0.00057174265,0.0008186586,85,4,132,2,10,159.89543,161.87975,-1275.0583,0.015213884,437738.47,712.59033,105.4357,105.248985,106.61655,106.61655,5.3735056,1,-51.667385,0,0,0.32180208,0.32180208,0,8,255,0,0,0,1,127,58,0
True,39206531,9499.995,1203.1134,6803.5083,1.6861179,-0.31637365,9.606457,0.19698077,-0.02960787,1.2068264,-0.05371188,0.10255745,0.009979943,2.0902622,-0.01801071,-0.0009346932,0.40668824,0.41190296,0.54321945,0.56114906,18.753942,19.475956,18.217615,18.835022,38.7982,39.564667,39.559544,40.43979,0,0,0,0,0,0,0,0,0,0,0,0,1.465946,2.301404,-0.3826587,-0.44484162,18.81115,19.611458,18.221634,18.840275,-0.00435628,-0.0040543154,0.00353444,0.0045732707,85,4,132,2,10,159.94542,161.87976,-1275.0974,1.223155,510066.5,718.95197,108.28821,108.160965,111.10627,111.10627,8.982158,1,-51.626804,0,0,0.43617573,0.43617576,0,8,255,0,0,0,1,77,58,0
True,39206640,9499.995,1203.1134,7887.6733,0.83934593,0.60711336,13.841762,0.2911489,0.037187163,2.8327892,0.021576872,0.16909397,0.008235169,2.107868,-0.021482712,-0.0003402605,0.32264712,0.3407418,0.66680807,0.6868843,21.479856,22.174696,20.163652,16.848194,47.298832,47.632298,46.991337,43.832504,0,0,0,0,0,0,0,0,0,0,0,0,-1.1230632,-1.2327542,-0.17407653,-0.19586241,21.509195,22.208935,20.164404,16.849333,-0.009222761,-0.008174971,0.010695081,0.0118582845,85,4,132,2,10,160.12933,161.8844,-1275.2417,2.8479543,568218.5,690.2166,117.52913,117.34352,122.08669,122.08669,11.226466,1,-51.477314,0,0,0.5512687,0.55126876,0,8,255,0,0,0,1,0,57,0
True,39206750,9499.995,1203.1134,8826.438,-0.16043854,-0.41796973,12.847548,0.2052306,-0.032291904,4.0849514,-0.0121547505,0.13849792,1.2896955E-05,2.1231909,-0.020699788,-0.00042777508,0.2933669,0.33850044,0.60154355,0.6268435,21.763224,19.809528,21.29769,18.946907,52.101364,48.71886,54.96053,49.22279,0,0,0,0,0,0,0,0,0,0,0,0,-0.91882676,-0.90269905,-0.026522106,-0.03253246,21.782612,19.830086,21.297707,18.946936,-0.01091826,-0.00830476,0.006913699,0.008379564,85,4,132,2,10,160.41188,161.89107,-1275.4423,4.0902305,583097.9,632.21484,125.00305,125.014084,130.36337,130.36337,13.157826,1,-51.254402,0,0,0.6510056,0.6510057,0,8,255,0,0,0,1,0,56,0
True,39206859,9499.995,1203.1134,9105.864,-0.17243958,-0.3874881,13.044198,0.11958718,-0.063761555,5.5967646,-0.0069537526,0.11646506,0.0059213703,2.1373594,-0.02060986,0.00011116637,0.2810491,0.32283768,0.58719593,0.61297125,19.146511,18.312042,18.037645,21.29439,51.8395,50.119907,52.188114,56.260998,0,0,0,0,0,0,0,0,0,0,0,0,-0.48747596,-0.4552342,0.05865605,0.056179266,19.152716,18.3177,18.03774,21.294464,-0.0116315335,-0.0092117265,0.006082408,0.0075758137,85,4,132,2,10,160.8717,161.89767,-1275.7523,5.5984044,540723.7,568.1251,133.05817,133.15868,139.8476,139.8476,9.945296,1,-50.89684,0,0,0.7646151,0.7646153,0,8,255,0,0,0,1,0,55,0
True,39206968,9499.995,1203.1134,9197.729,-0.070365906,-0.10934497,13.70219,0.037124634,-0.07096784,7.1545606,0.0105116535,0.10159361,0.008478745,2.149857,-0.021192616,0.00035747886,0.26268935,0.29631144,0.6254049,0.65272546,15.587682,15.369438,13.229426,15.227283,54.511177,53.02733,53.159863,54.238247,0,0,0,0,0,0,0,0,0,0,0,0,-0.26486894,-0.22480406,0.12274886,0.11506359,15.589932,15.371082,13.229996,15.227717,-0.012694672,-0.010747753,0.00829621,0.009879146,85,4,132,2,10,161.47585,161.9056,-1276.1527,7.1550093,546204.94,568.2032,140.53171,140.72015,148.79141,148.79141,10.789382,1,-50.42929,0,0,0.8779092,0.87790936,0,8,255,0,0,0,1,0,54,0
True,39207078,9499.995,1203.1134,9216.029,-0.012028694,-0.027539127,13.660669,-0.03161645,-0.08469884,8.499655,-0.0046956525,0.0915371,0.0010557878,2.159447,-0.021684038,0.000854388,0.28446046,0.30657467,0.6506431,0.65654933,11.602623,11.888871,9.247628,11.210555,54.691223,54.422283,52.59367,54.376553,0,0,0,0,0,0,0,0,0,0,0,0,-0.13093875,-0.08906885,0.15475439,0.14979039,11.603362,11.889205,9.248923,11.2115555,-0.011433996,-0.01015345,0.009758495,0.010100696,85,4,132,2,10,162.12881,161.91362,-1276.5846,8.500135,545900.56,566.4266,146.78961,147.07834,155.85889,155.85889,10.872167,1,-49.92422,0,0,0.9780216,0.97802174,0,8,255,0,0,0,1,0,52,0
