IsRaceOn,TimestampMS,EngineMaxRpm,EngineIdleRpm,CurrentEngineRpm,AccelerationX,AccelerationY,AccelerationZ,VelocityX,VelocityY,VelocityZ,AngularVelocityX,AngularVelocityY,AngularVelocityZ,Yaw,Pitch,Roll,NormalizedSuspensionTravelFrontLeft,NormalizedSuspensionTravelFrontRight,NormalizedSuspensionTravelRearLeft,NormalizedSuspensionTravelRearRight,TireSlipRatioFrontLeft,TireSlipRatioFrontRight,TireSlipRatioRearLeft,TireSlipRatioRearRight,WheelRotationSpeedFrontLeft,WheelRotationSpeedFrontRight,WheelRotationSpeedRearLeft,WheelRotationSpeedRearRight,WheelOnRumbleStripFrontLeft,WheelOnRumbleStripFrontRight,WheelOnRumbleStripRearLeft,WheelOnRumbleStripRearRight,WheelInPuddleDepthFrontLeft,WheelInPuddleDepthFrontRight,WheelInPuddleDepthRearLeft,WheelInPuddleDepthRearRight,SurfaceRumbleFrontLeft,SurfaceRumbleFrontRight,SurfaceRumbleRearLeft,SurfaceRumbleRearRight,TireSlipAngleFrontLeft,TireSlipAngleFrontRight,TireSlipAngleRearLeft,TireSlipAngleRearRight,TireCombinedSlipFrontLeft,TireCombinedSlipFrontRight,TireCombinedSlipRearLeft,TireCombinedSlipRearRight,SuspensionTravelMetersFrontLeft,SuspensionTravelMetersFrontRight,SuspensionTravelMetersRearLeft,SuspensionTravelMetersRearRight,CarOrdinal,CarClass,CarPerformanceIndex,DrivetrainType,NumCylinders,PositionX,PositionY,PositionZ,Speed,Power,Torque,TireTempFl,TireTempFr,TireTempRl,TireTempRr,Boost,Fuel,Distance,BestLapTime,LastLapTime,CurrentLapTime,CurrentRaceTime,Lap,RacePosition,Accelerator,Brake,Clutch,Handbrake,Gear,Steer,NormalDrivingLine,NormalAiBrakeDifference
True,37875750,9499.995,1203.1134,2246.96,-2.1589942,0.057377283,-1.0818142,0.008053333,-0.003681365,4.6281676,-0.003157846,0.012245378,-0.0006950493,1.541934,-0.0005864305,0.0004425169,0.497125,0.51487154,0.47761938,0.4837287,-0.03131641,-0.028440367,0.0067463317,-0.046880234,13.239659,13.176786,13.040571,13.127758,0,0,0,0,0,0,0,0,0,0,0,0,-0.08385361,-0.022853825,0.018477904,0.017906172,0.08951059,0.036484953,0.019670941,0.05018354,0.00088054687,0.0019081756,-0.00026638433,8.75853E-05,85,4,132,2,10,3644.9644,181.65092,1835.651,4.628176,-7482.2373,-31.782495,166.31218,169.21683,159.33223,159.33223,-11.024997,1,0,0,0,0,117.89518,0,0,0,0,0,0,1,0,247,0
True,37880546,9499.995,1203.1134,2366.5598,4.564724,-0.003923935,0.87691456,0.48650914,-0.008190101,4.6548314,-0.014411245,0.3228944,0.023906332,1.5573151,-0.0015316819,0.0031718872,0.4990048,0.46632034,0.50590354,0.46880338,0.18677562,0.44709563,-0.025251376,0.50509185,14.434585,13.399831,14.408093,13.147501,0,0,0,0,0,0,0,0,0,0,0,0,1.040481,1.5495182,-0.08248297,-0.09869729,1.057112,1.612731,0.08626165,0.51464444,0.0009893999,-0.00090322644,0.001372382,-0.0007771775,85,4,132,2,10,3645.7915,181.65086,1835.6487,4.680194,52762.523,213.57117,165.90868,168.50629,159.12013,159.12013,-7.3844237,1,0,0,0,0,122.691185,0,0,255,0,0,0,1,127,245,0
True,37880640,9499.995,1203.1134,2863.672,2.547986,-0.051584426,7.2727637,0.5923067,-0.025899248,5.444513,-0.042809792,0.4583303,-0.030155545,1.6051353,-0.0043795,0.0036229084,0.46391323,0.38744235,0.5507397,0.504751,0.4766868,0.35644993,0.33441395,0.91026664,17.990732,15.768829,17.061111,16.245806,0,0,0,0,0,0,0,0,0,0,0,0,-0.5313365,-0.5837086,0.0746117,0.08177109,0.71382684,0.6839388,0.34263623,0.9139321,-0.0010426119,-0.0054707304,0.0039701574,0.0013056062,85,4,132,2,10,3646.3093,181.6511,1835.5754,5.476698,152493.67,510.91376,165.90526,169.11339,159.07805,159.07805,-1.2218609,1,0,0,0,0,122.79599,0,0,255,0,0,0,1,0,243,0
True,37880750,9499.995,1203.1134,3532.2637,-1.6267879,-0.07498269,11.781026,0.16715717,-0.056674547,6.7980027,-0.028147977,0.14481567,-0.012523752,1.6358277,-0.008447173,0.0010911713,0.3431767,0.35966408,0.60390425,0.6085062,1.166743,0.46809012,0.4103893,0.540139,22.131023,20.02686,20.638792,20.20099,0,0,0,0,0,0,0,0,0,0,0,0,-0.55573785,-0.48839164,0.050162748,0.04577893,1.2923366,0.6764871,0.41344368,0.5420755,-0.008033976,-0.0070792586,0.007050477,0.007317111,85,4,132,2,10,3646.954,181.65088,1835.5032,6.800293,211399.48,574.16077,166.8086,169.17235,159.08173,159.08173,2.195962,1,0,0,0,0,122.9017,0,0,255,0,0,0,1,0,241,0
True,37880875,9499.995,1203.1134,4370.6753,-0.78187954,-0.11089773,13.591956,0.011267543,-0.08157523,8.515554,-0.006017346,0.01502697,0.004122975,1.6429058,-0.010455229,0.0007451345,0.28032842,0.3184007,0.62926364,0.6490645,0.4956398,0.40897357,0.4784827,0.48088616,25.605452,25.321648,25.590815,25.525888,0,0,0,0,0,0,0,0,0,0,0,0,-0.07258064,-0.0059831985,0.010963896,0.0044825324,0.5009259,0.40901732,0.47860828,0.48090705,-0.011673264,-0.009468652,0.008519784,0.0096670315,85,4,132,2,10,3647.893,181.65158,1835.43,8.515952,285862.5,627.1886,166.80478,168.6973,159.16924,159.16924,4.265115,1,0,0,0,0,123.024414,0,0,255,0,0,0,1,0,240,0
True,37880968,9499.995,1203.1134,5240.7583,-2.9770212,-0.16203208,13.037143,-0.24677601,-0.10119882,9.857468,0.0066801435,-0.15636003,-0.009871157,1.6378834,-0.010439117,0.00012320551,0.24815476,0.32306993,0.6177911,0.6519485,1.9629636,0.77158,0.76100314,0.45938572,33.16554,30.653595,30.074898,29.9196,0,0,0,0,0,0,0,0,0,0,0,0,-1.4919517,-1.1656216,0.034390863,0.026025642,2.4655924,1.3978589,0.76177984,0.46012235,-0.013536312,-0.009198278,0.007855073,0.009834129,85,4,132,2,10,3648.8408,181.6521,1835.372,9.861074,366384.97,670.48114,167.4565,168.52687,159.28497,159.28497,5.913991,1,0,0,0,0,123.12733,0,0,255,0,0,0,1,-127,239,0
True,37881093,9499.995,1203.1134,6303.537,-3.198309,-0.18830486,14.022419,-0.34070113,-0.11808892,11.437325,-0.0042172913,-0.34849975,0.017690394,1.6052675,-0.009920358,6.976368E-05,0.25770685,0.33055034,0.5979913,0.648012,1.8034776,0.6611726,1.4031975,0.8681021,37.78069,36.1254,36.774498,36.73218,0,0,0,0,0,0,0,0,0,0,0,0,0.39862385,0.4336401,-0.10499346,-0.10471589,1.8470063,0.7906915,1.4071201,0.874395,-0.012983188,-0.008765116,0.0067078844,0.009606048,85,4,132,2,10,3650.074,181.65189,1835.3495,11.4430065,467365.62,710.4671,172.15704,169.12921,160.13481,160.13481,8.017364,1,0,0,0,0,123.243324,0,0,255,0,0,0,1,0,241,0
True,37881187,9499.995,1203.1134,7193.154,-0.85637635,-0.10052167,15.390881,-0.046875887,-0.14027469,13.062983,-0.009471713,-0.1979047,0.00025098457,1.5779969,-0.010907505,0.0012877149,0.27874878,0.29185352,0.6326842,0.6570399,1.0966061,1.474407,1.2847526,0.8959573,41.119347,43.61445,42.113136,41.58023,0,0,0,0,0,0,0,0,0,0,0,0,0.2069423,0.27071407,-0.14733881,-0.1463087,1.1159616,1.4990536,1.2931736,0.9078247,-0.011764735,-0.011005893,0.008717965,0.01012912,85,4,132,2,10,3651.33,181.65163,1835.3423,13.063818,537928.9,716.1729,172.6854,169.68224,161.77077,161.77077,9.870326,1,0,0,0,0,123.34574,0,0,255,0,0,0,1,0,244,0
True,37881296,9499.995,1203.1134,7478.305,-1.1731288,-0.19022267,14.605701,-0.0024735779,-0.15871802,14.590506,0.008432725,-0.07386004,-0.0030923565,1.564292,-0.010885413,0.0010373341,0.27022254,0.2702749,0.6370065,0.6562921,0.43128884,0.45167065,0.51010114,0.4439999,43.327938,43.77621,43.75522,43.721966,0,0,0,0,0,0,0,0,0,0,0,0,0.03825055,0.104394995,-0.056237146,-0.06155621,0.4329817,0.46357813,0.51319176,0.44824666,-0.012258455,-0.012255423,0.008968402,0.010085791,85,4,132,2,10,3652.7483,181.65205,1835.3453,14.591369,463476.03,593.1231,172.373,169.9036,162.24971,162.24971,10.971955,1,0,0,0,0,123.44796,0,0,255,0,0,0,1,0,249,0
True,37881406,9499.995,1203.1134,8189.0034,-0.605463,-0.18849081,13.941639,0.00439021,-0.16696632,16.025728,0.0064603654,-0.02094733,-0.00349225,1.5599784,-0.0099822525,0.00075758586,0.28999364,0.275269,0.6271918,0.6428571,0.3758724,0.4036999,0.47261938,0.44094738,47.485744,47.713676,47.953323,47.92334,0,0,0,0,0,0,0,0,0,0,0,0,-0.016865531,0.048942845,-0.014395046,-0.020613657,0.3762506,0.4066559,0.47283855,0.44142896,-0.0111135915,-0.011966236,0.00839974,0.009307377,85,4,132,2,10,3654.358,181.65154,1835.3599,16.026598,505597.38,590.8355,171.92796,169.514,162.2482,162.2482,12.21108,1,0,0,0,0,123.55296,0,0,255,0,0,0,1,0,0,0
