IsRaceOn,TimestampMS,EngineMaxRpm,EngineIdleRpm,CurrentEngineRpm,AccelerationX,AccelerationY,AccelerationZ,VelocityX,VelocityY,VelocityZ,AngularVelocityX,AngularVelocityY,AngularVelocityZ,Yaw,Pitch,Roll,NormalizedSuspensionTravelFrontLeft,NormalizedSuspensionTravelFrontRight,NormalizedSuspensionTravelRearLeft,NormalizedSuspensionTravelRearRight,TireSlipRatioFrontLeft,TireSlipRatioFrontRight,TireSlipRatioRearLeft,TireSlipRatioRearRight,WheelRotationSpeedFrontLeft,WheelRotationSpeedFrontRight,WheelRotationSpeedRearLeft,WheelRotationSpeedRearRight,WheelOnRumbleStripFrontLeft,WheelOnRumbleStripFrontRight,WheelOnRumbleStripRearLeft,WheelOnRumbleStripRearRight,WheelInPuddleDepthFrontLeft,WheelInPuddleDepthFrontRight,WheelInPuddleDepthRearLeft,WheelInPuddleDepthRearRight,SurfaceRumbleFrontLeft,SurfaceRumbleFrontRight,SurfaceRumbleRearLeft,SurfaceRumbleRearRight,TireSlipAngleFrontLeft,TireSlipAngleFrontRight,TireSlipAngleRearLeft,TireSlipAngleRearRight,TireCombinedSlipFrontLeft,TireCombinedSlipFrontRight,TireCombinedSlipRearLeft,TireCombinedSlipRearRight,SuspensionTravelMetersFrontLeft,SuspensionTravelMetersFrontRight,SuspensionTravelMetersRearLeft,SuspensionTravelMetersRearRight,CarOrdinal,CarClass,CarPerformanceIndex,DrivetrainType,NumCylinders,PositionX,PositionY,PositionZ,Speed,Power,Torque,TireTempFl,TireTempFr,TireTempRl,TireTempRr,Boost,Fuel,Distance,BestLapTime,LastLapTime,CurrentLapTime,CurrentRaceTime,Lap,RacePosition,Accelerator,Brake,Clutch,Handbrake,Gear,Steer,NormalDrivingLine,NormalAiBrakeDifference
True,7239968,9499.995,1203.1134,1203.1282,0.033336844,0.003028144,0.009904242,-0.008411013,7.456486E-05,0.0002273271,-0.00038124225,0.00010902613,-0.0018572405,-1.5978005,-0.0018445197,-0.00010611081,0.4949953,0.47539064,0.47980404,0.4808085,0.00015135661,0.00020968373,-0.037226953,0.02050754,0.00064811716,0.00064811716,0.0006458156,0.0006458156,0,0,0,0,0,0,0,0,0,0,0,0,0.027302809,0.018457958,-0.008191877,-0.010512918,0.02730323,0.018459149,0.038117617,0.023045188,0.00075722486,-0.00037800148,-0.00013980642,-8.1609935E-05,85,4,132,2,10,-1435.2506,484.73215,-463.18958,0.008414413,-0.056591146,-0.00044916716,114.10863,113.86772,115.307724,115.307724,-11.024998,1,0,0,0,0,240.7899,0,0,0,0,0,255,1,-127,0,0
True,7268375,9499.995,1203.1134,1871.8323,0.08752344,-0.009807498,-0.0514524,0.0017958774,-0.0004427165,-3.5296544E-05,0.00014576409,1.2226059E-05,-0.004009962,2.681112,-0.0021621198,-0.0023601477,0.48100445,0.48413008,0.4811256,0.4841413,-1.2325759E-05,-5.7027223E-06,-1.5491984E-05,-7.177353E-06,-0.0002755598,-0.00029243235,-0.00028547776,-0.00029937868,0,0,0,0,0,0,0,0,0,0,0,0,-0.0044000084,0.005017372,-0.0002036563,0.00047030003,0.0044000256,0.005017375,0.00020424467,0.0004703548,-5.2928925E-05,0.0001280643,-6.32368E-05,0.00011149049,85,4,132,2,10,-1474.1802,184.34529,-370.84048,0.001849978,71251.9,368.96277,101.634056,101.288956,102.53905,102.53905,-7.804639,1,-69.2981,0,0,0.106120065,0.10612006,0,8,255,0,0,0,1,0,64,0
True,7268468,9499.995,1203.1134,3405.2769,-0.032721113,0.0062385965,0.003709945,0.0029102236,-0.00067900086,-7.2613475E-05,3.2618875E-05,2.579482E-05,-0.007030908,2.6811152,-0.0021543964,-0.0028936982,0.4770513,0.49018213,0.47762737,0.48901984,2.2368567E-07,3.4667755E-07,6.3749508E-06,2.1034248E-06,-0.0002292771,-0.00029404272,-0.00022155726,-0.0002905751,0,0,0,0,0,0,0,0,0,0,0,0,-0.0048379023,0.004682532,-0.00032964966,0.0004491087,0.0048379023,0.004682532,0.0003297113,0.0004491136,-0.00028184056,0.00047851354,-0.0002659224,0.00039415061,85,4,132,2,10,-1474.1803,184.34525,-370.84058,0.0029892665,246579.27,697.33545,101.58555,101.24094,102.488075,102.488075,-1.7336464,1,-69.29808,0,0,0.19889963,0.19889961,0,8,255,0,0,0,1,0,64,0
True,7268593,9499.995,1203.1134,5771.3643,0.048146173,0.0027403513,0.15438165,0.0017223193,0.000347855,0.01050845,-0.0013246723,-0.000119176504,-0.004284899,2.681118,-0.0021610744,-0.0035835153,0.47031775,0.49773437,0.47233024,0.49579623,0.019706164,0.023276191,0.03998397,0.03528994,0.09774088,0.09061821,0.15737371,0.14799339,0,0,0,0,0,0,0,0,0,0,0,0,-0.005432839,0.004259385,-0.0009388057,-3.2678123E-05,0.020441346,0.023662701,0.03999499,0.035289954,-0.0006717518,0.0009158328,-0.00057283416,0.00078677014,85,4,132,2,10,-1474.1805,184.3452,-370.84076,0.010654337,426864.34,712.59033,101.525986,101.18138,102.42548,102.42548,5.0251055,1,-69.298035,0,0,0.31364715,0.31364715,0,8,255,0,0,0,1,0,64,0
True,7268687,9499.995,1203.1134,6541.4946,0.090209484,-0.13966955,8.863697,0.0015236735,-0.009735809,1.0389326,-0.067684464,-0.009001351,-0.007171152,2.6807978,-0.0057414626,-0.0039019836,0.41754928,0.44983026,0.5202762,0.53574336,12.567646,10.65863,13.801768,14.279975,28.560562,25.471119,33.171074,33.47409,0,0,0,0,0,0,0,0,0,0,0,0,0.10047873,0.1386284,-0.09033486,-0.09221914,12.568048,10.659532,13.802064,14.2802725,-0.0037273616,-0.0018581003,0.0022051223,0.003101278,85,4,132,2,10,-1474.1624,184.34528,-370.8779,1.0389793,490596,715.4164,102.798065,101.93443,104.37275,104.37275,8.406526,1,-69.266685,0,0,0.4079758,0.4079758,0,8,255,0,0,0,1,0,64,0
True,7268796,9499.995,1203.1134,7631.611,-0.072147846,-0.37686324,11.816263,0.0016607046,-0.049868513,2.5383506,-0.028770465,-0.026822787,0.0049893926,2.6790354,-0.01128817,-0.004380359,0.274331,0.32927525,0.546965,0.6063556,22.629871,18.233261,18.355701,19.721373,47.98391,40.844048,42.41467,46.88495,0,0,0,0,0,0,0,0,0,0,0,0,0.1043926,0.14492655,-0.1372784,-0.13510258,22.630114,18.233837,18.356215,19.721834,-0.012020551,-0.008838952,0.003751453,0.0071925074,85,4,132,2,10,-1474.0701,184.34479,-371.06375,2.5388408,556838.9,699.2762,111.578125,111.2189,114.97835,114.97835,10.577168,1,-69.10936,0,0,0.5214858,0.5214858,0,8,255,0,0,0,1,0,64,0
True,7268906,9499.995,1203.1134,8638.793,-0.09363556,0.22620672,12.759596,0.0062743425,-0.024645919,4.1238475,0.018940497,-0.042873394,0.007956265,2.6750755,-0.011991573,-0.0037194975,0.2671416,0.30188376,0.6290546,0.66788435,21.652225,21.334354,20.018927,18.293432,51.097996,50.771084,53.151352,47.312286,0,0,0,0,0,0,0,0,0,0,0,0,0.094868034,0.1368757,-0.1398647,-0.14119631,21.652433,21.334793,20.019415,18.293976,-0.012436859,-0.010425083,0.008507673,0.010757443,85,4,132,2,10,-1473.9004,184.34393,-371.40295,4.123926,582337.8,645.3233,120.12883,119.83179,125.25405,125.25405,12.820661,1,-68.82181,0,0,0.635573,0.6355731,0,8,255,0,0,0,1,0,64,0
True,7269015,9499.995,1203.1134,8996.703,0.006602764,-0.03605699,12.536748,0.02571392,-0.04733054,5.590262,-0.009995162,-0.049611665,0.005762794,2.6695428,-0.011448535,-0.0034554028,0.30926344,0.32571274,0.6140813,0.6530431,18.944502,19.557632,17.508455,19.031994,51.35135,52.44074,50.278,55.43092,0,0,0,0,0,0,0,0,0,0,0,0,0.04981998,0.09279335,-0.14147747,-0.14396527,18.944567,19.557852,17.509027,19.032537,-0.009997755,-0.009045243,0.007640131,0.009897549,85,4,132,2,10,-1473.6573,184.34462,-371.88602,5.590522,538133.3,572.0459,128.2294,127.925354,134.19508,134.19508,9.311828,1,-68.41253,0,0,0.7471612,0.7471612,0,8,255,0,0,0,1,0,64,0
True,7269125,9499.995,1203.1134,8965.915,-0.008015156,-0.3118538,12.965174,0.046888113,-0.07424156,6.781869,0.005054002,-0.056141414,0.008793179,2.664668,-0.011485659,-0.0027395005,0.27914226,0.28566116,0.5876565,0.6251722,15.725911,15.919881,15.71989,14.783551,51.307594,52.194035,55.08381,50.23284,0,0,0,0,0,0,0,0,0,0,0,0,0.019690467,0.0638033,-0.16293512,-0.16540977,15.725924,15.920009,15.720734,14.784476,-0.011741951,-0.011364467,0.0061090924,0.0082827285,85,4,132,2,10,-1473.4064,184.3467,-372.3814,6.782438,516998.34,551.74536,134.25597,133.9372,141.1883,141.1883,7.0880117,1,-67.991486,0,0,0.8362347,0.8362346,0,8,255,0,0,0,1,0,64,0
True,7269234,9499.995,1203.1134,8933.156,-0.10076809,0.08951769,13.765726,0.0739274,-0.06862963,8.317664,0.006353521,-0.051591482,0.0013163986,2.6588976,-0.01162796,-0.0029941439,0.28592506,0.28869474,0.6279777,0.6556674,11.731925,11.250432,9.637426,10.767871,52.904938,52.366386,51.849907,52.069443,0,0,0,0,0,0,0,0,0,0,0,0,-0.023073932,0.021354867,-0.14436072,-0.1487323,11.731948,11.250452,9.638508,10.768898,-0.011349186,-0.011188805,0.008445278,0.0100496,85,4,132,2,10,-1473.0278,184.34764,-373.12305,8.318275,526517.4,563.78015,141.34119,140.91034,149.34515,149.34515,7.9524603,1,-67.360214,0,0,0.9465973,0.9465972,0,8,255,0,0,0,1,0,64,0
