IsRaceOn,TimestampMS,EngineMaxRpm,EngineIdleRpm,CurrentEngineRpm,AccelerationX,AccelerationY,AccelerationZ,VelocityX,VelocityY,VelocityZ,AngularVelocityX,AngularVelocityY,AngularVelocityZ,Yaw,Pitch,Roll,NormalizedSuspensionTravelFrontLeft,NormalizedSuspensionTravelFrontRight,NormalizedSuspensionTravelRearLeft,NormalizedSuspensionTravelRearRight,TireSlipRatioFrontLeft,TireSlipRatioFrontRight,TireSlipRatioRearLeft,TireSlipRatioRearRight,WheelRotationSpeedFrontLeft,WheelRotationSpeedFrontRight,WheelRotationSpeedRearLeft,WheelRotationSpeedRearRight,WheelOnRumbleStripFrontLeft,WheelOnRumbleStripFrontRight,WheelOnRumbleStripRearLeft,WheelOnRumbleStripRearRight,WheelInPuddleDepthFrontLeft,WheelInPuddleDepthFrontRight,WheelInPuddleDepthRearLeft,WheelInPuddleDepthRearRight,SurfaceRumbleFrontLeft,SurfaceRumbleFrontRight,SurfaceRumbleRearLeft,SurfaceRumbleRearRight,TireSlipAngleFrontLeft,TireSlipAngleFrontRight,TireSlipAngleRearLeft,TireSlipAngleRearRight,TireCombinedSlipFrontLeft,TireCombinedSlipFrontRight,TireCombinedSlipRearLeft,TireCombinedSlipRearRight,SuspensionTravelMetersFrontLeft,SuspensionTravelMetersFrontRight,SuspensionTravelMetersRearLeft,SuspensionTravelMetersRearRight,CarOrdinal,CarClass,CarPerformanceIndex,DrivetrainType,NumCylinders,PositionX,PositionY,PositionZ,Speed,Power,Torque,TireTempFl,TireTempFr,TireTempRl,TireTempRr,Boost,Fuel,Distance,BestLapTime,LastLapTime,CurrentLapTime,CurrentRaceTime,Lap,RacePosition,Accelerator,Brake,Clutch,Handbrake,Gear,Steer,NormalDrivingLine,NormalAiBrakeDifference
True,7642578,9499.995,1203.1134,1203.128,0.005918874,0.009852242,0.03605597,-0.00053586985,-9.377349E-05,-0.0025379779,-0.0003783891,-0.0001368706,0.0011229668,-1.7788922,-0.0018922981,8.291183E-05,0.49504554,0.47331145,0.4822636,0.48122802,0.0013609228,0.0007528309,-0.040647503,0.0019250284,-0.00723586,-0.00723586,-0.0072101643,-0.0072101643,0,0,0,0,0,0,0,0,0,0,0,0,0.046756156,0.038271528,0.0113935685,0.012309434,0.04677596,0.03827893,0.042214133,0.012459049,0.0007601343,-0.00049839914,2.6971102E-06,-5.7302415E-05,85,4,132,2,10,-194.01991,547.97125,3396.8823,0.0025956272,-0.056312375,-0.00044695454,108.48072,107.205414,107.634514,107.634514,-11.024998,1,0,0,0,0,124.64596,0,0,0,0,0,255,1,-127,0,0
True,7668187,9499.995,1203.1134,1870.0679,-0.034876652,0.0038503753,-0.01896417,0.0016094575,-0.00032631078,0.00084119453,-5.035405E-05,-1.7240054E-06,-0.0036680172,2.0621352,-0.0015628873,0.036791813,0.46199495,0.5032287,0.49582645,0.46834746,-2.5821071E-05,-2.1759965E-05,-2.668815E-05,-2.9342336E-05,0.0024447395,0.0024658996,0.002401832,0.002500254,0,0,0,0,0,0,0,0,0,0,0,0,0.0049652057,0.0145879965,0.0074066753,0.006964141,0.0049652727,0.014588013,0.0074067237,0.006964203,-0.0011536926,0.0012339875,0.000788521,-0.00080359355,85,4,132,2,10,-285.27933,246.14189,3440.841,0.0018451125,70458.08,365.10706,109.58887,110.04587,111.389404,111.389404,-7.831359,1,-90.19952,0,0,0.10978133,0.10978133,0,8,255,0,0,0,1,0,63,0
True,7668281,9499.995,1203.1134,3395.5586,-0.012401395,-0.009935748,-0.0065025743,0.0027331794,-0.0006481287,0.0014850195,-7.5547956E-05,3.0845877E-05,-0.006295705,2.0621367,-0.0015697215,0.036276244,0.4580598,0.5083997,0.49256137,0.4732248,-2.5248008E-05,-2.0088744E-05,-2.698545E-05,-2.5458245E-05,0.0043924013,0.0042555667,0.004297579,0.0043305894,0,0,0,0,0,0,0,0,0,0,0,0,0.004490962,0.014128931,0.0070841787,0.006769837,0.0044910326,0.014128946,0.00708423,0.006769885,-0.0013815612,0.0015334189,0.00059934333,-0.0005210042,85,4,132,2,10,-285.27933,246.14185,3440.8408,0.0031773609,238694.78,681.8524,109.565796,110.02632,111.36571,111.36571,-1.9004135,1,-90.1994,0,0,0.20455217,0.20455216,0,8,255,0,0,0,1,0,63,0
True,7668390,9499.995,1203.1134,5715.869,-0.10518956,0.0072106295,0.13145842,0.0017940039,0.00020482104,0.010399895,-0.0012367115,-1.652445E-05,-0.0044455375,2.0621393,-0.0015819982,0.035608828,0.4515257,0.5151198,0.4876178,0.4796698,0.021460103,0.01829644,0.03903821,0.038247563,0.08587733,0.07709718,0.13044958,0.12859884,0,0,0,0,0,0,0,0,0,0,0,0,0.003968982,0.013695337,0.00672044,0.006565966,0.021824043,0.022854364,0.03961245,0.03880706,-0.001759924,0.0019225515,0.00031291693,-0.00014758483,85,4,132,2,10,-285.27924,246.14182,3440.8406,0.0105554825,422557.1,712.5902,109.53822,110.00296,111.33751,111.33751,4.867566,1,-90.19921,0,0,0.3169618,0.3169618,0,8,255,0,0,0,1,0,63,0
True,7668515,9499.995,1203.1134,6559.9546,-0.0680151,-0.030485839,10.712118,-0.015636563,-0.0014735144,1.2793658,-0.06254733,-0.009406406,-0.0038075745,2.06171,-0.0061245523,0.035022315,0.3836714,0.45558876,0.56786263,0.5655653,20.271904,14.928811,17.592285,17.510979,41.042187,32.403976,38.342373,39.788452,0,0,0,0,0,0,0,0,0,0,0,0,0.19257298,0.22657265,0.03461309,0.03153641,20.27282,14.930531,17.59232,17.511007,-0.005689092,-0.0015246496,0.0049622506,0.0048291422,85,4,132,2,10,-285.22653,246.14194,3440.813,1.279462,491819.2,718.5609,111.791275,111.652725,114.90613,114.90613,8.635001,1,-90.14051,0,0,0.42818528,0.42818525,0,8,255,0,0,0,1,0,63,0
True,7668625,9499.995,1203.1134,7691.6553,-0.21989965,-0.35541797,12.53285,-0.044067383,-0.03777954,2.7639098,-0.014412035,-0.03664912,0.0009597726,2.058887,-0.009882882,0.03539675,0.2461527,0.33542258,0.640587,0.63769025,24.68636,15.882242,18.640762,19.158806,52.063046,37.355972,46.187134,43.865917,0,0,0,0,0,0,0,0,0,0,0,0,0.30764103,0.3352388,-0.02085319,-0.024747457,24.688276,15.88578,18.640774,19.158821,-0.013652243,-0.008482985,0.009175848,0.009008016,85,4,132,2,10,-285.02356,246.14275,3440.7085,2.7645192,559285.3,696.7576,120.34584,120.63502,125.36795,125.36795,10.711644,1,-89.91524,0,0,0.538432,0.538432,0,8,255,0,0,0,1,0,63,0
True,7668734,9499.995,1203.1134,8696.128,-0.15848255,-0.24207824,12.822383,-0.061226845,-0.04823432,4.273507,0.008045568,-0.053581204,0.003676223,2.0540617,-0.009071386,0.035396487,0.2520283,0.3225124,0.6299355,0.64117706,24.701723,16.362568,21.17435,19.149267,56.819675,42.669876,53.960827,48.609978,0,0,0,0,0,0,0,0,0,0,0,0,0.2780105,0.30889925,-0.028080553,-0.0321809,24.703287,16.365484,21.17437,19.149294,-0.013312012,-0.009230562,0.008558709,0.009210039,85,4,132,2,10,-284.67197,246.14249,3440.5295,4.2742176,581865.06,640.682,128.63635,129.0437,135.36288,135.36288,12.872802,1,-89.52596,0,0,0.6495139,0.64951384,0,8,255,0,0,0,1,0,64,0
True,7668843,9499.995,1203.1134,8958.891,-0.41252804,0.16485202,13.4512615,-0.065913916,-0.042604372,5.7790613,-0.011555217,-0.053088192,0.0052603926,2.0478864,-0.009402474,0.03543484,0.30556774,0.33921647,0.6477058,0.65232205,20.588665,17.687159,17.314695,18.40256,54.294422,49.693466,49.586174,55.380527,0,0,0,0,0,0,0,0,0,0,0,0,0.2009632,0.23967677,-0.011333101,-0.016830465,20.589645,17.688782,17.3147,18.402567,-0.010211758,-0.008263297,0.009588309,0.009855773,85,4,132,2,10,-284.17996,246.14081,3440.2812,5.7795944,534955.8,571.1006,136.7073,137.00775,144.5316,144.5316,8.872273,1,-88.98223,0,0,0.7595309,0.7595308,0,8,255,0,0,0,1,0,64,0
True,7668953,9499.995,1203.1134,8988.309,-0.36239815,-0.39575636,14.304033,-0.06211543,-0.08975926,6.967705,-0.018106032,-0.058916297,0.003999237,2.042495,-0.010697933,0.03607481,0.28086278,0.3017475,0.60548115,0.60673624,15.8333025,14.394534,15.01235,14.102879,52.987576,50.821644,52.97093,52.585648,0,0,0,0,0,0,0,0,0,0,0,0,0.17110655,0.21209842,-0.025075467,-0.028056609,15.834228,14.396096,15.012371,14.102907,-0.011642322,-0.0104329735,0.0071418397,0.007214561,85,4,132,2,10,-283.6566,246.14113,3440.019,6.96856,519403.38,552.41345,142.85786,143.30087,151.6225,151.6225,7.3620234,1,-88.40473,0,0,0.8507988,0.85079867,0,8,255,0,0,0,1,0,64,0
True,7669062,9499.995,1203.1134,9006.767,0.8091636,-0.14914998,14.61451,-0.048206806,-0.0897,8.600848,-0.006773552,-0.059115738,0.009903298,2.0358765,-0.011764481,0.03631525,0.27799004,0.26255888,0.594856,0.6538417,9.849972,11.041218,11.290644,9.308655,50.1393,53.378056,54.674404,51.336994,0,0,0,0,0,0,0,0,0,0,0,0,0.40253395,0.450696,-0.036448553,-0.04030541,9.858193,11.050412,11.290703,9.308743,-0.011808671,-0.012702227,0.006526228,0.009943817,85,4,132,2,10,-282.84256,246.1418,3439.6143,8.601451,531095.25,564.1605,150.33038,150.54361,160.16145,160.16145,8.595096,1,-87.50793,0,0,0.9671065,0.96710634,0,8,255,0,0,0,1,17,65,0
