IsRaceOn,TimestampMS,EngineMaxRpm,EngineIdleRpm,CurrentEngineRpm,AccelerationX,AccelerationY,AccelerationZ,VelocityX,VelocityY,VelocityZ,AngularVelocityX,AngularVelocityY,AngularVelocityZ,Yaw,Pitch,Roll,NormalizedSuspensionTravelFrontLeft,NormalizedSuspensionTravelFrontRight,NormalizedSuspensionTravelRearLeft,NormalizedSuspensionTravelRearRight,TireSlipRatioFrontLeft,TireSlipRatioFrontRight,TireSlipRatioRearLeft,TireSlipRatioRearRight,WheelRotationSpeedFrontLeft,WheelRotationSpeedFrontRight,WheelRotationSpeedRearLeft,WheelRotationSpeedRearRight,WheelOnRumbleStripFrontLeft,WheelOnRumbleStripFrontRight,WheelOnRumbleStripRearLeft,WheelOnRumbleStripRearRight,WheelInPuddleDepthFrontLeft,WheelInPuddleDepthFrontRight,WheelInPuddleDepthRearLeft,WheelInPuddleDepthRearRight,SurfaceRumbleFrontLeft,SurfaceRumbleFrontRight,SurfaceRumbleRearLeft,SurfaceRumbleRearRight,TireSlipAngleFrontLeft,TireSlipAngleFrontRight,TireSlipAngleRearLeft,TireSlipAngleRearRight,TireCombinedSlipFrontLeft,TireCombinedSlipFrontRight,TireCombinedSlipRearLeft,TireCombinedSlipRearRight,SuspensionTravelMetersFrontLeft,SuspensionTravelMetersFrontRight,SuspensionTravelMetersRearLeft,SuspensionTravelMetersRearRight,CarOrdinal,CarClass,CarPerformanceIndex,DrivetrainType,NumCylinders,PositionX,PositionY,PositionZ,Speed,Power,Torque,TireTempFl,TireTempFr,TireTempRl,TireTempRr,Boost,Fuel,Distance,BestLapTime,LastLapTime,CurrentLapTime,CurrentRaceTime,Lap,RacePosition,Accelerator,Brake,Clutch,Handbrake,Gear,Steer,NormalDrivingLine,NormalAiBrakeDifference
True,13708437,7999.995,1082.2844,1082.3015,-0.050479934,0.013321901,-0.07826428,-0.00943603,-7.02407E-05,-0.0016386365,0.0002708023,-0.00026007555,-0.0034584408,-0.68002677,-0.00056392804,0.0012188174,0.3519237,0.33766407,0.375861,0.36944103,0.00077867636,0.00079377374,-0.044914216,0.011302915,-0.0047836415,-0.0047836415,-0.0047836415,-0.0047836415,0,0,0,0,0,0,0,0,0,0,0,0,0.027678812,0.014590731,0.0029621911,-0.01008031,0.027689762,0.014612307,0.045011792,0.015144918,0.0016864687,-0.0013458431,0.0008280575,-0.00061684847,59,3,32,2,4,331.7177,559.4172,3146.0344,0.009577511,-0.02052594,-0.00018110321,138.4159,136.37556,137.53763,137.53763,-11.024998,1,0,0,0,0,259.23483,0,0,0,0,0,255,1,-127,0,127
True,13734796,7999.995,1082.2844,1829.2887,0.0387889,-0.03935598,0.3384514,0.0021196436,-0.0019565937,0.03929764,-0.004112184,-3.7251826E-05,-0.0035465024,2.3600717,0.053208187,0.00024046557,0.34778446,0.34817693,0.36667526,0.3676092,-0.0013521586,-0.0013088346,-0.0015565599,-0.0015241195,0.121711485,0.121884,0.12246621,0.1226839,0,0,0,0,0,0,0,0,0,0,0,0,0.0015425497,0.00095336797,0.0012343321,0.00057816046,0.0020512906,0.0016192463,0.0019865686,0.0016300951,0.0008062571,0.00088971853,-0.0012393296,-0.0010291338,59,3,32,2,4,270.06146,260.55798,3220.5886,0.03940337,35282.29,187.79402,107.995346,107.95117,108.76988,108.76988,-11.024998,1,-249.3653,0,0,0.09177113,0.09177113,0,8,255,0,0,0,1,0,76,0
True,13734906,7999.995,1082.2844,4257.241,0.3837455,0.1362527,1.0870695,0.006126404,-0.0031485278,0.10186109,-0.0065552685,-5.7244702E-05,-0.010132849,2.3600698,0.0527712,-0.0005285796,0.34546235,0.34916097,0.36855596,0.3730625,0.051604908,0.048220657,0.06014951,0.057203986,0.43007985,0.42140648,0.45010787,0.4429028,0,0,0,0,0,0,0,0,0,0,0,0,0.0013253296,0.0008247677,0.0010010517,0.00042842218,0.051621925,0.04822771,0.06015784,0.057205588,0.00031246245,0.0010989755,-0.0008160472,0.00019821525,59,3,32,2,4,270.06604,260.55734,3220.5833,0.10209372,182253.72,413.5743,107.96883,107.92453,108.74245,108.74245,-8.606643,1,-249.34613,0,0,0.2001771,0.2001771,0,8,255,0,0,0,1,0,76,0
True,13735000,7999.995,1082.2844,4559.4697,0.088658094,-0.35640103,7.8636813,0.008062273,-0.040463045,0.9861287,-0.13273323,-0.0006360316,-0.012862567,2.3600373,0.04654473,-0.0017688546,0.3267295,0.33756617,0.4024437,0.41291812,0.6205695,0.46151742,0.37347427,0.32974,4.7819858,4.3639135,4.120121,4.0340695,0,0,0,0,0,0,0,0,0,0,0,0,-0.0009228361,3.403582E-05,-0.0051395623,-0.00435643,0.62057024,0.46151742,0.37350965,0.32976878,-0.0036710799,-0.00136666,0.0068109035,0.009168327,59,3,32,2,4,270.09714,260.5534,3220.551,0.9869915,202239.62,422.63126,108.03459,107.9879,108.80461,108.80461,2.2442732,1,-249.22334,0,0,0.29421857,0.29421854,0,8,255,0,0,0,1,0,76,0
True,13735125,7999.995,1082.2844,4266.375,-0.47642803,-0.064977795,13.353163,0.0011457205,-0.07065139,2.6175966,-0.19522199,-0.0038027186,-0.0058575645,2.359841,0.025353853,-0.0028393422,0.25157654,0.26217267,0.51880175,0.5451293,2.2998195,1.9325638,0.45269677,0.38163352,14.025831,13.147534,9.2751255,9.115636,0,0,0,0,0,0,0,0,0,0,0,0,0.014968003,0.015742298,-0.007787151,0.00065080234,2.2998683,1.9326279,0.45276374,0.38163406,-0.019652367,-0.017399102,0.03299904,0.038924456,59,3,32,2,4,270.24667,260.53903,3220.3997,2.61855,245317.06,548.6797,108.971405,108.477264,108.98016,108.98016,19.47963,1,-248.64133,0,0,0.41243353,0.41243348,0,8,255,0,0,0,1,0,76,0
True,13735234,7999.995,1082.2844,4140.724,-0.53432894,-0.47026134,14.527767,-0.008064985,-0.16201845,4.348097,-0.096924424,-0.023864644,0.0014707446,2.358575,0.0071114097,-0.0031928124,0.1627741,0.18157639,0.60997593,0.6364579,7.7625933,7.0692687,4.040639,3.77225,31.93389,30.651648,24.226557,23.673586,0,0,0,0,0,0,0,0,0,0,0,0,0.05956189,0.055926286,-0.047413077,-0.026848067,7.7628217,7.06949,4.0409174,3.7723455,-0.03853622,-0.03453791,0.053519174,0.05947934,59,3,32,2,4,270.53665,260.52066,3220.1086,4.351122,264579.53,612.0337,116.20366,115.35374,111.18472,111.18472,27.737953,1,-247.52025,0,0,0.52915436,0.5291543,0,8,255,0,0,0,1,0,75,0
True,13735359,7999.995,1082.2844,4942.2046,-0.021395683,-0.6538422,13.803768,-0.0019414425,-0.25022554,5.8512545,0.015308043,-0.02785072,-0.021478243,2.3553038,0.0035343587,-0.004181224,0.12934339,0.1432809,0.6366981,0.6491362,8.739515,7.9476314,4.925751,5.216868,38.752182,37.317356,31.107424,31.805927,0,0,0,0,0,0,0,0,0,0,0,0,0.063231066,0.057133533,-0.03961181,-0.01743705,8.739744,7.947837,4.9259105,5.216897,-0.045645267,-0.042681456,0.059533402,0.06233278,59,3,32,2,4,270.94998,260.49353,3219.6958,5.8566027,312925.5,605.82446,124.04025,123.43733,121.5244,121.5244,29.11166,1,-245.92538,0,0,0.64359796,0.6435979,0,8,255,0,0,0,1,0,75,0
True,13735453,7999.995,1082.2844,5481.5947,-0.23191881,-0.5999552,12.83353,0.009940147,-0.29686317,7.0877924,0.025989505,-0.046192437,0.011492576,2.3520365,0.0059794364,-0.004658911,0.15033309,0.15770526,0.60565895,0.6458677,6.5329413,7.031198,5.1928673,4.1433806,40.27159,41.831203,37.197243,34.85138,0,0,0,0,0,0,0,0,0,0,0,0,0.038866967,0.036069855,-0.08523999,-0.060487177,6.5330567,7.0312905,5.193567,4.143822,-0.041181803,-0.03961411,0.052547574,0.061597154,59,3,32,2,4,271.37363,260.4649,3219.274,7.094013,340711.56,594.7356,130.2623,129.82393,129.1872,129.1872,29.329815,1,-244.29256,0,0,0.7359235,0.73592347,0,8,255,0,0,0,1,0,74,0
True,13735578,7999.995,1082.2844,5910.6826,0.27302504,-0.6071208,14.98519,0.02696991,-0.33582383,8.760539,-0.0005589796,-0.043623284,0.00584085,2.3471467,0.006760371,-0.0049953316,0.14774233,0.16691391,0.60395116,0.6272316,5.332807,4.964931,3.451882,2.8785822,45.00038,44.22357,39.403946,37.590183,0,0,0,0,0,0,0,0,0,0,0,0,0.019339684,0.01596415,-0.07644807,-0.05426157,5.3328424,4.9649568,3.4527283,2.8790936,-0.04173273,-0.03765589,0.0521632,0.05740282,59,3,32,2,4,272.03296,260.4232,3218.6206,8.767014,357687.97,578.43805,137.85165,137.68973,138.53946,138.53946,29.38821,1,-241.75903,0,0,0.85247636,0.85247636,0,8,255,0,0,0,1,0,74,0
True,13735671,7999.995,1082.2844,6090.427,-1.1347594,-0.51548666,14.31968,0.035603046,-0.38271025,10.238375,-0.005891159,-0.034015864,-0.013141601,2.342691,0.006697138,-0.004661922,0.15372927,0.16598207,0.61831725,0.6231003,4.0043573,3.4439566,1.920941,2.1726048,46.99383,44.999382,39.048153,40.231415,0,0,0,0,0,0,0,0,0,0,0,0,0.01143892,0.008087245,-0.055710874,-0.038508687,4.0043736,3.4439662,1.9217488,2.172946,-0.040459603,-0.037854046,0.055396512,0.056473,59,3,32,2,4,272.7087,260.38083,3217.956,10.245587,358327.28,562.12665,144.02893,143.77237,144.67506,144.67506,29.397427,1,-239.1712,0,0,0.95219916,0.95219916,0,8,255,0,0,0,1,0,74,0
