IsRaceOn,TimestampMS,EngineMaxRpm,EngineIdleRpm,CurrentEngineRpm,AccelerationX,AccelerationY,AccelerationZ,VelocityX,VelocityY,VelocityZ,AngularVelocityX,AngularVelocityY,AngularVelocityZ,Yaw,Pitch,Roll,NormalizedSuspensionTravelFrontLeft,NormalizedSuspensionTravelFrontRight,NormalizedSuspensionTravelRearLeft,NormalizedSuspensionTravelRearRight,TireSlipRatioFrontLeft,TireSlipRatioFrontRight,TireSlipRatioRearLeft,TireSlipRatioRearRight,WheelRotationSpeedFrontLeft,WheelRotationSpeedFrontRight,WheelRotationSpeedRearLeft,WheelRotationSpeedRearRight,WheelOnRumbleStripFrontLeft,WheelOnRumbleStripFrontRight,WheelOnRumbleStripRearLeft,WheelOnRumbleStripRearRight,WheelInPuddleDepthFrontLeft,WheelInPuddleDepthFrontRight,WheelInPuddleDepthRearLeft,WheelInPuddleDepthRearRight,SurfaceRumbleFrontLeft,SurfaceRumbleFrontRight,SurfaceRumbleRearLeft,SurfaceRumbleRearRight,TireSlipAngleFrontLeft,TireSlipAngleFrontRight,TireSlipAngleRearLeft,TireSlipAngleRearRight,TireCombinedSlipFrontLeft,TireCombinedSlipFrontRight,TireCombinedSlipRearLeft,TireCombinedSlipRearRight,SuspensionTravelMetersFrontLeft,SuspensionTravelMetersFrontRight,SuspensionTravelMetersRearLeft,SuspensionTravelMetersRearRight,CarOrdinal,CarClass,CarPerformanceIndex,DrivetrainType,NumCylinders,PositionX,PositionY,PositionZ,Speed,Power,Torque,TireTempFl,TireTempFr,TireTempRl,TireTempRr,Boost,Fuel,Distance,BestLapTime,LastLapTime,CurrentLapTime,CurrentRaceTime,Lap,RacePosition,Accelerator,Brake,Clutch,Handbrake,Gear,Steer,NormalDrivingLine,NormalAiBrakeDifference
True,17746625,15999.99,0,2486.146,-0.049111977,0.15809157,-0.5433664,-0.0010251999,-0.0033651385,18.530107,-0.012169002,-0.00012421091,0.0062515982,2.152345,0.0015634923,-0.0008065375,0.26263985,0.27201074,0.2367272,0.2354624,-0.003414983,-0.0032561596,-0.0062467516,-0.0064353524,57.428318,57.42972,57.40963,57.40933,0,0,0,0,0,0,0,0,0,0,0,0,-0.0001293534,-0.0005115531,-0.0007355118,-9.342849E-05,0.0034174318,0.003296098,0.0062899035,0.0064360304,-0.0004492998,0.0007001944,-0.0007474795,-0.00089785457,164,6,231,2,0,-4505.6177,127.19583,-1982.8247,18.530107,-7894.812,-30.321438,155.89168,156.69809,166.97858,166.97858,0,1,0,0,0,0,511.18292,0,0,0,0,0,0,1,0,199,0
True,17748734,15999.99,0,2585.464,-4.0305476,0.092203304,2.1633868,-0.30762672,-0.01733191,18.738474,-0.022514163,-0.18040775,-0.020338478,2.1453543,-0.00047372945,-0.001303696,0.24638397,0.27539238,0.23617789,0.2520861,0.41158134,0.20148893,0.28255403,0.17959392,60.011093,59.690968,59.50477,59.762817,0,0,0,0,0,0,0,0,0,0,0,0,-0.89257854,-0.7615899,0.039320074,0.03775347,0.98290163,0.78779244,0.2852768,0.18351921,-0.0024433509,0.0011150092,-0.00081278756,0.0010785796,164,6,231,2,0,-4502.7725,127.19263,-1984.6761,18.741005,182036.12,673.144,155.56287,156.33475,166.55777,166.55777,0,1,0,0,0,0,513.28406,0,0,255,0,0,0,1,-127,175,0
True,17748843,15999.99,0,2858.9077,-6.4122276,-0.008480175,8.874193,-0.3078308,-0.085834004,19.884018,-0.020644188,-0.48158514,-0.013112755,2.102053,-0.0040502353,-0.0027300906,0.21112333,0.25776395,0.25500402,0.2926508,1.4515203,0.54117393,0.67882264,0.32271174,68.97166,66.13687,65.15077,65.245384,0,0,0,0,0,0,0,0,0,0,0,0,-1.4102827,-1.1399162,-0.12358563,-0.112955675,2.0238104,1.261855,0.68998086,0.34190914,-0.006768644,-0.0010474101,0.001425501,0.0059014186,164,6,231,2,0,-4500.6494,127.19174,-1985.9395,19.886587,316309.53,1058.11,156.10477,156.40309,166.33565,166.33565,0,1,0,0,0,0,513.4122,0,0,255,0,0,0,1,-127,159,0
True,17748953,15999.99,0,2998.8945,-8.33466,-0.18868822,8.934158,-0.054410934,-0.133949,20.805664,0.024575645,-0.6047412,-0.05510375,2.0446122,-0.0052755745,-0.0047269184,0.17832716,0.14585094,0.26261735,0.31234935,1.3532403,1.1303823,0.7418693,0.23637854,70.645454,72.98901,68.00565,67.74217,0,0,0,0,0,0,0,0,0,0.120000005,0,0,-1.5568467,-1.4365753,-0.29664296,-0.25178528,2.0627728,1.8279805,0.79897875,0.3453558,-0.010791635,-0.014775375,0.0023306683,0.008243434,164,6,231,2,0,-4498.8296,127.191956,-1986.9167,20.806166,207121.56,659.5907,156.79749,156.54665,166.1787,166.1787,0,1,0,0,0,0,513.5137,0,0,255,0,0,0,1,-127,146,0
True,17749062,15999.99,0,3120.098,-10.854168,-0.4526509,7.7038608,0.20692587,-0.04658565,21.531069,0.060408007,-0.7366246,-0.11754441,1.9753581,0.0022781983,-0.014358793,0.20837012,0.044552606,0.21672897,0.2241552,0.77813005,0.5397755,1.2251284,0.4399332,69.595116,71.55667,73.14644,72.57008,0,0,0,0,0,0,0,0,0,0.120000005,0,0.120000005,-1.5107508,-1.2720957,-0.48513988,-0.42315328,1.6993688,1.3818773,1.3176875,0.6104096,-0.007106371,-0.027201276,-0.00312512,-0.0022421964,164,6,231,2,0,-4496.7593,127.18246,-1987.9016,21.53211,278976.72,857.1884,157.43619,157.13466,166.07864,166.07864,0,1,0,0,0,0,513.62195,0,0,255,0,0,0,1,-127,134,0
True,17749171,15999.99,0,3181.462,-10.940821,-1.5817659,5.5895953,0.7505088,-0.15877101,22.074923,0.045512035,-0.76074725,-0.20297053,1.8889291,0.0024709436,-0.035252046,0.21685041,0.09033212,0.21288566,0.16349329,1.2712877,0.35972708,1.1154685,0.3028488,74.23828,72.26145,74.34471,72.84671,0,0,0,0,0,0,0,0,0,0.120000005,0,0.120000005,-1.7996868,-1.3621124,-0.69332516,-0.5229071,2.2034166,1.4088129,1.3133811,0.60427576,-0.006066125,-0.021585668,-0.0035820603,-0.009454448,164,6,231,2,0,-4494.494,127.16096,-1988.8147,22.088245,272101,816.96234,158.13861,157.65015,166.0264,166.0264,-11.76,1,0,0,0,0,513.73395,0,0,255,0,0,0,1,-127,129,0
True,17749296,15999.99,0,3245.7942,-14.621254,-0.39270145,4.93618,1.053875,-0.10992879,22.598677,-0.028176092,-0.8413829,-0.10879896,1.786739,-0.0029000342,-0.05037298,0.24520837,0.34684065,0.2453731,0.22362085,2.1193213,0.40439796,0.7168004,0.1882619,80.38752,74.27669,73.491974,73.86234,0,0,0,0,0,0,0,0,0,0.120000005,0,0.120000005,-2.0317857,-1.6584389,-0.8005714,-0.64995205,2.9359286,1.7070317,1.0745778,0.67666847,-0.0025875568,0.00987931,0.00028045475,-0.0023057275,164,6,231,2,0,-4491.8364,127.14663,-1989.6475,22.623503,188269.06,554.1749,159.02486,158.17937,166.05263,166.05263,-11.76,1,0,0,0,0,513.8584,0,0,255,0,0,0,1,-127,129,0
True,17749406,15999.99,0,3387.4783,-13.623989,0.6703016,7.4746466,1.3523624,0.06057383,23.251966,0.022959763,-0.6883302,0.07147144,1.7056307,-0.0040116995,-0.04855721,0.18224303,0.42600024,0.24127565,0.41033185,1.5620499,0.31919512,0.91503793,0.5873109,81.19561,76.091736,77.341705,78.67751,0,0,0,0,0,0,0,0,0,0.120000005,0,0.120000005,-0.17882392,-0.1660038,-0.8418681,-0.8674172,1.5722524,0.35978156,1.2433971,1.0475432,-0.010311287,0.019589528,-0.00020670146,0.019892827,164,6,231,2,0,-4489.4814,127.15117,-1990.1791,23.291338,200662.03,566.2601,159.47466,158.18968,166.01828,166.01828,-11.76,1,0,0,0,0,513.9637,0,0,255,0,0,0,1,0,129,0
True,17749500,15999.99,0,3529.2856,-12.8375845,-0.35353857,6.923933,1.5874211,0.051795855,23.796227,0.030608758,-0.5442766,0.1464784,1.6434357,-0.0004814297,-0.040058248,0.10562682,0.3337983,0.1627887,0.411195,0.20037183,0.19953144,1.7452056,1.1589135,74.072014,76.944664,85.08255,84.42043,0,0,0,0,0,0,0,0,0.120000005,0.120000005,0,0.120000005,-0.10138226,-0.10022462,-0.9566256,-0.87297064,0.22456008,0.22328852,1.9901948,1.4509164,-0.019709522,0.00827945,-0.009538218,0.019995451,164,6,231,2,0,-4487.068,127.1502,-1990.5864,23.849173,302833.53,822.3848,159.78363,157.89185,166.13657,166.13657,-11.76,1,0,0,0,0,514.06757,0,0,255,0,0,0,1,18,129,0
True,17749625,15999.99,0,3514.7073,-6.0360575,1.0834291,7.0208945,2.379593,-0.22906986,24.54514,0.01986886,-0.27274993,0.105409846,1.5940995,-0.011837569,-0.026944168,0.11204787,0.17228167,0.09695687,0.4315128,0.4852191,0.66561794,0.7532506,0.36207098,80.625336,80.98434,81.981804,80.75462,0,0,0,0,0,0,0,0,0.120000005,0.120000005,0.120000005,0.120000005,0.63907427,0.67214876,-0.94481474,-0.75774133,0.8024048,0.94595516,1.2083299,0.83980197,-0.018921874,-0.011533214,-0.017365135,0.022411086,164,6,231,2,0,-4484.1787,127.135765,-1990.9805,24.661282,403001.4,1096.526,159.48491,158.18304,166.16106,166.16106,-11.76,1,0,0,0,0,514.1876,0,0,255,0,0,0,1,127,129,0
True,17749734,15999.99,0,3666.8398,-1.8188673,1.3775568,8.022796,2.6357334,-0.22255301,25.295116,-0.06532711,-0.016261313,0.102279894,1.5794486,-0.015114612,-0.014813722,0.18496998,0.36526978,0.34866428,0.26170912,1.7212296,0.14945972,0.729997,0.42146924,92.38577,80.47233,85.194336,82.28577,0,0,0,0,0,0,0,0,0.120000005,0.120000005,0.120000005,0.120000005,0.23684154,0.3098956,-0.9717271,-0.772389,1.7374479,0.3440545,1.2153802,0.8798983,-0.009976782,0.0121399425,0.012561012,0.002222687,164,6,231,2,0,-4481.5796,127.140785,-1991.2849,25.433039,310037.44,809.30206,159.40991,157.88786,166.20763,166.20763,-11.76,1,0,0,0,0,514.29205,0,0,255,0,0,0,1,8,129,0
True,17749828,15999.99,0,3775.975,-11.907338,0.19269735,8.075051,0.96862483,-0.13038807,26.180067,0.087125085,0.10631429,0.121778294,1.5881441,-0.010477812,-0.0096656475,0.13479039,0.2676394,0.30111358,0.44671282,1.8717984,0.26824108,0.5204004,0.5387555,96.18641,83.440956,85.649,85.93717,0,0,0,0,0,0,0,0,0.120000005,0.120000005,0.120000005,0.120000005,-0.4408041,-0.4202172,-0.29950902,-0.28982416,1.9230022,0.4985336,0.600435,0.61176425,-0.016132133,0.0001639761,0.0069075823,0.024218254,164,6,231,2,0,-4478.871,127.15841,-1991.5052,26.198301,257601.42,652.44635,159.28549,157.8907,166.06923,166.06923,-11.76,1,0,0,0,0,514.3973,0,0,255,0,0,0,1,0,129,0
True,17749937,15999.99,0,3924.4866,-6.023577,-0.5231613,8.015973,0.17458826,-0.29568875,27.04782,-0.079540096,0.028083246,0.09068189,1.5974989,-0.012696274,-0.009341175,0.27940854,0.23920038,0.21593772,0.3917061,0.20885047,1.5594404,0.90727115,0.5156612,86.16716,96.35331,91.26227,89.32872,0,0,0,0,0,0,0,0,0.120000005,0.120000005,0.120000005,0.120000005,-0.13986614,-0.13271493,-0.06414222,-0.04381427,0.25135842,1.5650774,0.90953565,0.51751924,0.0016076565,-0.0033245347,-0.0032191947,0.017678365,164,6,231,2,0,-4476.1,127.16733,-1991.6194,27.049997,245996.48,598.6089,159.1756,157.62106,165.87988,165.87988,-10.834646,1,0,0,0,0,514.5013,0,0,255,0,0,0,1,-6,129,0
True,17750062,15999.99,0,4103.6445,-5.7775965,0.87331235,9.900269,-0.23592925,-0.20152444,28.391182,-0.059556186,-0.19641884,-0.03824609,1.589748,-0.015605679,-0.012655087,0.44812936,0.29036006,0.31935465,0.3570837,0.3091171,1.1262337,1.2809608,0.2512056,90.44859,98.747795,98.21994,91.51109,0,0,0,0,0,0,0,0,0,0.120000005,0.120000005,0.120000005,-0.6275278,-0.6743154,-0.0028622411,0.0040260153,0.6995316,1.3126704,1.280964,0.25123787,0.022304028,0.0029510371,0.009076312,0.01356202,164,6,231,2,0,-4472.7056,127.18847,-1991.6975,28.39288,306933.44,714.47314,158.57898,157.38844,165.5618,165.5618,-11.344898,1,0,0,0,0,514.6234,0,0,255,0,0,0,1,-127,129,0
True,17750156,15999.99,0,4185.7236,-5.9737387,-0.4732437,9.352223,0.078469455,-0.16456811,29.355888,0.071217805,-0.4152283,-0.14802955,1.5555943,-0.0143287005,-0.023459936,0.3396924,0.23976228,0.45227948,0.36792925,1.081292,0.5334885,0.6626022,0.3721368,99.511284,96.292496,96.551544,95.44751,0,0,0,0,0,0,0,0,0,0.120000005,0,0.120000005,-0.7861493,-0.65836895,-0.18011074,-0.14064634,1.3368707,0.84738404,0.68664515,0.3978281,0.009002462,-0.0032556094,0.024880089,0.014851473,164,6,231,2,0,-4469.6636,127.219124,-1991.6927,29.356455,317600.75,722.816,158.24771,157.33774,165.07327,165.07327,-11.631669,1,0,0,0,0,514.72876,0,0,255,0,0,0,1,-3,129,0
