IsRaceOn,TimestampMS,EngineMaxRpm,EngineIdleRpm,CurrentEngineRpm,AccelerationX,AccelerationY,AccelerationZ,VelocityX,VelocityY,VelocityZ,AngularVelocityX,AngularVelocityY,AngularVelocityZ,Yaw,Pitch,Roll,NormalizedSuspensionTravelFrontLeft,NormalizedSuspensionTravelFrontRight,NormalizedSuspensionTravelRearLeft,NormalizedSuspensionTravelRearRight,TireSlipRatioFrontLeft,TireSlipRatioFrontRight,TireSlipRatioRearLeft,TireSlipRatioRearRight,WheelRotationSpeedFrontLeft,WheelRotationSpeedFrontRight,WheelRotationSpeedRearLeft,WheelRotationSpeedRearRight,WheelOnRumbleStripFrontLeft,WheelOnRumbleStripFrontRight,WheelOnRumbleStripRearLeft,WheelOnRumbleStripRearRight,WheelInPuddleDepthFrontLeft,WheelInPuddleDepthFrontRight,WheelInPuddleDepthRearLeft,WheelInPuddleDepthRearRight,SurfaceRumbleFrontLeft,SurfaceRumbleFrontRight,SurfaceRumbleRearLeft,SurfaceRumbleRearRight,TireSlipAngleFrontLeft,TireSlipAngleFrontRight,TireSlipAngleRearLeft,TireSlipAngleRearRight,TireCombinedSlipFrontLeft,TireCombinedSlipFrontRight,TireCombinedSlipRearLeft,TireCombinedSlipRearRight,SuspensionTravelMetersFrontLeft,SuspensionTravelMetersFrontRight,SuspensionTravelMetersRearLeft,SuspensionTravelMetersRearRight,CarOrdinal,CarClass,CarPerformanceIndex,DrivetrainType,NumCylinders,PositionX,PositionY,PositionZ,Speed,Power,Torque,TireTempFl,TireTempFr,TireTempRl,TireTempRr,Boost,Fuel,Distance,BestLapTime,LastLapTime,CurrentLapTime,CurrentRaceTime,Lap,RacePosition,Accelerator,Brake,Clutch,Handbrake,Gear,Steer,NormalDrivingLine,NormalAiBrakeDifference
True,28018187,15999.99,0,2040.2524,-8.285018,0.31291506,1.9833618,1.0041974,0.014053173,-15.375898,-0.0139051415,-1.0191866,0.15223156,-1.299637,0.05343304,0.04703438,0.27136424,0.41896495,0.28074107,0.30117467,0.048266374,-0.0028256949,0.12907076,-0.07629416,-49.100334,-45.212795,-47.73037,-46.4659,0,0,0,0,0,0,0,0,0.59999996,0.59999996,0.59999996,0.59999996,0.04811111,0.063188836,-0.49648076,-0.5480437,0.06814926,0.06325199,0.51298386,0.55332875,0.0006208904,0.018726535,0.004485447,0.0069148466,164,6,231,2,0,872.73663,175.57512,-1406.3473,15.408662,-5313.7646,-24.87597,170.68355,181.2145,177.2537,177.2537,-5.879999,1,166.83743,0,0,0.7073122,14.611252,0,7,0,0,0,0,0,0,129,0
True,28032500,15999.99,0,96.00159,0.009256721,-0.034892894,4.5653076,0.0025576204,-0.0040395027,0.495652,-0.024792083,-0.00054152304,-0.010854685,2.085649,-0.012972544,-0.000656012,0.25797755,0.26187557,0.2489939,0.25350025,0.76648533,-0.044335347,1.2864971,0.11367234,1.4482422,2.950748,1.4485555,3.0047185,0,0,0,0,0,0,0,0,0,0,0,0,0.013997917,0.014039725,-0.012395254,-0.0123611735,0.7666131,0.046505235,1.2865568,0.114342466,-0.0010212064,-0.00054305047,0.00071094185,0.0012467131,164,6,231,2,0,159.91438,161.75098,-1275.0684,0.495675,8700.319,775.48224,92.69355,92.6888,92.86719,92.86719,0,1,-51.654495,0,0,0.10035741,0.10035741,0,7,255,0,0,0,1,0,58,0
True,28032609,15999.99,0,304.69083,0.056994915,-0.0360801,11.609892,0.0035208464,-0.008936165,1.7750676,-0.03796839,-0.0032743271,-0.017223258,2.0853326,-0.016301092,-0.0022058263,0.2285605,0.24905412,0.27676508,0.3001712,1.9459529,0.40058905,0.829445,0.51260185,8.917501,6.194203,7.0035744,6.5082383,0,0,0,0,0,0,0,0,0,0,0,0,0.030712914,0.03149354,-0.0145450365,-0.01323534,1.9461952,0.40182513,0.8295725,0.5127727,-0.00462969,-0.0021158122,0.00401273,0.0067955405,164,6,231,2,0,160.0118,161.75195,-1275.1238,1.7750934,48243.605,1546.6406,92.82905,92.7945,93.07691,93.07691,0,1,-51.582012,0,0,0.20305279,0.2030528,0,7,255,0,0,0,1,0,58,0
True,28032718,15999.99,0,525.7703,0.07609129,-0.013878066,13.581445,0.018139005,-0.008477916,3.3710856,-0.007308569,0.01199451,0.0072078584,2.0851045,-0.018267814,-0.0021898218,0.1963014,0.23758288,0.30189583,0.3413477,1.7018218,0.4993841,0.9196494,0.8624774,13.459961,11.416918,11.947683,12.016934,0,0,0,0,0,0,0,0,0,0,0,0,0.3371167,0.33949584,-0.009312255,-0.0055275876,1.7348906,0.60385585,0.91969657,0.8624951,-0.008586798,-0.0035229474,0.007000588,0.011691127,164,6,231,2,0,160.27257,161.75653,-1275.2712,3.371145,84244.016,1546.6406,96.29326,92.92465,93.45095,93.45095,0,1,-51.388283,0,0,0.31998634,0.3199864,0,7,255,0,0,0,1,16,58,0
True,28032828,15999.99,0,700.83093,3.5734053,-0.11878432,11.317476,0.38037753,-0.02307583,4.5311975,-0.002781385,0.3100973,0.00047975383,2.1021392,-0.017936483,-0.0003382415,0.20353475,0.21992588,0.30099225,0.321546,0.51622415,0.9063547,1.0899441,2.0265286,15.814508,14.696074,16.633184,16.743528,0,0,0,0,0,0,0,0,0,0,0,0,-0.08117856,-0.090113424,0.011282878,0.015494926,0.522568,0.9108234,1.0900025,2.026588,-0.007699508,-0.0056888685,0.0068931617,0.009336848,164,6,231,2,0,160.62039,161.76231,-1275.4958,4.547194,98649.99,1341.3326,97.54703,94.75106,93.69973,93.69973,0,1,-51.120964,0,0,0.42413273,0.42413276,0,7,255,0,0,0,1,0,57,0
True,28032937,15999.99,0,845.8362,-1.5647955,-0.1255829,12.00275,0.0295043,-0.03737806,5.8247433,-0.002326045,0.031233504,-0.0059959413,2.1189628,-0.018504668,-0.0024346693,0.18337068,0.21818641,0.29359916,0.32662803,0.9780229,1.3077543,0.8633711,0.7666974,20.106094,18.41649,19.797413,19.566114,0,0,0,0,0,0,0,0,0,0,0,0,-0.14328952,-0.13522233,0.026986308,0.029007955,0.98846376,1.3147267,0.8637927,0.76724595,-0.010172963,-0.005902242,0.0060141794,0.009941068,164,6,231,2,0,161.08154,161.76917,-1275.7969,5.8249383,136991.67,1546.6406,98.7042,94.97262,94.28078,94.28078,0,1,-50.76552,0,0,0.5299563,0.52995634,0,7,255,0,0,0,1,0,56,0
True,28033046,15999.99,0,1088.1876,-0.48702765,-0.18138075,14.96409,-0.0032725334,-0.06476268,7.488097,-0.013690749,-0.009907149,0.005593512,2.1189966,-0.019812498,-0.0023346466,0.16942887,0.20851865,0.29692024,0.33353713,2.0069594,0.5110747,0.77944756,0.5940078,27.287786,24.3212,24.930557,24.60346,0,0,0,0,0,0,0,0,0,0,0,0,0.019361412,0.022041423,-0.015145378,-0.011356557,2.007053,0.5115498,0.77959466,0.59411633,-0.011883156,-0.007088151,0.0064090304,0.010762509,164,6,231,2,0,161.69054,161.77739,-1276.1698,7.4883776,175352.78,1546.6406,101.17485,95.04355,94.62953,94.62953,0,1,-50.304,0,0,0.6369889,0.6369889,0,7,255,0,0,0,1,0,56,0
True,28033156,15999.99,0,1356.6499,-0.21241713,-0.19076708,15.204979,-0.007771492,-0.09365849,9.342527,-0.00037367875,-0.0106972745,0.015745422,2.1176434,-0.020407503,-0.00082006137,0.15682556,0.19588749,0.31017488,0.33686838,1.9980102,0.5360972,0.6843765,0.663681,34.01565,30.391743,30.869238,30.849333,0,0,0,0,0,0,0,0,0,0,0,0,0.018731086,0.021611111,-0.012178969,-0.0077094627,1.998098,0.53653264,0.68448484,0.66372573,-0.013429159,-0.00863757,0.007984906,0.011158567,164,6,231,2,0,162.56914,161.78835,-1276.7045,9.343,218787.97,1546.6406,104.477905,95.14697,94.95613,94.95613,0,1,-49.6392,0,0,0.7589893,0.7589893,0,7,255,0,0,0,1,0,55,0
True,28033265,15999.99,0,1565.4526,-0.047359943,-0.14637801,15.883291,-0.0060067177,-0.10770359,11.032953,-0.00056893425,-0.0023926303,0.012977836,2.1168687,-0.020438341,0.00088105636,0.16579263,0.18892172,0.32035068,0.33542153,0.66935015,0.68012315,0.5706177,0.5783216,36.21541,36.275745,36.087063,36.119957,0,0,0,0,0,0,0,0,0,0,0,0,0.0038456067,0.00722062,-0.0026683114,0.002177136,0.6693612,0.6801615,0.57062393,0.5783257,-0.0123292,-0.009492036,0.009194732,0.010986548,164,6,231,2,0,163.49463,161.79968,-1277.2664,11.033481,252712.03,1546.6406,105.82672,95.29086,95.24147,95.24147,0,1,-48.939323,0,0,0.8650846,0.86508465,0,7,255,0,0,0,1,0,54,0
True,28033375,15999.99,0,1800.6787,-0.024570942,-0.17230095,15.733982,-0.003238678,-0.124027655,12.70563,0.0005221334,-0.00039044165,0.0071735308,2.1167676,-0.020386474,0.0019228283,0.16883159,0.18104795,0.32402167,0.3344549,0.5932765,0.68200755,0.5730699,0.56523377,41.471306,41.78118,41.57797,41.549885,0,0,0,0,0,0,0,0,0,0,0,0,-0.00018344233,0.0031165928,-0.0016823488,0.003361229,0.59327656,0.68201464,0.5730723,0.5652438,-0.01195642,-0.0104578845,0.009631187,0.010871619,164,6,231,2,0,164.57509,161.8132,-1277.9224,12.706235,290730.38,1546.6406,105.44903,95.47072,95.48678,95.48678,0,1,-48.122284,0,0,0.9713958,0.97139585,0,7,255,0,0,0,1,0,53,0
