IsRaceOn,TimestampMS,EngineMaxRpm,EngineIdleRpm,CurrentEngineRpm,AccelerationX,AccelerationY,AccelerationZ,VelocityX,VelocityY,VelocityZ,AngularVelocityX,AngularVelocityY,AngularVelocityZ,Yaw,Pitch,Roll,NormalizedSuspensionTravelFrontLeft,NormalizedSuspensionTravelFrontRight,NormalizedSuspensionTravelRearLeft,NormalizedSuspensionTravelRearRight,TireSlipRatioFrontLeft,TireSlipRatioFrontRight,TireSlipRatioRearLeft,TireSlipRatioRearRight,WheelRotationSpeedFrontLeft,WheelRotationSpeedFrontRight,WheelRotationSpeedRearLeft,WheelRotationSpeedRearRight,WheelOnRumbleStripFrontLeft,WheelOnRumbleStripFrontRight,WheelOnRumbleStripRearLeft,WheelOnRumbleStripRearRight,WheelInPuddleDepthFrontLeft,WheelInPuddleDepthFrontRight,WheelInPuddleDepthRearLeft,WheelInPuddleDepthRearRight,SurfaceRumbleFrontLeft,SurfaceRumbleFrontRight,SurfaceRumbleRearLeft,SurfaceRumbleRearRight,TireSlipAngleFrontLeft,TireSlipAngleFrontRight,TireSlipAngleRearLeft,TireSlipAngleRearRight,TireCombinedSlipFrontLeft,TireCombinedSlipFrontRight,TireCombinedSlipRearLeft,TireCombinedSlipRearRight,SuspensionTravelMetersFrontLeft,SuspensionTravelMetersFrontRight,SuspensionTravelMetersRearLeft,SuspensionTravelMetersRearRight,CarOrdinal,CarClass,CarPerformanceIndex,DrivetrainType,NumCylinders,PositionX,PositionY,PositionZ,Speed,Power,Torque,TireTempFl,TireTempFr,TireTempRl,TireTempRr,Boost,Fuel,Distance,BestLapTime,LastLapTime,CurrentLapTime,CurrentRaceTime,Lap,RacePosition,Accelerator,Brake,Clutch,Handbrake,Gear,Steer,NormalDrivingLine,NormalAiBrakeDifference
True,22129046,15999.99,0,0,-4.8428337E-05,0.0015572815,8.5126034E-05,5.1388997E-05,4.0023733E-05,-4.9551476E-05,-0.00017191653,2.2704694E-07,-0.00017138521,2.2726173,-0.054582547,-0.031087985,0.2629815,0.2649623,0.24304381,0.24519657,4.7748304E-05,4.690747E-05,0.015883261,0.01636894,-0.00015360035,-0.00015360035,-0.00015360035,-0.00015360035,0,0,0,0,0,0,0,0,0,0,0,0,-0.0066711768,-0.0064806296,-0.005106625,-0.0048597385,0.0066713477,0.0064807995,0.016683992,0.017075107,-0.0004073903,-0.00016441569,3.5203993E-06,0.00025946647,164,6,231,2,0,-8589.411,148.81477,-625.80994,8.184178E-05,0,0,121.45871,121.451675,122.06602,122.06602,0,1,0,0,0,0,0,0,8,0,0,0,0,1,0,45,0
True,22129156,15999.99,0,96.03128,0.32460642,-0.0022084713,3.8937287,0.0073347986,-0.0037620717,0.43732122,-0.023948494,0.00023266108,-0.011154761,2.272609,-0.055690784,-0.031785138,0.25511202,0.26123348,0.24796295,0.25477833,0.73737204,-0.042814784,1.2176484,-0.04115298,1.2852427,2.5378706,1.2855053,3.4813342,0,0,0,0,0,0,0,0,0,0,0,0,0.009168386,0.009221818,-0.020603305,-0.020527074,0.737429,0.043796662,1.2178227,0.04598835,-0.0013727099,-0.0006218143,0.0005883686,0.0013986677,164,6,231,2,0,-8589.4,148.8154,-625.8189,0.43739888,7513.9854,761.815,121.452965,121.44342,122.08888,122.08888,0,1,-70.21567,0,0,0.09858128,0.09858128,0,7,255,0,0,0,1,0,45,0
True,22129250,15999.99,0,301.86832,-0.19014263,-0.09559857,11.466606,0.005874753,-0.012598476,1.7044014,-0.03781062,-0.0030386827,-0.019166287,2.2724988,-0.05892432,-0.033385813,0.21737972,0.23521559,0.26551336,0.28679603,1.996189,0.37607795,1.0539299,0.5174638,8.831527,6.004911,7.0554986,6.4043097,0,0,0,0,0,0,0,0,0,0,0,0,0.019498095,0.020405442,-0.024911074,-0.022842208,1.9962842,0.37663114,1.0542244,0.51796776,-0.006001197,-0.0038133338,0.002674982,0.0052053332,164,6,231,2,0,-8589.319,148.82082,-625.88824,1.704458,47648.28,1546.6406,121.60875,121.58346,122.32301,122.32301,0,1,-70.12189,0,0,0.20263149,0.2026315,0,7,255,0,0,0,1,0,45,0
True,22129375,15999.99,0,487.9952,0.28383112,-0.17044505,12.873346,0.003453374,-0.040281534,3.037088,-0.0062889727,0.0009521608,-0.012433526,2.2723038,-0.06157057,-0.0342897,0.16260786,0.18878233,0.2792109,0.31107366,1.7865407,0.02034877,0.06567988,0.015999055,11.720507,10.486407,11.149157,11.571027,0,0,0,0,0,0,0,0,0,0,0,0,0.009602463,0.011591325,-0.003166091,-0.0007386436,1.7865666,0.023418609,0.06575615,0.016016096,-0.012719862,-0.009509135,0.004303515,0.008091763,164,6,231,2,0,-8589.131,148.83305,-626.04834,3.0373573,69886.78,1546.6406,123.315,121.71257,123.207855,123.207855,0,1,-69.904495,0,0,0.30550534,0.30550537,0,7,255,0,0,0,1,0,45,0
True,22129484,15999.99,0,675.00275,0.15049171,-0.032663435,12.691055,0.004454851,-0.045766074,4.5601053,-0.004935498,-0.006264172,-0.0049659857,2.2716694,-0.06220565,-0.035207033,0.15994076,0.19361788,0.29012376,0.33206448,1.2755482,0.39054948,1.117624,0.51861477,16.37235,14.850044,15.9583645,15.195201,0,0,0,0,0,0,0,0,0,0,0,0,0.011264067,0.013224737,-0.024997149,-0.020791212,1.2755979,0.39077333,1.1179036,0.51903135,-0.0130470265,-0.008915976,0.0056009777,0.010587417,164,6,231,2,0,-8588.798,148.855,-626.3295,4.560337,108423.42,1546.6406,126.0148,121.81732,123.99515,123.99515,0,1,-69.52132,0,0,0.41978619,0.41978619,0,7,255,0,0,0,1,0,45,0
True,22129593,15999.99,0,887.66516,0.0013995171,-0.030776642,14.075946,0.0044956207,-0.053987034,6.2062016,-0.0086777825,-0.0010216658,0.00063392473,2.271121,-0.06299685,-0.03513524,0.16277249,0.19337666,0.2961425,0.33725503,1.0337162,0.4486332,0.8215371,0.52147794,21.07318,19.983414,20.925592,20.04441,0,0,0,0,0,0,0,0,0,0,0,0,-0.007923964,-0.0054158415,-0.009749961,-0.0056783524,1.0337466,0.4486659,0.82159495,0.5215089,-0.012699669,-0.008945566,0.0063165575,0.011204537,164,6,231,2,0,-8588.323,148.88821,-626.72986,6.206438,142940.64,1546.6406,128.16484,121.97253,124.561295,124.561295,0,1,-68.975334,0,0,0.53502727,0.53502727,0,7,255,0,0,0,1,0,45,0
True,22129703,15999.99,0,1142.45,-0.19494963,-0.1636265,14.952587,0.0030136108,-0.077070184,7.8918552,-0.009499676,-0.007911709,0.006068023,2.2704604,-0.06425525,-0.03483588,0.15421697,0.1850155,0.30074027,0.3379597,1.9379674,0.4820185,0.73399407,0.54197526,28.669209,25.54152,26.165455,25.823286,0,0,0,0,0,0,0,0,0,0,0,0,0.0067349942,0.00896684,-0.019679444,-0.015096941,1.9379791,0.48210192,0.7342578,0.5421855,-0.013749141,-0.009971198,0.006863203,0.011288315,164,6,231,2,0,-8587.713,148.93172,-627.24445,7.892232,183959.73,1546.6406,130.11357,122.13413,124.830696,124.830696,0,1,-68.27332,0,0,0.6480285,0.64802855,0,7,255,0,0,0,1,0,45,0
True,22129812,15999.99,0,1363.9353,3.1878452,-0.06866498,11.987345,0.28518724,-0.08999232,9.312233,0.008437346,0.22269763,0.031570014,2.2788486,-0.06470591,-0.03336634,0.16557765,0.16960354,0.3092937,0.3295307,0.86713696,1.8631421,0.40366206,1.2784222,31.801083,33.510284,29.297232,32.450935,0,0,0,0,0,0,0,0,0,0,0,0,1.0538476,1.2827917,-0.018520946,-0.015596957,1.3647422,2.2620463,0.4040867,1.2785174,-0.012355572,-0.011861727,0.007880136,0.010286171,164,6,231,2,0,-8586.985,148.98438,-627.8744,9.317035,220145.73,1546.6406,131.12305,124.18288,125.03092,125.03092,0,1,-67.42709,0,0,0.75881964,0.7588197,0,7,255,0,0,0,1,102,45,0
True,22129937,15999.99,0,1869.8003,2.6654568,-0.16007799,13.562092,0.26980162,-0.109598145,10.814958,-0.010494251,0.44521785,-0.0025547743,2.3202968,-0.06365821,-0.034149893,0.17946686,0.16311353,0.30871218,0.31333053,1.129642,5.045158,2.851843,3.1905406,38.601284,47.119015,44.104843,42.607704,0,0,0,0,0,0,0,0,0,0,0,0,-0.6084232,-0.66855574,0.2535159,0.26220268,1.2830704,5.0892615,2.863089,3.2012966,-0.010651832,-0.012657832,0.0078110024,0.008360092,164,6,231,2,0,-8586.173,149.04399,-628.6499,10.818877,301549.62,1546.6406,132.40659,131.37433,126.897446,126.897446,0,1,-66.44125,0,0,0.87045217,0.8704522,0,7,255,0,0,0,1,0,44,0
True,22130031,15999.99,0,2078.5437,0.812027,-0.12806436,15.353203,-0.03141594,-0.10894239,12.316086,-0.0046244427,0.30330768,-0.00088885846,2.3560312,-0.06308532,-0.036290478,0.16536994,0.15740679,0.31133637,0.31035432,1.7803574,3.5352027,2.7026062,2.7749085,45.181866,49.330437,48.334064,48.47964,0,0,0,0,0,0,0,0,0,0,0,0,-0.32873696,-0.34535405,0.32609987,0.3438455,1.810453,3.5520315,2.722209,2.796131,-0.012381047,-0.013357861,0.008122999,0.008006241,164,6,231,2,0,-8585.367,149.10602,-629.4425,12.3166065,334022.5,1546.6406,134.92307,138.275,131.57109,131.57109,0,1,-65.4502,0,0,0.96795195,0.96795195,0,7,255,0,0,0,1,0,42,0
