IsRaceOn,TimestampMS,EngineMaxRpm,EngineIdleRpm,CurrentEngineRpm,AccelerationX,AccelerationY,AccelerationZ,VelocityX,VelocityY,VelocityZ,AngularVelocityX,AngularVelocityY,AngularVelocityZ,Yaw,Pitch,Roll,NormalizedSuspensionTravelFrontLeft,NormalizedSuspensionTravelFrontRight,NormalizedSuspensionTravelRearLeft,NormalizedSuspensionTravelRearRight,TireSlipRatioFrontLeft,TireSlipRatioFrontRight,TireSlipRatioRearLeft,TireSlipRatioRearRight,WheelRotationSpeedFrontLeft,WheelRotationSpeedFrontRight,WheelRotationSpeedRearLeft,WheelRotationSpeedRearRight,WheelOnRumbleStripFrontLeft,WheelOnRumbleStripFrontRight,WheelOnRumbleStripRearLeft,WheelOnRumbleStripRearRight,WheelInPuddleDepthFrontLeft,WheelInPuddleDepthFrontRight,WheelInPuddleDepthRearLeft,WheelInPuddleDepthRearRight,SurfaceRumbleFrontLeft,SurfaceRumbleFrontRight,SurfaceRumbleRearLeft,SurfaceRumbleRearRight,TireSlipAngleFrontLeft,TireSlipAngleFrontRight,TireSlipAngleRearLeft,TireSlipAngleRearRight,TireCombinedSlipFrontLeft,TireCombinedSlipFrontRight,TireCombinedSlipRearLeft,TireCombinedSlipRearRight,SuspensionTravelMetersFrontLeft,SuspensionTravelMetersFrontRight,SuspensionTravelMetersRearLeft,SuspensionTravelMetersRearRight,CarOrdinal,CarClass,CarPerformanceIndex,DrivetrainType,NumCylinders,PositionX,PositionY,PositionZ,Speed,Power,Torque,TireTempFl,TireTempFr,TireTempRl,TireTempRr,Boost,Fuel,Distance,BestLapTime,LastLapTime,CurrentLapTime,CurrentRaceTime,Lap,RacePosition,Accelerator,Brake,Clutch,Handbrake,Gear,Steer,NormalDrivingLine,NormalAiBrakeDifference
True,26419218,15999.99,0,500.56335,6.8566275,-0.26601562,1.1486135,-0.2753644,-0.07594652,3.7285163,-0.03677453,0.18960972,-0.04680989,-0.7533197,0.025297515,0.09895671,0.34916732,0.13971502,0.20213859,0.22612356,0.00011948668,-0.006468474,-0.0075958204,-0.00388453,12.051001,11.082609,12.002046,11.111418,0,0,0,0,0,0,0,0,0.59999996,0.59999996,0.59999996,0.59999996,0.033626392,0.042960837,0.46605566,0.50683385,0.033626605,0.043445077,0.46611756,0.50684875,0.010164712,-0.015528047,-0.004859809,-0.0020081736,164,6,231,2,0,4290.34,122.496796,53.836044,3.7394419,-319.8064,-6.102706,215.82874,208.94377,213.6421,213.6421,-5.879999,1,0.25939295,0,0,0.6791559,134.71642,0,9,0,0,0,0,1,0,127,0
True,26435296,15999.99,0,101.17258,-0.048241973,-0.03257393,4.1312466,0.0025955886,-0.0025667772,0.44529074,-0.023698134,0.0012276478,-0.010440212,1.0211692,-0.010038344,-0.00068487844,0.2589959,0.26245055,0.24765381,0.25180012,0.8468743,-0.04787987,1.3806401,-0.046114203,1.2987143,2.705072,1.2985406,3.7364893,0,0,0,0,0,0,0,0,0,0,0,0,0.0154093765,0.015334977,-0.014343369,-0.014264903,0.8470145,0.050275676,1.3807147,0.048270147,-0.00089628994,-0.00047251955,0.0005516149,0.0010445789,164,6,231,2,0,3177.2117,200.46349,646.857,0.44530573,7674.9824,732.7004,91.47413,91.475975,91.64804,91.64804,0,1,-62.841248,0,0,0.09482368,0.09482368,0,8,255,0,0,0,1,0,58,0
True,26435421,15999.99,0,329.51086,-0.03744173,0.010613713,11.788135,0.0033991337,-0.004472077,1.8470954,-0.036772378,-0.004804829,-0.019116744,1.020767,-0.013579862,-0.0023859304,0.22999567,0.24475262,0.27887166,0.29092056,2.9087944,0.36809853,0.86829406,0.5714592,10.877614,6.4575095,7.256112,6.819637,0,0,0,0,0,0,0,0,0,0,0,0,0.046756383,0.044762354,-0.020806573,-0.020113409,2.9091702,0.37081018,0.8685433,0.57181305,-0.004453644,-0.0026434623,0.0042631887,0.005695708,164,6,231,2,0,3177.3167,200.46461,646.9209,1.8471038,51934.07,1546.6406,91.743385,91.63359,91.94263,91.94263,0,1,-62.74478,0,0,0.20690897,0.20690897,0,7,255,0,0,0,1,0,58,0
True,26435515,15999.99,0,489.2703,-0.025017262,0.07735434,12.466265,0.0025908947,0.0025177598,2.9963133,-0.007827732,-0.0033054666,-0.014036024,1.0204179,-0.015407336,-0.004140819,0.21109228,0.2347445,0.29976743,0.31698292,1.2702769,0.703109,1.3330823,1.1367502,11.536227,9.774661,12.134565,11.160968,0,0,0,0,0,0,0,0,0,0,0,0,0.0095766755,0.010397851,0.003169617,0.004559972,1.270313,0.7031859,1.333086,1.1367593,-0.006772455,-0.0038711205,0.0067475364,0.008794334,164,6,231,2,0,3177.516,200.46811,647.0427,2.9963157,78272.42,1546.6406,93.92975,91.725174,92.79639,92.79639,0,1,-62.561222,0,0,0.30311805,0.30311805,0,7,255,0,0,0,1,0,58,0
True,26435625,15999.99,0,690.1924,-0.15065002,-0.12603977,13.692508,-0.0015106201,-0.017863732,4.563204,-0.016114317,-0.010838856,-0.006724107,1.019748,-0.01646909,-0.0048076664,0.18470667,0.2132001,0.28716484,0.3156651,2.3013926,0.43609592,1.0153552,0.6519561,18.058605,14.924937,16.032255,15.24986,0,0,0,0,0,0,0,0,0,0,0,0,0.040659435,0.040922787,-0.022708913,-0.020680632,2.3017516,0.4380118,1.0156091,0.652284,-0.01000908,-0.0065138936,0.00524918,0.0086376555,164,6,231,2,0,3177.88,200.47421,647.26605,4.563239,110720.38,1546.6406,95.300026,91.8427,93.73611,93.73611,0,1,-62.22607,0,0,0.41649637,0.4164964,0,7,255,0,0,0,1,0,58,0
True,26435734,15999.99,0,904.00195,-0.0561738,-0.16712354,14.729391,-0.0031108856,-0.042221542,6.176422,-0.012092379,-0.008754666,-0.0024466882,1.0188844,-0.017731493,-0.004874453,0.16395453,0.19180997,0.28630862,0.3161929,1.715138,0.49728036,0.7419918,1.0727273,21.987232,19.95871,20.851652,20.800043,0,0,0,0,0,0,0,0,0,0,0,0,0.024687605,0.02597744,-0.009425231,-0.007591282,1.7153156,0.49795842,0.74205166,1.0727541,-0.012554672,-0.009137746,0.0051473863,0.008700401,164,6,231,2,0,3178.3958,200.48112,647.5837,6.1765676,145639.69,1546.6406,96.85107,91.98753,94.30545,94.30545,0,1,-61.73539,0,0,0.5296134,0.5296134,0,7,255,0,0,0,1,0,58,0
True,26435859,15999.99,0,1143.444,-0.14086008,-0.19279696,15.176348,-0.006648779,-0.07155676,7.87547,-0.0009758016,-0.010893552,0.008497497,1.0175227,-0.019055815,-0.0046148803,0.14009067,0.17132546,0.28973028,0.31953332,1.5727787,0.33959848,0.86319476,0.7303127,27.726168,25.55299,26.525043,26.038267,0,0,0,0,0,0,0,0,0,0,0,0,0.025802076,0.027256723,-0.011876023,-0.0096477,1.5729903,0.34069055,0.8632764,0.7303765,-0.015481966,-0.011650506,0.0055541955,0.0090975575,164,6,231,2,0,3179.0664,200.48943,647.99774,7.875798,183895.34,1546.6406,100.117096,92.15517,94.646324,94.646324,0,1,-61.116486,0,0,0.6410746,0.6410746,0,7,255,0,0,0,1,0,58,0
True,26435968,15999.99,0,1390.2563,0.00274992,-0.19988368,15.566095,-0.0065464973,-0.09420544,9.621089,-0.001524434,-0.009453119,0.014213027,1.0162494,-0.019156344,-0.003180604,0.13760683,0.16091399,0.2930853,0.31252703,1.638209,0.58988905,0.6885145,0.65394515,34.048325,31.430965,31.79081,31.739801,0,0,0,0,0,0,0,0,0,0,0,0,0.01593395,0.017968588,-0.010198079,-0.008344835,1.6382865,0.59016263,0.68859,0.6539984,-0.01578665,-0.012927644,0.0059530847,0.0082645565,164,6,231,2,0,3179.905,200.4988,648.51746,9.621552,224275.56,1546.6406,102.79055,92.32716,94.91376,94.91376,0,1,-60.341854,0,0,0.7536411,0.7536411,0,7,255,0,0,0,1,0,58,0
True,26436078,15999.99,0,1588.391,0.04920292,-0.13104172,15.902157,-0.004116535,-0.10923884,11.187321,-0.002042991,-0.0010145514,0.012440361,1.0157906,-0.019419983,-0.0017723944,0.1415103,0.1535016,0.29884493,0.3061861,0.69536895,0.6824645,0.5668459,0.5802897,36.82584,36.79059,36.59182,36.639122,0,0,0,0,0,0,0,0,0,0,0,0,0.0005397552,0.0030087514,-0.0013712648,0.00041039163,0.6953692,0.6824711,0.56684756,0.5802899,-0.015307827,-0.013836894,0.0066378564,0.0075106733,164,6,231,2,0,3180.7788,200.50862,649.0597,11.187854,256273.56,1546.6406,103.11658,92.53024,95.13474,95.13474,0,1,-59.534405,0,0,0.8522563,0.85225624,0,7,255,0,0,0,1,0,58,0
True,26436187,15999.99,0,1869.9492,1.3612547,-0.18951601,15.560014,0.09229565,-0.1294609,12.952352,0.004420143,0.106225654,0.007284765,1.022299,-0.01926732,1.2706965E-05,0.14504151,0.1421821,0.30334824,0.29608008,0.57645375,1.5373547,0.59594244,0.76291054,42.61501,45.22605,42.774586,42.801586,0,0,0,0,0,0,0,0,0,0,0,0,-0.20429501,-0.20670173,0.026521748,0.028653547,0.6115843,1.5511883,0.5965323,0.7634485,-0.014874663,-0.01522542,0.00717327,0.0063091367,164,6,231,2,0,3181.9548,200.52177,649.7775,12.953327,301827.7,1546.6406,102.82205,93.37688,95.36448,95.36448,0,1,-58.452587,0,0,0.96621466,0.96621466,0,7,255,0,0,0,1,0,58,0
