IsRaceOn,TimestampMS,EngineMaxRpm,EngineIdleRpm,CurrentEngineRpm,AccelerationX,AccelerationY,AccelerationZ,VelocityX,VelocityY,VelocityZ,AngularVelocityX,AngularVelocityY,AngularVelocityZ,Yaw,Pitch,Roll,NormalizedSuspensionTravelFrontLeft,NormalizedSuspensionTravelFrontRight,NormalizedSuspensionTravelRearLeft,NormalizedSuspensionTravelRearRight,TireSlipRatioFrontLeft,TireSlipRatioFrontRight,TireSlipRatioRearLeft,TireSlipRatioRearRight,WheelRotationSpeedFrontLeft,WheelRotationSpeedFrontRight,WheelRotationSpeedRearLeft,WheelRotationSpeedRearRight,WheelOnRumbleStripFrontLeft,WheelOnRumbleStripFrontRight,WheelOnRumbleStripRearLeft,WheelOnRumbleStripRearRight,WheelInPuddleDepthFrontLeft,WheelInPuddleDepthFrontRight,WheelInPuddleDepthRearLeft,WheelInPuddleDepthRearRight,SurfaceRumbleFrontLeft,SurfaceRumbleFrontRight,SurfaceRumbleRearLeft,SurfaceRumbleRearRight,TireSlipAngleFrontLeft,TireSlipAngleFrontRight,TireSlipAngleRearLeft,TireSlipAngleRearRight,TireCombinedSlipFrontLeft,TireCombinedSlipFrontRight,TireCombinedSlipRearLeft,TireCombinedSlipRearRight,SuspensionTravelMetersFrontLeft,SuspensionTravelMetersFrontRight,SuspensionTravelMetersRearLeft,SuspensionTravelMetersRearRight,CarOrdinal,CarClass,CarPerformanceIndex,DrivetrainType,NumCylinders,PositionX,PositionY,PositionZ,Speed,Power,Torque,TireTempFl,TireTempFr,TireTempRl,TireTempRr,Boost,Fuel,Distance,BestLapTime,LastLapTime,CurrentLapTime,CurrentRaceTime,Lap,RacePosition,Accelerator,Brake,Clutch,Handbrake,Gear,Steer,NormalDrivingLine,NormalAiBrakeDifference
True,22438156,15999.99,0,0,-0.083396316,-0.00085852813,0.066958964,-0.0038020988,-7.402349E-06,-0.0058931783,0.0004181774,0.002187602,-0.00079084525,-0.5729736,-0.0017866455,0.00012631889,0.27599922,0.2561969,0.24406634,0.24259478,0.0002344395,0.00062775554,-0.015580348,0.028546102,-0.018267756,-0.018267756,-0.018267756,-0.018267756,0,0,0,0,0,0,0,0,0,0,0,0,0.02683381,0.017655319,-0.009533508,-0.009226933,0.026834833,0.017666474,0.01826568,0.030000271,0.0011894442,-0.001239635,0.00012509152,-4.9866736E-05,164,6,231,2,0,-9564.256,412.66653,1365.1691,0.0070132418,0,0,117.911194,115.52301,119.85364,119.85364,-14.7,1,0,0,0,0,80.94191,0,0,0,0,0,255,1,-127,0,0
True,22456421,15999.99,0,50.485783,0.048812985,-0.028341144,2.7909448,0.0072107837,-0.0024128323,0.26447463,-0.018946657,0.00051377725,-0.0105873635,0.59855014,-0.040865935,-0.055519003,0.25338775,0.2709288,0.2485177,0.24393713,0.17255487,0.063531265,0.18018582,0.11278889,0.93011034,1.1824917,1.0618858,1.3886015,0,0,0,0,0,0,0,0,0,0,0,0,-0.004050998,-0.003970585,-0.0065592146,-0.0064739054,0.17260242,0.06365522,0.18030518,0.11297454,-0.0015842207,0.0005674772,0.0006543249,0.000109728426,164,6,231,2,0,-9618.597,109.205826,1296.065,0.26458392,2706.2395,567.8208,114.45231,113.831726,116.753845,116.753845,0,1,-54.930428,0,0,0.073472,0.073472,0,8,255,0,0,0,1,0,53,0
True,22456531,15999.99,0,280.1469,0.32321787,-0.036400616,10.711431,0.007016301,-0.009134702,1.534154,-0.037502352,-0.0018429309,-0.018037448,0.59876865,-0.044256803,-0.05712837,0.2254277,0.25522378,0.26729837,0.2753332,2.004784,0.27207252,0.9783454,0.4757927,8.413095,5.5249333,6.5823193,5.8174767,0,0,0,0,0,0,0,0,0,0,0,0,0.004990672,0.006886918,-0.03417575,-0.032152228,2.0047903,0.27215967,0.9789421,0.47687784,-0.00501398,-0.0013590008,0.0028872043,0.0038424917,164,6,231,2,0,-9618.541,109.20924,1296.144,1.5341972,41806.41,1471.092,114.56415,113.92764,116.92937,116.92937,0,1,-54.86397,0,0,0.19025147,0.19025147,0,7,255,0,0,0,1,0,53,0
True,22456640,15999.99,0,450.08368,0.84481716,-0.022156298,13.5144825,0.007721305,-0.019397795,3.0974927,-0.021617549,0.005232771,-0.012789768,0.59888095,-0.048077464,-0.058119416,0.19785962,0.24257207,0.28119245,0.30104646,2.0897276,-0.06690832,0.7834668,-0.06256717,11.860944,10.109652,9.570107,10.579737,0,0,0,0,0,0,0,0,0,0,0,0,-0.00010930528,0.0026598056,-0.035909973,-0.033882786,2.0897276,0.06696117,0.78428936,0.071152605,-0.008395657,-0.0029109418,0.0045391135,0.0068996064,164,6,231,2,0,-9618.385,109.22039,1296.3718,3.0975628,0,0,116.70221,114.01415,117.6107,117.6107,0,1,-54.67411,0,0,0.30807692,0.30807692,0,7,255,0,0,0,1,0,53,0
True,22456750,15999.99,0,601.3806,0.02680254,-0.0912953,12.766215,0.0068109035,-0.034080774,4.311981,-0.0065471735,0.0027351964,-0.00065885717,0.5985735,-0.049520668,-0.058333874,0.17767847,0.22819437,0.2847126,0.32027817,1.580152,-0.05298954,0.44550243,-0.049415186,14.741816,13.726412,13.330637,14.072814,0,0,0,0,0,0,0,0,0,0,0,0,-0.003874241,-0.0005554516,-0.032586094,-0.028992249,1.5801568,0.05299245,0.4466926,0.05729233,-0.0108712055,-0.0046746023,0.004957635,0.009186111,164,6,231,2,0,-9618.182,109.23543,1296.6687,4.312121,0,0,117.89722,114.088524,118.43948,118.43948,0,1,-54.42687,0,0,0.40446335,0.40446338,0,7,255,0,0,0,1,0,53,0
True,22456859,15999.99,0,857.30145,0.24146414,-0.13726962,13.72329,0.005377054,-0.0528225,5.902096,-0.0042687994,-0.0059762327,0.006758467,0.5979029,-0.04996927,-0.057271745,0.17251542,0.21918505,0.28903642,0.3284081,1.1860917,0.4309411,0.89147896,0.6972631,20.605316,19.115154,19.864052,19.667595,0,0,0,0,0,0,0,0,0,0,0,0,-0.0017206073,0.0016939098,-0.022874486,-0.01983535,1.1860929,0.43094444,0.8917724,0.69754523,-0.011504538,-0.005779743,0.0054717027,0.010152698,164,6,231,2,0,-9617.846,109.25998,1297.1617,5.902334,137777.27,1546.6406,119.40168,114.16263,119.09737,119.09737,0,1,-54.01676,0,0,0.521173,0.52117306,0,7,255,0,0,0,1,0,53,0
True,22456968,15999.99,0,1064.2635,0.05250883,-0.11975253,13.793027,0.008742809,-0.06455243,7.2439165,0.0041619856,-0.0089091,0.008081908,0.5971097,-0.04984565,-0.056600768,0.17157616,0.21529888,0.2989344,0.33426544,2.1645336,0.42408508,0.8204935,0.65128195,27.095333,23.393017,24.5661,23.871336,0,0,0,0,0,0,0,0,0,0,0,0,-0.001317798,0.0023021551,-0.029083801,-0.025199188,2.164534,0.42409134,0.8210088,0.6517693,-0.011619754,-0.0062564462,0.006648496,0.0108491,164,6,231,2,0,-9617.4795,109.28661,1297.6987,7.2442083,170858.64,1546.6406,120.65843,114.23585,119.49249,119.49249,0,1,-53.569996,0,0,0.6199648,0.6199649,0,7,255,0,0,0,1,0,53,0
True,22457078,15999.99,0,1286.3341,-0.55704117,-0.18599659,14.285574,0.011766434,-0.08007455,8.751686,0.0040142625,-0.010784761,0.011044504,0.59621954,-0.049591847,-0.055739485,0.17381191,0.20994456,0.30738774,0.3390981,2.1144774,0.5626796,0.8282153,0.6720105,32.55092,28.604736,29.403984,29.068878,0,0,0,0,0,0,0,0,0,0,0,0,-0.0029319862,0.00088230916,-0.031579595,-0.027152026,2.1144793,0.56268024,0.8288171,0.6725588,-0.011345504,-0.006913241,0.007653538,0.011423662,164,6,231,2,0,-9617.023,109.319725,1298.3695,8.752061,207193.28,1546.6406,121.86392,114.33244,119.79075,119.79075,0,1,-53.012486,0,0,0.721451,0.72145116,0,7,255,0,0,0,1,0,53,0
True,22457187,15999.99,0,1495.552,-0.02314806,-0.20145541,15.28805,0.013749123,-0.097200096,10.3849945,0.0051277024,-0.0017930098,0.013178974,0.5954632,-0.048956044,-0.054336388,0.18049036,0.20393094,0.31895736,0.34178412,0.932424,0.73200166,0.6972658,0.67107546,34.975616,34.43097,34.48822,34.412216,0,0,0,0,0,0,0,0,0,0,0,0,-0.016500073,-0.012722979,-0.019798538,-0.015004204,0.93257,0.7321122,0.69754684,0.6712432,-0.010526281,-0.007650908,0.0090290755,0.011743013,164,6,231,2,0,-9616.446,109.36068,1299.219,10.385458,241337.67,1546.6406,123.12512,114.46315,119.95099,119.95099,0,1,-52.3066,0,0,0.8287635,0.82876366,0,7,255,0,0,0,1,0,53,0
True,22457296,15999.99,0,1775.5132,0.53340244,-0.27018845,15.80991,0.016571999,-0.123497725,12.289351,0.008182488,0.002694007,0.014734808,0.59557825,-0.048145015,-0.052586246,0.14966843,0.18925878,0.33318165,0.34208754,1.2327906,0.603454,0.66790676,0.71106803,42.51777,40.26753,40.72618,40.863327,0,0,0,0,0,0,0,0,0,0,0,0,-0.02208339,-0.01831394,-0.01563281,-0.010154812,1.2329884,0.6037318,0.6680897,0.7111405,-0.014307097,-0.009450689,0.010720238,0.011779085,164,6,231,2,0,-9615.659,109.415054,1300.3784,12.289983,286638.22,1546.6406,122.997314,114.65485,120.12799,120.12799,0,1,-51.34345,0,0,0.95222396,0.952224,0,7,255,0,0,0,1,0,53,0
