IsRaceOn,TimestampMS,EngineMaxRpm,EngineIdleRpm,CurrentEngineRpm,AccelerationX,AccelerationY,AccelerationZ,VelocityX,VelocityY,VelocityZ,AngularVelocityX,AngularVelocityY,AngularVelocityZ,Yaw,Pitch,Roll,NormalizedSuspensionTravelFrontLeft,NormalizedSuspensionTravelFrontRight,NormalizedSuspensionTravelRearLeft,NormalizedSuspensionTravelRearRight,TireSlipRatioFrontLeft,TireSlipRatioFrontRight,TireSlipRatioRearLeft,TireSlipRatioRearRight,WheelRotationSpeedFrontLeft,WheelRotationSpeedFrontRight,WheelRotationSpeedRearLeft,WheelRotationSpeedRearRight,WheelOnRumbleStripFrontLeft,WheelOnRumbleStripFrontRight,WheelOnRumbleStripRearLeft,WheelOnRumbleStripRearRight,WheelInPuddleDepthFrontLeft,WheelInPuddleDepthFrontRight,WheelInPuddleDepthRearLeft,WheelInPuddleDepthRearRight,SurfaceRumbleFrontLeft,SurfaceRumbleFrontRight,SurfaceRumbleRearLeft,SurfaceRumbleRearRight,TireSlipAngleFrontLeft,TireSlipAngleFrontRight,TireSlipAngleRearLeft,TireSlipAngleRearRight,TireCombinedSlipFrontLeft,TireCombinedSlipFrontRight,TireCombinedSlipRearLeft,TireCombinedSlipRearRight,SuspensionTravelMetersFrontLeft,SuspensionTravelMetersFrontRight,SuspensionTravelMetersRearLeft,SuspensionTravelMetersRearRight,CarOrdinal,CarClass,CarPerformanceIndex,DrivetrainType,NumCylinders,PositionX,PositionY,PositionZ,Speed,Power,Torque,TireTempFl,TireTempFr,TireTempRl,TireTempRr,Boost,Fuel,Distance,BestLapTime,LastLapTime,CurrentLapTime,CurrentRaceTime,Lap,RacePosition,Accelerator,Brake,Clutch,Handbrake,Gear,Steer,NormalDrivingLine,NormalAiBrakeDifference
True,36896218,15999.99,0,787.5017,-2.3460178,-0.02118171,12.784884,-0.38341403,-0.035072144,5.0397263,-0.0027986052,-0.31253392,-0.011842513,2.9089816,-0.0093409745,0.007877309,0.16187117,0.21594995,0.28712928,0.31304482,1.1532607,0.16804269,2.1924336,-0.0015100159,17.081333,17.225971,18.523855,18.967789,0,0,0,0,0,0,0,0,0,0,0,0,-0.12419569,-0.09123781,-0.025829688,-0.021070754,1.1599288,0.19121371,2.1925857,0.021124791,-0.012810232,-0.0061765797,0.0052449554,0.008326124,164,6,231,2,0,-5076.55,178.17674,-200.37245,5.054412,121066.54,1546.6406,119.50252,109.50674,121.46599,121.46599,0,1,146.60742,159.95755,159.95755,0,225.90742,1,12,255,0,0,0,1,-34,215,0
True,36948625,15999.99,0,121.08128,0.28631163,0.011747688,5.489667,0.011826575,-0.0023211539,0.59920925,-0.025181983,0.00058317254,-0.0096391775,2.2961397,0.10530646,-0.058993928,0.25567257,0.26640287,0.24448644,0.2481735,0.82495666,-0.052672762,1.328203,-0.050867606,1.767932,3.1635518,1.7676635,4.182531,0,0,0,0,0,0,0,0,0,0,0,0,0.0037175843,0.0036776066,-0.029349072,-0.02934192,0.82496506,0.052800994,1.3285272,0.058723602,-0.0013039485,1.2297183E-05,0.00017503649,0.0006134026,164,6,231,2,0,-3876.8936,313.68073,4061.6243,0.59933037,8969.418,722.0656,100.521164,100.55892,103.554245,103.554245,0,1,-59.23623,0,0,0.09346269,0.09346268,0,7,255,0,0,0,1,0,49,0
True,36948718,15999.99,0,307.8304,-0.034819126,0.044478,12.155443,0.0075364113,0.00020959973,1.8991411,-0.03723164,-0.0015869662,-0.017710235,2.2962456,0.10221037,-0.060456518,0.237166,0.25894085,0.27911368,0.29475036,1.4510553,0.4737112,0.6355809,0.44900915,8.511163,6.3383613,7.068021,6.809031,0,0,0,0,0,0,0,0,0,0,0,0,-0.009636284,-0.008282971,-0.018894656,-0.018895205,1.4510872,0.4737836,0.6358617,0.44940656,-0.0035740845,-0.0009030439,0.004291963,0.0061510466,164,6,231,2,0,-3876.8054,313.66812,4061.5452,1.899156,47002.156,1484.5374,100.68103,100.72801,103.78766,103.78766,0,1,-59.14806,0,0,0.19198838,0.19198835,0,7,255,0,0,0,1,0,49,0
True,36948843,15999.99,0,590.9255,0.072743416,0.07236141,14.149347,0.009001613,0.013899833,3.6140552,-0.011888181,-0.008267246,-0.004195616,2.295988,0.09965385,-0.062234413,0.20951225,0.24348463,0.30455953,0.3335369,1.5831584,0.48176658,2.2770102,0.8832996,14.332598,12.023812,14.814724,12.98678,0,0,0,0,0,0,0,0,0,0,0,0,0.0048590614,0.00632201,-0.046195116,-0.042498954,1.5831658,0.48180807,2.2774787,0.8843214,-0.0069662705,-0.0027990006,0.0073172823,0.010762479,164,6,231,2,0,-3876.5618,313.63672,4061.328,3.6140933,94651.57,1546.6406,103.73126,100.85666,104.27992,104.27992,0,1,-58.90528,0,0,0.31037834,0.31037828,0,7,255,0,0,0,1,0,49,0
True,36948953,15999.99,0,774.646,0.10348797,-0.21651173,13.743538,0.009281397,-0.020341516,5.1191196,-0.00080583966,-0.0009562584,-0.0029854635,2.2954323,0.09932004,-0.062497225,0.17061178,0.2090835,0.28093478,0.316266,1.1132542,0.14373085,1.6349212,0.13742837,17.610064,17.003857,17.690931,18.719952,0,0,0,0,0,0,0,0,0,0,0,0,-0.0040742597,-0.002340712,-0.031766605,-0.029389177,1.1132617,0.14374991,1.6352298,0.1405357,-0.011738051,-0.007018864,0.0045084767,0.008709099,164,6,231,2,0,-3876.1846,313.58594,4060.9924,5.1191683,120239.305,1546.6406,104.217285,101.01014,106.16701,106.16701,0,1,-58.529705,0,0,0.42649505,0.42649496,0,7,255,0,0,0,1,0,49,0
True,36949078,15999.99,0,1044.5917,0.079661846,-0.17153263,15.858152,0.010929108,-0.051407635,7.2042866,-0.010035182,-0.0072101536,0.0010584807,2.2947774,0.09820315,-0.062369898,0.14439726,0.17849693,0.2818521,0.31532645,1.8976228,0.48945627,0.8060504,0.51836145,26.108171,23.31849,24.108442,23.50314,0,0,0,0,0,0,0,0,0,0,0,0,-0.0033486928,-0.0014148178,-0.028841179,-0.026680311,1.8976258,0.48945832,0.80656624,0.5190476,-0.0149536915,-0.010770811,0.0046175346,0.008597389,164,6,231,2,0,-3875.584,313.5015,4060.4597,7.2044787,167954.72,1546.6406,106.02936,101.18063,107.0202,107.0202,0,1,-57.932125,0,0,0.5573975,0.5573974,0,7,255,0,0,0,1,0,49,0
True,36949187,15999.99,0,1272.8208,0.2161498,-0.2146014,15.827665,0.010432243,-0.07659763,8.769967,0.0023084986,-0.0063027297,0.013733283,2.294098,0.09770898,-0.061803438,0.12344459,0.16534361,0.28213966,0.31608835,1.96824,0.49726084,0.7349908,0.6167927,31.95657,28.41006,29.104706,28.833164,0,0,0,0,0,0,0,0,0,0,0,0,-0.008461033,-0.006277832,-0.025029162,-0.023168135,1.9682583,0.49730048,0.7354168,0.6172277,-0.017523881,-0.012384279,0.004651729,0.008687977,164,6,231,2,0,-3875.0046,313.41925,4059.9468,8.770308,204928,1546.6406,108.50014,101.33327,107.22762,107.22762,0,1,-57.356087,0,0,0.6544224,0.65442234,0,7,255,0,0,0,1,0,49,0
True,36949312,15999.99,0,1576.177,0.119565964,-0.12689841,16.662348,0.013561726,-0.098395824,11.004601,-0.008601444,0.0011956166,0.018348204,2.2935667,0.097542875,-0.05930281,0.14161538,0.17917591,0.28176636,0.2955746,1.2154536,0.53192717,0.61789584,0.6599281,37.712685,35.748592,36.165,36.280567,0,0,0,0,0,0,0,0,0,0,0,0,-0.020992856,-0.018535351,-0.015734503,-0.015239084,1.215635,0.53225005,0.6180961,0.660104,-0.015294937,-0.010687521,0.004607346,0.006249044,164,6,231,2,0,-3874.0168,313.27805,4059.0742,11.005048,254482.6,1546.6406,111.449165,101.55177,107.50667,107.50667,0,1,-56.374813,0,0,0.78832644,0.7883263,0,7,255,0,0,0,1,0,49,0
True,36949437,15999.99,0,1842.247,-0.04973793,-0.13446188,16.993912,0.016860962,-0.13072008,12.967287,-0.013817059,0.0054923953,0.012639178,2.294162,0.09607692,-0.057606135,0.15666153,0.1839676,0.28646967,0.29265204,0.9104373,0.53201103,0.5506973,0.5798932,43.449226,42.120575,42.38256,42.45041,0,0,0,0,0,0,0,0,0,0,0,0,-0.02481204,-0.02156453,-0.010463211,-0.009754339,0.9107753,0.5324479,0.5507967,0.5799752,-0.013449278,-0.010099739,0.0051665306,0.0059015676,164,6,231,2,0,-3872.972,313.12924,4058.151,12.967958,297361,1546.6406,111.370544,101.75666,107.72053,107.72053,0,1,-55.33669,0,0,0.90508,0.9050799,0,7,255,0,0,0,1,0,49,0
True,36949546,15999.99,0,2103.1074,-0.010825157,-0.10632765,16.747961,0.017248154,-0.15520251,14.873376,-0.004143344,0.0055985763,0.014131155,2.2948585,0.09502843,-0.055975243,0.16510008,0.18422611,0.30774292,0.32010397,0.68699855,0.5663502,0.53375506,0.53454024,48.926014,48.434223,48.523243,48.498405,0,0,0,0,0,0,0,0,0,0,0,0,-0.022734778,-0.019202713,-0.010697426,-0.0073767793,0.68737465,0.56667566,0.53386223,0.53459114,-0.012414152,-0.010068029,0.007695768,0.009165399,164,6,231,2,0,-3871.7925,312.96182,4057.1074,14.874195,339611.03,1546.6406,111.21317,101.96901,107.92613,107.92613,0,1,-54.16434,0,0,1.0186559,1.0186557,0,7,255,0,0,0,1,0,49,0
