IsRaceOn,TimestampMS,EngineMaxRpm,EngineIdleRpm,CurrentEngineRpm,AccelerationX,AccelerationY,AccelerationZ,VelocityX,VelocityY,VelocityZ,AngularVelocityX,AngularVelocityY,AngularVelocityZ,Yaw,Pitch,Roll,NormalizedSuspensionTravelFrontLeft,NormalizedSuspensionTravelFrontRight,NormalizedSuspensionTravelRearLeft,NormalizedSuspensionTravelRearRight,TireSlipRatioFrontLeft,TireSlipRatioFrontRight,TireSlipRatioRearLeft,TireSlipRatioRearRight,WheelRotationSpeedFrontLeft,WheelRotationSpeedFrontRight,WheelRotationSpeedRearLeft,WheelRotationSpeedRearRight,WheelOnRumbleStripFrontLeft,WheelOnRumbleStripFrontRight,WheelOnRumbleStripRearLeft,WheelOnRumbleStripRearRight,WheelInPuddleDepthFrontLeft,WheelInPuddleDepthFrontRight,WheelInPuddleDepthRearLeft,WheelInPuddleDepthRearRight,SurfaceRumbleFrontLeft,SurfaceRumbleFrontRight,SurfaceRumbleRearLeft,SurfaceRumbleRearRight,TireSlipAngleFrontLeft,TireSlipAngleFrontRight,TireSlipAngleRearLeft,TireSlipAngleRearRight,TireCombinedSlipFrontLeft,TireCombinedSlipFrontRight,TireCombinedSlipRearLeft,TireCombinedSlipRearRight,SuspensionTravelMetersFrontLeft,SuspensionTravelMetersFrontRight,SuspensionTravelMetersRearLeft,SuspensionTravelMetersRearRight,CarOrdinal,CarClass,CarPerformanceIndex,DrivetrainType,NumCylinders,PositionX,PositionY,PositionZ,Speed,Power,Torque,TireTempFl,TireTempFr,TireTempRl,TireTempRr,Boost,Fuel,Distance,BestLapTime,LastLapTime,CurrentLapTime,CurrentRaceTime,Lap,RacePosition,Accelerator,Brake,Clutch,Handbrake,Gear,Steer,NormalDrivingLine,NormalAiBrakeDifference
True,37522421,15999.99,0,177.27124,-0.47915632,0.041058563,0.51025134,-0.009541959,0.00014968589,1.3239337,-0.00011630438,-0.0006079046,0.0033740045,1.1962755,0.049390964,0.06681201,0.24968795,0.26695052,0.2483819,0.2259908,-0.0010861924,-0.0009822279,-0.0014835926,-0.0017441498,4.0947676,4.0984793,4.092001,4.0931406,0,0,0,0,0,0,0,0,0.120000005,0.120000005,0.120000005,0.120000005,0.023731645,0.023028107,0.019589962,0.019625282,0.02375649,0.023049045,0.01964606,0.019702632,-0.0020380616,7.947534E-05,0.0006381795,-0.0020239577,164,6,231,2,0,2173.0134,173.91634,-1317.1034,1.323968,-40.085434,-2.1601703,203.62836,199.5103,221.33142,221.33142,0,1,67.42267,0,0,0.7146146,52.866318,0,11,0,0,0,0,1,0,127,0
True,37541843,15999.99,0,84.43821,-0.013378859,-0.063588545,3.9463356,-0.0020676553,-0.0035920993,0.40171927,-0.02265071,-0.0008347901,-0.010609177,1.2953553,-0.035560656,0.036002688,0.25790253,0.26277673,0.25082433,0.24759391,0.7611356,0.2323377,-0.039170712,0.056193,1.1929516,1.1197109,2.632423,2.1262434,0,0,0,0,0,0,0,0,0,0,0,0,0.008454313,0.008473439,0.0059480113,0.006095384,0.7611825,0.23249215,0.039619736,0.056522626,-0.0010304078,-0.00043250993,0.00092856586,0.00054449216,164,6,231,2,0,675.30133,263.6258,-2836.9163,0.4017407,4826.775,702.13763,117.87056,117.870964,118.16202,118.16202,0,1,-61.488125,0,0,0.09085971,0.09085971,0,8,255,0,0,0,1,0,58,0
True,37541968,15999.99,0,305.82632,0.04119587,-0.08686596,11.406796,0.0014486909,-0.013951909,1.7502117,-0.03803805,-0.0043962733,-0.017243356,1.2950946,-0.039034195,0.034346465,0.216189,0.23875713,0.26354876,0.27952477,2.1430924,0.4584383,0.83731997,0.5213323,9.373707,6.025499,6.9226923,6.5144405,0,0,0,0,0,0,0,0,0,0,0,0,0.049580555,0.048613757,-0.0075789024,-0.005932201,2.1436658,0.46100864,0.8373543,0.5213661,-0.006147258,-0.0033789054,0.0024414062,0.0043408386,164,6,231,2,0,675.41144,263.62933,-2836.8853,1.7502679,48129.883,1546.6406,118.037094,118.05119,118.35602,118.35602,0,1,-61.400135,0,0,0.20215887,0.20215887,0,7,255,0,0,0,1,0,58,0
True,37542078,15999.99,0,508.65012,0.07627082,-0.13859355,12.820937,-0.0024920702,-0.03827851,3.2192078,-0.016240945,-0.0024119748,-0.006350872,1.2949324,-0.041940544,0.034215182,0.16834727,0.20624536,0.2700221,0.30540258,0.5542644,0.4261431,1.0632459,1.5063753,11.302531,10.611328,11.877585,12.471094,0,0,0,0,0,0,0,0,0,0,0,0,0.017124167,0.01854651,0.009279656,0.010651039,0.5545289,0.4265465,1.0632864,1.506413,-0.012015831,-0.0073670074,0.00321104,0.0074175186,164,6,231,2,0,675.68634,263.63766,-2836.8071,3.2194362,81711.9,1546.6406,120.82422,118.20741,119.25312,119.25312,0,1,-61.180336,0,0,0.31640235,0.31640232,0,7,255,0,0,0,1,0,58,0
True,37542187,15999.99,0,714.33936,-0.11449385,0.010775484,13.216738,-0.004379511,-0.036066614,4.7853446,0.005230183,0.0056956783,-0.0001406041,1.2946826,-0.04288183,0.033806726,0.15451074,0.19526547,0.30062833,0.3429904,1.2257222,0.2944502,1.4000161,1.293117,17.215593,15.872534,17.439106,15.504982,0,0,0,0,0,0,0,0,0,0,0,0,-0.014086666,-0.011363205,0.025441108,0.028387284,1.2258031,0.2946694,1.4002472,1.2934285,-0.013713108,-0.008713871,0.0068498924,0.011886429,164,6,231,2,0,676.12573,263.65295,-2836.6821,4.7854824,117048.98,1546.6406,122.32854,118.34187,119.94792,119.94792,0,1,-60.82895,0,0,0.42955565,0.42955562,0,7,255,0,0,0,1,0,58,0
True,37542296,15999.99,0,935.9044,0.014778137,-0.0812874,14.840575,0.00084114075,-0.04837142,6.487732,-0.0045736553,-0.002685419,0.0063181655,1.293838,-0.04263402,0.03409884,0.15293749,0.1892413,0.29492876,0.3352247,1.4973743,0.596956,0.76218253,0.5668016,22.71168,21.378885,21.530518,21.231771,0,0,0,0,0,0,0,0,0,0,0,0,0.35463935,0.35935917,-0.00803941,-0.0048431735,1.5387979,0.6967751,0.7622249,0.5668223,-0.013906093,-0.009452835,0.0061722584,0.010963146,164,6,231,2,0,676.7495,263.67587,-2836.5044,6.4879127,150549.77,1546.6406,123.960205,118.524796,120.7561,120.7561,0,1,-60.330013,0,0,0.544698,0.544698,0,7,255,0,0,0,1,6,58,0
True,37542421,15999.99,0,1190.39,3.6145675,-0.19122127,11.666744,0.34310758,-0.06656276,7.8132496,0.012533212,0.2977139,0.024973646,1.3095199,-0.04239073,0.035994347,0.16227554,0.17427923,0.28628907,0.32208222,0.83047324,2.9919508,0.5209965,1.7535571,26.7449,29.89044,26.354939,27.734365,0,0,0,0,0,0,0,0,0,0,0,0,0.79914707,0.98445195,0.025833162,0.029766886,1.1525285,3.1497483,0.5216366,1.7538097,-0.01276063,-0.011288177,0.0051450618,0.009400599,164,6,231,2,0,677.5454,263.70483,-2836.3027,7.821062,190717.77,1546.6406,125.39581,121.56227,120.97128,120.97128,0,1,-59.698654,0,0,0.6587114,0.65871143,0,7,255,0,0,0,1,0,57,0
True,37542515,15999.99,0,1324.0454,0.16380596,-0.117284164,13.499286,0.10931277,-0.07401368,9.223374,-0.003984943,0.13184085,-0.013882302,1.3345665,-0.04342124,0.0350498,0.17624977,0.17094794,0.28415024,0.30754027,0.9880023,0.6624339,0.71761465,0.693017,31.524237,29.954048,31.123611,29.858667,0,0,0,0,0,0,0,0,0,0,0,0,-0.34558162,-0.34597716,0.0671665,0.068414845,1.0466973,0.7473412,0.7207511,0.6963858,-0.01104646,-0.0116968155,0.0048907697,0.007671673,164,6,231,2,0,678.34534,263.73438,-2836.127,9.2243185,213620.23,1546.6406,126.04162,125.62616,121.30492,121.30492,0,1,-59.06969,0,0,0.7543854,0.7543854,0,7,255,0,0,0,1,0,56,0
True,37542625,15999.99,0,1571.5228,-0.26947856,-0.16082111,15.14762,0.0021438599,-0.103945255,10.991927,-0.00871725,0.011554096,-0.008739141,1.3401909,-0.044748534,0.033783484,0.19223829,0.1555741,0.28771108,0.3156215,0.44771603,1.3368909,0.6324434,0.53821397,35.484688,38.10225,36.191277,35.85511,0,0,0,0,0,0,0,0,0,0,0,0,-0.01744685,-0.014946762,0.0135604115,0.01510321,0.44805583,1.3369745,0.6325888,0.53842586,-0.009085204,-0.013582671,0.0053141303,0.008632466,164,6,231,2,0,679.47003,263.7753,-2835.8655,10.992418,253490.66,1546.6406,125.97222,125.59091,121.550705,121.550705,0,1,-58.182404,0,0,0.8684097,0.86840963,0,7,255,0,0,0,1,0,55,0
True,37542734,15999.99,0,1821.6782,-0.15243554,-0.17327431,15.487742,-0.0076789856,-0.13129069,12.722569,-0.003938417,-0.0024026278,-0.010064414,1.340418,-0.045476172,0.03267477,0.20151383,0.16399455,0.29902202,0.32046518,0.47977835,1.3986162,0.64053047,0.5526875,41.151337,44.26982,41.86098,41.588528,0,0,0,0,0,0,0,0,0,0,0,0,0.009657251,0.013653831,0.0050109546,0.007706666,0.47987553,1.3986828,0.6405501,0.5527412,-0.007947408,-0.012549762,0.0066589117,0.009208344,164,6,231,2,0,680.7637,263.82217,-2835.562,12.7232485,294162.03,1546.6406,125.83296,126.65656,121.825325,121.825325,0,1,-57.16127,0,0,0.98036265,0.98036253,0,7,255,0,0,0,1,0,54,0
