IsRaceOn,TimestampMS,EngineMaxRpm,EngineIdleRpm,CurrentEngineRpm,AccelerationX,AccelerationY,AccelerationZ,VelocityX,VelocityY,VelocityZ,AngularVelocityX,AngularVelocityY,AngularVelocityZ,Yaw,Pitch,Roll,NormalizedSuspensionTravelFrontLeft,NormalizedSuspensionTravelFrontRight,NormalizedSuspensionTravelRearLeft,NormalizedSuspensionTravelRearRight,TireSlipRatioFrontLeft,TireSlipRatioFrontRight,TireSlipRatioRearLeft,TireSlipRatioRearRight,WheelRotationSpeedFrontLeft,WheelRotationSpeedFrontRight,WheelRotationSpeedRearLeft,WheelRotationSpeedRearRight,WheelOnRumbleStripFrontLeft,WheelOnRumbleStripFrontRight,WheelOnRumbleStripRearLeft,WheelOnRumbleStripRearRight,WheelInPuddleDepthFrontLeft,WheelInPuddleDepthFrontRight,WheelInPuddleDepthRearLeft,WheelInPuddleDepthRearRight,SurfaceRumbleFrontLeft,SurfaceRumbleFrontRight,SurfaceRumbleRearLeft,SurfaceRumbleRearRight,TireSlipAngleFrontLeft,TireSlipAngleFrontRight,TireSlipAngleRearLeft,TireSlipAngleRearRight,TireCombinedSlipFrontLeft,TireCombinedSlipFrontRight,TireCombinedSlipRearLeft,TireCombinedSlipRearRight,SuspensionTravelMetersFrontLeft,SuspensionTravelMetersFrontRight,SuspensionTravelMetersRearLeft,SuspensionTravelMetersRearRight,CarOrdinal,CarClass,CarPerformanceIndex,DrivetrainType,NumCylinders,PositionX,PositionY,PositionZ,Speed,Power,Torque,TireTempFl,TireTempFr,TireTempRl,TireTempRr,Boost,Fuel,Distance,BestLapTime,LastLapTime,CurrentLapTime,CurrentRaceTime,Lap,RacePosition,Accelerator,Brake,Clutch,Handbrake,Gear,Steer,NormalDrivingLine,NormalAiBrakeDifference
True,23997109,15999.99,0,0,0.15634577,-0.06377695,-0.1895397,-0.00966383,-9.190518E-05,0.0019676057,4.6922825E-05,0.0011794929,-0.0010661876,0.7264186,-0.0018722393,5.152326E-05,0.27646914,0.25550783,0.24367787,0.24287537,0.00013631998,0.00020583447,-0.018243238,0.021676978,0.0060992115,0.0060992115,0.0060992115,0.0060992115,0,0,0,0,0,0,0,0,0,0,0,0,0.019332439,0.012233708,-0.0031354977,-0.0053842226,0.01933292,0.012235439,0.01851073,0.022335649,0.0012470894,-0.0013241582,7.8905374E-05,-1.6506761E-05,164,6,231,2,0,309.50815,569.28705,2904.14,0.009862531,0,0,161.16849,161.03505,161.98772,161.98772,-14.7,1,0,0,0,0,267.21335,0,0,0,0,0,255,1,-127,0,0
True,24166796,15999.99,0,118.53809,-0.15022397,-0.010781482,5.3931055,-0.0070999563,-0.0035474338,0.6051332,-0.027864836,-0.001175443,-0.012138025,2.2024546,-0.0531142,0.04974579,0.25438648,0.25679827,0.25136113,0.2544879,0.62642187,-0.036818016,0.45565024,1.2062316,2.2371652,3.4264555,2.4508834,2.922351,0,0,0,0,0,0,0,0,0,0,0,0,0.020586466,0.020777456,0.009114402,0.0092712045,0.62676,0.042276103,0.4557414,1.2062672,-0.0014617108,-0.0011658669,0.0009923875,0.001364138,164,6,231,2,0,-33.241188,258.33322,3191.9272,0.6051852,11946.28,894.1388,86.86885,85.4317,90.37033,90.37033,0,1,-60.54727,0,0,0.11570813,0.115708135,0,8,255,0,0,0,1,0,64,0
True,24166906,15999.99,0,335.54266,-0.08306408,-0.0059710443,11.924393,-0.0001449585,-0.0078049675,1.9143435,-0.041725002,-0.00591039,-0.020619288,2.2020082,-0.056784518,0.048148435,0.22742549,0.24138074,0.26688632,0.28438312,2.4890015,0.4164713,0.96192247,0.5842358,10.190144,6.6911526,7.678621,7.071851,0,0,0,0,0,0,0,0,0,0,0,0,0.07324524,0.07242759,-0.0052285553,-0.004208692,2.490079,0.42272225,0.96193665,0.5842509,-0.004768919,-0.0030570775,0.0028382204,0.00491846,164,6,231,2,0,-33.14162,258.33948,3191.8542,1.9143595,53259.223,1546.6406,87.25258,85.5712,90.64299,90.64299,0,1,-60.453712,0,0,0.21628544,0.21628544,0,7,255,0,0,0,1,0,64,0
True,24167015,15999.99,0,522.8613,-0.10098362,-0.008092225,13.3264475,-0.005500436,-0.015519157,3.2934532,-0.027500538,-0.0075074425,-0.010940433,2.2011917,-0.060214516,0.04717632,0.20032857,0.22679572,0.27768144,0.3077656,1.1403414,0.45439598,1.4408838,0.97427386,12.536093,11.043915,12.552601,11.906375,0,0,0,0,0,0,0,0,0,0,0,0,0.055763025,0.055325482,0.0023234417,0.0034117927,1.1417041,0.4577517,1.4408857,0.9742798,-0.008092798,-0.0048461705,0.00412168,0.007698465,164,6,231,2,0,-32.928295,258.35385,3191.699,3.2934945,84006.89,1546.6406,89.47363,85.746506,91.3082,91.3082,0,1,-60.253742,0,0,0.31752038,0.31752035,0,7,255,0,0,0,1,0,64,0
True,24167125,15999.99,0,669.271,1.2508955,-0.076327085,12.804282,0.12195873,-0.029303342,4.605061,-0.0005324752,0.09234977,0.014318257,2.2029192,-0.06203053,0.046953015,0.17254998,0.19828236,0.2875281,0.32059145,0.15452747,0.26708716,0.26762617,0.5919678,15.905144,15.564873,16.034784,14.576932,0,0,0,0,0,0,0,0,0,0,0,0,0.90678334,1.0257564,-0.01365137,-0.012524322,0.91985583,1.0599583,0.2679741,0.59210026,-0.011500299,-0.008343801,0.0052923746,0.009223357,164,6,231,2,0,-32.59525,258.37704,3191.4524,4.6067686,103966.49,1546.6406,91.04945,85.97083,92.31221,92.31221,0,1,-59.93964,0,0,0.42139906,0.42139906,0,7,255,0,0,0,1,70,64,0
True,24167234,15999.99,0,817.7068,4.5339136,-0.05971688,8.851886,0.5255046,-0.031905472,5.5343676,0.0072671785,0.435626,0.037075352,2.2307656,-0.062345646,0.04799193,0.18793236,0.19964623,0.28584057,0.29880977,0.49158323,1.7690725,0.4635678,1.2385459,19.282822,19.584381,18.959131,18.216055,0,0,0,0,0,0,0,0,0,0,0,0,0.5411569,0.7444342,0.016823715,0.019436833,0.73109835,1.9193228,0.46387297,1.2386984,-0.009613398,-0.008176498,0.005091734,0.0066336803,164,6,231,2,0,-32.186676,258.40857,3191.103,5.559352,131785.4,1546.6406,92.14842,89.23872,92.49808,92.49808,0,1,-59.53314,0,0,0.52712727,0.5271273,0,7,255,0,0,0,1,51,63,0
True,24167343,15999.99,0,1478.8198,-0.31295204,-0.2369119,12.200044,0.18659663,-0.06258872,7.072588,-0.007930251,0.33098683,-0.008142086,2.2802947,-0.06585876,0.043157414,0.16627517,0.18056104,0.27696618,0.31024864,6.3297243,5.2184644,5.9311724,5.713569,35.651657,31.540129,35.732376,33.175083,0,0,0,0,0,0,0,0,0,0,0,0,-0.935957,-1.0003219,0.32110706,0.3231694,6.3985486,5.3134747,5.9398584,5.722701,-0.012270009,-0.010517612,0.004036639,0.007993676,164,6,231,2,0,-31.645618,258.45285,3190.5981,7.0753255,237068.06,1546.6406,96.240555,92.85063,96.84609,96.84609,0,1,-58.975742,0,0,0.6437865,0.64378643,0,7,255,0,0,0,1,0,60,0
True,24167468,15999.99,0,1192.9105,0.8423343,-0.21656829,11.268926,0.032610416,-0.07546139,8.487706,0.018866528,0.09364994,0.016248519,2.308035,-0.06680644,0.043168508,0.15307613,0.17018503,0.28397152,0.30774298,0.7275275,0.84146976,0.21345873,0.66253364,28.148178,27.947805,28.035328,26.52506,0,0,0,0,0,0,0,0,0,0,0,0,-0.21933644,-0.2216971,0.10877386,0.11269337,0.75987154,0.8701845,0.23957542,0.6720496,-0.013889087,-0.0117903985,0.0048695244,0.0076957718,164,6,231,2,0,-30.971199,258.50632,3189.989,8.488103,192934.78,1546.6406,104.07033,100.11658,104.813095,104.813095,0,1,-58.2901,0,0,0.76012707,0.760127,0,7,255,0,0,0,1,0,58,0
True,24167562,15999.99,0,1427.1458,0.0569067,-0.19751686,14.59374,-0.00978899,-0.0875698,10.000719,0.004865628,0.0043887426,0.0037242512,2.3111434,-0.066211164,0.04318121,0.1525936,0.16346925,0.2888565,0.30179927,0.83790046,0.7469682,0.60814446,0.61617863,33.30679,33.06463,32.848183,32.825348,0,0,0,0,0,0,0,0,0,0,0,0,0.00037264696,0.0032521794,0.0148175545,0.0152122425,0.8379005,0.7469753,0.60832494,0.6163664,-0.0139482785,-0.012614198,0.005450312,0.0069891065,164,6,231,2,0,-30.291164,258.5597,3189.368,10.001107,230156.78,1546.6406,103.57044,99.669815,104.53325,104.53325,0,1,-57.595684,0,0,0.8597622,0.8597621,0,7,255,0,0,0,1,0,56,0
True,24167687,15999.99,0,1683.4254,-0.16812038,-0.29202503,15.076879,-0.019072533,-0.11160639,11.769117,0.014423835,-0.0028519593,0.003926476,2.3111217,-0.06505407,0.043769218,0.14307728,0.14893237,0.29434183,0.30175552,0.753608,0.93253,0.6267295,0.637068,38.90607,39.48882,38.68299,38.727158,0,0,0,0,0,0,0,0,0,0,0,0,0.018303849,0.021463888,0.011985625,0.012858684,0.75383025,0.9327769,0.62684405,0.63719773,-0.0151156075,-0.014397388,0.0061024725,0.006983906,164,6,231,2,0,-29.359102,258.63095,3188.518,11.76966,271680.25,1546.6406,103.05223,99.305786,104.17096,104.17096,0,1,-56.64461,0,0,0.9756075,0.97560745,0,7,255,0,0,0,1,0,52,0
True,24167781,15999.99,0,1899.5189,-0.021565914,-0.35795242,15.297095,-0.020862103,-0.1288113,13.304655,0.014684497,-0.003879005,0.0013835048,2.3108377,-0.06347872,0.04404406,0.14137001,0.14359505,0.29509678,0.29939306,0.6991228,0.83908075,0.63338226,0.6412819,43.78244,44.299572,43.75226,43.798054,0,0,0,0,0,0,0,0,0,0,0,0,0.019356633,0.02235106,0.0113210725,0.012333701,0.6993907,0.83937836,0.6334834,0.6414005,-0.015325034,-0.015052095,0.0061922297,0.0067030266,164,6,231,2,0,-28.429905,258.69962,3187.6711,13.305295,306827.38,1546.6406,102.646194,99.05548,103.91513,103.91513,0,1,-55.696697,0,0,1.0758766,1.0758766,0,7,255,0,0,0,1,0,49,0
True,24167890,15999.99,0,2110.66,-0.11190224,-0.27790776,15.274317,-0.02071762,-0.14515144,14.872362,0.0017522646,-0.003823804,-8.8276225E-05,2.310478,-0.062532365,0.044119634,0.1472316,0.147725,0.2955238,0.29821393,0.5923377,0.6713859,0.5948505,0.60255474,48.52809,48.85633,48.749733,48.79634,0,0,0,0,0,0,0,0,0,0,0,0,0.017505664,0.020057762,0.010139291,0.011429768,0.59259635,0.6716854,0.5949369,0.60266316,-0.014606014,-0.014545491,0.006242998,0.0065628365,164,6,231,2,0,-27.367683,258.776,3186.7036,14.873085,341030.88,1546.6406,102.257774,98.799965,103.694916,103.694916,0,1,-54.61346,0,0,1.177869,1.1778691,0,7,255,0,0,0,1,0,45,0
True,24168015,15999.99,0,2360.2354,-0.07493925,-0.041043222,15.316879,-0.019991875,-0.17038715,16.723951,-0.020188976,-0.003739581,-0.00041057542,2.309968,-0.06371734,0.0441089,0.15985468,0.1607434,0.30191588,0.3034037,0.5381073,0.56291974,0.53036153,0.53807414,54.354645,54.48244,54.532715,54.581566,0,0,0,0,0,0,0,0,0,0,0,0,0.014975271,0.017275516,0.008067657,0.010363014,0.53831565,0.56318474,0.53042287,0.5381739,-0.013057586,-0.012948569,0.007002972,0.0071798675,164,6,231,2,0,-25.958414,258.87698,3185.4204,16.724829,381440.8,1546.6406,101.82323,98.488815,103.46098,103.46098,0,1,-53.176502,0,0,1.2985218,1.2985219,0,7,255,0,0,0,1,0,40,0
True,24168109,15999.99,0,2579.2014,-0.025955677,0.11860061,15.326224,-0.020561218,-0.19538832,18.300144,-0.020623524,-0.0040209778,0.00036816392,2.3094678,-0.06604112,0.04412627,0.1680027,0.17054099,0.31383273,0.3147832,0.56099635,0.5682867,0.49738532,0.50603193,59.5942,59.648476,59.506824,59.56349,0,0,0,0,0,0,0,0,0,0,0,0,0.013691902,0.016524114,0.006563707,0.010137673,0.5611634,0.5685269,0.49742863,0.50613344,-0.012058098,-0.011746734,0.008419797,0.0085328,164,6,231,2,0,-24.62177,258.9754,3184.2043,18.301199,416894.7,1546.6407,101.49429,98.24993,103.2865,103.2865,0,1,-51.813957,0,0,1.4017463,1.4017464,0,7,255,0,0,0,1,0,36,0
True,24168234,15999.99,0,2843.5952,-0.08749533,-0.0013003945,15.196663,-0.02304554,-0.21147597,20.125275,0.0049362737,-0.0048012678,0.0030578861,2.3088934,-0.06702013,0.044346765,0.16894287,0.17312366,0.32611367,0.32715645,0.6449491,0.60733664,0.5140343,0.52688694,65.96264,65.78041,65.521515,65.60499,0,0,0,0,0,0,0,0,0,0,0,0,0.013384809,0.016948305,0.005568027,0.0102518555,0.64508796,0.6075731,0.51406443,0.52698666,-0.011942772,-0.011429928,0.009879913,0.010003887,164,6,231,2,0,-22.913563,259.10507,3182.6519,20.126396,459673.2,1546.6406,101.18515,98.03128,103.12598,103.12598,0,1,-50.07322,0,0,1.5219557,1.5219558,0,7,255,0,0,0,1,0,30,0
