IsRaceOn,TimestampMS,EngineMaxRpm,EngineIdleRpm,CurrentEngineRpm,AccelerationX,AccelerationY,AccelerationZ,VelocityX,VelocityY,VelocityZ,AngularVelocityX,AngularVelocityY,AngularVelocityZ,Yaw,Pitch,Roll,NormalizedSuspensionTravelFrontLeft,NormalizedSuspensionTravelFrontRight,NormalizedSuspensionTravelRearLeft,NormalizedSuspensionTravelRearRight,TireSlipRatioFrontLeft,TireSlipRatioFrontRight,TireSlipRatioRearLeft,TireSlipRatioRearRight,WheelRotationSpeedFrontLeft,WheelRotationSpeedFrontRight,WheelRotationSpeedRearLeft,WheelRotationSpeedRearRight,WheelOnRumbleStripFrontLeft,WheelOnRumbleStripFrontRight,WheelOnRumbleStripRearLeft,WheelOnRumbleStripRearRight,WheelInPuddleDepthFrontLeft,WheelInPuddleDepthFrontRight,WheelInPuddleDepthRearLeft,WheelInPuddleDepthRearRight,SurfaceRumbleFrontLeft,SurfaceRumbleFrontRight,SurfaceRumbleRearLeft,SurfaceRumbleRearRight,TireSlipAngleFrontLeft,TireSlipAngleFrontRight,TireSlipAngleRearLeft,TireSlipAngleRearRight,TireCombinedSlipFrontLeft,TireCombinedSlipFrontRight,TireCombinedSlipRearLeft,TireCombinedSlipRearRight,SuspensionTravelMetersFrontLeft,SuspensionTravelMetersFrontRight,SuspensionTravelMetersRearLeft,SuspensionTravelMetersRearRight,CarOrdinal,CarClass,CarPerformanceIndex,DrivetrainType,NumCylinders,PositionX,PositionY,PositionZ,Speed,Power,Torque,TireTempFl,TireTempFr,TireTempRl,TireTempRr,Boost,Fuel,Distance,BestLapTime,LastLapTime,CurrentLapTime,CurrentRaceTime,Lap,RacePosition,Accelerator,Brake,Clutch,Handbrake,Gear,Steer,NormalDrivingLine,NormalAiBrakeDifference
True,35303500,15999.99,0,6.397648E-14,0.030345675,0.00018056814,-0.09581813,-0.009568026,6.249561E-05,-0.00013421662,4.8630463E-06,5.161159E-05,-0.0009449945,-1.0931097,-0.0018671713,-6.644776E-05,0.2760184,0.25625145,0.24318852,0.24367158,0.00022324367,0.00030419388,-0.028691603,0.0120634325,-0.00041604656,-0.00041604656,-0.00041604656,-0.00041604656,0,0,0,0,0,0,0,0,0,0,0,0,0.014603838,0.00881193,-0.0057732575,-0.005698923,0.0146055445,0.008817179,0.029266682,0.013341819,0.0011917986,-0.0012329407,2.072379E-05,7.815659E-05,164,6,231,2,0,894.4241,521.2302,1785.5034,0.009569172,-5.2447097E-30,-7.819585E-16,143.21223,138.23785,137.04974,137.04974,-14.7,1,0,0,0,0,203.63185,0,0,0,0,0,255,1,-127,0,216
True,35320296,15999.99,0,134.28981,0.05706205,-0.041024446,6.185955,0.009163273,-0.005185239,0.751876,-0.027013963,0.0040269326,-0.011697251,3.1396399,0.05482128,-0.041270513,0.25388992,0.25985482,0.2508518,0.25757298,0.7416686,0.85140336,0.32235494,-0.052981384,2.4801373,2.2769864,2.3877287,4.5968094,0,0,0,0,0,0,0,0,0,0,0,0,-0.022416666,-0.022020292,-0.018226651,-0.0177744,0.7420073,0.8516881,0.32286984,0.055883415,-0.001522623,-0.00079092756,0.00093183294,0.0017309301,164,6,231,2,0,891.93896,225.9115,1867.0748,0.7519497,10729.492,814.78955,108.29935,111.8283,110.90477,110.90477,0,1,-79.44786,0,0,0.10545623,0.105456226,0,7,255,0,0,0,1,0,58,0
True,35320390,15999.99,0,320.27863,0.018573124,-0.054673254,12.019108,0.0071316175,-0.011711232,1.9480084,-0.037874196,-0.002125782,-0.0205103,3.139772,0.051808648,-0.042763088,0.23044288,0.24072762,0.27547666,0.29335222,1.6442747,0.34900683,0.73074645,0.4910024,8.945679,6.767507,7.324608,6.97128,0,0,0,0,0,0,0,0,0,0,0,0,0.008594781,0.009002905,-0.023301285,-0.022242192,1.6442971,0.34912294,0.73111784,0.49150595,-0.0043987855,-0.0031371936,0.003859546,0.0059848167,164,6,231,2,0,891.93866,225.9044,1866.9557,1.9480567,49681.875,1515.0254,108.41325,111.94727,111.1006,111.1006,0,1,-79.32931,0,0,0.19592184,0.19592182,0,7,255,0,0,0,1,0,58,0
True,35320500,15999.99,0,537.2878,1.2950838,-0.068814516,13.841069,0.12599373,-0.022305012,3.515607,-0.014868848,0.08586771,-0.007060133,-3.14111,0.04917524,-0.044373218,0.2021572,0.21280512,0.29535577,0.32723448,1.0112462,0.6731196,1.2132876,0.51031125,12.915432,11.776562,13.050233,11.834073,0,0,0,0,0,0,0,0,0,0,0,0,0.16860296,0.18724668,-0.048350055,-0.045635216,1.0252053,0.69867826,1.2142506,0.5123477,-0.007868487,-0.0065623447,0.0062230267,0.010013163,164,6,231,2,0,891.9347,225.88771,1866.6593,3.5179348,86110.84,1546.6406,111.112686,112.09216,111.66466,111.66466,0,1,-79.03446,0,0,0.3035146,0.3035146,0,7,255,0,0,0,1,17,58,0
True,35320609,15999.99,0,775.18353,0.6008905,-0.14333236,14.948463,0.14154163,-0.042761758,5.1424,0.0006719405,0.109724335,-0.015938438,-3.1282897,0.048630804,-0.044712443,0.1822634,0.2021373,0.3001458,0.3382639,1.1747144,0.709746,1.1474698,1.2831811,18.345732,16.377245,18.644371,17.74579,0,0,0,0,0,0,0,0,0,0,0,0,-0.3308354,-0.32629097,0.0058181146,0.009517828,1.2204123,0.78115636,1.1474845,1.2832164,-0.010308787,-0.007870927,0.0067925267,0.01132448,164,6,231,2,0,891.91376,225.85986,1866.1804,5.1445246,124615.93,1546.6406,113.349915,112.28021,111.99257,111.99257,0,1,-78.55809,0,0,0.41299254,0.41299254,0,7,255,0,0,0,1,0,57,0
True,35320718,15999.99,0,981.1132,-0.44147736,-0.11511797,14.025326,0.012034126,-0.056436658,6.7498865,-0.0068398146,-0.004297168,-0.0025275091,-3.1254182,0.048588783,-0.045596838,0.17748484,0.20795433,0.29785034,0.34103706,1.6525735,0.4370905,1.0326058,0.33324665,23.946903,21.67999,23.014866,22.134026,0,0,0,0,0,0,0,0,0,0,0,0,-0.00901287,-0.0057216273,-0.028863342,-0.023827272,1.652598,0.43712795,1.033009,0.3340974,-0.01089496,-0.007157374,0.006519608,0.011654194,164,6,231,2,0,891.8989,225.8218,1865.5165,6.750133,156861.47,1546.6406,115.08742,112.45377,112.969376,112.969376,0,1,-77.89759,0,0,0.5249981,0.5249981,0,7,255,0,0,0,1,0,57,0
True,35320843,15999.99,0,1273.6567,-0.10389343,-0.18891937,16.001251,0.0074932426,-0.0862658,8.800332,-0.004330136,-0.0077721984,0.0073006656,-3.1263647,0.04759636,-0.04520067,0.16762172,0.19842745,0.30804116,0.34456977,1.9725416,0.5047425,0.6900987,0.5991711,31.70361,28.567684,29.112486,28.93643,0,0,0,0,0,0,0,0,0,0,0,0,-0.000193348,0.0031398628,-0.024243629,-0.018964777,1.9725416,0.5047523,0.6905244,0.59947115,-0.0121048335,-0.008326001,0.0077312216,0.012074206,164,6,231,2,0,891.8827,225.76509,1864.5273,8.800758,205583.77,1546.6406,117.789856,112.647644,113.31028,113.31028,0,1,-76.91356,0,0,0.6519895,0.6519896,0,7,255,0,0,0,1,0,56,0
True,35320953,15999.99,0,1496.9718,-0.02609539,-0.15382558,16.299355,0.009968758,-0.1053676,10.573465,-0.002881093,0.00060879305,0.010380339,-3.1266596,0.047059838,-0.044324037,0.16985339,0.1910261,0.31978974,0.34468684,0.68877745,0.59526485,0.55506116,0.544397,34.779213,34.519535,34.545383,34.514427,0,0,0,0,0,0,0,0,0,0,0,0,-0.015652964,-0.012132727,-0.013476279,-0.00788717,0.6889553,0.5953885,0.5552247,0.5444541,-0.011831081,-0.009233899,0.009128042,0.01208812,164,6,231,2,0,891.8666,225.70561,1863.4872,10.573996,241512.86,1546.6406,118.23821,112.84729,113.568054,113.568054,0,1,-75.87879,0,0,0.75927186,0.7592719,0,7,255,0,0,0,1,0,56,0
True,35321062,15999.99,0,1751.1184,0.03792274,-0.17821592,15.652191,0.012332529,-0.12549764,12.375739,-0.00028948006,0.0026535967,0.0067314883,-3.126435,0.046915766,-0.04338604,0.17007442,0.18397553,0.32781708,0.34128278,0.6763104,0.5768175,0.5475065,0.5476597,40.67926,40.33495,40.412926,40.398273,0,0,0,0,0,0,0,0,0,0,0,0,-0.017301882,-0.013716679,-0.011146387,-0.00537074,0.67653173,0.5769806,0.54761994,0.54768604,-0.011803968,-0.010098767,0.010082431,0.011683404,164,6,231,2,0,891.84686,225.63332,1862.2217,12.376382,282629.53,1546.6406,118.056046,113.06533,113.80823,113.80823,0,1,-74.61984,0,0,0.8695376,0.86953765,0,7,255,0,0,0,1,0,55,0
True,35321171,15999.99,0,1995.6953,0.041425228,-0.1932208,16.171904,0.013642862,-0.14499885,14.1016,0.0030824195,0.0030983319,0.0066512437,-3.1261322,0.047049098,-0.042714007,0.16714816,0.17903051,0.3309682,0.3384744,0.7078161,0.5693783,0.5435897,0.5472031,46.474167,45.92835,46.030792,46.027695,0,0,0,0,0,0,0,0,0,0,0,0,-0.016952429,-0.013244958,-0.010744095,-0.005037254,0.70801914,0.56953233,0.54369587,0.5472263,-0.012162922,-0.010705356,0.010457076,0.01134951,164,6,231,2,0,891.82465,225.55315,1860.8218,14.102351,322258.28,1546.6406,117.91838,113.27457,114.0456,114.0456,0,1,-73.22718,0,0,0.97529197,0.975292,0,7,255,0,0,0,1,0,55,0
True,35321281,15999.99,0,2259.524,0.7985387,-0.24333113,16.131178,0.07999641,-0.16088164,15.813553,0.011357882,0.05158018,0.026449291,-3.1251981,0.04781847,-0.041450825,0.15460517,0.17596716,0.3328616,0.33256394,0.77846444,0.9925431,0.5033473,0.6476381,52.518967,53.33627,51.582253,51.977123,0,0,0,0,0,0,0,0,0,0,0,0,0.560324,0.5981786,-0.016336309,-0.011524453,0.9591506,1.1588613,0.50361234,0.6477406,-0.013701526,-0.011081126,0.010682192,0.010646801,164,6,231,2,0,891.7981,225.46149,1859.2351,15.814573,364582.16,1546.6406,117.84324,113.48391,114.290306,114.290306,0,1,-71.64868,0,0,1.0813662,1.0813663,0,7,255,0,0,0,1,46,54,0
True,35321390,15999.99,0,2454.264,4.7009025,-0.26723725,12.881315,0.32344288,-0.15292609,17.208298,0.023220416,0.3208936,0.036771532,-3.1043496,0.051014714,-0.036752056,0.16701755,0.17384274,0.3259575,0.31149203,0.4465979,1.2577786,0.32806557,0.6520934,56.388615,58.303097,56.095905,56.54397,0,0,0,0,0,0,0,0,0,0,0,0,0.7299634,0.8499731,0.0343319,0.04095645,0.8557431,1.5180453,0.32985708,0.6533783,-0.012178943,-0.011341723,0.009861343,0.008141503,164,6,231,2,0,891.72906,225.35286,1857.4106,17.212015,394158.3,1546.6406,118.72804,116.06555,114.4908,114.4908,0,1,-69.83355,0,0,1.1918545,1.1918547,0,7,255,0,0,0,1,0,52,0
