IsRaceOn,TimestampMS,EngineMaxRpm,EngineIdleRpm,CurrentEngineRpm,AccelerationX,AccelerationY,AccelerationZ,VelocityX,VelocityY,VelocityZ,AngularVelocityX,AngularVelocityY,AngularVelocityZ,Yaw,Pitch,Roll,NormalizedSuspensionTravelFrontLeft,NormalizedSuspensionTravelFrontRight,NormalizedSuspensionTravelRearLeft,NormalizedSuspensionTravelRearRight,TireSlipRatioFrontLeft,TireSlipRatioFrontRight,TireSlipRatioRearLeft,TireSlipRatioRearRight,WheelRotationSpeedFrontLeft,WheelRotationSpeedFrontRight,WheelRotationSpeedRearLeft,WheelRotationSpeedRearRight,WheelOnRumbleStripFrontLeft,WheelOnRumbleStripFrontRight,WheelOnRumbleStripRearLeft,WheelOnRumbleStripRearRight,WheelInPuddleDepthFrontLeft,WheelInPuddleDepthFrontRight,WheelInPuddleDepthRearLeft,WheelInPuddleDepthRearRight,SurfaceRumbleFrontLeft,SurfaceRumbleFrontRight,SurfaceRumbleRearLeft,SurfaceRumbleRearRight,TireSlipAngleFrontLeft,TireSlipAngleFrontRight,TireSlipAngleRearLeft,TireSlipAngleRearRight,TireCombinedSlipFrontLeft,TireCombinedSlipFrontRight,TireCombinedSlipRearLeft,TireCombinedSlipRearRight,SuspensionTravelMetersFrontLeft,SuspensionTravelMetersFrontRight,SuspensionTravelMetersRearLeft,SuspensionTravelMetersRearRight,CarOrdinal,CarClass,CarPerformanceIndex,DrivetrainType,NumCylinders,PositionX,PositionY,PositionZ,Speed,Power,Torque,TireTempFl,TireTempFr,TireTempRl,TireTempRr,Boost,Fuel,Distance,BestLapTime,LastLapTime,CurrentLapTime,CurrentRaceTime,Lap,RacePosition,Accelerator,Brake,Clutch,Handbrake,Gear,Steer,NormalDrivingLine,NormalAiBrakeDifference
True,34229468,15999.99,0,0,-0.008561939,-1.5947899E-07,0.00090095564,-0.008495664,2.2982776E-05,-9.614858E-05,-0.00026569105,6.221414E-05,-0.0003502278,-1.3144963,-0.0017792417,0.00016859922,0.2756867,0.2562159,0.24422656,0.2426599,0.00039852277,0.0005661195,-0.033088755,0.01761413,-0.0002980427,-0.0002980427,-0.0002980427,-0.0002980427,0,0,0,0,0,0,0,0,0,0,0,0,0.023391867,0.016702091,-0.0032070868,-0.003233551,0.023395263,0.016711684,0.033243813,0.017908473,0.001151111,-0.001237303,0.00014413893,-4.2125583E-05,164,6,231,2,0,-969.61487,620.3982,-3621.9028,0.008496239,0,0,98.74992,98.839005,100.24174,100.24174,-14.7,1,0,0,0,0,198.0392,0,0,0,0,0,255,1,-127,0,0
True,34256765,15999.99,0,101.02122,0.045275807,-0.04898866,4.470849,0.0024267733,-0.0037959365,0.4893065,-0.02412066,-0.0009072306,-0.010085945,-1.053118,-0.001423927,-0.0005348092,0.25869662,0.26150808,0.24931072,0.25292525,1.0729673,0.9864074,0.08149701,-0.03473651,1.3388462,1.404199,2.470109,3.2359977,0,0,0,0,0,0,0,0,0,0,0,0,0.0038289812,0.0038702148,-0.0031582373,-0.003120729,1.0729741,0.98641497,0.08155818,0.03487641,-0.0009330027,-0.0005881302,0.00074860826,0.0011783503,164,6,231,2,0,-906.0746,320.07083,-3661.7517,0.48932722,6700.18,708.05725,107.65611,108.30207,109.99832,109.99832,0,1,-63.462326,0,0,0.09164437,0.09164437,0,7,255,0,0,0,1,0,53,0
True,34256890,15999.99,0,325.0642,-0.12275505,0.021612762,12.113625,0.0031684637,-0.0050956206,1.934999,-0.03510654,-0.0033369332,-0.016389702,-1.0532162,-0.0048460434,-0.0022206234,0.23042342,0.2514111,0.28527907,0.3130198,2.004103,0.37809148,0.7975485,0.48787156,9.485756,6.7157125,7.39958,6.9728155,0,0,0,0,0,0,0,0,0,0,0,0,0.03008768,0.03128522,-0.014178602,-0.012688746,2.0043287,0.37938362,0.7976745,0.48803654,-0.0044011734,-0.0018266886,0.005024977,0.008323152,164,6,231,2,0,-906.1894,320.07068,-3661.6858,1.9350083,51433.168,1546.6406,107.86041,108.487976,110.23404,110.23404,0,1,-63.357132,0,0,0.20587221,0.20587221,0,7,255,0,0,0,1,0,53,0
True,34256984,15999.99,0,523.8185,-0.13777304,0.064199984,13.715417,-0.00046288967,0.0023824011,3.370245,-0.006824723,-0.009090901,-0.005481718,-1.0536764,-0.0067491154,-0.0031845956,0.20081902,0.23846483,0.3106806,0.3583398,1.8734655,0.48108485,0.7739568,1.0009197,13.970765,11.256346,11.484882,12.151407,0,0,0,0,0,0,0,0,0,0,0,0,0.03953177,0.041012093,-0.02849129,-0.02261079,1.8738827,0.4828298,0.774481,1.001175,-0.008032639,-0.0034147613,0.008045036,0.013711359,164,6,231,2,0,-906.4209,320.0726,-3661.554,3.3702457,84391.03,1546.6406,110.707596,108.580185,110.50368,110.50368,0,1,-63.145412,0,0,0.30526003,0.30526003,0,7,255,0,0,0,1,0,53,0
True,34257109,15999.99,0,735.09467,0.21943235,-0.22648424,13.770905,0.017242908,-0.029603729,5.0020576,-7.583294E-06,0.003977551,0.004984252,-1.0543244,-0.006774191,-0.0029733146,0.17553844,0.21125624,0.2957977,0.3435205,1.3893431,0.6017306,0.8816275,0.6551679,17.90304,16.568237,17.009853,16.663324,0,0,0,0,0,0,0,0,0,0,0,0,0.2994955,0.30316922,-0.026048984,-0.02183654,1.4212571,0.6737888,0.88201225,0.65553164,-0.011133717,-0.006752342,0.006275568,0.0119494535,164,6,231,2,0,-906.8507,320.07434,-3661.3098,5.002175,118215.234,1546.6406,112.39345,108.7016,111.37387,111.37387,0,1,-62.75263,0,0,0.42303005,0.42303,0,7,255,0,0,0,1,14,53,0
True,34257203,15999.99,0,987.1202,0.23891449,-0.2094989,15.259748,0.08229065,-0.054567207,6.7301326,-0.004412815,0.065949716,-0.010234541,-1.0443859,-0.0069906935,-0.0025606267,0.16991447,0.19490851,0.29412282,0.33718622,2.6710448,0.46874475,0.7541955,0.543476,26.22296,21.575817,22.56813,21.83365,0,0,0,0,0,0,0,0,0,0,0,0,-0.29535988,-0.283408,0.0061215553,0.009107067,2.6873255,0.54776067,0.75422037,0.5435523,-0.011823587,-0.008757658,0.0060764328,0.011196356,164,6,231,2,0,-907.42725,320.07397,-3660.9639,6.730857,158440.3,1546.6406,112.98569,109.64195,111.68969,111.68969,0,1,-62.218502,0,0,0.53764164,0.53764164,0,7,255,0,0,0,1,0,53,0
True,34257328,15999.99,0,1201.1512,-0.4238572,-0.1830336,15.547853,0.0011491776,-0.07442772,8.423013,-0.005689004,-0.0034354301,0.004160309,-1.0426867,-0.0072802543,-0.0026758092,0.16542874,0.18866006,0.29625574,0.33857322,0.97563154,0.5823981,0.68047094,0.5335431,28.330467,27.48901,27.806849,27.48957,0,0,0,0,0,0,0,0,0,0,0,0,0.0007175922,0.0036336635,-0.008557487,-0.004869331,0.97563183,0.58240944,0.68052477,0.53356534,-0.012373835,-0.009524133,0.0063300207,0.011361256,164,6,231,2,0,-908.1552,320.0728,-3660.5366,8.423342,193621.23,1546.6406,114.62108,109.76404,111.994125,111.994125,0,1,-61.547817,0,0,0.649318,0.649318,0,7,255,0,0,0,1,0,52,0
True,34257437,15999.99,0,1445.1722,-0.23900652,-0.17107004,15.824043,-0.0024065971,-0.098101005,10.203493,-0.0068711108,-0.0028740393,0.0077220914,-1.0431414,-0.007951583,-0.0019528965,0.16535428,0.17743511,0.30602473,0.33676302,0.5756371,0.681549,0.58063847,0.5405335,33.25273,33.569714,33.404346,33.30818,0,0,0,0,0,0,0,0,0,0,0,0,0.0029618382,0.005828166,-0.004608099,-0.00038710944,0.57564473,0.6815739,0.58065677,0.5405336,-0.012382971,-0.010901058,0.007491488,0.0111460425,164,6,231,2,0,-909.0584,320.07108,-3660.0103,10.203966,233117.4,1546.6406,114.57527,109.933784,112.246056,112.246056,0,1,-60.717182,0,0,0.76129234,0.7612923,0,7,255,0,0,0,1,0,52,0
True,34257546,15999.99,0,1705.0525,1.0478997,-0.08755842,15.676974,0.08827019,-0.118981324,11.957338,-0.013105119,0.092848845,-0.0022693756,-1.037217,-0.009010843,-0.0006512368,0.17378357,0.16919805,0.31840307,0.32914504,0.60084414,1.0306312,0.5456565,0.62982357,39.397263,40.072994,39.29295,39.07479,0,0,0,0,0,0,0,0,0,0,0,0,-0.19926591,-0.19939208,0.0210727,0.02601199,0.63302493,1.0497419,0.54606324,0.6303605,-0.011348978,-0.011911469,0.008963179,0.01024032,164,6,231,2,0,-910.1237,320.0694,-3659.379,11.958256,275338.94,1546.6406,114.49089,110.65438,112.46942,112.46942,0,1,-59.73333,0,0,0.8728709,0.87287086,0,7,255,0,0,0,1,0,52,0
True,34257656,15999.99,0,1941.5969,-0.09595299,-0.05254339,15.781055,0.006995678,-0.14239135,13.752732,-0.014362344,0.012655494,-0.0019359728,-1.0326461,-0.0106107425,-0.0010625266,0.17241836,0.16929466,0.32433772,0.32755086,0.5805851,0.5741961,0.52240825,0.5317111,44.890125,44.80224,44.848877,44.82518,0,0,0,0,0,0,0,0,0,0,0,0,-0.020595632,-0.017748788,0.0046672015,0.009699158,0.5809503,0.57447034,0.5224291,0.53179955,-0.011516446,-0.011899617,0.009668764,0.010050785,164,6,231,2,0,-911.37054,320.0689,-3658.633,13.75347,313498.5,1546.6406,114.447586,110.84424,112.689835,112.689835,0,1,-58.5791,0,0,0.9856692,0.98566914,0,7,255,0,0,0,1,0,51,0
