IsRaceOn,TimestampMS,EngineMaxRpm,EngineIdleRpm,CurrentEngineRpm,AccelerationX,AccelerationY,AccelerationZ,VelocityX,VelocityY,VelocityZ,AngularVelocityX,AngularVelocityY,AngularVelocityZ,Yaw,Pitch,Roll,NormalizedSuspensionTravelFrontLeft,NormalizedSuspensionTravelFrontRight,NormalizedSuspensionTravelRearLeft,NormalizedSuspensionTravelRearRight,TireSlipRatioFrontLeft,TireSlipRatioFrontRight,TireSlipRatioRearLeft,TireSlipRatioRearRight,WheelRotationSpeedFrontLeft,WheelRotationSpeedFrontRight,WheelRotationSpeedRearLeft,WheelRotationSpeedRearRight,WheelOnRumbleStripFrontLeft,WheelOnRumbleStripFrontRight,WheelOnRumbleStripRearLeft,WheelOnRumbleStripRearRight,WheelInPuddleDepthFrontLeft,WheelInPuddleDepthFrontRight,WheelInPuddleDepthRearLeft,WheelInPuddleDepthRearRight,SurfaceRumbleFrontLeft,SurfaceRumbleFrontRight,SurfaceRumbleRearLeft,SurfaceRumbleRearRight,TireSlipAngleFrontLeft,TireSlipAngleFrontRight,TireSlipAngleRearLeft,TireSlipAngleRearRight,TireCombinedSlipFrontLeft,TireCombinedSlipFrontRight,TireCombinedSlipRearLeft,TireCombinedSlipRearRight,SuspensionTravelMetersFrontLeft,SuspensionTravelMetersFrontRight,SuspensionTravelMetersRearLeft,SuspensionTravelMetersRearRight,CarOrdinal,CarClass,CarPerformanceIndex,DrivetrainType,NumCylinders,PositionX,PositionY,PositionZ,Speed,Power,Torque,TireTempFl,TireTempFr,TireTempRl,TireTempRr,Boost,Fuel,Distance,BestLapTime,LastLapTime,CurrentLapTime,CurrentRaceTime,Lap,RacePosition,Accelerator,Brake,Clutch,Handbrake,Gear,Steer,NormalDrivingLine,NormalAiBrakeDifference
True,23484312,15999.99,0,0,0.27488828,0.07949765,-0.045616243,-0.005616039,-0.030128822,-0.0024546534,0.0054325517,-0.00032645342,0.014565948,-1.8008903,-0.28219092,0.0068840072,0,0.017957728,0.040814098,0.20498969,0.06481698,0.06285141,0.2886711,0.19432284,0,0,0,0,0,0,0,0,0,0,0,0,0.59999996,0.59999996,0.59999996,0.59999996,0.061689917,-0.12012904,0.34542325,-0.16344118,0.08948121,0.1355776,0.45016468,0.25391805,-0.03266638,-0.030463573,-0.024040096,-0.0045208335,164,6,231,2,0,-19.48581,407.1191,4612.4365,0.030745912,0,0,168.07625,169.12383,182.64804,182.64804,-5.879999,1,0,0,0,0.6794687,23.529375,0,8,0,0,0,0,0,0,127,0
True,23508859,15999.99,0,107.851555,-0.07876715,-0.04054299,4.658116,-0.0023622587,-0.004148582,0.5015768,-0.023944266,5.4671138E-05,-0.011639328,1.4993564,-0.03213216,0.03024274,0.2650043,0.25260535,0.24300064,0.26021403,0.8159985,-0.044190276,1.3180029,-0.041969422,1.4775575,2.8181648,1.4780433,3.8744373,0,0,0,0,0,0,0,0,0,0,0,0,0.023785574,0.023814803,-0.007793816,-0.0077992864,0.8163451,0.050198857,1.318026,0.042687953,-0.00015925989,-0.0016801953,-1.6130507E-06,0.002044931,164,6,231,2,0,-1048.5226,355.72742,4304.5303,0.5015995,8833.296,795.93713,103.51036,103.4771,103.84523,103.84523,0,1,-58.57793,0,0,0.10299861,0.10299861,0,7,255,0,0,0,1,0,49,0
True,23508984,15999.99,0,356.21954,0.21837467,-0.012128925,12.743091,0.00037142634,-0.0065347916,2.1006324,-0.031295646,-0.0060996725,-0.018068317,1.4988745,-0.03601516,0.028267363,0.23593538,0.24002415,0.2912967,0.32678482,2.6386216,0.43142855,0.80740887,0.46990392,11.126997,7.2783465,7.963915,7.4338655,0,0,0,0,0,0,0,0,0,0,0,0,0.0631381,0.06345389,-0.013849987,-0.011919793,2.6393769,0.43606994,0.8075276,0.47005507,-0.0037250407,-0.0032234862,0.0057404265,0.009959705,164,6,231,2,0,-1048.3702,355.73184,4304.541,2.1006427,56424.977,1546.6406,103.82526,103.64766,104.11188,104.11188,0,1,-58.46604,0,0,0.2251206,0.22512059,0,7,255,0,0,0,1,0,49,0
True,23509109,15999.99,0,533.13055,2.1543696,0.026278082,11.996588,0.24088082,0.0005498051,3.371304,0.011639271,0.18328667,0.0075278427,1.5042804,-0.036910325,0.02810319,0.22458601,0.22135402,0.31137326,0.34735215,0.7124457,0.87004817,1.3543304,0.59247196,12.482905,12.319641,13.023726,11.50492,0,0,0,0,0,0,0,0,0,0,0,0,1.1278492,1.4894623,-0.038007088,-0.035816748,1.334025,1.7249584,1.3548636,0.5935536,-0.0051172264,-0.005513683,0.008127388,0.012405008,164,6,231,2,0,-1048.0676,355.7433,4304.555,3.3798985,83753.945,1546.6406,105.53653,104.08266,104.673416,104.673416,0,1,-58.244095,0,0,0.33389375,0.33389372,0,7,255,0,0,0,1,120,49,0
True,23509218,15999.99,0,803.9514,4.9013968,-0.12222065,8.907083,0.7027408,-0.012414528,4.3143754,0.004894403,0.578583,0.009810961,1.5450892,-0.03664004,0.02883484,0.22763227,0.22363336,0.3012989,0.30808297,0.824403,3.101474,2.3540194,3.7881854,16.812895,18.17618,19.513704,18.779934,0,0,0,0,0,0,0,0,0,0,0,0,0.72647095,1.1344174,0.037812475,0.04985554,1.0988177,3.30243,2.3543231,3.7885134,-0.0047435537,-0.005234085,0.0069296136,0.007736191,164,6,231,2,0,-1047.6494,355.7594,4304.524,4.3712506,127629.77,1546.6406,106.072205,107.69255,104.92031,104.92031,0,1,-57.940018,0,0,0.44196156,0.44196153,0,7,255,0,0,0,1,0,48,0
True,23509312,15999.99,0,1459.5233,1.0747716,-0.3161223,12.280347,0.4701453,-0.04857956,5.7303715,0.0027075885,0.6078854,-0.036333453,1.6128205,-0.038717348,0.02359073,0.18821548,0.18026266,0.30505222,0.30620685,9.296557,8.481403,8.048452,9.518573,35.418297,30.92427,34.464455,33.52896,0,0,0,0,0,0,0,0,0,0,0,0,-1.9445349,-2.2553933,0.48156115,0.56574416,9.497747,8.776161,8.062846,9.535371,-0.009578668,-0.010554213,0.0073758587,0.0075131394,164,6,231,2,0,-1047.1104,355.7785,4304.4497,5.749831,233600.44,1546.6406,110.55246,115.55194,112.65357,112.65357,0,1,-57.549866,0,0,0.54895186,0.5489518,0,7,255,0,0,0,1,0,45,0
True,23509421,15999.99,0,2192.4832,-0.39479554,-0.12898313,12.509772,0.07046628,-0.06353684,7.0626545,0.011895205,0.45279074,0.013537462,1.6682913,-0.03942752,0.020754287,0.15857671,0.18950403,0.29554716,0.33618808,16.767265,12.389914,13.013849,14.043466,56.939476,44.210537,51.239887,50.092953,0,0,0,0,0,0,0,0,0,0,0,0,-1.0124738,-1.1039469,0.6705956,0.7087311,16.797806,12.438998,13.031116,14.061338,-0.01321435,-0.009420607,0.0062457807,0.01107768,164,6,231,2,0,-1046.4379,355.79907,4304.3735,7.063291,352421.72,1546.6406,118.08707,123.37709,121.20685,121.20685,0,1,-57.062363,0,0,0.65458435,0.6545842,0,7,255,0,0,0,1,0,43,0
True,23509546,15999.99,0,3058.2368,-0.14558613,-0.2032235,12.438992,-0.29823506,-0.07349996,8.534965,0.00972368,0.35929164,0.011481856,1.7164255,-0.03835444,0.020128356,0.16828649,0.19887504,0.30264163,0.32004312,18.476826,16.934237,16.922148,18.892927,72.111465,65.47306,71.7103,71.53288,0,0,0,0,0,0,0,0,0,0,0,0,-0.2408891,-0.24485447,0.8435057,0.90493995,18.478395,16.936007,16.943157,18.914587,-0.012023287,-0.008271098,0.0070892572,0.009158164,164,6,231,2,0,-1045.5063,355.82678,4304.272,8.540489,492624.16,1546.6406,126.660034,131.84491,130.80672,130.80672,0,1,-56.386864,0,0,0.7745006,0.77450055,0,7,255,0,0,0,1,0,40,0
True,23509640,15999.99,0,3664.3503,0.016561747,-0.23377159,12.747103,-0.59555316,-0.0674179,9.889496,0.012940692,0.32610467,0.011526149,1.7518291,-0.03728061,0.01944315,0.17717415,0.19608654,0.29244497,0.31119618,18.268707,19.271349,18.09647,19.97225,82.88141,82.13952,85.40769,86.13382,0,0,0,0,0,0,0,0,0,0,0,0,0.15539539,0.1625002,0.9956415,1.0504326,18.269367,19.272034,18.123838,19.999855,-0.010933068,-0.008613154,0.005876951,0.008106332,164,6,231,2,0,-1044.5497,355.85635,4304.1606,9.90764,590304.9,1546.6406,134.14682,138.9784,139.33177,139.33177,0,1,-55.693478,0,0,0.87848085,0.8784808,0,7,255,0,0,0,1,0,36,0
True,23509765,15999.99,0,4363.2134,0.18678546,-0.021476187,13.374241,-0.94826376,-0.07631326,11.428745,0.0013102512,0.3068218,0.0021364277,1.7891496,-0.03781239,0.019687193,0.20153497,0.2003076,0.29776543,0.30617264,18.786972,22.18275,18.501476,19.395552,98.08839,102.80461,101.29335,100.58518,0,0,0,0,0,0,0,0,0,0,0,0,0.14290911,0.17646949,1.1131197,1.1555699,18.787516,22.183453,18.534931,19.429945,-0.007944815,-0.0080953725,0.0065095127,0.0075090714,164,6,231,2,0,-1043.2832,355.8928,4303.997,11.46827,704547.25,1546.6406,142.58066,147.06323,148.97112,148.97112,0,1,-54.776463,0,0,0.9981045,0.99810445,0,7,255,0,0,0,1,-10,31,0
