IsRaceOn,TimestampMS,EngineMaxRpm,EngineIdleRpm,CurrentEngineRpm,AccelerationX,AccelerationY,AccelerationZ,VelocityX,VelocityY,VelocityZ,AngularVelocityX,AngularVelocityY,AngularVelocityZ,Yaw,Pitch,Roll,NormalizedSuspensionTravelFrontLeft,NormalizedSuspensionTravelFrontRight,NormalizedSuspensionTravelRearLeft,NormalizedSuspensionTravelRearRight,TireSlipRatioFrontLeft,TireSlipRatioFrontRight,TireSlipRatioRearLeft,TireSlipRatioRearRight,WheelRotationSpeedFrontLeft,WheelRotationSpeedFrontRight,WheelRotationSpeedRearLeft,WheelRotationSpeedRearRight,WheelOnRumbleStripFrontLeft,WheelOnRumbleStripFrontRight,WheelOnRumbleStripRearLeft,WheelOnRumbleStripRearRight,WheelInPuddleDepthFrontLeft,WheelInPuddleDepthFrontRight,WheelInPuddleDepthRearLeft,WheelInPuddleDepthRearRight,SurfaceRumbleFrontLeft,SurfaceRumbleFrontRight,SurfaceRumbleRearLeft,SurfaceRumbleRearRight,TireSlipAngleFrontLeft,TireSlipAngleFrontRight,TireSlipAngleRearLeft,TireSlipAngleRearRight,TireCombinedSlipFrontLeft,TireCombinedSlipFrontRight,TireCombinedSlipRearLeft,TireCombinedSlipRearRight,SuspensionTravelMetersFrontLeft,SuspensionTravelMetersFrontRight,SuspensionTravelMetersRearLeft,SuspensionTravelMetersRearRight,CarOrdinal,CarClass,CarPerformanceIndex,DrivetrainType,NumCylinders,PositionX,PositionY,PositionZ,Speed,Power,Torque,TireTempFl,TireTempFr,TireTempRl,TireTempRr,Boost,Fuel,Distance,BestLapTime,LastLapTime,CurrentLapTime,CurrentRaceTime,Lap,RacePosition,Accelerator,Brake,Clutch,Handbrake,Gear,Steer,NormalDrivingLine,NormalAiBrakeDifference
True,33311859,15999.99,0,1.4265602E-12,-0.007323532,-0.033058196,0.0028456468,-0.007716366,-5.629597E-05,0.0015446697,0.00012679858,0.0005973674,-0.00025664328,-0.19758235,-0.0018407865,6.260917E-05,0.27573103,0.2560042,0.24372128,0.24316189,0.00032969206,0.00039955095,-0.026844595,0.023140168,0.0047881887,0.0047881887,0.0047881887,0.0047881887,0,0,0,0,0,0,0,0,0,0,0,0,0.024667714,0.01792961,-0.0045526503,-0.00460941,0.024669915,0.017934062,0.027227907,0.023594787,0.0011565462,-0.0012632683,8.40649E-05,1.7557293E-05,164,6,231,2,0,-1263.0823,462.63397,1068.3002,0.007869656,-2.6078284E-27,-1.7436748E-14,123.15975,123.544266,120.15445,120.15445,-14.7,1,0,0,0,0,237.7342,0,0,0,0,0,255,1,-127,0,0
True,33334578,15999.99,0,94.443474,-0.04434848,-0.037181526,4.770851,-0.006123066,-0.0040852,0.52375424,-0.025341928,-0.0017871254,-0.010174816,-2.2487211,0.014961603,0.04811923,0.25931516,0.2608296,0.2512397,0.2496389,1.0756242,0.95762056,0.2634381,0.049679708,1.444187,1.5155804,2.1328573,2.9879036,0,0,0,0,0,0,0,0,0,0,0,0,0.018510116,0.018551435,0.006516299,0.0065552127,1.0757835,0.9578002,0.2635187,0.050110318,-0.00085712597,-0.0006713569,0.0009779483,0.00078762695,164,6,231,2,0,-1202.0741,163.04381,1111.2977,0.523806,7528.1387,716.8047,101.2823,103.03529,103.19696,103.19696,0,1,-75.994774,0,0,0.09277369,0.09277369,0,7,255,0,0,0,1,0,49,0
True,33334687,15999.99,0,324.01538,-0.021092892,0.0028903484,12.142355,0.0012730956,-0.0061062314,1.9538076,-0.039449118,-0.003770282,-0.019327257,-2.2490344,0.01132862,0.046432663,0.24378386,0.2593187,0.28688002,0.29431182,1.806472,0.39364928,0.7137419,0.508875,9.344673,6.6986256,7.324579,7.0587163,0,0,0,0,0,0,0,0,0,0,0,0,0.046167936,0.045806106,-0.0014660003,-0.0013567074,1.8070618,0.39630538,0.7137434,0.5088768,-0.0027622953,-0.0008566901,0.005215317,0.0060989037,164,6,231,2,0,-1202.178,163.04137,1111.2142,1.9538176,51248.61,1546.6406,101.45118,103.21924,103.38449,103.38449,0,1,-75.86813,0,0,0.20510943,0.20510942,0,7,255,0,0,0,1,0,49,0
True,33334796,15999.99,0,516.4055,0.09193659,0.10402857,12.934498,0.017551064,0.0037558004,3.2879107,-0.018860321,0.007231422,-0.0034204228,-2.2494586,0.008783255,0.045058995,0.23149239,0.2603741,0.30961114,0.32694113,1.7361184,0.4695765,0.9294138,0.9098795,13.377396,11.233162,11.815032,11.627136,0,0,0,0,0,0,0,0,0,0,0,0,0.3900161,0.3894349,-0.019292772,-0.015674438,1.7793875,0.6100505,0.929614,0.9100145,-0.004270047,-0.00072723255,0.007917881,0.009978287,164,6,231,2,0,-1202.3822,163.03903,1111.0497,3.2879596,82637.85,1546.6406,104.62619,103.301956,103.636734,103.636734,0,1,-75.61897,0,0,0.30454952,0.30454952,0,7,255,0,0,0,1,20,49,0
True,33334906,15999.99,0,701.98395,2.9033158,-0.15476067,11.625496,0.33782053,-0.019084558,4.669817,-0.00908431,0.28181368,-0.020518389,-2.228754,0.007003792,0.046808146,0.21665289,0.2223075,0.30568746,0.31156904,1.1053894,0.53112745,0.69054806,1.6465065,17.512877,14.896076,15.909281,16.522795,0,0,0,0,0,0,0,0,0,0,0,0,-0.26194203,-0.29276028,0.041100487,0.04695703,1.1360015,0.6064693,0.6917701,1.6471759,-0.006090354,-0.0053967237,0.007451389,0.0081506595,164,6,231,2,0,-1202.7666,163.03578,1110.7776,4.682059,113881.34,1546.6406,106.05254,104.860855,104.01075,104.01075,0,1,-75.172325,0,0,0.42263994,0.42263997,0,7,255,0,0,0,1,0,48,0
True,33335031,15999.99,0,913.9702,-1.2305636,-0.21430898,13.6435,0.0034396648,-0.044877306,6.257559,-0.004394472,0.0025010903,-0.00579267,-2.2162046,0.005675711,0.044885084,0.18450627,0.21039394,0.29567745,0.32562768,1.8218665,0.19635713,0.0073634232,0.18797,21.95999,20.070915,21.749727,20.56545,0,0,0,0,0,0,0,0,0,0,0,0,-0.016683133,-0.012925533,0.0039046863,0.006380355,1.8219429,0.19678208,0.008334661,0.18807825,-0.010033663,-0.006858118,0.0062612705,0.009822134,164,6,231,2,0,-1203.2885,163.0287,1110.4003,6.2577205,140830.05,1546.6406,107.47455,105.07712,104.471436,104.471436,0,1,-74.561226,0,0,0.54050016,0.54050016,0,7,255,0,0,0,1,0,48,0
True,33335140,15999.99,0,1182.9221,-0.43041277,-0.24641287,15.538765,-0.01976204,-0.076520786,8.109095,0.0042064223,-0.017033467,0.0083592255,-2.2174418,0.005253419,0.04510631,0.16140363,0.18939564,0.30330685,0.3369218,2.3321512,0.5828262,0.72036135,0.58364946,30.29275,26.486689,26.854574,26.625317,0,0,0,0,0,0,0,0,0,0,0,0,0.051469553,0.054027166,-0.005823989,-0.0021011895,2.332719,0.58532494,0.7203849,0.5836532,-0.012867583,-0.009433903,0.007168345,0.011164919,164,6,231,2,0,-1203.9569,163.01709,1109.895,8.10948,190431.8,1546.6406,109.93184,105.174385,104.80973,104.80973,0,1,-73.76543,0,0,0.6567548,0.6567548,0,7,255,0,0,0,1,0,47,0
True,33335234,15999.99,0,1383.6477,-0.13811111,-0.24976265,15.88087,-0.023121357,-0.09179841,9.649244,0.01222731,-0.01367852,0.011217107,-2.2189229,0.0063222446,0.046132717,0.15775211,0.17585446,0.31019124,0.3363995,1.1265436,0.7373968,0.66850495,0.6175842,32.72027,31.91538,31.793423,31.723104,0,0,0,0,0,0,0,0,0,0,0,0,0.041250806,0.044806663,0.00123582,0.0051085344,1.1272986,0.73875684,0.6685061,0.6176053,-0.013315499,-0.011094952,0.007986855,0.011102822,164,6,231,2,0,-1204.646,163.00372,1109.3718,9.64971,223283.47,1546.6406,111.87541,105.28964,105.05939,105.05939,0,1,-72.943634,0,0,0.75409454,0.7540945,0,7,255,0,0,0,1,0,47,0
True,33335343,15999.99,0,1632.0938,-0.09812784,-0.25478968,15.9949,-0.019771576,-0.10674542,11.471729,0.013096051,-0.0050558457,0.0075678932,-2.2197793,0.007848794,0.047315802,0.15719812,0.16204047,0.3157789,0.32731205,0.5956166,0.8365324,0.60314924,0.6047802,37.431213,38.188656,37.614693,37.643005,0,0,0,0,0,0,0,0,0,0,0,0,0.021154188,0.024642868,0.008092507,0.011886419,0.59599215,0.8368953,0.6032035,0.60489696,-0.013383456,-0.012789462,0.008651182,0.010022387,164,6,231,2,0,-1205.6035,162.9838,1108.6436,11.472243,263383.16,1546.6406,111.65472,105.525375,105.33084,105.33084,0,1,-71.80093,0,0,0.86776054,0.8677605,0,7,255,0,0,0,1,0,46,0
True,33335468,15999.99,0,1883.1267,-0.10673046,-0.2601107,16.078667,-0.018933296,-0.12474486,13.279955,0.0039869333,-0.0037678024,0.0026289315,-2.220204,0.008929648,0.047840398,0.15436217,0.1540477,0.3149972,0.31594014,0.5756117,0.68054354,0.5835343,0.5916506,43.2733,43.659466,43.4804,43.52483,0,0,0,0,0,0,0,0,0,0,0,0,0.017349722,0.020144822,0.0083488375,0.0117383795,0.57587314,0.6808416,0.583594,0.591767,-0.0137313325,-0.013769908,0.008558247,0.008670352,164,6,231,2,0,-1206.7184,162.95872,1107.7954,13.280557,304043.97,1546.6406,111.389175,105.74395,105.59274,105.59274,0,1,-70.470314,0,0,0.9807628,0.9807628,0,7,255,0,0,0,1,0,46,0
