IsRaceOn,TimestampMS,EngineMaxRpm,EngineIdleRpm,CurrentEngineRpm,AccelerationX,AccelerationY,AccelerationZ,VelocityX,VelocityY,VelocityZ,AngularVelocityX,AngularVelocityY,AngularVelocityZ,Yaw,Pitch,Roll,NormalizedSuspensionTravelFrontLeft,NormalizedSuspensionTravelFrontRight,NormalizedSuspensionTravelRearLeft,NormalizedSuspensionTravelRearRight,TireSlipRatioFrontLeft,TireSlipRatioFrontRight,TireSlipRatioRearLeft,TireSlipRatioRearRight,WheelRotationSpeedFrontLeft,WheelRotationSpeedFrontRight,WheelRotationSpeedRearLeft,WheelRotationSpeedRearRight,WheelOnRumbleStripFrontLeft,WheelOnRumbleStripFrontRight,WheelOnRumbleStripRearLeft,WheelOnRumbleStripRearRight,WheelInPuddleDepthFrontLeft,WheelInPuddleDepthFrontRight,WheelInPuddleDepthRearLeft,WheelInPuddleDepthRearRight,SurfaceRumbleFrontLeft,SurfaceRumbleFrontRight,SurfaceRumbleRearLeft,SurfaceRumbleRearRight,TireSlipAngleFrontLeft,TireSlipAngleFrontRight,TireSlipAngleRearLeft,TireSlipAngleRearRight,TireCombinedSlipFrontLeft,TireCombinedSlipFrontRight,TireCombinedSlipRearLeft,TireCombinedSlipRearRight,SuspensionTravelMetersFrontLeft,SuspensionTravelMetersFrontRight,SuspensionTravelMetersRearLeft,SuspensionTravelMetersRearRight,CarOrdinal,CarClass,CarPerformanceIndex,DrivetrainType,NumCylinders,PositionX,PositionY,PositionZ,Speed,Power,Torque,TireTempFl,TireTempFr,TireTempRl,TireTempRr,Boost,Fuel,Distance,BestLapTime,LastLapTime,CurrentLapTime,CurrentRaceTime,Lap,RacePosition,Accelerator,Brake,Clutch,Handbrake,Gear,Steer,NormalDrivingLine,NormalAiBrakeDifference
True,23068718,15999.99,0,575.5523,-0.0041254647,-0.029087888,0.6577313,0.0066254735,-0.0016010851,4.289861,-9.733487E-05,0.00076294254,-7.0517424E-05,1.6526315,0.10245187,-0.08589231,0.25925174,0.26692715,0.24017796,0.245127,-0.0033430588,-0.0033206977,-0.003322742,-0.003328335,13.293975,13.290256,13.293969,13.290219,0,0,0,0,0,0,0,0,0,0,0,0,-0.018381787,-0.018246552,-0.013934871,-0.013143674,0.018683312,0.018546257,0.014325545,0.013558539,-0.0008649081,7.660687E-05,-0.00033720955,0.00025119632,164,6,231,2,0,-4062.2786,335.6428,4157.75,4.2898664,-422.47714,-7.012673,195.14554,191.23466,194.75719,194.75719,0,1,242.9046,0,0,0.6754024,88.8944,0,11,0,0,0,0,1,0,252,0
True,23084468,15999.99,0,0,4.9269353E-08,2.987205E-08,2.2530392E-08,-3.8914044E-05,-1.085087E-06,-9.752066E-05,-0.00012401218,-1.4723133E-07,0.00013690468,1.960993,-0.062638424,-0.040274344,0.2568608,0.2694651,0.2475663,0.24090539,0.00013402742,0.00012758153,0.018394846,0.019607011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.008406482,-0.008926114,-0.0066928687,-0.0068044034,0.00840755,0.008927026,0.019574597,0.020754151,-0.0011581965,0.00038792938,0.0005412102,-0.0002507232,164,6,231,2,0,-7072.8496,281.3425,4330.311,0.00010500361,0,0,93.54036,93.54666,94.00224,94.00224,0,1,-56.665283,0,0,0.09328676,0.09328676,0,8,0,0,0,0,1,0,49,0
True,23084593,15999.99,0,0,6.3097216E-09,3.8255896E-09,2.885374E-09,-3.8665363E-05,5.390972E-06,2.961561E-05,-0.00012476328,-7.147213E-08,0.00013634612,1.960993,-0.062638424,-0.040274344,0.25686622,0.2694728,0.24756984,0.24090523,9.762385E-06,3.6906422E-06,0.018268919,0.019481378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.008406032,-0.008926554,-0.0066929166,-0.0068047177,0.008406037,0.008926555,0.019456323,0.020635607,-0.0011575297,0.0003888756,0.00054163113,-0.00025074184,164,6,231,2,0,-7072.8496,281.3425,4330.311,4.9001603E-05,0,0,93.49614,93.50279,93.96312,93.96312,0,1,-56.665283,0,0,0.2120128,0.21201278,0,7,0,0,0,0,1,0,49,0
True,23084687,15999.99,0,0,1.0498441E-09,6.365214E-10,4.8008336E-10,-3.8695864E-05,4.1984117E-06,2.9634042E-05,-0.00012514034,-8.3476664E-08,0.00013624704,1.960993,-0.062638424,-0.040274344,0.2568641,0.2694707,0.24756794,0.2409032,1.1398501E-05,5.644324E-06,0.01826911,0.019481817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.008405675,-0.008926973,-0.0066929837,-0.0068050255,0.008405683,0.008926975,0.019456526,0.020636123,-0.0011577904,0.00038861483,0.0005414039,-0.00025098398,164,6,231,2,0,-7072.8496,281.3425,4330.311,4.892007E-05,0,0,93.45769,93.46466,93.9291,93.9291,0,1,-56.665283,0,0,0.31535918,0.31535918,0,7,0,0,0,0,1,0,49,0
True,23084796,15999.99,0,0,1.712292E-10,1.0381644E-10,7.8301435E-11,-3.8685823E-05,2.0115097E-06,2.9604718E-05,-0.00012527916,-8.2679094E-08,0.00013620239,1.960993,-0.062638424,-0.040274344,0.25686198,0.26946872,0.24756627,0.24090113,1.1202988E-05,5.7945654E-06,0.018267458,0.019480433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.008405265,-0.00892735,-0.0066930093,-0.006805293,0.008405273,0.008927352,0.019454984,0.020634905,-0.0011580512,0.0003883727,0.00054120645,-0.00025122985,164,6,231,2,0,-7072.8496,281.3425,4330.311,4.8755293E-05,0,0,93.41891,93.4262,93.89479,93.89479,0,1,-56.665283,0,0,0.41968963,0.41968957,0,8,0,0,0,0,1,0,49,0
True,23084906,15999.99,0,0,2.715562E-11,1.646448E-11,1.2417999E-11,-3.8638915E-05,8.599852E-08,3.0361285E-05,-0.00012556025,-7.782097E-08,0.0001360509,1.960993,-0.062638424,-0.040274344,0.25686052,0.26946747,0.24756508,0.24089928,1.05737345E-05,5.5425335E-06,0.018265355,0.01947863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.008404873,-0.008927755,-0.0066930517,-0.006805586,0.00840488,0.008927757,0.019453024,0.020633299,-0.00115823,0.00038821995,0.0005410649,-0.00025144964,164,6,231,2,0,-7072.8496,281.3425,4330.311,4.9140417E-05,0,0,93.379654,93.38728,93.86007,93.86007,0,1,-56.665283,0,0,0.5253905,0.52539045,0,8,0,0,0,0,1,0,49,0
True,23085015,15999.99,0,36.4549,-0.23309547,-0.044260718,2.5613158,0.0046818256,-0.0020463304,0.22133109,-0.018383918,-0.0007277351,-0.009940911,1.9609795,-0.06296903,-0.040567916,0.25459093,0.26861766,0.24827176,0.24355282,0.1769321,0.13503984,0.25156772,0.23760238,0.85487145,0.7915179,0.862323,0.8417353,0,0,0,0,0,0,0,0,0,0,0,0,-0.0030917134,-0.0031389003,-0.005132704,-0.0050837905,0.17695911,0.13507631,0.25162008,0.23765677,-0.0014366321,0.00028397515,0.0006250851,6.403774E-05,164,6,231,2,0,-7072.846,281.34268,4330.3096,0.22139005,2369.7854,537.0225,93.33997,93.34752,93.825226,93.825226,0,1,-56.662647,0,0,0.64665014,0.6466501,0,8,255,0,0,0,1,0,49,0
True,23085140,15999.99,0,248.9062,0.14116478,-0.05302623,10.161764,0.0058440566,-0.010790732,1.4339132,-0.03870461,-0.0013971834,-0.016618088,1.9611001,-0.06640515,-0.042109516,0.22293623,0.24958175,0.2644589,0.27539667,1.5416629,0.55328315,0.7126328,0.38642964,7.251356,4.8283734,5.5258856,5.65555,0,0,0,0,0,0,0,0,0,0,0,0,-0.0023187764,-0.00014374097,-0.01494126,-0.013868586,1.5416647,0.55328315,0.71278936,0.38667843,-0.005319599,-0.002051089,0.0025496148,0.003850039,164,6,231,2,0,-7072.765,281.34772,4330.275,1.4339656,36420.1,1433.6072,93.44367,93.464745,94.00126,94.00126,0,1,-56.600094,0,0,0.7625735,0.7625735,0,8,255,0,0,0,1,0,49,0
True,23085250,15999.99,0,443.63245,-0.1502409,-0.1909843,11.05197,0.003815055,-0.036105264,2.6827443,-0.026750628,-0.006249545,-0.004677663,1.9610057,-0.06929533,-0.042880446,0.17514266,0.22212534,0.24982302,0.2879347,1.7718089,0.51537764,1.2995324,0.83859384,11.569548,8.904909,10.458483,10.041392,0,0,0,0,0,0,0,0,0,0,0,0,0.015054068,0.016270515,-0.031331167,-0.028772771,1.7718728,0.5156344,1.2999101,0.8390873,-0.011182265,-0.005419068,0.00080951676,0.0053407103,164,6,231,2,0,-7072.557,281.36047,4330.1895,2.6829898,70900.586,1546.6406,95.15608,93.57524,95.25753,95.25753,0,1,-56.440506,0,0,0.87197316,0.87197316,0,8,255,0,0,0,1,0,49,0
True,23085359,15999.99,0,621.8453,0.00034952164,-0.053825483,13.443482,0.0021152496,-0.043142017,4.1521974,-0.017948259,-0.0055841305,0.0014718468,1.9610935,-0.07159184,-0.042378344,0.16747308,0.21092558,0.2762363,0.31966108,1.3907473,0.45396605,0.9790377,0.67889166,15.430897,13.622203,14.3634405,14.180155,0,0,0,0,0,0,0,0,0,0,0,0,0.008963597,0.011217309,-0.021807402,-0.018519986,1.3907762,0.4541046,0.97928053,0.67914426,-0.012123065,-0.006792903,0.0039498582,0.0091127455,164,6,231,2,0,-7072.2114,281.38248,4330.047,4.152422,100028.945,1546.6406,96.29706,93.72625,96.56656,96.56656,0,1,-56.17509,0,0,0.9817737,0.9817738,0,8,255,0,0,0,1,0,49,0
