IsRaceOn,TimestampMS,EngineMaxRpm,EngineIdleRpm,CurrentEngineRpm,AccelerationX,AccelerationY,AccelerationZ,VelocityX,VelocityY,VelocityZ,AngularVelocityX,AngularVelocityY,AngularVelocityZ,Yaw,Pitch,Roll,NormalizedSuspensionTravelFrontLeft,NormalizedSuspensionTravelFrontRight,NormalizedSuspensionTravelRearLeft,NormalizedSuspensionTravelRearRight,TireSlipRatioFrontLeft,TireSlipRatioFrontRight,TireSlipRatioRearLeft,TireSlipRatioRearRight,WheelRotationSpeedFrontLeft,WheelRotationSpeedFrontRight,WheelRotationSpeedRearLeft,WheelRotationSpeedRearRight,WheelOnRumbleStripFrontLeft,WheelOnRumbleStripFrontRight,WheelOnRumbleStripRearLeft,WheelOnRumbleStripRearRight,WheelInPuddleDepthFrontLeft,WheelInPuddleDepthFrontRight,WheelInPuddleDepthRearLeft,WheelInPuddleDepthRearRight,SurfaceRumbleFrontLeft,SurfaceRumbleFrontRight,SurfaceRumbleRearLeft,SurfaceRumbleRearRight,TireSlipAngleFrontLeft,TireSlipAngleFrontRight,TireSlipAngleRearLeft,TireSlipAngleRearRight,TireCombinedSlipFrontLeft,TireCombinedSlipFrontRight,TireCombinedSlipRearLeft,TireCombinedSlipRearRight,SuspensionTravelMetersFrontLeft,SuspensionTravelMetersFrontRight,SuspensionTravelMetersRearLeft,SuspensionTravelMetersRearRight,CarOrdinal,CarClass,CarPerformanceIndex,DrivetrainType,NumCylinders,PositionX,PositionY,PositionZ,Speed,Power,Torque,TireTempFl,TireTempFr,TireTempRl,TireTempRr,Boost,Fuel,Distance,BestLapTime,LastLapTime,CurrentLapTime,CurrentRaceTime,Lap,RacePosition,Accelerator,Brake,Clutch,Handbrake,Gear,Steer,NormalDrivingLine,NormalAiBrakeDifference
True,26975343,15999.99,0,381.36453,-0.13761406,0.23366952,0.62490046,-0.0047997236,-0.006859064,2.8285124,-0.04274209,0.00024695008,0.027654257,-0.19133623,0.084169775,-0.06127022,0.26526964,0.39278513,0.29234096,0.2112972,-0.0026637549,-0.0025867445,-0.0023471746,-0.006347252,8.801021,8.806523,8.81022,8.808598,0,0,0,0,0,0,0,0,0.120000005,0,0.120000005,0.120000005,-0.011898406,-0.012002841,-0.013950613,-0.007177381,0.012192935,0.012278413,0.01414669,0.009581357,-0.00012671202,0.015515152,0.005864583,-0.0037709177,164,6,231,2,0,5110.988,181.41553,-2864.8975,2.8285246,-185.49509,-4.647775,219.59659,204.64496,220.97412,220.97412,-5.879999,1,119.9214,0,0,0.6601484,20.594692,0,8,0,0,0,0,1,0,127,0
True,26994000,15999.99,0,93.355034,0.16075051,-0.052659124,4.3154573,0.006649956,-0.0046072607,0.4378186,-0.02372166,0.00076087617,-0.010177824,-1.8846264,-0.022825353,-0.026400719,0.2579891,0.26305792,0.24722978,0.25282714,0.84125626,-0.04840719,1.3859024,0.043975696,1.2665049,2.7966263,1.2672153,3.179348,0,0,0,0,0,0,0,0,0,0,0,0,0.008629295,0.008721299,-0.018965932,-0.018941792,0.8413005,0.049186554,1.3860321,0.04788166,-0.0010197908,-0.00039801747,0.00050120056,0.0011666864,164,6,231,2,0,5962.0874,126.488075,-2231.4834,0.4378933,7622.2954,721.629,124.408585,124.98532,124.06047,124.06047,0,1,-52.58624,0,0,0.093394786,0.093394786,0,7,255,0,0,0,1,0,58,0
True,26994109,15999.99,0,325.01413,0.10216427,-0.13373244,11.670897,0.017656028,-0.021532778,1.8204784,-0.039191302,0.0042135874,-0.012162257,-1.8848052,-0.026526567,-0.028064074,0.2106521,0.23159324,0.25886434,0.27827972,2.6999161,0.45107034,0.86994386,0.54496586,10.504466,6.568224,7.195336,6.702312,0,0,0,0,0,0,0,0,0,0,0,0,0.33396718,0.329084,-0.040993724,-0.03853221,2.7204928,0.5583554,0.8709092,0.5463264,-0.006826449,-0.0042576753,0.0018844642,0.004192807,164,6,231,2,0,5961.971,126.48999,-2231.5205,1.8206912,50998.375,1546.6406,124.57599,125.12248,124.301414,124.301414,0,1,-52.506092,0,0,0.20618898,0.20618896,0,7,255,0,0,0,1,10,58,0
True,26994218,15999.99,0,481.2961,3.5374486,-0.1871812,10.773231,0.41871884,-0.05148208,3.009349,-0.010183744,0.32699397,0.011509235,-1.8677881,-0.028754732,-0.027827766,0.17630477,0.19809689,0.26848802,0.2874961,0.60433066,0.6512085,1.4858826,0.4290243,11.236157,10.392155,11.879828,10.676509,0,0,0,0,0,0,0,0,0,0,0,0,0.3759397,0.5680716,-0.04331974,-0.049169276,0.7117206,0.8641631,1.486514,0.4318327,-0.011039712,-0.008366551,0.0030286498,0.0052885674,164,6,231,2,0,5961.7065,126.49243,-2231.5813,3.038776,76027.336,1546.6406,126.53378,126.80986,124.568054,124.568054,0,1,-52.328197,0,0,0.31611997,0.31611994,0,7,255,0,0,0,1,0,57,0
True,26994328,15999.99,0,692.6325,-1.9818294,0.046419263,11.167427,0.09272444,-0.04989868,4.377356,-0.0015071059,0.08417105,-0.001311979,-1.840846,-0.029636294,-0.030378876,0.16871397,0.20369814,0.29028323,0.327742,1.224016,0.57542753,2.2471561,0.064860865,15.84212,14.012714,16.755589,16.3923,0,0,0,0,0,0,0,0,0,0,0,0,-0.5359707,-0.524874,0.024868201,0.028406901,1.3362185,0.77885145,2.2472937,0.07080878,-0.01197085,-0.007679466,0.0056199394,0.010073509,164,6,231,2,0,5961.304,126.49774,-2231.6624,4.3786225,107512.57,1546.6406,128.55544,127.28784,125.15459,125.15459,0,1,-52.06011,0,0,0.42478186,0.42478186,0,7,255,0,0,0,1,0,56,0
True,26994437,15999.99,0,848.8599,-0.90605736,-0.03923683,13.9548025,0.001730442,-0.05866404,5.8757687,-0.014477274,-0.0056726607,0.0042778878,-1.8396345,-0.030410603,-0.03027189,0.17152464,0.21508221,0.2993574,0.33950275,1.7273359,0.4001301,0.7316714,0.52020985,21.246552,18.935316,19.481625,19.1997,0,0,0,0,0,0,0,0,0,0,0,0,0.0060950266,0.00892466,-0.018102087,-0.012933245,1.7273467,0.4002296,0.7318953,0.5203706,-0.011626074,-0.0062830225,0.006698787,0.011471774,164,6,231,2,0,5960.7705,126.50845,-2231.8074,5.876062,136389.39,1546.6406,129.53954,127.35543,126.1431,126.1431,0,1,-51.696877,0,0,0.53306144,0.5330614,0,7,255,0,0,0,1,0,55,0
True,26994562,15999.99,0,1018.42126,-2.9141917,-0.069854304,11.938553,-0.24838448,-0.07204386,7.2414646,0.00866775,-0.19536722,-0.015277775,-1.8463631,-0.031698555,-0.030784324,0.16481844,0.21905719,0.3079318,0.35063562,2.5673506,0.21637185,0.72956485,-0.06609139,25.83574,22.831732,21.938911,24.22073,0,0,0,0,0,0,0,0,0,0,0,0,-1.3559014,-1.0736933,-0.0037091668,0.002287528,2.9034045,1.095278,0.7295743,0.06613096,-0.012448698,-0.0057954267,0.007718224,0.012795389,164,6,231,2,0,5960.082,126.52403,-2232.0066,7.2460814,0,0,132.6086,127.63298,126.37368,126.37368,0,1,-51.225746,0,0,0.6406773,0.6406772,0,7,255,0,0,0,1,-127,55,0
True,26994671,15999.99,0,1478.2191,-3.6102684,-0.056399018,13.502783,-0.40750742,-0.07746385,8.644289,-0.004836224,-0.4993659,0.009516824,-1.887967,-0.032501426,-0.030283416,0.17255875,0.23658118,0.3036131,0.34666947,6.217956,0.45123747,3.2497404,2.093857,39.83186,29.600204,33.5396,34.113483,0,0,0,0,0,0,0,0,0,0,0,0,0.39149648,0.32091153,-0.25700977,-0.23090169,6.230269,0.5537142,3.2598875,2.10655,-0.011499224,-0.0036458224,0.007204756,0.012323841,164,6,231,2,0,5959.268,126.54474,-2232.2993,8.654235,237508.84,1546.6406,139.02516,128.82812,130.908,130.908,0,1,-50.657116,0,0,0.75007474,0.7500746,0,7,255,0,0,0,1,0,56,0
True,26994781,15999.99,0,2079.8992,-0.26940775,-0.25526783,13.292396,0.061095715,-0.10855968,10.133002,-0.0026579872,-0.36966562,0.024974465,-1.9339085,-0.03425369,-0.02690389,0.17601909,0.22750247,0.307226,0.34426522,6.909207,3.803821,6.136686,5.3513913,49.360424,43.782154,48.646896,49.00409,0,0,0,0,0,0,0,0,0,0,0,0,0.47771943,0.4449687,-0.53774846,-0.50271136,6.9257026,3.829759,6.1602015,5.374952,-0.011074757,-0.0047594756,0.007634308,0.0120379925,164,6,231,2,0,5958.3037,126.56975,-2232.661,10.133768,334207.62,1546.6406,146.34967,132.98306,140.12903,140.12903,-0.62995243,1,-49.980446,0,0,0.85936475,0.85936457,0,7,255,0,0,0,1,0,57,0
True,26994890,15999.99,0,2697.4941,-0.12515354,-0.09940332,13.332024,0.4097736,-0.108232126,11.597665,0.020219931,-0.30915928,0.025245292,-1.9708959,-0.03436097,-0.023619376,0.1812311,0.21178101,0.32951277,0.36247438,8.317321,7.85286,8.24002,7.01856,61.3134,62.246128,63.102947,62.051495,0,0,0,0,0,0,0,0,0,0,0,0,0.9556135,1.0053873,-0.7082191,-0.6524668,8.372038,7.9169574,8.270399,7.0488224,-0.010435417,-0.006687969,0.01028404,0.014202934,164,6,231,2,0,5957.181,126.59842,-2233.0852,11.605407,434325.25,1546.6406,153.75429,140.98407,148.86642,148.86642,-1.9339914,1,-49.192043,0,0,0.9696722,0.96967196,0,7,255,0,0,0,1,127,58,0
