IsRaceOn,TimestampMS,EngineMaxRpm,EngineIdleRpm,CurrentEngineRpm,AccelerationX,AccelerationY,AccelerationZ,VelocityX,VelocityY,VelocityZ,AngularVelocityX,AngularVelocityY,AngularVelocityZ,Yaw,Pitch,Roll,NormalizedSuspensionTravelFrontLeft,NormalizedSuspensionTravelFrontRight,NormalizedSuspensionTravelRearLeft,NormalizedSuspensionTravelRearRight,TireSlipRatioFrontLeft,TireSlipRatioFrontRight,TireSlipRatioRearLeft,TireSlipRatioRearRight,WheelRotationSpeedFrontLeft,WheelRotationSpeedFrontRight,WheelRotationSpeedRearLeft,WheelRotationSpeedRearRight,WheelOnRumbleStripFrontLeft,WheelOnRumbleStripFrontRight,WheelOnRumbleStripRearLeft,WheelOnRumbleStripRearRight,WheelInPuddleDepthFrontLeft,WheelInPuddleDepthFrontRight,WheelInPuddleDepthRearLeft,WheelInPuddleDepthRearRight,SurfaceRumbleFrontLeft,SurfaceRumbleFrontRight,SurfaceRumbleRearLeft,SurfaceRumbleRearRight,TireSlipAngleFrontLeft,TireSlipAngleFrontRight,TireSlipAngleRearLeft,TireSlipAngleRearRight,TireCombinedSlipFrontLeft,TireCombinedSlipFrontRight,TireCombinedSlipRearLeft,TireCombinedSlipRearRight,SuspensionTravelMetersFrontLeft,SuspensionTravelMetersFrontRight,SuspensionTravelMetersRearLeft,SuspensionTravelMetersRearRight,CarOrdinal,CarClass,CarPerformanceIndex,DrivetrainType,NumCylinders,PositionX,PositionY,PositionZ,Speed,Power,Torque,TireTempFl,TireTempFr,TireTempRl,TireTempRr,Boost,Fuel,Distance,BestLapTime,LastLapTime,CurrentLapTime,CurrentRaceTime,Lap,RacePosition,Accelerator,Brake,Clutch,Handbrake,Gear,Steer,NormalDrivingLine,NormalAiBrakeDifference
True,11437437,10999.993,999.9994,7206.6104,-0.20374356,-5.703573,-2.7414403,0.034947634,0.34446007,49.77491,0.21171352,0.0011945514,0.061657283,0.05226659,0.007977878,-0.00896946,0.26386598,0.28931728,0.3239592,0.35223398,-0.06916786,-0.09950209,-0.09088093,-0.12854217,143.232,141.61433,134.05524,132.01482,0,0,0,0,0,0,0,0,0.59999996,0.59999996,0.59999996,0.59999996,-0.012813592,0.005006388,-0.0033723852,-0.00021723333,0.07034473,0.09962795,0.090943485,0.12854235,-0.01956094,-0.017589483,-0.011574052,-0.00952325,36,6,231,2,6,913.87787,191.48705,-117.10075,49.77611,-186486.14,-246.73111,167.25656,167.26608,175.84354,175.84354,-11.002369,1,166.83743,0,0,0.6963163,47.24233,0,9,0,0,0,0,3,0,127,0
True,11451484,10999.993,999.9994,1739.9612,-0.07055712,0.0015004119,-0.10492994,0.0013941973,-0.0003243498,-0.0078718625,0.00012692926,-1.2322624E-05,-0.004239533,2.0856807,-0.01241838,-0.00017761951,0.51469123,0.5169837,0.4832669,0.4850603,0.00037123606,0.00035903454,0.00031975814,0.00031002963,-0.023339747,-0.0232512,-0.022234764,-0.022152046,0,0,0,0,0,0,0,0,0,0,0,0,0.00030667186,0.00030954616,0.00015153254,0.00015324829,0.00048152244,0.00047405128,0.00035384655,0.00034583727,-0.00013201497,4.5556575E-05,-1.9274652E-05,0.000110805035,36,6,231,2,6,159.89935,161.78351,-1275.0597,0.008000951,46782.246,262.17587,94.14821,94.14784,94.25513,94.25513,-11.0250025,1,-51.66548,0,0,0.09374799,0.09374799,0,8,255,0,0,0,1,0,58,0
True,11451593,10999.993,999.9994,4443.7065,-0.013882581,-0.002658426,-0.08049869,0.0027617854,-0.0006871503,-0.01759161,3.947108E-05,-2.4335986E-06,-0.008632196,2.085681,-0.012406377,-0.0009643735,0.5100114,0.5239122,0.47817394,0.49148986,0.00024860076,0.0003361796,0.00033242512,0.00030087229,-0.052292313,-0.05211532,-0.049271494,-0.04920717,0,0,0,0,0,0,0,0,0,0,0,0,0.000109384724,8.5653766E-05,4.4419914E-05,1.9930641E-05,0.00027160146,0.00034691973,0.00033537977,0.0003015317,-0.0004945174,0.0005822405,-0.0003886707,0.00057714805,36,6,231,2,6,159.89793,161.78342,-1275.0592,0.017820338,269793.78,589.3624,94.09646,94.0961,94.203255,94.203255,-5.861764,1,-51.66642,0,0,0.20996551,0.20996553,0,8,255,0,0,0,1,0,58,0
True,11451703,10999.993,999.9994,7290.3574,0.06658342,0.0089096585,0.1452088,0.0015476043,-4.1192627E-05,0.010948726,-0.0040705088,-0.00042574535,-0.0050967745,2.0856798,-0.012427618,-0.0016702127,0.5043736,0.53003436,0.47303268,0.49819055,0.0495798,0.061611876,0.18336923,0.16750704,0.14846095,0.18178135,0.45338857,0.4126948,0,0,0,0,0,0,0,0,0,0,0,0,0.00013497335,0.000103241735,-0.0006895828,-0.0007241306,0.04957998,0.06161196,0.18337053,0.1675086,-0.00093121827,0.0010564625,-0.0007615723,0.0010631569,36,6,231,2,6,159.89612,161.78336,-1275.0585,0.011057639,447292.88,589.3624,94.052505,94.05217,94.15922,94.15922,17.033878,1,-51.667683,0,0,0.3088594,0.3088594,0,8,255,0,0,0,1,0,58,0
True,11451812,10999.993,999.9994,7419.1504,0.017026901,-0.27818286,10.627683,0.0042855144,-0.034300603,1.4645165,-0.044807933,-0.026551519,-0.012256294,2.084478,-0.01717656,-0.0027397147,0.4339792,0.47660142,0.5216065,0.5682682,30.845037,25.529095,34.193085,32.760853,54.587624,47.19856,64.37593,63.66111,0,0,0,0,0,0,0,0,0,0,0,0,0.29711375,0.2844805,-0.18707414,-0.17441374,30.846468,25.53068,34.193596,32.761314,-0.0063839704,-0.0030824523,0.0027615428,0.0061459728,36,6,231,2,6,159.97148,161.78291,-1275.1014,1.4649245,833532.8,1079.1387,97.97642,97.51798,100.441956,100.441956,33.4809,1,-51.611607,0,0,0.42628732,0.42628738,0,8,255,0,0,0,1,0,58,0
True,11451921,10999.993,999.9994,7360.155,-0.0145635605,0.40154564,13.817071,0.0072420835,0.015051179,2.970568,-0.010374106,-0.053467695,-0.005097561,2.0797124,-0.020133708,-0.0012557853,0.39766797,0.45771977,0.6215136,0.6654948,33.380363,28.680168,29.291336,29.861706,61.138527,55.38669,61.00389,61.648174,0,0,0,0,0,0,0,0,0,0,0,0,0.2844927,0.26956746,-0.20240234,-0.19528905,33.381577,28.681437,29.292034,29.862345,-0.009196638,-0.0045450237,0.010007925,0.013197936,36,6,231,2,6,160.17593,161.7866,-1275.2167,2.970615,0,0,106.4233,105.9453,110.727264,110.727264,35.953606,1,-51.459805,0,0,0.5316933,0.5316933,0,8,255,0,0,0,1,0,58,0
True,11452046,10999.993,999.9994,7371.4106,-0.06296396,-0.1434057,13.298634,0.024832368,-0.021517387,4.5427847,-0.00041503366,-0.0729243,0.018426888,2.0727713,-0.01961542,-0.00043063518,0.37162775,0.42074996,0.56597716,0.63455594,29.163818,25.997286,28.021906,26.1519,60.840492,56.22732,61.864147,60.87315,0,0,0,0,0,0,0,0,0,0,0,0,0.191547,0.19161355,-0.22957493,-0.21068649,29.164448,25.997993,28.022848,26.152748,-0.011213714,-0.0074087083,0.0059798025,0.010953903,36,6,231,2,6,160.57028,161.79433,-1275.4369,4.5429034,507168.16,657.8407,115.29582,115.01593,121.556335,121.556335,36.599754,1,-51.167683,0,0,0.6519233,0.6519233,0,8,255,0,0,0,1,0,58,0
True,11452140,10999.993,999.9994,7458.085,-0.1123333,-0.37669587,12.981466,0.05376172,-0.058111526,5.8695326,0.007823352,-0.07234546,-0.0018211056,2.0653849,-0.019224755,-0.00027574602,0.3520353,0.3940097,0.56381035,0.5900526,29.096464,24.52354,26.097786,24.196136,64.20313,57.445145,62.266613,61.014,0,0,0,0,0,0,0,0,0,0,0,0,0.10703262,0.10972889,-0.21060999,-0.1928088,29.096663,24.523787,26.098637,24.196905,-0.012731343,-0.009480008,0.00582264,0.007726025,36,6,231,2,6,161.0371,161.80098,-1275.6952,5.8700666,465613.38,596.6124,122.330414,122.15231,130.29828,130.29828,36.7184,1,-50.82267,0,0,0.7538072,0.7538071,0,8,255,0,0,0,1,0,58,0
True,11452265,10999.993,999.9994,8622.911,0.007992268,-0.1963193,13.451755,0.10897279,-0.067610756,7.5053034,0.004993646,-0.089449,-0.009108697,2.054861,-0.019367797,0.0006013206,0.34983814,0.38993216,0.5794842,0.5830088,26.736502,22.18073,22.239943,22.395403,74.51562,67.83049,70.75435,71.30361,0,0,0,0,0,0,0,0,0,0,0,0,0.04909939,0.052359752,-0.24707317,-0.24438344,26.736546,22.180794,22.241314,22.396736,-0.012901537,-0.009795854,0.0069594868,0.007215131,36,6,231,2,6,161.74147,161.80984,-1276.081,7.5063987,648362.6,719.3561,130.29744,130.13795,139.80804,139.80804,36.744907,1,-50.303314,0,0,0.8733158,0.8733158,0,8,255,0,0,0,1,0,58,0
True,11452375,10999.993,999.9994,9430.11,-0.08376074,-0.0018961653,13.851386,0.17396688,-0.06986931,8.960746,-0.006056801,-0.10518779,0.012785448,2.0445783,-0.019264756,0.0016772444,0.37120256,0.40806916,0.57286376,0.6048498,21.1449,19.744442,19.591648,19.911543,77.15073,75.30966,77.626205,78.63171,0,0,0,0,0,0,0,0,0,0,0,0,-0.015400117,-0.009667249,-0.2940057,-0.29585782,21.144905,19.744444,19.593853,19.91374,-0.01124665,-0.008390963,0.006479297,0.008799281,36,6,231,2,6,162.50754,161.8188,-1276.4955,8.9627075,695723.2,705.40936,137.07555,136.89142,147.77786,147.77786,36.748993,1,-49.74018,0,0,0.97908527,0.97908527,0,8,255,0,0,0,1,0,59,0
