IsRaceOn,TimestampMS,EngineMaxRpm,EngineIdleRpm,CurrentEngineRpm,AccelerationX,AccelerationY,AccelerationZ,VelocityX,VelocityY,VelocityZ,AngularVelocityX,AngularVelocityY,AngularVelocityZ,Yaw,Pitch,Roll,NormalizedSuspensionTravelFrontLeft,NormalizedSuspensionTravelFrontRight,NormalizedSuspensionTravelRearLeft,NormalizedSuspensionTravelRearRight,TireSlipRatioFrontLeft,TireSlipRatioFrontRight,TireSlipRatioRearLeft,TireSlipRatioRearRight,WheelRotationSpeedFrontLeft,WheelRotationSpeedFrontRight,WheelRotationSpeedRearLeft,WheelRotationSpeedRearRight,WheelOnRumbleStripFrontLeft,WheelOnRumbleStripFrontRight,WheelOnRumbleStripRearLeft,WheelOnRumbleStripRearRight,WheelInPuddleDepthFrontLeft,WheelInPuddleDepthFrontRight,WheelInPuddleDepthRearLeft,WheelInPuddleDepthRearRight,SurfaceRumbleFrontLeft,SurfaceRumbleFrontRight,SurfaceRumbleRearLeft,SurfaceRumbleRearRight,TireSlipAngleFrontLeft,TireSlipAngleFrontRight,TireSlipAngleRearLeft,TireSlipAngleRearRight,TireCombinedSlipFrontLeft,TireCombinedSlipFrontRight,TireCombinedSlipRearLeft,TireCombinedSlipRearRight,SuspensionTravelMetersFrontLeft,SuspensionTravelMetersFrontRight,SuspensionTravelMetersRearLeft,SuspensionTravelMetersRearRight,CarOrdinal,CarClass,CarPerformanceIndex,DrivetrainType,NumCylinders,PositionX,PositionY,PositionZ,Speed,Power,Torque,TireTempFl,TireTempFr,TireTempRl,TireTempRr,Boost,Fuel,Distance,BestLapTime,LastLapTime,CurrentLapTime,CurrentRaceTime,Lap,RacePosition,Accelerator,Brake,Clutch,Handbrake,Gear,Steer,NormalDrivingLine,NormalAiBrakeDifference
True,10027828,10999.993,999.9994,1140.0165,0.6249606,0.012622265,-0.5455464,-0.0036064386,-0.0043113157,3.3162575,-0.0054192794,-0.00027096114,0.0013303075,-0.55586666,-0.013932044,0.03836152,0.5284174,0.5298671,0.48525816,0.48241737,-0.003667999,0.0013962697,-0.00839337,0.0012539029,9.830777,9.82096,9.282279,9.265092,0,0,0,0,0,0,0,0,0,0,0,0,0.009473136,0.0082489215,0.0063396804,0.007429407,0.01015847,0.008366258,0.010518565,0.007534478,0.0009312127,0.001043506,0.00012515485,-8.089095E-05,36,6,231,2,6,6020.8896,106.241844,-1417.6622,3.3162622,-665.01373,-5.569384,90.20445,90.70662,85.578674,85.578674,-11.024998,1,217.4361,0,0,0.7034599,117.273254,0,12,0,0,0,0,1,0,7,0
True,10046093,10999.993,999.9994,1998.1001,0.19675492,0.006040809,0.00041432335,0.0015994024,-0.00041883055,-5.841142E-05,-9.674589E-05,-3.3045635E-06,-0.004804852,1.5728756,-0.00087090087,-0.00024207476,0.51512533,0.51824456,0.4825104,0.48535493,4.4328597E-05,4.770261E-05,4.0703006E-05,4.3061504E-05,-3.7462152E-05,1.2550168E-05,-3.788346E-05,7.042203E-06,0,0,0,0,0,0,0,0,0,0,0,0,0.0004037794,0.00040559098,0.000221933,0.00022389603,0.0004062054,0.00040838655,0.00022563463,0.0002279994,-9.839423E-05,0.00014322251,-7.414445E-05,0.0001321733,36,6,231,2,6,2434.8896,346.30637,-3185.4001,0.0016543635,62292.633,303.9668,92.513824,92.51369,92.51645,92.51645,-11.0250025,1,-56.856804,0,0,0.10901363,0.10901363,0,8,255,0,0,0,1,0,53,0
True,10046203,10999.993,999.9994,4713.6074,0.19766325,0.010612416,0.00042029683,0.0028142352,-0.0006819226,-8.870622E-05,-2.8305209E-05,-3.4763061E-06,-0.008827949,1.5728763,-0.0008778041,-0.0010238116,0.510033,0.5247312,0.47777918,0.491861,3.0907548E-05,2.5581754E-05,2.7780972E-05,2.331176E-05,-0.00021981605,-0.00016681332,-0.00021108877,-0.00016207388,0,0,0,0,0,0,0,0,0,0,0,0,0.000227244,0.00024857227,0.0001573821,0.00018095945,0.00022933625,0.00024988517,0.00015981523,0.00018245482,-0.00049284287,0.0006456822,-0.0004173033,0.000604067,36,6,231,2,6,2434.8896,346.3063,-3185.4004,0.002897034,286242.3,589.3624,92.47238,92.472244,92.47498,92.47498,-4.520385,1,-56.856804,0,0,0.21883117,0.21883117,0,8,255,0,0,0,1,0,53,0
True,10046312,10999.993,999.9994,7434.297,-0.0713628,0.0018306104,1.9691966,0.0014588665,-0.0007085516,0.21768644,-0.01953973,-0.00092895987,-0.0045023365,1.5728682,-0.0011191699,-0.0017600085,0.5018389,0.52880806,0.4736588,0.50037026,0.19025636,0.16387285,0.7663161,0.6350263,1.0760913,1.0293771,2.4686253,2.1707094,0,0,0,0,0,0,0,0,0,0,0,0,0.0014433593,0.0014726927,-0.0011668004,-0.0011427749,0.19026183,0.16387947,0.766317,0.6350273,-0.0011275541,0.00096147135,-0.000716161,0.0012212545,36,6,231,2,6,2434.8923,346.30627,-3185.4006,0.2176925,458594.44,589.3624,92.43178,92.43157,92.43628,92.43628,22.240715,1,-56.85513,0,0,0.3288507,0.3288507,0,8,255,0,0,0,1,0,53,0
True,10046421,10999.993,999.9994,7678.4683,0.14138433,0.03852629,11.23157,0.004202764,-3.853539E-05,1.6321833,-0.036069192,-0.027405012,-0.0064919665,1.5716909,-0.005570942,-0.003252185,0.4185898,0.47109744,0.50660795,0.5581347,30.555815,22.462349,27.97255,26.890131,64.32616,50.31903,65.22022,64.67971,0,0,0,0,0,0,0,0,0,0,0,0,0.21782993,0.20743564,-0.14923729,-0.13907383,30.556591,22.463306,27.972948,26.890491,-0.0075760353,-0.0035087913,0.0016736835,0.0054109767,36,6,231,2,6,2434.996,346.30615,-3185.4011,1.6321888,840018.2,1050.6514,93.90756,93.847084,94.85785,94.85785,34.04353,1,-56.790573,0,0,0.43858522,0.4385852,0,8,255,0,0,0,1,0,53,0
True,10046515,10999.993,999.9994,8259.987,-0.0051115565,-0.6110635,11.309741,0.010126763,-0.0708712,2.9150958,-0.0121646365,-0.044797026,0.0061234036,1.567262,-0.0080667045,-0.003196786,0.31852463,0.37411496,0.46560493,0.51362777,33.726337,27.988134,28.817291,28.069582,72.94581,63.149105,68.41226,67.73973,0,0,0,0,0,0,0,0,0,0,0,0,0.17983647,0.17519172,-0.16547742,-0.15670887,33.726818,27.988684,28.817766,28.070019,-0.01532708,-0.011021054,-0.0013003163,0.0021828376,36,6,231,2,6,2435.2505,346.3052,-3185.4014,2.9159749,326573.25,377.39285,96.56723,96.54909,98.138794,98.138794,36.24636,1,-56.632328,0,0,0.5484727,0.5484727,0,8,255,0,0,0,1,0,53,0
True,10046640,10999.993,999.9994,8461.824,-0.02296871,0.015188706,12.126572,0.025099175,-0.06667829,4.2008157,-0.007953406,-0.06194823,0.006221346,1.5614581,-0.009203316,-0.0017246777,0.369971,0.39830372,0.5294293,0.580114,28.5611,29.622232,27.716848,27.0942,67.576324,69.99474,70.19419,69.80416,0,0,0,0,0,0,0,0,0,0,0,0,0.14750499,0.14667454,-0.17804489,-0.16853894,28.561481,29.622595,27.71742,27.094725,-0.011342046,-0.009147395,0.0033289418,0.0070051663,36,6,231,2,6,2435.6294,346.3008,-3185.4006,4.20142,252964.94,285.01294,99.11922,98.98759,100.98462,100.98462,36.650562,1,-56.39661,0,0,0.6545674,0.65456736,0,8,255,0,0,0,1,0,53,0
True,10046734,10999.993,999.9994,8833.386,0.101450644,0.3898572,12.564236,0.052506518,-0.037323847,5.473277,-0.008683487,-0.07893006,0.011150282,1.5544274,-0.009808313,-0.0010026828,0.41242206,0.4310538,0.57150537,0.6303061,27.072351,27.760483,27.75346,25.76931,69.694046,71.11006,73.978966,72.95534,0,0,0,0,0,0,0,0,0,0,0,0,0.105954744,0.10795358,-0.20269129,-0.18541253,27.07256,27.760693,27.7542,25.769976,-0.008053789,-0.0066105723,0.0063807704,0.0106456615,36,6,231,2,6,2436.1294,346.2991,-3185.3982,5.4736567,542038.5,586.32404,101.405334,101.27774,103.63025,103.63025,36.72958,1,-56.085564,0,0,0.7581388,0.7581388,0,8,255,0,0,0,1,0,53,0
True,10046843,10999.993,999.9994,8987.219,-0.1325748,-0.06550315,12.194949,0.08706763,-0.04669214,6.531353,0.00877091,-0.075741604,-0.016137542,1.5474907,-0.00992247,-0.0012040422,0.38130963,0.39293766,0.5857737,0.5923501,27.03595,24.941755,23.976503,23.846394,74.99957,72.760994,73.96463,74.26345,0,0,0,0,0,0,0,0,0,0,0,0,0.05055694,0.05279618,-0.193139,-0.18938366,27.035997,24.941813,23.977282,23.847147,-0.010463756,-0.0095630465,0.007415671,0.0078926645,36,6,231,2,6,2436.657,346.30133,-3185.3936,6.5320997,725805.2,773.4978,103.20948,103.112076,105.86261,105.86261,36.744637,1,-55.75736,0,0,0.84555984,0.8455598,0,8,255,0,0,0,1,0,53,0
True,10046968,10999.993,999.9994,10235.933,-0.1096074,-0.10135818,12.029884,0.15400766,-0.058412258,8.035995,0.0042360253,-0.09092508,-0.013332201,1.5365158,-0.009618366,-0.0012184584,0.38333103,0.38812375,0.5677527,0.57879657,23.874186,22.792582,21.587202,21.580456,84.38895,83.73914,84.194214,84.67489,0,0,0,0,0,0,0,0,0,0,0,0,-0.0076473407,-0.0033137493,-0.23514277,-0.23238628,23.874187,22.792582,21.588482,21.581707,-0.010307179,-0.009935935,0.0061085857,0.006909609,36,6,231,2,6,2437.563,346.30377,-3185.382,8.037683,657090.3,613.77185,105.69622,105.5929,108.76221,108.76221,36.749195,1,-55.19376,0,0,0.9696999,0.96969986,0,8,255,0,0,0,1,0,53,0
