IsRaceOn,TimestampMS,EngineMaxRpm,EngineIdleRpm,CurrentEngineRpm,AccelerationX,AccelerationY,AccelerationZ,VelocityX,VelocityY,VelocityZ,AngularVelocityX,AngularVelocityY,AngularVelocityZ,Yaw,Pitch,Roll,NormalizedSuspensionTravelFrontLeft,NormalizedSuspensionTravelFrontRight,NormalizedSuspensionTravelRearLeft,NormalizedSuspensionTravelRearRight,TireSlipRatioFrontLeft,TireSlipRatioFrontRight,TireSlipRatioRearLeft,TireSlipRatioRearRight,WheelRotationSpeedFrontLeft,WheelRotationSpeedFrontRight,WheelRotationSpeedRearLeft,WheelRotationSpeedRearRight,WheelOnRumbleStripFrontLeft,WheelOnRumbleStripFrontRight,WheelOnRumbleStripRearLeft,WheelOnRumbleStripRearRight,WheelInPuddleDepthFrontLeft,WheelInPuddleDepthFrontRight,WheelInPuddleDepthRearLeft,WheelInPuddleDepthRearRight,SurfaceRumbleFrontLeft,SurfaceRumbleFrontRight,SurfaceRumbleRearLeft,SurfaceRumbleRearRight,TireSlipAngleFrontLeft,TireSlipAngleFrontRight,TireSlipAngleRearLeft,TireSlipAngleRearRight,TireCombinedSlipFrontLeft,TireCombinedSlipFrontRight,TireCombinedSlipRearLeft,TireCombinedSlipRearRight,SuspensionTravelMetersFrontLeft,SuspensionTravelMetersFrontRight,SuspensionTravelMetersRearLeft,SuspensionTravelMetersRearRight,CarOrdinal,CarClass,CarPerformanceIndex,DrivetrainType,NumCylinders,PositionX,PositionY,PositionZ,Speed,Power,Torque,TireTempFl,TireTempFr,TireTempRl,TireTempRr,Boost,Fuel,Distance,BestLapTime,LastLapTime,CurrentLapTime,CurrentRaceTime,Lap,RacePosition,Accelerator,Brake,Clutch,Handbrake,Gear,Steer,NormalDrivingLine,NormalAiBrakeDifference
True,2933953,7999.995,1269.8213,4951.573,19.887558,0.29744402,-0.47869778,-8.817603,0.5459081,31.82689,0.0026337132,0.7365153,0.0051211994,2.3696015,0.009888437,-0.045374244,0.8094479,0.36776292,0.6725043,0.24774909,0.0028018123,0.012849316,-0.03904145,-0.4319516,100.19178,96.72688,99.67447,92.37363,0,0,0,0,0,0,0,0,0,0,0,0,1.9110829,2.3837306,2.4717581,3.0637856,1.9110849,2.3837652,2.4720664,3.0940855,0.036514863,-0.01560396,0.021835342,-0.026366472,53,3,190,2,4,-9111.166,117.24641,4125.1685,33.030273,-25789.768,-49.72684,189.71594,191.37561,180.98305,180.98305,-11.006842,1,136.20322,0,0,0.67870605,162.20874,0,7,0,0,0,0,3,0,242,0
True,2948812,7999.995,1269.8213,1736.4003,0.32388523,-0.0012694793,-0.07442355,0.002440785,-0.0006962939,-0.03423568,0.0025091257,-4.5492925E-05,-0.004098663,0.59838676,-0.037875686,-0.056317706,0.48004115,0.5103284,0.48171335,0.4850922,0.00090619473,0.00081082346,0.0013028664,0.001243365,-0.11041569,-0.11018506,-0.111005254,-0.11085393,0,0,0,0,0,0,0,0,0,0,0,0,-0.013909615,-0.01343125,-0.0107141845,-0.0102258725,0.013939102,0.013455702,0.010793109,0.010301186,-0.0023551285,0.001218766,0.00018411875,0.0005675554,53,3,190,2,4,-9618.601,109.51071,1296.0574,0.03432963,42182.29,234.62901,115.64882,115.66168,115.941315,115.941315,-11.0250025,1,-54.927917,0,0,0.10007144,0.10007143,0,8,255,0,0,0,1,0,53,0
True,2948937,7999.995,1269.8213,3485.0166,0.40588382,-0.03416506,0.14300218,0.0058272965,-0.001334934,-0.07870864,0.0014325615,1.3425481E-05,-0.0093622375,0.5983719,-0.03760906,-0.057262167,0.4788915,0.51814896,0.4748527,0.487102,0.0009667419,0.0008559371,0.0013525448,0.0012244032,-0.24587739,-0.24605083,-0.24583505,-0.24598469,0,0,0,0,0,0,0,0,0,0,0,0,-0.014871387,-0.014184621,-0.011440311,-0.010758624,0.014902776,0.0142104225,0.011519986,0.010828073,-0.0024907887,0.002141595,-0.0005944371,0.0007956326,53,3,190,2,4,-9618.6045,109.51026,1296.051,0.07893535,171524.53,474.94983,115.59721,115.6102,115.88719,115.88719,-6.8926883,1,-54.933044,0,0,0.22959808,0.22959806,0,8,255,0,0,0,1,0,53,0
True,2949046,7999.995,1269.8213,4929.209,0.53831935,0.020094894,1.7478998,0.0035729706,-0.0011785971,0.056541335,-0.024576917,1.4718331E-05,-0.005504231,0.5984001,-0.03807135,-0.058105826,0.47373545,0.52136487,0.47445142,0.49613872,0.09554828,0.07619755,0.33747676,0.30320045,0.32836953,0.3037914,0.6177683,0.57382685,0,0,0,0,0,0,0,0,0,0,0,0,-0.016806345,-0.015955865,-0.0124478685,-0.01161547,0.09701509,0.077850215,0.33770627,0.30342287,-0.003099203,0.0025210679,-0.0006399751,0.0018211305,53,3,190,2,4,-9618.607,109.50986,1296.0449,0.05666637,244446.75,474.94983,115.55721,115.57004,115.85498,115.85498,5.0309,1,-54.93763,0,0,0.338698,0.33869803,0,7,255,0,0,0,1,0,53,0
True,2949171,7999.995,1269.8213,4482.173,2.7690864,0.0026917458,11.473639,0.013058722,-0.014214791,1.1029576,-0.08730346,-3.924314E-05,-0.014907425,0.59873337,-0.045344196,-0.05875298,0.4276416,0.47922614,0.5645627,0.57322776,0.4993123,0.17552784,5.6780496,6.21972,4.5770445,4.5849586,16.416697,17.241386,0,0,0,0,0,0,0,0,0,0,0,0,-0.03553213,-0.032749362,-0.03574899,-0.03251482,0.500575,0.17855683,5.678162,6.219805,-0.008538276,-0.0024513006,0.009585977,0.010569304,53,3,190,2,4,-9618.572,109.511566,1296.0944,1.1031265,198279.34,421.13223,115.59331,115.61725,118.33244,118.33244,17.965591,1,-54.89597,0,0,0.4486674,0.44866744,0,7,255,0,0,0,1,0,53,0
True,2949265,7999.995,1269.8213,4094.2559,-1.7050104,-0.21389762,9.62022,0.015531778,-0.037555143,2.1918988,-0.070384994,-0.007455132,0.001713872,0.59901255,-0.053286366,-0.05976502,0.36795714,0.4352114,0.62417525,0.66058624,0.5148849,0.34798947,8.51385,8.166693,7.9180875,7.5642295,25.05412,24.588793,0,0,0,0,0,0,0,0,0,0,0,0,-0.038999517,-0.036448404,-0.11118745,-0.09581798,0.51635975,0.34989306,8.514576,8.167254,-0.015581042,-0.0076450408,0.016350895,0.020482868,53,3,190,2,4,-9618.479,109.5175,1296.2303,2.1922753,196835.12,458.73657,115.73752,115.694016,125.46039,125.46039,22.050789,1,-54.782463,0,0,0.5479208,0.5479209,0,7,255,0,0,0,1,0,53,0
True,2949375,7999.995,1269.8213,3993.2676,-1.4656012,0.023932934,8.641211,0.006247282,-0.042895436,3.4437315,-0.020393116,-0.018043261,0.012375766,0.5974707,-0.058739264,-0.058168456,0.3279056,0.39025408,0.6952627,0.73418474,0.11787861,0.6422069,1.3015151,0.8306295,11.641284,10.80369,12.920899,12.328897,0,0,0,0,0,0,0,0,0,0,0,0,0.008335883,0.0092826085,-0.122217424,-0.08782523,0.11817298,0.64227396,1.3072408,0.8352596,-0.020307124,-0.012950003,0.024417996,0.028834924,53,3,190,2,4,-9618.293,109.531044,1296.4991,3.4440045,195639.8,467.63052,115.827774,115.76219,132.99994,132.99994,23.001137,1,-54.557938,0,0,0.663441,0.66344106,0,7,255,0,0,0,1,0,53,0
True,2949484,7999.995,1269.8213,3859.063,-0.3587222,-0.197941,9.956071,0.0069026947,-0.06527664,4.576028,0.0052606715,-0.0004907619,0.004643759,0.597181,-0.058999375,-0.057581794,0.31009442,0.3651161,0.6921379,0.72313637,0.1351766,0.43635452,0.68021685,0.5858803,15.102057,14.044258,15.611047,15.406012,0,0,0,0,0,0,0,0,0,0,0,0,-0.022141574,-0.020562898,-0.028744014,-9.025534E-05,0.13697797,0.43683875,0.6808239,0.5858803,-0.022408843,-0.015916288,0.024063393,0.02758114,53,3,190,2,4,-9618.041,109.55165,1296.87,4.576499,190383.64,470.5802,115.88301,115.846725,132.57962,132.57962,23.16122,1,-54.249695,0,0,0.775102,0.775102,0,7,255,0,0,0,1,0,53,0
True,2949593,7999.995,1269.8213,3636.0762,0.17717695,-0.24890828,10.239965,0.008733988,-0.09811404,5.9230413,0.005009499,0.0011581082,0.0073493677,0.5971781,-0.0583313,-0.05678844,0.3076115,0.35662493,0.6694181,0.7099198,0.4742746,-0.003695294,0.73145044,0.5994434,18.55771,19.745293,19.869408,19.610588,0,0,0,0,0,0,0,0,0,0,0,0,-0.020338168,-0.018958474,-0.030373035,-0.0059267175,0.47471046,0.01931525,0.73208076,0.5994727,-0.02270183,-0.016918242,0.02148512,0.026081309,53,3,190,2,4,-9617.658,109.58085,1297.4319,5.92386,180344.44,473.08182,115.95317,115.9458,131.77869,131.77869,23.191704,1,-53.782368,0,0,0.9043984,0.9043984,0,7,255,0,0,0,1,0,53,0
True,2949703,7999.995,1269.8213,3263.0454,-0.00628376,-0.23379067,10.5417595,0.010752201,-0.121533334,7.162023,0.00617071,-0.00056113105,0.008169886,0.5971765,-0.057625048,-0.055939443,0.31197122,0.3529835,0.6736442,0.70910543,0.20708692,0.4731169,0.8438553,0.7151912,22.9753,22.372915,24.338327,24.016636,0,0,0,0,0,0,0,0,0,0,0,0,-0.021122424,-0.019816983,-0.02840888,-0.0038706874,0.20816135,0.47353175,0.84433335,0.7152017,-0.022187382,-0.017347932,0.021964699,0.025988892,53,3,190,2,4,-9617.223,109.61269,1298.0726,7.1630626,114489.86,333.0828,116.00728,116.017975,131.11697,131.11697,23.195797,1,-53.249805,0,0,1.0227488,1.0227487,0,7,255,0,0,0,1,0,53,0
