IsRaceOn,TimestampMS,EngineMaxRpm,EngineIdleRpm,CurrentEngineRpm,AccelerationX,AccelerationY,AccelerationZ,VelocityX,VelocityY,VelocityZ,AngularVelocityX,AngularVelocityY,AngularVelocityZ,Yaw,Pitch,Roll,NormalizedSuspensionTravelFrontLeft,NormalizedSuspensionTravelFrontRight,NormalizedSuspensionTravelRearLeft,NormalizedSuspensionTravelRearRight,TireSlipRatioFrontLeft,TireSlipRatioFrontRight,TireSlipRatioRearLeft,TireSlipRatioRearRight,WheelRotationSpeedFrontLeft,WheelRotationSpeedFrontRight,WheelRotationSpeedRearLeft,WheelRotationSpeedRearRight,WheelOnRumbleStripFrontLeft,WheelOnRumbleStripFrontRight,WheelOnRumbleStripRearLeft,WheelOnRumbleStripRearRight,WheelInPuddleDepthFrontLeft,WheelInPuddleDepthFrontRight,WheelInPuddleDepthRearLeft,WheelInPuddleDepthRearRight,SurfaceRumbleFrontLeft,SurfaceRumbleFrontRight,SurfaceRumbleRearLeft,SurfaceRumbleRearRight,TireSlipAngleFrontLeft,TireSlipAngleFrontRight,TireSlipAngleRearLeft,TireSlipAngleRearRight,TireCombinedSlipFrontLeft,TireCombinedSlipFrontRight,TireCombinedSlipRearLeft,TireCombinedSlipRearRight,SuspensionTravelMetersFrontLeft,SuspensionTravelMetersFrontRight,SuspensionTravelMetersRearLeft,SuspensionTravelMetersRearRight,CarOrdinal,CarClass,CarPerformanceIndex,DrivetrainType,NumCylinders,PositionX,PositionY,PositionZ,Speed,Power,Torque,TireTempFl,TireTempFr,TireTempRl,TireTempRr,Boost,Fuel,Distance,BestLapTime,LastLapTime,CurrentLapTime,CurrentRaceTime,Lap,RacePosition,Accelerator,Brake,Clutch,Handbrake,Gear,Steer,NormalDrivingLine,NormalAiBrakeDifference
True,13795125,7999.995,1269.8213,2123.0728,-0.0010837389,-0.004564635,0.0077425754,4.761089E-05,0.00079138944,0.00011620589,2.3044477E-05,-6.1446167E-07,-8.154387E-05,0.21195984,0.009441871,0.016325004,0.5048776,0.4992965,0.48199436,0.47664717,0.070350245,0.06992973,-0.10408403,-0.10658824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004458766,0.004347187,0.0031242413,0.0031137017,0.0704914,0.070064716,0.10413091,0.10663371,0.00057557225,-8.299947E-05,0.00021600723,-0.00039079785,53,3,190,2,4,5745.1978,102.673515,199.07649,0.0008012914,-2568.984,-11.549294,181.3719,181.18791,250.02365,250.02365,-11.024998,1,0,0,0,0,457.299,0,0,0,0,0,0,0,0,0,0
True,13801890,7999.995,1269.8213,2043.2155,-0.003021026,-0.0034394618,0.013884586,6.6772205E-05,6.174526E-05,7.585207E-05,0.00017453908,-6.37159E-07,-0.00011326041,0.21195984,0.009441871,0.016325004,0.5041545,0.49860296,0.48126242,0.47591448,0.07038644,0.06995052,-0.104048245,-0.1065695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004470286,0.0043599033,0.0031247514,0.0031119478,0.070528254,0.07008626,0.10409515,0.106614925,0.0004902482,-0.00016483665,0.00013294816,-0.00047394633,53,3,190,2,4,5745.1978,102.673584,199.07652,0.00011842525,-2241.0208,-10.468857,181.23314,181.0484,242.16672,242.16672,-11.024998,1,0,0,0,0,464.06607,0,0,0,0,0,0,0,0,0,0
True,13801984,7999.995,1269.8213,2067.8237,-0.00744731,-0.0002747215,0.034603097,0.00029034348,4.327692E-05,0.004216892,-0.00037067637,-8.263628E-05,-0.00051807374,0.21195662,0.009434222,0.016310202,0.50406486,0.49858806,0.4812795,0.4759956,-0.000632955,-0.00063066394,0.0006819917,0.0007196688,0.0027578878,0.003257003,0.028769366,0.029514581,0,0,0,0,0,0,0,0,0,0,0,0,0.0049869865,0.0048781317,0.0027807963,0.0027637535,0.005026994,0.00491873,0.0028632046,0.0028559163,0.00047966838,-0.00016659498,0.00013488531,-0.00046473742,53,3,190,2,4,5745.1978,102.673584,199.0766,0.0042270976,10049.228,46.500607,181.15805,180.97316,238.99821,238.99821,-11.024998,1,0,0,0,0,464.1602,0,0,142,0,0,0,1,0,0,0
True,13802093,7999.995,1269.8213,2833.4558,-0.012606668,-0.010572959,0.057900574,0.0037090937,-0.0005054257,0.011739143,-0.00034672278,5.4787743E-06,-0.0061003687,0.21195337,0.009388151,0.015936438,0.5023227,0.49995846,0.48040235,0.47838703,-0.00016475465,-0.00015987751,-0.00023882654,-0.00023483938,0.036874115,0.036822613,0.037000038,0.036927775,0,0,0,0,0,0,0,0,0,0,0,0,0.005611953,0.005530307,0.003442359,0.0033628952,0.0056143706,0.005532617,0.0034506337,0.003371085,0.00027409196,-4.887581E-06,3.5345554E-05,-0.00019335747,53,3,190,2,4,5745.1978,102.67355,199.07744,0.012321537,92903.31,316.31772,181.05142,180.86664,235.41899,235.41899,-10.633365,1,0,0,0,0,464.2726,0,0,255,0,0,0,1,0,0,0
True,13802218,7999.995,1269.8213,4516.925,-0.10077915,0.0004700065,0.069501124,0.0056778346,-0.00074835715,0.024302682,-0.0010775157,4.560934E-07,-0.009070405,0.21195322,0.00935779,0.014990044,0.4983423,0.505133,0.47719133,0.48426652,0.011291885,0.010735486,0.037652854,0.03574371,0.10694805,0.10530119,0.17970476,0.17391466,0,0,0,0,0,0,0,0,0,0,0,0,0.004431097,0.004422993,0.0025926481,0.002401148,0.01213018,0.011610922,0.03774201,0.03582427,-0.00019559264,0.0006057024,-0.00032904744,0.00047385693,53,3,190,2,4,5745.1987,102.67345,199.07906,0.024968345,222724.48,474.94983,180.94395,180.75937,232.04443,232.04443,-2.5740929,1,0,0,0,0,464.38596,0,0,255,0,0,0,1,0,0,0
True,13802328,7999.995,1269.8213,4754.8193,0.030265331,-0.08594842,6.833679,-0.0007919967,-0.009884778,0.80265117,-0.0792719,-0.001270714,-0.0015914356,0.21183541,0.0052735284,0.014305136,0.47239485,0.48667344,0.51652896,0.5318714,0.6970701,0.9189096,1.0127078,0.87783206,2.4941812,2.6598473,4.7425222,4.4781976,0,0,0,0,0,0,0,0,0,0,0,0,0.013810312,0.014129212,-1.8268462E-05,-0.00028784308,0.6972069,0.9190182,1.0127078,0.8778321,-0.0032573938,-0.0015725195,0.0041350424,0.005876124,53,3,190,2,4,5745.206,102.67284,199.11343,0.80271244,181613.7,363.55658,180.9217,180.73955,229.10072,229.10072,11.08109,1,0,0,0,0,464.49725,0,0,255,0,0,0,1,0,0,0
True,13802437,7999.995,1269.8213,4212.695,-0.110159874,-0.03875597,10.930158,-0.00021985173,-0.022755515,2.11504,-0.071721055,-0.00081441825,-0.0018150657,0.21162614,-0.0043240637,0.014117512,0.41491476,0.42725873,0.64513904,0.66750705,0.5442635,0.50498176,0.5044799,0.4756683,6.837374,6.6968975,7.710536,7.6278915,0,0,0,0,0,0,0,0,0,0,0,0,0.007498182,0.008825808,-0.0067121056,0.009214048,0.54431516,0.5050589,0.5045245,0.47575754,-0.010040045,-0.008583456,0.018729895,0.021268249,53,3,190,2,4,5745.241,102.67089,199.27562,2.1151624,196168.61,443.8609,180.95016,180.79459,226.76361,226.76361,20.467289,1,0,0,0,0,464.6099,0,0,255,0,0,0,1,0,0,0
True,13802546,7999.995,1269.8213,4048.2317,-0.25227106,0.013975017,10.480324,-0.0003977418,-0.026391065,3.2767,-0.011976465,-0.0008886204,-0.0019393731,0.21148126,-0.008589532,0.013894868,0.36877596,0.37965482,0.69933105,0.7239849,0.55580294,0.67912495,0.4628486,0.4769938,10.183806,10.043049,11.168243,11.007644,0,0,0,0,0,0,0,0,0,0,0,0,0.0048949905,0.006289607,-0.011576509,0.017936554,0.55582446,0.67915404,0.46299335,0.47733092,-0.015484422,-0.014200717,0.02487968,0.027677432,53,3,190,2,4,5745.304,102.67049,199.56828,3.2768066,196928.31,464.2613,180.97835,180.83708,224.2648,224.2648,22.69197,1,0,0,0,0,464.72018,0,0,255,0,0,0,1,0,0,0
True,13802656,7999.995,1269.8213,3923.1853,0.037534475,-0.22325079,10.499747,-0.0016758442,-0.054478608,4.4402275,0.004152676,-0.0012622493,-0.0010099737,0.21137239,-0.008582091,0.013736744,0.3423807,0.35418975,0.6880887,0.7119467,0.7060008,0.88410157,0.58678603,0.5276231,13.890526,13.866357,14.918911,14.7951145,0,0,0,0,0,0,0,0,0,0,0,0,0.0063675526,0.0075200633,-0.011371595,0.015668657,0.70602953,0.8841336,0.58689624,0.5278557,-0.018599063,-0.017205596,0.023603886,0.026311323,53,3,190,2,4,5745.3945,102.66981,199.98895,4.440562,192972.95,469.26898,181.00984,180.89163,221.92178,221.92178,23.104736,1,0,0,0,0,464.83148,0,0,255,0,0,0,1,0,0,0
True,13802765,7999.995,1269.8213,3770.3914,-0.06544256,-0.26476467,10.700818,-0.0028818846,-0.079355024,5.482795,0.0047508636,-0.0021576143,-0.00023454451,0.21122847,-0.008083497,0.0136884665,0.33437422,0.34627065,0.6793468,0.7010122,0.94481295,0.76012313,0.61588407,0.5558917,17.307209,17.048403,18.196714,18.091568,0,0,0,0,0,0,0,0,0,0,0,0,0.008210273,0.009280018,-0.012083366,0.012726952,0.94484866,0.76017976,0.61600256,0.55603737,-0.019543827,-0.018140048,0.022611842,0.025070459,53,3,190,2,4,5745.4946,102.667274,200.45906,5.48337,186450.92,471.6452,181.04243,180.93774,220.03993,220.03993,23.175697,1,0,0,0,0,464.9282,0,0,255,0,0,0,1,0,0,0
