IsRaceOn,TimestampMS,EngineMaxRpm,EngineIdleRpm,CurrentEngineRpm,AccelerationX,AccelerationY,AccelerationZ,VelocityX,VelocityY,VelocityZ,AngularVelocityX,AngularVelocityY,AngularVelocityZ,Yaw,Pitch,Roll,NormalizedSuspensionTravelFrontLeft,NormalizedSuspensionTravelFrontRight,NormalizedSuspensionTravelRearLeft,NormalizedSuspensionTravelRearRight,TireSlipRatioFrontLeft,TireSlipRatioFrontRight,TireSlipRatioRearLeft,TireSlipRatioRearRight,WheelRotationSpeedFrontLeft,WheelRotationSpeedFrontRight,WheelRotationSpeedRearLeft,WheelRotationSpeedRearRight,WheelOnRumbleStripFrontLeft,WheelOnRumbleStripFrontRight,WheelOnRumbleStripRearLeft,WheelOnRumbleStripRearRight,WheelInPuddleDepthFrontLeft,WheelInPuddleDepthFrontRight,WheelInPuddleDepthRearLeft,WheelInPuddleDepthRearRight,SurfaceRumbleFrontLeft,SurfaceRumbleFrontRight,SurfaceRumbleRearLeft,SurfaceRumbleRearRight,TireSlipAngleFrontLeft,TireSlipAngleFrontRight,TireSlipAngleRearLeft,TireSlipAngleRearRight,TireCombinedSlipFrontLeft,TireCombinedSlipFrontRight,TireCombinedSlipRearLeft,TireCombinedSlipRearRight,SuspensionTravelMetersFrontLeft,SuspensionTravelMetersFrontRight,SuspensionTravelMetersRearLeft,SuspensionTravelMetersRearRight,CarOrdinal,CarClass,CarPerformanceIndex,DrivetrainType,NumCylinders,PositionX,PositionY,PositionZ,Speed,Power,Torque,TireTempFl,TireTempFr,TireTempRl,TireTempRr,Boost,Fuel,Distance,BestLapTime,LastLapTime,CurrentLapTime,CurrentRaceTime,Lap,RacePosition,Accelerator,Brake,Clutch,Handbrake,Gear,Steer,NormalDrivingLine,NormalAiBrakeDifference
True,3462968,7999.995,1269.8213,1269.8782,0.38181147,-0.0015018268,-0.1946649,-0.012054435,0.00012459971,0.008402044,0.002835894,0.0014203811,0.0011025656,-0.6087216,0.0011572029,0.0002819624,0.5142916,0.49142185,0.47979596,0.47755057,0.0010509463,0.0011953912,0.029183652,0.030408304,0.0259683,0.0259683,0.0259683,0.0259683,0,0,0,0,0,0,0,0,0,0,0,0,0.042606,0.030916404,-0.0013213092,-0.0012259176,0.04261896,0.030939505,0.029213548,0.030433005,0.001686424,-0.0010122061,-3.3468008E-05,-0.00028827786,53,3,190,2,4,-6997.0005,586.58563,4297.0283,0.0146941915,-0.10230134,-0.0007692909,144.04611,145.84328,139.98027,139.98027,-11.024998,1,0,0,0,0,82.730865,0,0,0,0,0,255,1,-127,0,0
True,3483968,7999.995,1269.8213,1610.6079,-0.13270247,0.005046193,-0.78562385,0.0017255563,-0.0009631703,-0.04509306,0.0040846714,-6.1020197E-05,-0.003087039,1.9610988,-0.060542088,-0.04143835,0.4782745,0.5047483,0.48887023,0.48532513,0.0014243403,0.0013047287,0.0019342969,0.0018993351,-0.14695811,-0.14666252,-0.14868976,-0.14847894,0,0,0,0,0,0,0,0,0,0,0,0,-0.009681432,-0.009929231,-0.008084673,-0.0070056724,0.009785646,0.010014587,0.008312848,0.0072585754,-0.0025635958,0.00056031346,0.0009962916,0.0005939901,53,3,190,2,4,-7072.8525,281.6477,4330.312,0.045136336,32993.887,197.65431,110.822205,110.93683,115.22034,115.22034,-11.024998,1,-56.65351,0,0,0.084298134,0.084298134,0,7,255,0,0,0,1,0,49,0
True,3484093,7999.995,1269.8213,2911.9082,-1.388069,-0.01155992,-1.2307023,0.0052013583,-0.0013815842,-0.10460542,0.0029119374,2.1362706E-05,-0.00865442,1.9610802,-0.060128655,-0.04211569,0.47958732,0.51240015,0.48175588,0.4841641,0.0014148382,0.0012816375,0.0020146812,0.0019065293,-0.32847965,-0.3287878,-0.32850605,-0.32874146,0,0,0,0,0,0,0,0,0,0,0,0,-0.01013887,-0.010329043,-0.0084964745,-0.0073620765,0.010237112,0.0104082525,0.008732068,0.0076049343,-0.0024086833,0.0014632344,0.00018894672,0.00046223402,53,3,190,2,4,-7072.8604,281.64703,4330.315,0.104743764,134851.39,446.55762,110.76544,110.88032,115.157455,115.157455,-9.240465,1,-56.65944,0,0,0.19476968,0.19476968,0,7,255,0,0,0,1,0,49,0
True,3484218,7999.995,1269.8213,4714.882,2.1701093,0.06044216,-0.23805898,0.0042173043,-0.0008689524,-0.122730434,-0.006332073,8.042541E-05,-0.007368802,1.9610803,-0.060004618,-0.043113783,0.47693893,0.5195848,0.4755132,0.48803458,0.03839907,0.032804854,0.1258827,0.116605334,-0.31004348,-0.31958768,-0.16946578,-0.18711124,0,0,0,0,0,0,0,0,0,0,0,0,-0.013866769,-0.013937218,-0.011133142,-0.009913635,0.040826168,0.035642736,0.12637405,0.117026,-0.0027211905,0.002311021,-0.0005194843,0.00090146065,53,3,190,2,4,-7072.875,281.64594,4330.32,0.12280594,233049.34,474.94983,110.70647,110.821625,115.09387,115.09387,1.4990301,1,-56.670372,0,0,0.3118774,0.31187737,0,8,255,0,0,0,1,0,49,0
True,3484328,7999.995,1269.8213,4620.3657,-0.2672224,-0.21084103,9.227668,0.009184033,-0.011921629,0.81352085,-0.08727861,-0.011630891,0.01028496,1.9610056,-0.06602365,-0.043185577,0.44172496,0.48702955,0.5301486,0.56615126,0.3806517,0.2983191,5.7889395,4.776052,3.357156,3.3496737,14.6350355,13.030535,0,0,0,0,0,0,0,0,0,0,0,0,-0.022033066,-0.023088735,-0.19722424,-0.20252863,0.38128886,0.29921126,5.7922983,4.780344,-0.006876439,-0.0015304983,0.0056806207,0.009766251,53,3,190,2,4,-7072.8457,281.64734,4330.307,0.81366,197266.73,406.78018,110.719315,110.847084,117.480865,117.480865,16.504429,1,-56.64774,0,0,0.43015108,0.43015105,0,8,255,0,0,0,1,0,49,0
True,3484437,7999.995,1269.8213,4093.6658,0.13147092,-0.0950774,10.052722,0.014244497,-0.030036518,2.0922968,-0.065988325,-0.020648405,0.013656175,1.9595828,-0.07544037,-0.04161753,0.36084753,0.4012163,0.6232456,0.6598419,0.39240634,0.36827537,7.518788,6.4100356,7.2869577,7.342796,21.613045,20.039604,0,0,0,0,0,0,0,0,0,0,0,0,-0.0021641671,-0.0010156038,-0.2408607,-0.21272117,0.3924123,0.36827677,7.5226445,6.413564,-0.016419977,-0.011656463,0.016245395,0.020398393,53,3,190,2,4,-7072.6924,281.65704,4330.243,2.092561,196866.31,458.64886,110.8472,110.963974,127.40165,127.40165,22.021942,1,-56.529835,0,0,0.54380995,0.5438099,0,8,255,0,0,0,1,0,49,0
True,3484546,7999.995,1269.8213,4006.3098,-0.33819628,0.047009535,9.209486,0.0055172443,-0.051479742,3.2606022,-0.013589703,-0.0003796757,-0.002191638,1.9582107,-0.0798455,-0.041006,0.30861214,0.3474375,0.6715649,0.69499403,0.38317764,0.43278414,0.4865363,0.44820714,10.558649,10.292776,11.12131,10.993419,0,0,0,0,0,0,0,0,0,0,0,0,-0.012140968,-0.010961723,-0.023724673,0.0007572678,0.38336992,0.43292293,0.4871144,0.44820777,-0.022583753,-0.018002361,0.02172874,0.024387509,53,3,190,2,4,-7072.413,281.67615,4330.128,3.2610133,196093.1,467.31192,110.92459,111.048386,133.08745,133.08745,22.98428,1,-56.315327,0,0,0.655588,0.65558785,0,8,255,0,0,0,1,0,49,0
True,3484671,7999.995,1269.8213,3881.2168,1.6543543,-0.09061518,10.772549,0.0056512356,-0.07339595,4.3659267,-0.0016610909,-5.997765E-05,0.0017056623,1.9582796,-0.080286354,-0.041000754,0.30159545,0.3393646,0.6660616,0.7010478,0.20721482,0.50667715,0.62532556,0.52690405,14.037277,13.699558,14.781619,14.585189,0,0,0,0,0,0,0,0,0,0,0,0,-0.016428316,-0.015339802,-0.02265859,0.0021133486,0.20786503,0.5069093,0.62573594,0.5269083,-0.023411721,-0.018954962,0.021104217,0.025074497,53,3,190,2,4,-7072.0166,281.70343,4329.966,4.3665476,191265.72,470.28656,111.01944,111.169586,132.26297,132.26297,23.158554,1,-56.01121,0,0,0.7679571,0.767957,0,8,255,0,0,0,1,0,49,0
True,3484765,7999.995,1269.8213,3722.1985,-0.6304209,-0.24090996,10.02841,0.00600791,-0.0912918,5.3003306,-0.003705475,-0.000863016,0.0035349908,1.9582845,-0.0805359,-0.040743843,0.3047396,0.3389961,0.6613107,0.7026495,0.06383971,0.774805,0.652613,0.5408158,17.55517,16.558527,17.730324,17.504526,0,0,0,0,0,0,0,0,0,0,0,0,-0.01690594,-0.015857294,-0.021261161,0.0031137743,0.066040285,0.77496725,0.6529592,0.5408247,-0.023040712,-0.018998444,0.020565078,0.025256261,53,3,190,2,4,-7071.6074,281.73145,4329.799,5.30112,184305.11,472.2792,111.08467,111.2525,131.69188,131.69188,23.187195,1,-55.69745,0,0,0.8593228,0.8593226,0,8,255,0,0,0,1,0,49,0
True,3484875,7999.995,1269.8213,3533.4822,-0.33908105,-0.21062914,10.1884775,0.0073959827,-0.111303106,6.4440155,-0.0016726456,0.0009280238,0.0032792857,1.9582963,-0.080906875,-0.040361904,0.30839342,0.33784646,0.6701474,0.70722115,0.52592343,0.056982867,0.6223399,0.5186208,20.115723,21.049078,21.285599,21.097475,0,0,0,0,0,0,0,0,0,0,0,0,-0.013544762,-0.012500595,-0.025263797,0.0004793552,0.52609783,0.058337912,0.6228525,0.518621,-0.022609562,-0.019134104,0.021567881,0.02577506,53,3,190,2,4,-7070.9985,281.77322,4329.55,6.4449806,175536.28,473.85034,111.16803,111.36815,131.0547,131.0547,23.1949,1,-55.230385,0,0,0.9712724,0.9712722,0,8,255,0,0,0,1,0,49,0
True,3484984,7999.995,1269.8213,3091.2761,0.13354683,-0.33603552,11.652193,0.006766796,-0.1277638,7.3692183,0.008901658,-0.00024314954,0.0074637895,1.9583008,-0.080844894,-0.039870784,0.29699808,0.33739033,0.6773562,0.70861405,0.25682113,0.38985825,1.1397594,0.9525455,23.396313,23.05807,25.581436,25.03887,0,0,0,0,0,0,0,0,0,0,0,0,-0.015303496,-0.014275639,-0.024329934,0.0020937533,0.25727668,0.39011952,1.140019,0.95254785,-0.023954213,-0.019187927,0.02238594,0.025933132,53,3,190,2,4,-7070.3975,281.81458,4329.304,7.3703284,126945.47,390.97662,111.230194,111.44543,130.57056,130.57056,23.196201,1,-54.769382,0,0,1.0650711,1.0650709,0,8,255,0,0,0,1,0,49,0
True,3485093,7999.995,1269.8213,3247.4258,-0.23548174,-0.052608415,6.935777,0.0044515133,-0.13490315,8.138447,0.030900171,0.0004960585,0.0091413,1.9582258,-0.078882575,-0.03906297,0.2969137,0.34830076,0.6697832,0.6916304,0.3092985,0.0586698,0.39247674,0.32561997,25.32226,25.710224,26.11829,26.102625,0,0,0,0,0,0,0,0,0,0,0,0,-0.011388525,-0.010389208,-0.022299726,0.0010025171,0.3095081,0.059582558,0.39310974,0.32562152,-0.023964167,-0.017900497,0.021526545,0.0240058,53,3,190,2,4,-7069.6987,281.8622,4329.019,8.139565,161297.73,474.91302,111.281235,111.503494,130.05252,130.05252,23.19651,1,-54.235344,0,0,1.1622362,1.162236,0,8,255,0,0,0,1,0,49,0
True,3485218,7999.995,1269.8213,3600.8762,-0.8308183,-0.21615474,6.6067452,0.0053298473,-0.1279362,9.028696,0.033353195,0.0016385928,0.0063347477,1.9581243,-0.07482748,-0.038052775,0.31627765,0.35591954,0.6506322,0.6574355,0.40680316,-0.022526817,0.34763712,0.33875924,27.788176,29.08212,28.880487,28.902702,0,0,0,0,0,0,0,0,0,0,0,0,-0.009431547,-0.008458776,-0.017738521,-0.0013284076,0.40691248,0.024062594,0.34808937,0.33876187,-0.021679223,-0.01700148,0.01935327,0.020125315,53,3,190,2,4,-7068.7285,281.9266,4328.6235,9.029605,178160.44,473.5009,111.332985,111.57445,129.37695,129.37695,23.196552,1,-53.491608,0,0,1.2843374,1.2843369,0,8,255,0,0,0,1,0,49,0
True,3485328,7999.995,1269.8213,3995.1265,0.68929505,-0.24292372,7.54648,0.00600338,-0.11666964,10.019443,0.029011793,4.5461216E-05,0.008958813,1.9580737,-0.07044685,-0.03710618,0.33199432,0.36072606,0.61295277,0.6401516,0.012436251,0.34821948,0.34645152,0.33839756,31.961191,30.853168,32.14083,32.08995,0,0,0,0,0,0,0,0,0,0,0,0,-0.01281126,-0.011889514,-0.011977962,-0.0016341716,0.017854657,0.3484224,0.34665853,0.3384015,-0.019824654,-0.016434312,0.0150773525,0.01816392,53,3,190,2,4,-7067.5044,282.00568,4328.1235,10.0201235,195960.45,469.20895,111.37832,111.63451,128.68889,128.68889,23.196552,1,-52.55307,0,0,1.4232407,1.4232402,0,8,255,0,0,0,1,0,49,0
True,3485437,7999.995,1269.8213,4300.6304,0.32180572,-0.2772183,7.4426394,0.005208254,-0.11430955,10.788668,0.024270305,0.0010619289,0.0088796215,1.958087,-0.06747171,-0.036022495,0.33798158,0.35662723,0.59406185,0.6159957,0.08620642,0.21380922,0.3507481,0.34167773,34.019314,33.569157,34.598644,34.556355,0,0,0,0,0,0,0,0,0,0,0,0,-0.011224121,-0.010452878,-0.00971004,-0.0026017255,0.086934045,0.21406458,0.35088247,0.34168765,-0.01911816,-0.016917974,0.012933582,0.015422672,53,3,190,2,4,-7066.4473,282.07178,4327.6924,10.789274,208672.31,464.0702,111.405685,111.66959,128.20169,128.20169,23.196552,1,-51.74282,0,0,1.5330275,1.5330272,0,8,255,0,0,0,1,0,49,0
