IsRaceOn,TimestampMS,EngineMaxRpm,EngineIdleRpm,CurrentEngineRpm,AccelerationX,AccelerationY,AccelerationZ,VelocityX,VelocityY,VelocityZ,AngularVelocityX,AngularVelocityY,AngularVelocityZ,Yaw,Pitch,Roll,NormalizedSuspensionTravelFrontLeft,NormalizedSuspensionTravelFrontRight,NormalizedSuspensionTravelRearLeft,NormalizedSuspensionTravelRearRight,TireSlipRatioFrontLeft,TireSlipRatioFrontRight,TireSlipRatioRearLeft,TireSlipRatioRearRight,WheelRotationSpeedFrontLeft,WheelRotationSpeedFrontRight,WheelRotationSpeedRearLeft,WheelRotationSpeedRearRight,WheelOnRumbleStripFrontLeft,WheelOnRumbleStripFrontRight,WheelOnRumbleStripRearLeft,WheelOnRumbleStripRearRight,WheelInPuddleDepthFrontLeft,WheelInPuddleDepthFrontRight,WheelInPuddleDepthRearLeft,WheelInPuddleDepthRearRight,SurfaceRumbleFrontLeft,SurfaceRumbleFrontRight,SurfaceRumbleRearLeft,SurfaceRumbleRearRight,TireSlipAngleFrontLeft,TireSlipAngleFrontRight,TireSlipAngleRearLeft,TireSlipAngleRearRight,TireCombinedSlipFrontLeft,TireCombinedSlipFrontRight,TireCombinedSlipRearLeft,TireCombinedSlipRearRight,SuspensionTravelMetersFrontLeft,SuspensionTravelMetersFrontRight,SuspensionTravelMetersRearLeft,SuspensionTravelMetersRearRight,CarOrdinal,CarClass,CarPerformanceIndex,DrivetrainType,NumCylinders,PositionX,PositionY,PositionZ,Speed,Power,Torque,TireTempFl,TireTempFr,TireTempRl,TireTempRr,Boost,Fuel,Distance,BestLapTime,LastLapTime,CurrentLapTime,CurrentRaceTime,Lap,RacePosition,Accelerator,Brake,Clutch,Handbrake,Gear,Steer,NormalDrivingLine,NormalAiBrakeDifference
True,8014718,9499.995,1203.1134,1203.128,-0.013113722,0.004160622,-0.11329297,-0.0065066917,0.00014727568,-0.00017146644,6.549479E-05,0.00014853918,-0.0009820847,-1.5444068,-0.0018898625,-0.00023229152,0.49464,0.47594488,0.47833425,0.48264474,0.00037814543,0.00034214894,-0.038354035,0.016725907,-0.0004888566,-0.0004888566,-0.00048712056,-0.00048712056,0,0,0,0,0,0,0,0,0,0,0,0,0.027075013,0.017893052,-0.007609445,-0.0073329573,0.027077654,0.017896323,0.039101608,0.018262755,0.0007366501,-0.0003459081,-0.00022496656,2.4780631E-05,85,4,132,2,10,340.3153,559.04724,3158.0105,0.0065106167,-0.056312375,-0.00044695454,131.28876,129.58514,118.94988,118.94988,-11.024998,1,0,0,0,0,101.70968,0,0,0,0,0,255,1,-127,0,0
True,8040125,9499.995,1203.1134,1692.7006,0.2185155,-0.017505761,0.54965127,0.0013721529,-0.0005712637,0.041677646,-0.0010670081,-6.9548696E-07,-0.0031639629,2.3600974,0.04919701,0.00027132034,0.48386246,0.48501197,0.4780494,0.48022056,-0.0014507059,-0.0013913468,-0.0017183425,-0.0016208721,0.12000197,0.12006694,0.12001755,0.120162554,0,0,0,0,0,0,0,0,0,0,0,0,-0.0041268016,0.0056734774,0.0002388196,0.0008600354,0.0043743616,0.0058415914,0.0017348591,0.0018349079,0.0001125671,0.00017913058,-0.00024146959,-0.00011567399,85,4,132,2,10,270.06183,260.39685,3220.588,0.041704137,52697.957,301.32156,109.10007,109.417725,111.00508,111.00508,-8.610979,1,-249.34259,0,0,0.09541707,0.09541707,0,8,255,0,0,0,1,0,76,0
True,8040250,9499.995,1203.1134,3442.153,0.055767894,0.106922194,0.62088835,0.0027839392,-0.00093619013,0.09187698,-0.00045071822,3.2943528E-05,-0.006659772,2.3601003,0.049113538,-0.0003378875,0.47820595,0.49040622,0.475872,0.48745018,-0.0014904971,-0.0013854589,-0.0017905375,-0.0015796822,0.26251322,0.26248145,0.26156074,0.2615712,0,0,0,0,0,0,0,0,0,0,0,0,-0.0057933535,0.006040941,-0.00010558791,0.0006199952,0.005982017,0.006197779,0.001793648,0.0016969944,-0.00021497905,0.0004914887,-0.00036762655,0.0003032051,85,4,132,2,10,270.06708,260.3964,3220.5823,0.091923915,239435.52,674.6165,109.071686,109.38957,110.97308,110.97308,-1.7898808,1,-249.32129,0,0,0.21025077,0.21025077,0,8,255,0,0,0,1,0,76,0
True,8040343,9499.995,1203.1134,5386.03,-0.07612705,-0.09553077,0.39389557,0.0020674095,-0.00048137968,0.13286018,-0.00024487777,3.6425205E-05,-0.0049660085,2.3601038,0.04908383,-0.00091930095,0.47290975,0.49660403,0.47188672,0.4934266,-0.0014510395,-0.001286325,-0.0017580017,-0.0014729281,0.37907448,0.378888,0.37768438,0.37759155,0,0,0,0,0,0,0,0,0,0,0,0,-0.0073429914,0.006379472,-0.0004313356,0.0003583202,0.007484988,0.006507864,0.0018101437,0.001515886,-0.00052165985,0.00085037947,-0.0005985312,0.00064947456,85,4,132,2,10,270.07434,260.39578,3220.5747,0.13287714,397878.47,712.5902,109.0493,109.36691,110.9471,110.9471,4.0350485,1,-249.29254,0,0,0.30403468,0.30403468,0,8,255,0,0,0,1,0,76,0
True,8040468,9499.995,1203.1134,6540.6333,-0.08725834,0.0045800954,10.155415,-0.00044733286,0.0011284873,1.2438002,-0.059044555,-0.010318458,0.0019005574,2.359832,0.045704715,-0.001239464,0.41163677,0.4525176,0.52638286,0.55678374,10.324606,7.61458,10.117734,9.768554,24.484951,19.944101,26.18537,25.735643,0,0,0,0,0,0,0,0,0,0,0,0,0.07891886,0.1171319,-0.09233429,-0.09172446,10.324907,7.615481,10.118155,9.768985,-0.0040697306,-0.0017024875,0.0025589392,0.004320346,85,4,132,2,10,270.1148,260.39313,3220.5337,1.2438008,489378.9,713.98486,109.6584,109.59848,112.730034,112.730034,8.2995,1,-249.13568,0,0,0.41370875,0.41370878,0,8,255,0,0,0,1,0,76,0
True,8040562,9499.995,1203.1134,7330.496,-0.08888149,-0.12864745,12.602072,-0.0020207167,-0.024847317,2.5785828,-0.04159186,-0.023389345,-0.0041142814,2.3581326,0.041161384,-0.00151033,0.35107002,0.38785705,0.5549694,0.5874277,22.494102,15.740227,17.79253,18.032473,47.926003,36.895115,44.12928,41.883564,0,0,0,0,0,0,0,0,0,0,0,0,0.113152854,0.14919622,-0.09155107,-0.09347429,22.494387,15.740934,17.792767,18.032715,-0.007576905,-0.005446717,0.004215222,0.006095834,85,4,132,2,10,270.24402,260.38434,3220.404,2.5787032,543806.25,710.93036,116.986496,117.39515,121.74649,121.74649,10.031495,1,-248.63565,0,0,0.5083218,0.5083218,0,8,255,0,0,0,1,0,76,0
True,8040671,9499.995,1203.1134,8458.893,-0.29028845,-0.2668946,14.157665,0.0035562515,-0.06207349,4.1332817,-0.025559414,-0.036375668,0.0021856679,2.3547304,0.03726465,-0.0020573486,0.31835583,0.3270182,0.5978506,0.6560274,19.976513,20.781254,18.656942,19.425272,48.416363,49.81847,47.060966,52.023697,0,0,0,0,0,0,0,0,0,0,0,0,0.08497949,0.12856278,-0.11020845,-0.108404346,19.976694,20.781652,18.657269,19.425573,-0.009471253,-0.00896965,0.0066997334,0.010070454,85,4,132,2,10,270.5185,260.3638,3220.1294,4.133749,579826.5,656.47516,125.928764,126.1969,131.71225,131.71225,12.344394,1,-247.57526,0,0,0.6235445,0.6235445,0,8,255,0,0,0,1,0,75,0
True,8040796,9499.995,1203.1134,9038.67,0.6016407,0.013912141,15.523618,0.020939827,-0.051659517,5.7586713,-0.003613421,-0.056394212,0.008204478,2.3493187,0.03622152,-0.0013573862,0.3345223,0.31686985,0.60744923,0.6615308,16.69833,22.26234,19.336174,18.114544,47.21845,56.686855,53.554157,52.822716,0,0,0,0,0,0,0,0,0,0,0,0,0.067145,0.11461279,-0.15334803,-0.147143,16.698465,22.262636,19.336782,18.11514,-0.008535117,-0.009557299,0.007255871,0.010389321,85,4,132,2,10,270.92337,260.33615,3219.726,5.758941,-293195.16,-308.73965,134.49998,134.47983,141.13217,141.13217,9.921428,1,-246.01447,0,0,0.7390776,0.7390776,0,8,255,0,0,0,1,0,75,0
True,8040890,9499.995,1203.1134,9259.6875,-0.10365009,-0.15291919,13.286547,0.04436755,-0.08296512,7.0711775,-0.008553608,-0.052620754,-0.0056598634,2.3443391,0.0351772,-0.0018402588,0.31156144,0.31645516,0.63349324,0.64914185,17.088097,14.846307,14.271635,14.336636,56.17034,52.64907,55.186848,52.672386,0,0,0,0,0,0,0,0,0,0,0,0,0.021653393,0.0665157,-0.13343309,-0.1341716,17.08811,14.846456,14.272259,14.337264,-0.009864688,-0.009581313,0.008764844,0.009671513,85,4,132,2,10,271.35315,260.308,3219.3003,7.0718026,551470.4,569.64764,140.8501,141.10213,148.5994,148.5994,11.626561,1,-244.36317,0,0,0.83328277,0.83328277,0,8,255,0,0,0,1,0,75,0
True,8041000,9499.995,1203.1134,8642.799,-0.07329559,-0.10691397,13.275879,0.07824564,-0.09708716,8.695699,-0.00346751,-0.052772485,-0.008274071,2.3377988,0.03464151,-0.002084698,0.3128768,0.31123823,0.66190696,0.65595156,9.307491,9.280125,8.367706,10.259447,48.799084,49.47006,48.315502,53.91398,0,0,0,0,0,0,0,0,0,0,0,0,-0.021338591,0.024069663,-0.13871743,-0.14852647,9.307516,9.280156,8.368856,10.260522,-0.009788521,-0.009883404,0.0104111135,0.010066062,85,4,132,2,10,271.9997,260.26608,3218.6633,8.696592,-206537.38,-227.15442,148.35378,148.37708,157.04945,157.04945,1.6034479,1,-241.88536,0,0,0.9482459,0.9482459,0,8,255,0,0,0,1,0,74,0
True,8041125,9499.995,1203.1134,9052.754,-0.15642309,-0.19423595,14.822908,0.11573124,-0.10737613,10.322712,0.0024845349,-0.049680892,0.0015850193,2.3318658,0.035120986,-0.0022708415,0.31951612,0.29035094,0.64631134,0.65789074,5.6533813,8.519024,6.9335375,7.727975,46.702354,56.108322,52.009098,55.12587,0,0,0,0,0,0,0,0,0,0,0,0,0.23451848,0.2902095,-0.15322639,-0.15784113,5.6582437,8.523966,6.9352303,7.7295866,-0.009404063,-0.011092901,0.009507515,0.010178417,85,4,132,2,10,272.77905,260.2167,3217.9019,10.323917,-287416.6,-301.95605,155.15799,155.04434,164.88132,164.88132,8.48586,1,-238.91107,0,0,1.0626396,1.0626396,0,8,255,0,0,0,1,26,74,0
True,8041218,9499.995,1203.1134,9219.968,1.1391501,-0.11589816,14.696335,0.23301888,-0.12311937,11.674356,0.009741666,0.028499832,0.007103744,2.3307345,0.035483185,-0.002688511,0.30679843,0.25876966,0.65412295,0.6620997,5.497651,6.244585,6.3133125,4.5268345,52.690544,54.58607,56.01294,51.89089,0,0,0,0,0,0,0,0,0,0,0,0,1.1287035,1.3634231,-0.14171022,-0.14406644,5.6123204,6.391695,6.314903,4.5291266,-0.0101404935,-0.012921646,0.009960115,0.010422282,85,4,132,2,10,273.53387,260.16824,3217.1619,11.67733,549703.44,570.1057,160.32391,160.41441,171.29817,171.29817,11.225078,1,-236.02585,0,0,1.1586581,1.1586583,0,8,255,0,0,0,1,75,74,0
True,8041343,9499.995,1203.1134,8588.067,-0.35288,-0.18420231,15.544968,0.16118288,-0.13796812,13.4108925,-0.0030708406,0.07874915,-0.009746193,2.3382893,0.035554018,-0.0026227897,0.26930723,0.26977825,0.6609612,0.636449,2.7575142,3.3182743,0.8303724,4.697315,49.568237,51.42209,41.61285,58.39314,0,0,0,0,0,0,0,0,0,0,0,0,-0.21274866,-0.16214874,-0.028233487,-0.035767168,2.7657092,3.3222337,0.83085227,4.6974516,-0.012311459,-0.012284182,0.010356318,0.008936096,85,4,132,2,10,274.56396,260.10144,3216.139,13.412571,0,0,162.71425,166.3976,177.44229,177.44229,10.879403,1,-232.06247,0,0,1.274449,1.2744491,0,8,255,0,0,0,1,0,74,0
True,8041437,9499.995,1203.1134,7786.6274,-0.59118605,-0.14461192,14.39637,0.034100533,-0.1571945,14.891958,-0.0035511854,0.044103995,0.0023346369,2.3444145,0.035438493,-0.0024167227,0.23644054,0.23912427,0.6465932,0.645881,0.61366653,0.51817644,0.8954635,0.5519366,45.348907,44.719555,48.269634,43.10967,0,0,0,0,0,0,0,0,0,0,0,0,-0.08459444,-0.041527603,0.017037243,0.010580349,0.6194698,0.51983786,0.8956256,0.552038,-0.014214635,-0.014059231,0.009523846,0.009482581,85,4,132,2,10,275.53314,260.03873,3215.1853,14.892826,303479.97,372.1357,162.90309,166.34296,174.47021,174.47021,12.281587,1,-228.35072,0,0,1.370601,1.3706012,0,8,255,0,0,0,1,0,74,0
