IsRaceOn,TimestampMS,EngineMaxRpm,EngineIdleRpm,CurrentEngineRpm,AccelerationX,AccelerationY,AccelerationZ,VelocityX,VelocityY,VelocityZ,AngularVelocityX,AngularVelocityY,AngularVelocityZ,Yaw,Pitch,Roll,NormalizedSuspensionTravelFrontLeft,NormalizedSuspensionTravelFrontRight,NormalizedSuspensionTravelRearLeft,NormalizedSuspensionTravelRearRight,TireSlipRatioFrontLeft,TireSlipRatioFrontRight,TireSlipRatioRearLeft,TireSlipRatioRearRight,WheelRotationSpeedFrontLeft,WheelRotationSpeedFrontRight,WheelRotationSpeedRearLeft,WheelRotationSpeedRearRight,WheelOnRumbleStripFrontLeft,WheelOnRumbleStripFrontRight,WheelOnRumbleStripRearLeft,WheelOnRumbleStripRearRight,WheelInPuddleDepthFrontLeft,WheelInPuddleDepthFrontRight,WheelInPuddleDepthRearLeft,WheelInPuddleDepthRearRight,SurfaceRumbleFrontLeft,SurfaceRumbleFrontRight,SurfaceRumbleRearLeft,SurfaceRumbleRearRight,TireSlipAngleFrontLeft,TireSlipAngleFrontRight,TireSlipAngleRearLeft,TireSlipAngleRearRight,TireCombinedSlipFrontLeft,TireCombinedSlipFrontRight,TireCombinedSlipRearLeft,TireCombinedSlipRearRight,SuspensionTravelMetersFrontLeft,SuspensionTravelMetersFrontRight,SuspensionTravelMetersRearLeft,SuspensionTravelMetersRearRight,CarOrdinal,CarClass,CarPerformanceIndex,DrivetrainType,NumCylinders,PositionX,PositionY,PositionZ,Speed,Power,Torque,TireTempFl,TireTempFr,TireTempRl,TireTempRr,Boost,Fuel,Distance,BestLapTime,LastLapTime,CurrentLapTime,CurrentRaceTime,Lap,RacePosition,Accelerator,Brake,Clutch,Handbrake,Gear,Steer,NormalDrivingLine,NormalAiBrakeDifference
True,6666234,9499.995,1203.1134,1203.128,0.123331666,0.0014445873,-0.20060712,-0.010667633,0.00016979655,-0.008378369,0.00015590538,-9.932609E-06,-0.0008923877,-0.9050069,-0.001736261,0.0002652423,0.5026894,0.4777181,0.47815943,0.47383156,0.0010440412,0.0009842977,-0.050705224,0.012931992,-0.02388701,-0.02388701,-0.023802184,-0.023802184,0,0,0,0,0,0,0,0,0,0,0,0,-0.07309993,0.21656467,0.02277685,-0.07436626,0.07310739,0.2165669,0.05558601,0.075482294,0.0012027584,-0.00024322793,-0.00023509562,-0.00048584864,85,4,132,2,10,-3193.7341,473.55627,-3430.9844,0.013565555,-0.056312375,-0.00044695454,148.4491,177.7995,143.0231,143.0231,-11.024998,1,0,0,0,0,575.7163,0,0,0,0,0,255,1,-127,0,0
True,6767062,9499.995,1203.1134,1917.1509,0.00081920717,-0.08246066,-0.01408899,0.0018260346,-0.00051750755,0.010274735,-0.0002382964,2.138779E-05,-0.0043104985,1.7656057,0.009109268,-0.03616412,0.4757517,0.4903783,0.4791152,0.48397335,-0.00030461393,-0.00027527957,-0.00036106713,-0.0003268631,0.02958248,0.02953427,0.029522782,0.029473249,0,0,0,0,0,0,0,0,0,0,0,0,-0.013936927,-0.003530163,-0.0066109463,-0.0059272936,0.013940254,0.0035408798,0.006620799,0.0059362995,-0.00035709515,0.00048987195,-0.00017971918,0.00010176003,85,4,132,2,10,-3303.7495,174.51596,-3402.861,0.01044856,69946.445,353.6679,86.66834,84.35134,86.24775,86.24775,-7.713702,1,-71.66595,0,0,0.1155352,0.1155352,0,8,255,0,0,0,1,0,53,0
True,6767156,9499.995,1203.1134,3430.5603,-0.005942598,0.055329375,-0.040670063,0.0026444609,-0.0005794618,0.018907044,-7.467216E-05,1.9625026E-05,-0.006455113,1.765609,0.009095239,-0.036695715,0.47127414,0.49601752,0.47611156,0.489229,-0.00030931784,-0.00027849514,-0.00036599505,-0.00032153592,0.053995244,0.053985592,0.053808663,0.053783655,0,0,0,0,0,0,0,0,0,0,0,0,-0.014478752,-0.0036180401,-0.0066979993,-0.00598194,0.014482056,0.0036287429,0.0067079915,0.005990575,-0.00061637163,0.000816416,-0.00035374612,0.00040626898,85,4,132,2,10,-3303.748,174.51588,-3402.8616,0.019099878,232013.42,655.9664,86.64378,84.32499,86.2207,86.2207,-2.0025177,1,-71.66471,0,0,0.21305147,0.21305147,0,8,255,0,0,0,1,0,53,0
True,6767281,9499.995,1203.1134,5749.533,0.036284998,0.0049855392,0.39091405,0.001826291,0.00020744855,0.038174722,-0.0013429362,2.2700486E-05,-0.0045149745,1.7656126,0.009083664,-0.037369404,0.46481016,0.50306666,0.4710843,0.49627468,0.02347194,0.016013348,0.04621544,0.0412138,0.16952735,0.14944537,0.22635685,0.21307743,0,0,0,0,0,0,0,0,0,0,0,0,-0.015459333,-0.0037944287,-0.007029432,-0.0062668202,0.028105566,0.016456762,0.046746977,0.04168753,-0.0009906739,0.0012246035,-0.00064502284,0.00081449,85,4,132,2,10,-3303.7454,174.51581,-3402.8625,0.03821894,425233.88,712.59033,86.61581,84.29475,86.189674,86.189674,4.905757,1,-71.66253,0,0,0.32545415,0.32545418,0,8,255,0,0,0,1,0,53,0
True,6767390,9499.995,1203.1134,6586.6196,0.52639425,-0.00782638,10.551152,0.015412211,-0.0019007213,1.3475131,-0.04449359,-0.013929868,-0.0003954731,1.7652078,0.004915013,-0.037589252,0.38270664,0.42375952,0.5391924,0.57224,19.294836,17.399849,17.774271,17.050379,39.226685,36.427513,39.15631,38.391968,0,0,0,0,0,0,0,0,0,0,0,0,0.007864152,0.0504541,-0.21040915,-0.20580263,19.294838,17.399921,17.775517,17.05162,-0.0057449564,-0.0033677518,0.0033011138,0.005215872,85,4,132,2,10,-3303.6802,174.51547,-3402.8762,1.3476026,493922.03,718.90784,89.02861,86.14647,89.98171,89.98171,8.680816,1,-71.61031,0,0,0.43766937,0.4376694,0,8,255,0,0,0,1,0,53,0
True,6767500,9499.995,1203.1134,7736.2017,0.18388414,-0.281719,12.877244,0.041111052,-0.040647127,2.8101072,-0.029758802,-0.043713354,0.007450586,1.7621987,0.0011883911,-0.037038267,0.32990238,0.35529545,0.52893025,0.57870495,20.203463,20.050985,18.723017,18.814291,44.96447,44.87945,46.012836,44.605587,0,0,0,0,0,0,0,0,0,0,0,0,0.03727343,0.079264104,-0.3241043,-0.30194622,20.203497,20.051142,18.725822,18.816713,-0.008802637,-0.007332228,0.0027065314,0.0055904463,85,4,132,2,10,-3303.4531,174.51248,-3402.9236,2.8107016,561037.94,694.8277,97.69142,94.92962,99.91493,99.91493,10.812654,1,-71.428474,0,0,0.54797345,0.5479734,0,8,255,0,0,0,1,0,53,0
True,6767609,9499.995,1203.1134,8719.263,0.20607924,-0.06451045,13.280286,0.07792848,-0.058842227,4.224574,-0.029284552,-0.056399852,0.0020581223,1.7571394,-0.002620302,-0.037272815,0.30610237,0.338674,0.6222178,0.64839447,22.388885,19.544134,21.344229,18.170582,52.46229,48.559208,53.669647,48.576656,0,0,0,0,0,0,0,0,0,0,0,0,-0.01886656,0.025903812,-0.3153532,-0.31050014,22.388893,19.544151,21.34656,18.173235,-0.010180801,-0.008294709,0.008111551,0.00962821,85,4,132,2,10,-3303.0845,174.50684,-3403.0002,4.225702,581972.6,638.94006,105.83418,103.22749,109.00041,109.00041,12.931237,1,-71.133224,0,0,0.654751,0.65475094,0,8,255,0,0,0,1,0,53,0
True,6767703,9499.995,1203.1134,8664.575,0.14541459,0.14089218,13.753861,0.12255502,-0.042276185,5.6731296,0.009058311,-0.05370959,-0.0016512042,1.7509669,-0.0031908227,-0.037559185,0.29003146,0.311906,0.660192,0.6604253,19.795443,17.298117,15.462776,19.905092,52.149776,48.053207,46.584072,55.1081,0,0,0,0,0,0,0,0,0,0,0,0,-0.09388818,-0.04710507,-0.28859526,-0.29943523,19.795666,17.298182,15.465468,19.907345,-0.011111401,-0.009844735,0.010311753,0.010325268,85,4,132,2,10,-3302.57,174.50256,-3403.106,5.67461,-207585.47,-227.7729,113.346375,110.88046,118.03983,118.03983,3.6403265,1,-70.72151,0,0,0.7607251,0.760725,0,8,255,0,0,0,1,0,53,0
True,6767828,9499.995,1203.1134,9029.054,0.16230512,-0.3936109,13.021001,0.17286098,-0.07963227,7.062461,0.012647595,-0.06424366,-0.0051495465,1.744483,-0.0023973363,-0.036620013,0.26992354,0.28573555,0.629066,0.62897396,15.834865,14.842141,14.90446,13.680647,53.163853,52.043976,53.99867,51.59892,0,0,0,0,0,0,0,0,0,0,0,0,-0.12661058,-0.07893038,-0.30947047,-0.31793067,15.835371,14.842351,14.907673,13.6843405,-0.01227577,-0.011360161,0.008508332,0.008502997,85,4,132,2,10,-3301.9097,174.49811,-3403.2395,7.065025,-273103.66,-287.51837,120.37967,117.98549,125.97351,125.97351,7.8911924,1,-70.19327,0,0,0.865937,0.86593693,0,8,255,0,0,0,1,0,53,0
True,6767921,9499.995,1203.1134,9167.971,0.0877862,-0.06938802,13.691402,0.21015275,-0.07764511,8.299451,0.0002094013,-0.060233593,0.0112746535,1.7394141,-0.0020698977,-0.03696384,0.28975752,0.31219974,0.6082278,0.64730316,12.008845,11.036847,12.18126,10.066886,53.587482,52.11557,55.230133,52.521732,0,0,0,0,0,0,0,0,0,0,0,0,-0.16801786,-0.119259425,-0.30774924,-0.29760885,12.010021,11.037492,12.185147,10.071284,-0.011127263,-0.009827726,0.0073009804,0.009564981,85,4,132,2,10,-3301.2356,174.49184,-3403.373,8.302474,547040.06,570.8168,126.072136,123.74484,132.63382,132.63382,10.791368,1,-69.65449,0,0,0.95521814,0.95521814,0,8,255,0,0,0,1,0,53,0
