IsRaceOn,TimestampMS,EngineMaxRpm,EngineIdleRpm,CurrentEngineRpm,AccelerationX,AccelerationY,AccelerationZ,VelocityX,VelocityY,VelocityZ,AngularVelocityX,AngularVelocityY,AngularVelocityZ,Yaw,Pitch,Roll,NormalizedSuspensionTravelFrontLeft,NormalizedSuspensionTravelFrontRight,NormalizedSuspensionTravelRearLeft,NormalizedSuspensionTravelRearRight,TireSlipRatioFrontLeft,TireSlipRatioFrontRight,TireSlipRatioRearLeft,TireSlipRatioRearRight,WheelRotationSpeedFrontLeft,WheelRotationSpeedFrontRight,WheelRotationSpeedRearLeft,WheelRotationSpeedRearRight,WheelOnRumbleStripFrontLeft,WheelOnRumbleStripFrontRight,WheelOnRumbleStripRearLeft,WheelOnRumbleStripRearRight,WheelInPuddleDepthFrontLeft,WheelInPuddleDepthFrontRight,WheelInPuddleDepthRearLeft,WheelInPuddleDepthRearRight,SurfaceRumbleFrontLeft,SurfaceRumbleFrontRight,SurfaceRumbleRearLeft,SurfaceRumbleRearRight,TireSlipAngleFrontLeft,TireSlipAngleFrontRight,TireSlipAngleRearLeft,TireSlipAngleRearRight,TireCombinedSlipFrontLeft,TireCombinedSlipFrontRight,TireCombinedSlipRearLeft,TireCombinedSlipRearRight,SuspensionTravelMetersFrontLeft,SuspensionTravelMetersFrontRight,SuspensionTravelMetersRearLeft,SuspensionTravelMetersRearRight,CarOrdinal,CarClass,CarPerformanceIndex,DrivetrainType,NumCylinders,PositionX,PositionY,PositionZ,Speed,Power,Torque,TireTempFl,TireTempFr,TireTempRl,TireTempRr,Boost,Fuel,Distance,BestLapTime,LastLapTime,CurrentLapTime,CurrentRaceTime,Lap,RacePosition,Accelerator,Brake,Clutch,Handbrake,Gear,Steer,NormalDrivingLine,NormalAiBrakeDifference
True,14829453,8999.995,1099.9994,1100.1005,-4.8139622E-08,-0.0004261436,4.1125604E-06,-5.6501713E-06,5.2187943E-06,6.3498504E-05,-2.2443382E-06,1.0427222E-08,1.0983888E-05,0.13549945,0.009650344,0.00011296579,0.35556063,0.3555397,0.32718566,0.32718676,-0.002495398,-0.0024848706,-0.0016638276,-0.0016615604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.5501875E-05,-2.7260467E-05,5.639961E-05,5.5978016E-05,0.0024955284,0.00248502,0.0016647832,0.0016625031,0.0001360327,0.00013364851,-0.00014276803,-0.00014264882,108,2,141,2,4,5741.96,102.998215,157.87033,6.396264E-05,-0.13185735,-0.0011445725,113.29045,113.29034,113.280594,113.280594,-11.0250025,1,0,0,0,0,1491.6838,0,0,0,0,0,0,1,0,0,0
True,14919640,8999.995,1099.9994,1134.5303,-0.0015121517,4.4629727E-05,0.01109158,8.479925E-06,2.473551E-05,0.002069015,-0.00032783783,-1.8625711E-07,-6.300791E-05,0.13549945,0.009650344,0.00011296579,0.35552898,0.35550898,0.32720253,0.3272081,-0.00011252769,-0.00011305761,-0.0001974671,-0.00019783457,0.008682223,0.008674704,0.008071438,0.008069032,0,0,0,0,0,0,0,0,0,0,0,0,1.4210624E-05,1.2367034E-05,9.7473254E-05,9.696654E-05,0.00011342144,0.00011373199,0.00022021419,0.00022032027,0.00013242662,0.00013014674,-0.00014092028,-0.00014030933,108,2,141,2,4,5741.96,102.998215,157.87036,0.0020691801,4153.455,35.116272,113.23732,113.237206,113.22702,113.22702,-11.0250025,1,0,0,0,0,1581.9177,0,0,37,0,0,0,1,0,0,0
True,14919750,8999.995,1099.9994,2317.3442,0.4628534,-0.0020467183,0.12578616,0.0027856533,-0.00050671486,0.01013354,-0.00039768714,9.13833E-06,-0.0051105334,0.13549736,0.009591304,-0.00022411018,0.35418603,0.3565317,0.3266935,0.3292016,-0.00016397955,-0.00015505757,-0.00024063734,-0.00022626559,0.032651197,0.032569006,0.032642674,0.032565184,0,0,0,0,0,0,0,0,0,0,0,0,0.00058985216,0.00058641226,0.0004277455,0.00042957225,0.00061222125,0.0006065659,0.0004907877,0.0004855187,-2.066791E-05,0.00024673343,-0.00019671023,7.818639E-05,108,2,141,2,4,5741.9604,102.99818,157.87114,0.010521656,61700.598,258.35754,113.17697,113.17685,113.1666,113.1666,-10.935377,1,0,0,0,0,1582.0433,0,0,170,0,0,0,1,0,0,0
True,14919859,8999.995,1099.9994,3957.121,-0.031252153,0.0007620816,0.05863006,0.0020496908,-0.00023769637,0.016934078,-0.00010583841,8.12635E-06,-0.0042911978,0.13550144,0.009566177,-0.0007285145,0.35204673,0.35901818,0.32507223,0.332312,-0.00016299637,-0.00016297979,-0.00023742045,-0.00022610217,0.053621307,0.053543977,0.053613354,0.05351618,0,0,0,0,0,0,0,0,0,0,0,0,-0.00021197609,-0.00021180311,0.00014661056,0.00015603866,0.00026739796,0.00026725078,0.00027903964,0.0002747185,-0.00026454031,0.0005301833,-0.00037440658,0.00041909516,108,2,141,2,4,5741.9604,102.998116,157.87253,0.01705933,137263.39,335.23514,113.12593,113.12582,113.11549,113.11549,-7.988543,1,0,0,0,0,1582.1498,0,0,222,0,0,0,1,0,0,0
True,14919984,8999.995,1099.9994,5980.1904,-0.40309802,0.010592767,1.4876596,0.0023769233,0.00080110924,0.17229657,-0.023340961,-0.00030107558,-0.0042225504,0.13549559,0.009162271,-0.0012504418,0.34750697,0.35901412,0.32535952,0.33763343,0.13487142,0.12560531,0.29990268,0.30802646,0.8659155,0.84787816,1.5250835,1.2021164,0,0,0,0,0,0,0,0,0,0,0,0,-7.2236503E-06,-3.6565357E-06,-0.00066548097,-0.00074132864,0.13487142,0.12560531,0.2999034,0.30802736,-0.00078205764,0.0005297214,-0.00034292042,0.0010023415,108,2,141,2,4,5741.962,102.99808,157.8771,0.17231482,246001.53,393.9998,113.07869,113.07841,113.07586,113.07586,0.48481655,1,0,0,0,0,1582.261,0,0,255,0,0,0,1,0,0,0
True,14920093,8999.995,1099.9994,5374.638,-0.3269499,-0.10376119,9.756293,0.00016310811,-0.0144942785,1.3901485,-0.07639128,-0.00027521685,-0.0007832423,0.13543698,0.0018883507,-0.00138827,0.3040197,0.316308,0.39876187,0.41006833,0.39623097,0.35573018,0.5778039,0.5364389,5.594795,5.491651,6.152844,6.059491,0,0,0,0,0,0,0,0,0,0,0,0,0.0021436005,0.0027079498,0.0026967253,-0.0040340615,0.39623675,0.3557405,0.5778102,0.536454,-0.0057394654,-0.004338637,0.0077022314,0.008941457,108,2,141,2,4,5741.973,102.99696,157.96188,1.3902241,188327.2,333.86508,113.16116,113.15671,113.40051,113.40051,9.486337,1,0,0,0,0,1582.3734,0,0,255,0,0,0,1,0,0,0
True,14920203,8999.995,1099.9994,5096.0337,0.2860527,-0.0414616,10.908758,0.0040548444,-0.024150413,2.6149979,-0.02301361,-0.00016048158,-0.0081977155,0.1354246,-0.0035647133,-0.0018858095,0.25234136,0.25663772,0.4706399,0.4642443,0.39226413,0.3288487,0.5023968,0.4894803,9.359585,9.196083,9.75863,9.722781,0,0,0,0,0,0,0,0,0,0,0,0,0.0009190148,0.0017805418,0.0058314297,-0.0061887405,0.3922652,0.32885352,0.5024307,0.48951942,-0.0116306245,-0.011140853,0.015580311,0.014879331,108,2,141,2,4,5742.004,102.99521,158.1825,2.6151123,199060.08,372.6621,113.27805,113.25779,113.61841,113.61841,13.555606,1,0,0,0,0,1582.4838,0,0,255,0,0,0,1,0,0,0
True,14920312,8999.995,1099.9994,4878.439,-0.45376718,-0.14038333,11.242642,0.0027464628,-0.0416771,3.8562,-0.0006623881,-0.00019509683,-0.0039234534,0.13541196,-0.004479079,-0.0026098771,0.22591011,0.23703532,0.4726972,0.47375846,0.4075457,0.34267086,0.6482017,0.6005962,13.280719,13.114856,14.046828,13.917907,0,0,0,0,0,0,0,0,0,0,0,0,-0.0012668999,-0.00043703426,0.0043835184,-0.00816597,0.40754765,0.34267116,0.64821655,0.6006517,-0.014643699,-0.013375461,0.015805796,0.015922114,108,2,141,2,4,5742.0522,102.99322,158.53375,3.8564262,197065.94,385.32074,113.40091,113.3588,113.86119,113.86119,14.317655,1,0,0,0,0,1582.5929,0,0,255,0,0,0,1,0,0,0
True,14920406,8999.995,1099.9994,4673.8936,-0.24399722,-0.19780229,11.568669,0.0008699298,-0.061660036,4.9735346,0.00042380678,-0.00039720142,-0.00044214705,0.13538429,-0.004441348,-0.002797665,0.21594696,0.23207335,0.4646496,0.4693686,0.4248988,0.35774335,0.727332,0.673434,16.850824,16.678692,17.792843,17.64539,0,0,0,0,0,0,0,0,0,0,0,0,-0.00069416093,6.609631E-05,0.0041598757,-0.0077995523,0.42489937,0.35774335,0.7273439,0.6734792,-0.015779465,-0.013941109,0.014923751,0.015440971,108,2,141,2,4,5742.11,102.99013,158.955,4.9739165,191665.94,391.10742,113.51608,113.455,114.12569,114.12569,14.453591,1,0,0,0,0,1582.6888,0,0,255,0,0,0,1,0,0,0
True,14920531,8999.995,1099.9994,4419.784,0.04033208,-0.18999101,11.77091,-0.0006580353,-0.083950125,6.3162084,-0.0003899825,-0.00043307227,0.0027443503,0.13533382,-0.0044555236,-0.0026674124,0.20993769,0.22940375,0.46030867,0.46670672,0.42735234,0.36420077,0.720787,0.68561184,21.154415,20.984297,22.115032,22.015982,0,0,0,0,0,0,0,0,0,0,0,0,-0.00073762814,-8.000672E-06,0.0041369195,-0.007469401,0.42735296,0.36420077,0.72079885,0.68565255,-0.016464502,-0.014245436,0.014447972,0.015149221,108,2,141,2,4,5742.197,102.98466,159.59386,6.3167663,182537.34,393.85077,113.66121,113.57684,114.47183,114.47183,14.487105,1,0,0,0,0,1582.8029,0,0,255,0,0,0,1,0,0,0
