IsRaceOn,TimestampMS,EngineMaxRpm,EngineIdleRpm,CurrentEngineRpm,AccelerationX,AccelerationY,AccelerationZ,VelocityX,VelocityY,VelocityZ,AngularVelocityX,AngularVelocityY,AngularVelocityZ,Yaw,Pitch,Roll,NormalizedSuspensionTravelFrontLeft,NormalizedSuspensionTravelFrontRight,NormalizedSuspensionTravelRearLeft,NormalizedSuspensionTravelRearRight,TireSlipRatioFrontLeft,TireSlipRatioFrontRight,TireSlipRatioRearLeft,TireSlipRatioRearRight,WheelRotationSpeedFrontLeft,WheelRotationSpeedFrontRight,WheelRotationSpeedRearLeft,WheelRotationSpeedRearRight,WheelOnRumbleStripFrontLeft,WheelOnRumbleStripFrontRight,WheelOnRumbleStripRearLeft,WheelOnRumbleStripRearRight,WheelInPuddleDepthFrontLeft,WheelInPuddleDepthFrontRight,WheelInPuddleDepthRearLeft,WheelInPuddleDepthRearRight,SurfaceRumbleFrontLeft,SurfaceRumbleFrontRight,SurfaceRumbleRearLeft,SurfaceRumbleRearRight,TireSlipAngleFrontLeft,TireSlipAngleFrontRight,TireSlipAngleRearLeft,TireSlipAngleRearRight,TireCombinedSlipFrontLeft,TireCombinedSlipFrontRight,TireCombinedSlipRearLeft,TireCombinedSlipRearRight,SuspensionTravelMetersFrontLeft,SuspensionTravelMetersFrontRight,SuspensionTravelMetersRearLeft,SuspensionTravelMetersRearRight,CarOrdinal,CarClass,CarPerformanceIndex,DrivetrainType,NumCylinders,PositionX,PositionY,PositionZ,Speed,Power,Torque,TireTempFl,TireTempFr,TireTempRl,TireTempRr,Boost,Fuel,Distance,BestLapTime,LastLapTime,CurrentLapTime,CurrentRaceTime,Lap,RacePosition,Accelerator,Brake,Clutch,Handbrake,Gear,Steer,NormalDrivingLine,NormalAiBrakeDifference
True,12461234,7999.995,1082.2844,1082.3016,0.027818698,-0.00416379,0.0064009614,-0.007195004,0.00067879853,-0.0013330504,-0.00055722037,-0.00012548704,-0.00084185426,-1.3875595,-0.0006306482,0.0010217418,0.35167003,0.33891264,0.37619257,0.3711349,0.00089392,0.00074848277,-0.042790864,0.01148342,-0.0038915498,-0.0038915498,-0.0038915498,-0.0038915498,0,0,0,0,0,0,0,0,0,0,0,0,0.025379697,0.021492427,-0.0011126013,-0.0003797775,0.025395434,0.021505456,0.042805325,0.011489698,0.0016325265,-0.0010803342,0.00090268254,-0.00023561716,59,3,32,2,4,-5006.7993,479.92712,-422.5981,0.0073488695,-0.020613285,-0.00018187387,131.07358,129.92215,127.41202,127.41202,-11.024998,1,0,0,0,0,156.41599,0,0,0,0,0,255,1,-127,0,127
True,12503437,7999.995,1082.2844,1837.9622,0.00014049448,0.0034642224,0.00049146736,0.002329559,-0.0005717433,-2.767099E-05,-8.8724366E-05,-3.48478E-05,-0.0039891787,2.8641362,0.00086116616,-9.415783E-05,0.34436247,0.34470788,0.3715905,0.37252158,9.933076E-06,1.1608654E-05,1.2920926E-05,1.3991815E-05,2.1426484E-05,0.00017462255,4.134418E-05,0.00018942746,0,0,0,0,0,0,0,0,0,0,0,0,0.0013222115,0.0007473883,0.0007887602,0.00063673174,0.0013222487,0.00074747845,0.000788866,0.00063688547,7.857382E-05,0.00015202165,-0.00013308227,7.647276E-05,59,3,32,2,4,-5040.3203,179.56099,-324.1197,0.0023988541,35646.688,188.88869,99.83336,99.86763,99.14276,99.14276,-11.024998,1,-78.369545,0,0,0.092306934,0.092306934,0,8,255,0,0,0,1,0,58,0
True,12503546,7999.995,1082.2844,4350.923,-0.25881332,0.025518619,0.6850022,0.0064574364,-0.001782335,0.027523855,-0.006273946,-5.8839345E-05,-0.010778104,2.8641355,0.00083573465,-0.0009830375,0.34270144,0.34746575,0.37032372,0.37528247,0.07340062,0.06898404,0.08649405,0.081614256,0.24300784,0.23314714,0.26939934,0.25926146,0,0,0,0,0,0,0,0,0,0,0,0,0.0009782143,0.00042293535,0.00042202923,0.0002835235,0.073407136,0.068985336,0.08649508,0.08161475,-0.0002746433,0.00073848665,-0.0004181862,0.0006978512,59,3,32,2,4,-5040.321,179.56082,-324.12006,0.028327333,183024.14,405.72147,99.78082,99.81478,99.09081,99.09081,-8.190624,1,-78.369354,0,0,0.2075885,0.2075885,0,8,255,0,0,0,1,0,58,0
True,12503656,7999.995,1082.2844,4453.6533,-0.7423773,-0.3566426,10.348048,0.0053496957,-0.050773203,1.1907765,-0.16024695,-0.0010881963,-0.009693991,2.8640919,-0.009091676,-0.0024707222,0.31008703,0.32252762,0.42659357,0.43964016,0.9658321,0.69423693,0.3786995,0.3420465,6.2924767,5.5920773,4.7923727,4.7057467,0,0,0,0,0,0,0,0,0,0,0,0,0.0063960236,0.006987801,-0.0041803853,-0.002313402,0.9658533,0.6942721,0.37872258,0.3420543,-0.0072101057,-0.004564613,0.0122461915,0.015182525,59,3,32,2,4,-5040.3047,179.55853,-324.1795,1.1918705,210699.44,450.9429,99.8907,99.89991,99.169876,99.169876,6.048936,1,-78.316536,0,0,0.3226839,0.32268387,0,8,255,0,0,0,1,0,58,0
True,12503750,7999.995,1082.2844,4273.342,-0.027344704,-0.15040483,12.397933,0.0017607808,-0.07953886,2.4230268,-0.18807232,-0.0044248397,-0.008865621,2.863916,-0.025854738,-0.0033496006,0.23150705,0.24383104,0.51556253,0.53118455,2.6415205,2.0746503,0.47186545,0.41829136,14.335602,12.955162,8.760465,8.63619,0,0,0,0,0,0,0,0,0,0,0,0,0.023306794,0.021608228,-0.009762991,-0.0008963135,2.6416233,2.0747628,0.47196645,0.4182923,-0.023920149,-0.021299452,0.03227,0.035785973,59,3,32,2,4,-5040.2593,179.55562,-324.33957,2.4243324,246094.62,549.50165,100.92503,100.38376,99.29235,99.29235,19.64101,1,-78.173836,0,0,0.41427267,0.41427264,0,8,255,0,0,0,1,0,58,0
True,12503875,7999.995,1082.2844,4184.6733,0.5874865,-0.23299974,13.6882515,-0.005161524,-0.15973252,4.285744,-0.048224993,-0.019769,-0.0077995546,2.8625228,-0.04287211,-0.004601517,0.13821863,0.15729056,0.6274942,0.6550231,8.653144,7.8152127,3.680283,3.1885176,33.69885,32.18436,23.255596,22.177933,0,0,0,0,0,0,0,0,0,0,0,0,0.059161756,0.053628568,-0.033909477,-0.013718179,8.653346,7.815397,3.6804392,3.188547,-0.043757945,-0.039702296,0.057461932,0.063657716,59,3,32,2,4,-5040.139,179.55548,-324.75894,4.288723,268007.34,613.37683,109.2406,108.43851,103.248856,103.248856,28.049458,1,-77.79975,0,0,0.54348886,0.54348886,0,8,255,0,0,0,1,0,58,0
True,12504000,7999.995,1082.2844,4853.61,0.15246105,-0.75634634,12.959901,7.414818E-05,-0.2345975,5.7264514,0.035496168,-0.027621707,-0.010153403,2.8596675,-0.042107843,-0.005356077,0.11620136,0.14155595,0.6133375,0.6280893,8.462585,7.5073614,5.48874,5.1804986,37.575825,35.795547,32.023216,31.096882,0,0,0,0,0,0,0,0,0,0,0,0,0.053313285,0.047578912,-0.04717362,-0.02708956,8.462753,7.507512,5.4889426,5.1805696,-0.04843992,-0.043048263,0.05427575,0.057595864,59,3,32,2,4,-5039.984,179.55882,-325.29507,5.731255,307689.75,608.13873,116.666306,116.207214,113.29903,113.29903,29.150505,1,-77.321075,0,0,0.6538415,0.6538415,0,8,255,0,0,0,1,0,58,0
True,12504093,7999.995,1082.2844,5315.7876,1.153492,-0.40696794,14.702576,0.011989713,-0.25838017,6.961943,0.010281233,-0.053615253,0.01993434,2.8557007,-0.03935573,-0.003930734,0.14311495,0.16673101,0.58757174,0.6182512,6.5925903,6.250367,4.905148,4.4563355,39.56518,39.14834,35.55935,35.215794,0,0,0,0,0,0,0,0,0,0,0,0,0.040872514,0.0372669,-0.10165009,-0.0840691,6.592717,6.2504783,4.906201,4.4571285,-0.04271674,-0.037694782,0.04847677,0.05538164,59,3,32,2,4,-5039.8213,179.559,-325.8544,6.966746,332468.56,598.7768,122.91719,122.67601,120.619995,120.619995,29.338745,1,-76.82157,0,0,0.74561393,0.745614,0,8,255,0,0,0,1,0,58,0
True,12504218,7999.995,1082.2844,5814.6025,0.25687814,-0.28258115,13.265243,0.030116796,-0.29623616,8.472601,0.0074588386,-0.05253688,0.0045741443,2.8498473,-0.03845897,-0.0030731142,0.14493771,0.16861263,0.5969089,0.61150163,5.620005,5.040356,3.356526,3.1686614,44.564247,43.331024,37.97997,37.640907,0,0,0,0,0,0,0,0,0,0,0,0,0.026461137,0.023009298,-0.086741686,-0.07019677,5.6200676,5.0404086,3.3576465,3.1694388,-0.042329133,-0.037294656,0.050578237,0.053862557,59,3,32,2,4,-5039.577,179.56036,-326.68436,8.477831,356782.75,586.18787,130.03775,130.02826,129.42813,129.42813,29.389,1,-76.0797,0,0,0.85783947,0.8578395,0,8,255,0,0,0,1,0,58,0
True,12504328,7999.995,1082.2844,6205.0063,0.26776195,-0.7065966,12.558064,0.04462886,-0.37613022,9.994957,-0.000285549,-0.044586197,-0.00061258563,2.8441453,-0.038752083,-0.0023613716,0.13483478,0.14965786,0.5789669,0.5865986,4.3609424,4.100928,2.2683127,2.5288472,47.314865,46.685837,39.36918,41.125065,0,0,0,0,0,0,0,0,0,0,0,0,0.008427345,0.005001099,-0.07515273,-0.06314284,4.3609505,4.100931,2.2695575,2.5296354,-0.044477522,-0.04132539,0.046540126,0.04825774,59,3,32,2,4,-5039.2764,179.56389,-327.68896,10.002131,358695.38,552.46533,136.78127,136.9231,136.76309,136.76309,29.39804,1,-75.18051,0,0,0.97076374,0.97076386,0,8,255,0,0,0,1,0,59,0
