IsRaceOn,TimestampMS,EngineMaxRpm,EngineIdleRpm,CurrentEngineRpm,AccelerationX,AccelerationY,AccelerationZ,VelocityX,VelocityY,VelocityZ,AngularVelocityX,AngularVelocityY,AngularVelocityZ,Yaw,Pitch,Roll,NormalizedSuspensionTravelFrontLeft,NormalizedSuspensionTravelFrontRight,NormalizedSuspensionTravelRearLeft,NormalizedSuspensionTravelRearRight,TireSlipRatioFrontLeft,TireSlipRatioFrontRight,TireSlipRatioRearLeft,TireSlipRatioRearRight,WheelRotationSpeedFrontLeft,WheelRotationSpeedFrontRight,WheelRotationSpeedRearLeft,WheelRotationSpeedRearRight,WheelOnRumbleStripFrontLeft,WheelOnRumbleStripFrontRight,WheelOnRumbleStripRearLeft,WheelOnRumbleStripRearRight,WheelInPuddleDepthFrontLeft,WheelInPuddleDepthFrontRight,WheelInPuddleDepthRearLeft,WheelInPuddleDepthRearRight,SurfaceRumbleFrontLeft,SurfaceRumbleFrontRight,SurfaceRumbleRearLeft,SurfaceRumbleRearRight,TireSlipAngleFrontLeft,TireSlipAngleFrontRight,TireSlipAngleRearLeft,TireSlipAngleRearRight,TireCombinedSlipFrontLeft,TireCombinedSlipFrontRight,TireCombinedSlipRearLeft,TireCombinedSlipRearRight,SuspensionTravelMetersFrontLeft,SuspensionTravelMetersFrontRight,SuspensionTravelMetersRearLeft,SuspensionTravelMetersRearRight,CarOrdinal,CarClass,CarPerformanceIndex,DrivetrainType,NumCylinders,PositionX,PositionY,PositionZ,Speed,Power,Torque,TireTempFl,TireTempFr,TireTempRl,TireTempRr,Boost,Fuel,Distance,BestLapTime,LastLapTime,CurrentLapTime,CurrentRaceTime,Lap,RacePosition,Accelerator,Brake,Clutch,Handbrake,Gear,Steer,NormalDrivingLine,NormalAiBrakeDifference
True,25698921,15999.99,0,0,0.01879085,-0.0056751627,-0.0617502,4.824669E-10,4.2508777E-06,8.2270155E-09,0.00093419076,0.0017320897,0.00027742007,-2.4787028,-0.0019353662,0.00011349817,0.27479538,0.2548564,0.24620907,0.24409612,0.00033777836,0.0007761688,-0.106429376,0.10047941,2.5502217E-08,2.5502217E-08,2.5502217E-08,2.5502217E-08,0,0,0,0,0,0,0,0,0,0,0,0,0.07490325,0.0631086,-0.037411124,-0.023622425,0.07490401,0.06311338,0.11281314,0.103218846,0.0010417774,-0.0014040656,0.0003798455,0.00012863055,164,6,231,2,0,2193.523,538.4348,4303.412,4.2508855E-06,0,0,117.55997,115.97336,131.17754,131.17754,-14.7,1,0,0,0,0,225.89119,0,0,0,0,0,255,1,-127,0,127
True,25718984,15999.99,0,94.68444,0.04826665,-0.033703722,4.1223,0.006925106,-0.0025470473,0.43902445,-0.023176234,0.00076877605,-0.010359896,1.9762391,-0.020507492,-0.028049117,0.25847423,0.26283756,0.24599952,0.2526586,0.87751806,-0.049304664,1.4364595,0.04899126,1.2678808,2.8667374,1.267786,3.2347279,0,0,0,0,0,0,0,0,0,0,0,0,0.008387289,0.008422094,-0.01953555,-0.019531038,0.8775581,0.05001881,1.4365923,0.052740924,-0.00096027926,-0.00042504817,0.00035493076,0.0011466481,164,6,231,2,0,2106.8223,237.41849,4339.664,0.4390864,7843.6655,729.3303,102.93227,103.37053,105.98871,105.98871,0,1,-60.77037,0,0,0.09439081,0.09439081,0,7,255,0,0,0,1,0,58,0
True,25719093,15999.99,0,278.10782,0.052054405,-0.020496577,10.864206,0.005097866,-0.0070961732,1.6359767,-0.039153993,-0.0022673726,-0.016884936,1.9760464,-0.023696322,-0.029508844,0.22678429,0.24552785,0.26620898,0.2866584,1.5980623,0.37893072,0.7372416,0.51132244,7.9166574,5.736167,6.401919,6.007002,0,0,0,0,0,0,0,0,0,0,0,0,0.012898058,0.013805487,-0.017446661,-0.016897049,1.5981144,0.3791821,0.73744804,0.51160157,-0.0048475713,-0.0025483668,0.0027576871,0.0051889718,164,6,231,2,0,2106.913,237.42027,4339.6245,1.6359999,42786.727,1500.6805,103.092636,103.47439,106.205956,106.205956,0,1,-60.695103,0,0,0.19406952,0.1940695,0,7,255,0,0,0,1,0,58,0
True,25719203,15999.99,0,439.7442,-0.25046015,-0.009792127,12.649863,0.0004247427,-0.011217641,3.1540058,-0.010794997,-0.0031114826,-0.0072714705,1.9756175,-0.02670261,-0.030946745,0.17999376,0.22451276,0.28404346,0.32278827,2.133004,-0.08918989,-0.08788204,-0.08214734,11.725273,9.83784,9.796627,9.837741,0,0,0,0,0,0,0,0,0,0,0,0,0.0386148,0.0386767,-0.04007299,-0.03641117,2.1333535,0.09721483,0.096587256,0.08985521,-0.010587197,-0.005126212,0.004878074,0.009484544,164,6,231,2,0,2107.1724,237.42651,4339.5127,3.1540258,0,0,105.498375,103.60193,106.91003,106.91003,0,1,-60.480515,0,0,0.3102511,0.3102511,0,7,255,0,0,0,1,0,58,0
True,25719328,15999.99,0,679.8502,-0.009185791,-0.13640067,12.989799,0.0029991865,-0.033254396,4.6905546,-0.008934947,-0.009482538,0.002793471,1.975115,-0.027621668,-0.030561836,0.15843369,0.20527066,0.28115124,0.32361183,2.0341728,0.4371554,1.7082303,0.71038306,17.600193,14.584105,16.015162,14.963171,0,0,0,0,0,0,0,0,0,0,0,0,0.015487452,0.016652135,-0.030229013,-0.026806466,2.0342317,0.43747243,1.7084976,0.7108887,-0.013231894,-0.0074865706,0.0045342073,0.00958246,164,6,231,2,0,2107.5884,237.43631,4339.3345,4.6906734,49857.062,665.6013,107.38297,103.73285,108.01431,108.01431,0,1,-60.136566,0,0,0.42512438,0.42512444,0,7,255,0,0,0,1,0,58,0
True,25719437,15999.99,0,918.505,-0.13345718,-0.11191948,13.827301,0.0017008781,-0.051000345,6.2749653,-0.008197059,-0.010795422,0.0058625024,1.9743588,-0.028367916,-0.029784104,0.1511858,0.19442381,0.28638625,0.325339,2.4146776,0.43316573,0.8660724,0.53442717,23.826632,20.204685,21.062313,20.493715,0,0,0,0,0,0,0,0,0,0,0,0,0.017354066,0.018629732,-0.027725115,-0.024670163,2.41474,0.43356615,0.86651605,0.5349963,-0.014120966,-0.008817114,0.005156614,0.009787809,164,6,231,2,0,2108.1687,237.44902,4339.0864,6.275172,147448.73,1546.6406,108.808205,103.87407,109.03792,109.03792,0,1,-59.65696,0,0,0.540229,0.540229,0,7,255,0,0,0,1,0,58,0
True,25719531,15999.99,0,1128.3756,-0.0021243095,-0.11113249,15.108503,-6.2942505E-05,-0.06585429,7.7353687,-0.010798285,-0.010700587,0.0116005065,1.9734638,-0.029305903,-0.029028982,0.1455728,0.1972986,0.29067564,0.32328597,2.4715776,0.44431636,0.6862396,0.56675535,29.342896,24.975084,25.568518,25.36055,0,0,0,0,0,0,0,0,0,0,0,0,0.013979359,0.015730355,-0.021440685,-0.01877555,2.4716172,0.4445947,0.68657446,0.56706625,-0.014809493,-0.008464474,0.005666595,0.009543721,164,6,231,2,0,2108.7993,237.4632,4338.8174,7.735648,181449.28,1546.6406,110.757744,104.0085,109.472855,109.472855,0,1,-59.13594,0,0,0.63816303,0.63816303,0,7,255,0,0,0,1,0,58,0
True,25719656,15999.99,0,1349.8855,-0.22616482,-0.11515814,15.317406,0.00029706955,-0.086031646,9.431063,-0.009018679,-0.0036002714,0.018462494,1.9727072,-0.030048046,-0.027120188,0.14151946,0.2014656,0.29510435,0.3150231,1.3087109,0.48387265,0.6009229,0.6087368,32.612858,30.530247,30.945433,30.975483,0,0,0,0,0,0,0,0,0,0,0,0,-0.002118549,0.0005592106,-0.0110014295,-0.008891286,1.3087127,0.48387298,0.60102355,0.6088017,-0.015306702,-0.007953323,0.006193131,0.008561324,164,6,231,2,0,2109.6968,237.48344,4338.436,9.431455,217639.16,1546.6406,113.35687,104.158646,109.68802,109.68802,0,1,-58.394897,0,0,0.7518279,0.75182796,0,7,255,0,0,0,1,0,58,0
True,25719765,15999.99,0,1609.7073,-0.27098274,-0.16373985,15.36148,0.0014119148,-0.113096,11.224279,-0.0067228815,0.0013458196,0.01843294,1.9725306,-0.03083162,-0.02461729,0.14923275,0.20354335,0.30397993,0.30781782,1.2851101,0.53504086,0.6160006,0.69223917,38.595684,36.48255,36.871273,37.08614,0,0,0,0,0,0,0,0,0,0,0,0,-0.0094645,-0.006172493,-0.005476159,-0.003249226,1.2851449,0.53507644,0.6160249,0.6922468,-0.0143605415,-0.007698454,0.007248372,0.0077046715,164,6,231,2,0,2110.7908,237.5081,4337.9717,11.22485,260061.38,1546.6406,114.61607,104.35011,109.91027,109.91027,0,1,-57.491734,0,0,0.86676073,0.8667608,0,7,255,0,0,0,1,0,58,0
True,25719859,15999.99,0,1804.8339,0.09363556,-0.12196441,15.619282,0.0035686493,-0.12836376,12.735532,-0.0017573186,0.0026063193,0.016339982,1.9727762,-0.031301685,-0.0230068,0.16900007,0.20750092,0.30791375,0.3272708,0.76612574,0.58130634,0.542799,0.5581888,42.146572,41.531757,41.579685,41.613594,0,0,0,0,0,0,0,0,0,0,0,0,-0.011845894,-0.0080359,-0.0049926788,-0.0013322318,0.7662173,0.5813619,0.54282194,0.5581904,-0.011935752,-0.0072129928,0.0077160783,0.010017488,164,6,231,2,0,2111.851,237.53235,4337.521,12.736178,291374,1546.6406,114.62474,104.52693,110.09546,110.09546,0,1,-56.616188,0,0,0.9627465,0.96274656,0,7,255,0,0,0,1,0,58,0
