IsRaceOn,TimestampMS,EngineMaxRpm,EngineIdleRpm,CurrentEngineRpm,AccelerationX,AccelerationY,AccelerationZ,VelocityX,VelocityY,VelocityZ,AngularVelocityX,AngularVelocityY,AngularVelocityZ,Yaw,Pitch,Roll,NormalizedSuspensionTravelFrontLeft,NormalizedSuspensionTravelFrontRight,NormalizedSuspensionTravelRearLeft,NormalizedSuspensionTravelRearRight,TireSlipRatioFrontLeft,TireSlipRatioFrontRight,TireSlipRatioRearLeft,TireSlipRatioRearRight,WheelRotationSpeedFrontLeft,WheelRotationSpeedFrontRight,WheelRotationSpeedRearLeft,WheelRotationSpeedRearRight,WheelOnRumbleStripFrontLeft,WheelOnRumbleStripFrontRight,WheelOnRumbleStripRearLeft,WheelOnRumbleStripRearRight,WheelInPuddleDepthFrontLeft,WheelInPuddleDepthFrontRight,WheelInPuddleDepthRearLeft,WheelInPuddleDepthRearRight,SurfaceRumbleFrontLeft,SurfaceRumbleFrontRight,SurfaceRumbleRearLeft,SurfaceRumbleRearRight,TireSlipAngleFrontLeft,TireSlipAngleFrontRight,TireSlipAngleRearLeft,TireSlipAngleRearRight,TireCombinedSlipFrontLeft,TireCombinedSlipFrontRight,TireCombinedSlipRearLeft,TireCombinedSlipRearRight,SuspensionTravelMetersFrontLeft,SuspensionTravelMetersFrontRight,SuspensionTravelMetersRearLeft,SuspensionTravelMetersRearRight,CarOrdinal,CarClass,CarPerformanceIndex,DrivetrainType,NumCylinders,PositionX,PositionY,PositionZ,Speed,Power,Torque,TireTempFl,TireTempFr,TireTempRl,TireTempRr,Boost,Fuel,Distance,BestLapTime,LastLapTime,CurrentLapTime,CurrentRaceTime,Lap,RacePosition,Accelerator,Brake,Clutch,Handbrake,Gear,Steer,NormalDrivingLine,NormalAiBrakeDifference
True,36637984,15999.99,0,4768.618,21.1708,2.5828245,2.7258854,-37.23214,0.27383447,30.143885,0.06451863,0.5743132,0.0204494,-2.7809987,0.015883176,0.071460046,0.29401088,0.284613,0.8632818,0.8261398,0,0,0.3857931,0.58022964,109.68071,109.58836,110.668625,110.124016,0,0,0,0,0,0,0,0,0,0,0.59999996,0.59999996,0,0,2.9751883,3.053762,0,0,3.000097,3.1083965,0.003398873,0.0022460707,0.07374522,0.069329314,164,6,231,2,0,-2813.6543,192.3227,2757.8567,47.905754,-29100.77,-58.214493,177.91406,177.1313,179.3092,179.3092,-14.7,1,146.60742,0,0,0.74988884,36.86176,0,8,0,0,0,0,1,0,127,123
True,36653953,15999.99,0,110.49167,0.23726106,-0.0005687773,5.277922,0.011119157,-0.002384808,0.56153226,-0.025249636,-0.0008217988,-0.009222433,2.2961712,0.1053881,-0.058947474,0.25655523,0.26692167,0.24403739,0.24741456,1.0468951,0.93625194,0.03963784,-0.03537465,1.5519766,1.6312473,2.8855376,3.256514,0,0,0,0,0,0,0,0,0,0,0,0,-0.009284233,-0.009322082,-0.01519348,-0.015186583,1.0469363,0.9362984,0.042449974,0.03849673,-0.0011956766,7.593632E-05,0.000121649355,0.0005231686,164,6,231,2,0,-3876.8955,313.68103,4061.626,0.5616474,7084.3833,690.4818,107.648636,107.66176,108.77906,108.77906,0,1,-59.238155,0,0,0.08937711,0.089377105,0,7,255,0,0,0,1,0,49,0
True,36654078,15999.99,0,343.40842,0.013077259,0.073119044,12.660713,0.0073672533,0.0017276704,2.0497527,-0.036728792,-0.003186666,-0.017691948,2.2963452,0.10176245,-0.0606095,0.23579893,0.25967672,0.2866009,0.30330384,2.2808745,0.49647585,0.74222726,0.5138826,10.526239,6.849219,7.6803017,7.3627133,0,0,0,0,0,0,0,0,0,0,0,0,0.0011056957,0.0020982814,-0.02411014,-0.023550743,2.2808747,0.49648026,0.74261874,0.51442194,-0.0037417784,-0.0008127764,0.005182132,0.0071679913,164,6,231,2,0,-3876.7915,313.66626,4061.5327,2.0497665,54523.406,1546.6406,107.829926,107.845184,109.09272,109.09272,0,1,-59.13417,0,0,0.20100561,0.2010056,0,7,255,0,0,0,1,0,49,0
True,36654187,15999.99,0,526.4408,0.052003384,0.04643166,14.110994,0.010177016,0.010526508,3.693682,-0.008401569,-0.0072374805,-0.010086199,2.2962058,0.09940975,-0.06196228,0.20377828,0.23809263,0.30733585,0.33426726,2.2926698,0.48621464,1.6415137,0.57450485,14.44065,11.333977,12.192873,11.333933,0,0,0,0,0,0,0,0,0,0,0,0,0.00051873253,0.0022306107,-0.04351815,-0.03921714,2.29267,0.48621976,1.6420904,0.57584184,-0.007669635,-0.0034604184,0.007647369,0.010849312,164,6,231,2,0,-3876.5505,313.63528,4061.3179,3.6937108,0,0,110.76718,107.9485,109.63638,109.63638,0,1,-58.89409,0,0,0.31272662,0.31272662,0,7,255,0,0,0,1,0,49,0
True,36654296,15999.99,0,794.7176,-0.024969578,-0.21468425,14.500454,0.011826038,-0.01851523,5.306775,-0.0064680157,-0.009336605,-0.004887024,2.296412,0.099234715,-0.062356472,0.16922928,0.20601152,0.28508237,0.31791753,2.2721665,0.3944629,1.1849827,0.68523496,20.35009,17.199318,18.515696,17.736069,0,0,0,0,0,0,0,0,0,0,0,0,0.0015925416,0.0031677035,-0.041842863,-0.038981855,2.272167,0.39447564,1.1857212,0.6863429,-0.011907637,-0.007395692,0.0050015897,0.008905452,164,6,231,2,0,-3876.173,313.5844,4060.9814,5.306821,127406.36,1546.6406,111.47594,108.09758,110.91199,110.91199,0,1,-58.5179,0,0,0.42558342,0.42558342,0,7,255,0,0,0,1,0,49,0
True,36654406,15999.99,0,1001.1321,-0.01803875,-0.23715007,14.286692,0.013302565,-0.047743082,6.905616,-0.0045836233,0.00046174176,0.0015798906,2.2964108,0.09903248,-0.062096916,0.1482533,0.18418196,0.27616817,0.30957606,1.2036806,0.4541345,1.1798776,0.54726243,23.902842,22.247704,23.834078,22.456335,0,0,0,0,0,0,0,0,0,0,0,0,-0.02486207,-0.022505732,-0.018067665,-0.016639907,1.2039374,0.4546918,1.1800159,0.54751533,-0.014480686,-0.010073446,0.0039417595,0.007913709,164,6,231,2,0,-3875.6628,313.5125,4060.5276,6.9057927,161078.4,1546.6406,112.13355,108.2242,111.99368,111.99368,0,1,-58.00958,0,0,0.53837204,0.5383721,0,7,255,0,0,0,1,0,49,0
True,36654500,15999.99,0,1224.3359,-0.063635826,-0.17399514,16.265564,0.01200819,-0.06700462,8.499389,-0.009660589,-0.005495517,0.0071093077,2.2960017,0.098114654,-0.061826233,0.13475859,0.17120486,0.27989006,0.3132841,1.620305,0.51560634,0.70198834,0.56476754,30.084724,27.592224,28.113464,27.82842,0,0,0,0,0,0,0,0,0,0,0,0,-0.009463638,-0.007397589,-0.024663305,-0.02282408,1.6203326,0.5156594,0.7024214,0.5652285,-0.016136032,-0.0116653,0.0043842643,0.008354567,164,6,231,2,0,-3875.1177,313.43484,4060.043,8.4996605,197306.28,1546.6406,113.8757,108.35734,112.22617,112.22617,0,1,-57.466537,0,0,0.6333511,0.6333512,0,7,255,0,0,0,1,0,49,0
True,36654625,15999.99,0,1491.7627,0.034576416,-0.20532274,16.511665,0.01193285,-0.093642294,10.350903,-0.004218336,-0.0014564326,0.020142742,2.2954736,0.0976405,-0.06000405,0.13180828,0.17259161,0.2810794,0.30398896,1.4910166,0.54758984,0.68380284,0.7014996,35.975403,33.688953,34.226616,34.264725,0,0,0,0,0,0,0,0,0,0,0,0,-0.01674407,-0.014607402,-0.019293936,-0.018321825,1.4911106,0.5477846,0.684075,0.70173883,-0.016497936,-0.0114951935,0.0045256726,0.0072494484,164,6,231,2,0,-3874.3325,313.32257,4059.3467,10.351334,240980.34,1546.6406,116.433044,108.53018,112.44977,112.44977,0,1,-56.685234,0,0,0.7451107,0.74511087,0,7,255,0,0,0,1,0,49,0
True,36654734,15999.99,0,1739.332,-0.05237961,-0.14560509,16.935493,0.015190601,-0.12013513,12.241993,-0.012320322,0.005139622,0.013446394,2.2958834,0.09658515,-0.058090884,0.14809915,0.18002088,0.284718,0.28785804,0.894353,0.5123843,0.5509868,0.59996617,40.977993,39.693317,40.01202,40.14581,0,0,0,0,0,0,0,0,0,0,0,0,-0.024317544,-0.021308724,-0.010264162,-0.009876524,0.8946835,0.5128272,0.55108243,0.60004747,-0.014499595,-0.010583872,0.0049582757,0.005331598,164,6,231,2,0,-3873.388,313.18762,4058.509,12.242591,280700.94,1546.6406,116.65567,108.71655,112.65585,112.65585,0,1,-55.74531,0,0,0.85722107,0.8572213,0,7,255,0,0,0,1,0,49,0
True,36654843,15999.99,0,1994.2377,0.18582821,-0.14378619,16.848804,0.016861439,-0.15015692,14.094737,-0.008417044,0.005527126,0.014389557,2.2965603,0.095319025,-0.056517996,0.15969193,0.18262884,0.29829043,0.31011578,0.7431801,0.55461854,0.5285382,0.5375481,46.57903,45.856495,45.96577,45.971123,0,0,0,0,0,0,0,0,0,0,0,0,-0.023561174,-0.0200781,-0.010506082,-0.008296048,0.7435535,0.5549818,0.52864265,0.53761214,-0.0130775515,-0.010263961,0.0065719336,0.007977881,164,6,231,2,0,-3872.305,313.03305,4057.5474,14.095547,322025.28,1546.6406,116.59507,108.90056,112.85073,112.85073,0,1,-54.66703,0,0,0.96763796,0.9676382,0,7,255,0,0,0,1,0,49,0
