IsRaceOn,TimestampMS,EngineMaxRpm,EngineIdleRpm,CurrentEngineRpm,AccelerationX,AccelerationY,AccelerationZ,VelocityX,VelocityY,VelocityZ,AngularVelocityX,AngularVelocityY,AngularVelocityZ,Yaw,Pitch,Roll,NormalizedSuspensionTravelFrontLeft,NormalizedSuspensionTravelFrontRight,NormalizedSuspensionTravelRearLeft,NormalizedSuspensionTravelRearRight,TireSlipRatioFrontLeft,TireSlipRatioFrontRight,TireSlipRatioRearLeft,TireSlipRatioRearRight,WheelRotationSpeedFrontLeft,WheelRotationSpeedFrontRight,WheelRotationSpeedRearLeft,WheelRotationSpeedRearRight,WheelOnRumbleStripFrontLeft,WheelOnRumbleStripFrontRight,WheelOnRumbleStripRearLeft,WheelOnRumbleStripRearRight,WheelInPuddleDepthFrontLeft,WheelInPuddleDepthFrontRight,WheelInPuddleDepthRearLeft,WheelInPuddleDepthRearRight,SurfaceRumbleFrontLeft,SurfaceRumbleFrontRight,SurfaceRumbleRearLeft,SurfaceRumbleRearRight,TireSlipAngleFrontLeft,TireSlipAngleFrontRight,TireSlipAngleRearLeft,TireSlipAngleRearRight,TireCombinedSlipFrontLeft,TireCombinedSlipFrontRight,TireCombinedSlipRearLeft,TireCombinedSlipRearRight,SuspensionTravelMetersFrontLeft,SuspensionTravelMetersFrontRight,SuspensionTravelMetersRearLeft,SuspensionTravelMetersRearRight,CarOrdinal,CarClass,CarPerformanceIndex,DrivetrainType,NumCylinders,PositionX,PositionY,PositionZ,Speed,Power,Torque,TireTempFl,TireTempFr,TireTempRl,TireTempRr,Boost,Fuel,Distance,BestLapTime,LastLapTime,CurrentLapTime,CurrentRaceTime,Lap,RacePosition,Accelerator,Brake,Clutch,Handbrake,Gear,Steer,NormalDrivingLine,NormalAiBrakeDifference
True,34880437,15999.99,0,0,-1.0192441,0.07410792,-0.67627984,-0.05762271,0.049225222,0.002222742,-0.0063352045,0.024087965,0.026154159,1.8172733,0.034917638,0.0059502567,0.3631555,0.40853244,0.25919485,0.2995837,-0.16646996,0.11883826,-0.15065718,0.47535113,0,0,0,0,0,0,0,0,0,0,0,0,0.120000005,0.120000005,0.59999996,0.120000005,-0.16170546,0.41556758,0.22099747,-0.7139798,0.23207952,0.43222556,0.26746488,0.85774463,0.011880595,0.017446816,0.0019237585,0.0067256913,164,6,231,2,0,-2552.2197,186.85727,2561.7107,0.075818464,0,0,196.81714,196.2046,212.05016,212.05016,-5.7664375,1,237.62744,0,0,0.6766158,135.50212,0,11,0,0,0,0,1,0,129,0
True,34895421,15999.99,0,92.78048,0.04837817,-0.04357719,4.1702266,0.0027636737,-0.004004796,0.42471084,-0.024321228,-0.0024794266,-0.010301143,1.3995199,-0.004865498,-0.00060824037,0.25979632,0.2630175,0.24744079,0.25125465,0.639532,-0.030803673,-0.03329589,1.1765,1.2582825,2.4249573,3.349175,1.2619543,0,0,0,0,0,0,0,0,0,0,0,0,0.0014817077,0.0015412271,-0.00096280663,-0.0009061396,0.63953376,0.030842206,0.033309806,1.1765003,-0.0007981062,-0.0004029721,0.00052628666,0.000979729,164,6,231,2,0,-2072.4277,198.45421,-908.8479,0.42473873,6704.7495,704.5354,94.41016,94.480865,94.376686,94.376686,0,1,-54.2496,0,0,0.09117658,0.09117658,0,7,255,0,0,0,1,0,42,0
True,34895546,15999.99,0,299.74686,0.031855106,-0.1005581,12.565383,0.0034897625,-0.017523842,2.034697,-0.03781518,-0.005781174,-0.02179372,1.3994186,-0.0089218635,-0.002608781,0.210576,0.22451445,0.27303988,0.2919258,2.938077,0.4267623,0.9705368,0.55448425,10.311383,6.212696,6.1714277,6.2246675,0,0,0,0,0,0,0,0,0,0,0,0,0.05161311,0.051679913,-0.021680357,-0.019833945,2.9385302,0.42988008,0.97077894,0.55483884,-0.0068357848,-0.005126003,0.0035698302,0.0058152266,164,6,231,2,0,-2072.2825,198.45421,-908.8233,2.0347755,0,0,94.89186,94.62973,94.710335,94.710335,0,1,-54.14978,0,0,0.21692303,0.21692304,0,7,255,0,0,0,1,0,42,0
True,34895656,15999.99,0,532.618,-0.023021936,-0.13464592,13.708881,-0.00021559,-0.0372951,3.5332994,-0.011947644,-0.006686424,-0.011508336,1.399171,-0.010849522,-0.003268655,0.16967042,0.19028682,0.2918346,0.31685415,1.3202925,0.44522548,0.68870854,0.74010515,13.409217,11.69864,12.569966,11.757075,0,0,0,0,0,0,0,0,0,0,0,0,0.034364533,0.035711836,-0.012624322,-0.009682912,1.3207396,0.4466554,0.68882424,0.7401685,-0.011853524,-0.009324584,0.0058043823,0.008779023,164,6,231,2,0,-2071.9836,198.4541,-908.77167,3.5334964,85424.99,1546.6406,96.5161,94.79705,95.83911,95.83911,0,1,-53.944298,0,0,0.32599044,0.32599044,0,7,255,0,0,0,1,0,42,0
True,34895765,15999.99,0,716.50995,-0.011577129,-0.101839446,13.274033,-0.0018668175,-0.050419256,5.0385795,0.00016714423,-0.003202628,0.014552193,1.3984429,-0.011580869,-0.004189972,0.16315174,0.1939017,0.29691905,0.3299745,0.734764,0.5746381,0.4438232,1.024595,16.954042,15.649034,16.506647,16.854246,0,0,0,0,0,0,0,0,0,0,0,0,0.00047360756,0.0030422057,-0.011784744,-0.008180549,0.73476416,0.5746462,0.44397962,1.0246277,-0.012653146,-0.008881159,0.006408885,0.010338932,164,6,231,2,0,-2071.5227,198.45468,-908.6916,5.038832,117138.586,1546.6406,99.10963,94.92218,96.3741,96.3741,0,1,-53.627304,0,0,0.43441206,0.4344121,0,7,255,0,0,0,1,0,42,0
True,34895875,15999.99,0,950.0876,-0.05907154,-0.09086152,14.018627,-0.0020378828,-0.06175579,6.6222124,-0.008648592,-0.0060723363,0.0008301488,1.3979325,-0.012144064,-0.0040269997,0.16882561,0.1993341,0.3011869,0.3317063,0.88710237,0.47355565,0.5153496,1.0273318,22.291334,21.384464,21.794922,22.201105,0,0,0,0,0,0,0,0,0,0,0,0,0.012475594,0.014751843,-0.008448781,-0.0044320594,0.88719004,0.47378537,0.5154189,1.0273415,-0.011957156,-0.008214787,0.006916303,0.010544833,164,6,231,2,0,-2070.8896,198.45615,-908.5811,6.622501,153103.97,1546.6406,100.56153,95.06128,96.779396,96.779396,0,1,-53.191868,0,0,0.5441254,0.5441254,0,7,255,0,0,0,1,0,42,0
True,34895984,15999.99,0,1196.559,-0.064451694,-0.083277315,15.552157,-0.0032894611,-0.08125613,8.354694,-0.0149190035,-0.007831102,0.0047563436,1.3971139,-0.013704323,-0.0038422523,0.16770951,0.19667573,0.3091102,0.3372178,1.3174654,0.51680154,0.6557142,0.5498765,28.887337,27.13899,27.528866,27.328848,0,0,0,0,0,0,0,0,0,0,0,0,0.014557507,0.017183572,-0.011108462,-0.0062022656,1.3175459,0.51708716,0.6558083,0.5499115,-0.012094064,-0.00854088,0.007858325,0.011200108,164,6,231,2,0,-2070.0793,198.45905,-908.43896,8.355091,192861.86,1546.6406,101.364456,95.21899,97.07167,97.07167,0,1,-52.634426,0,0,0.65369636,0.6536964,0,7,255,0,0,0,1,0,42,0
True,34896093,15999.99,0,1434.8947,-0.05250764,-0.119640775,15.889106,-0.0041480064,-0.10570135,10.108084,-0.009911403,-0.003359875,0.012456989,1.396456,-0.015081964,-0.0028268823,0.1636938,0.19015563,0.31907624,0.33951646,0.8123247,0.5936144,0.56362075,0.56067085,33.56406,33.017937,33.052834,33.058273,0,0,0,0,0,0,0,0,0,0,0,0,0.0039021072,0.007078246,-0.005776247,-0.00033647043,0.81233406,0.5936566,0.56365037,0.560671,-0.012586655,-0.009340677,0.009043213,0.011473402,164,6,231,2,0,-2069.0723,198.46347,-908.2614,10.108637,231496.61,1546.6406,101.63606,95.41017,97.31571,97.31571,0,1,-51.941517,0,0,0.76421845,0.76421845,0,7,255,0,0,0,1,0,42,0
True,34896203,15999.99,0,1699.577,0.8924707,-0.112113066,15.583839,0.07414973,-0.124610566,11.800217,-0.0009354148,0.058119882,0.027351083,1.3972075,-0.01576508,-0.0011958833,0.16746044,0.18253282,0.32836542,0.3376908,0.8076669,1.401486,0.50423336,0.6633265,39.46143,41.11941,38.553047,38.82436,0,0,0,0,0,0,0,0,0,0,0,0,0.8431483,0.9281708,-0.009237842,-0.0037408944,1.1675723,1.6809711,0.50431794,0.66333705,-0.012124615,-0.01027574,0.010147624,0.011256345,164,6,231,2,0,-2067.8972,198.46938,-908.05524,11.801106,273651.2,1546.6406,101.61275,95.63216,97.53508,97.53508,0,1,-51.13314,0,0,0.8728135,0.8728134,0,7,255,0,0,0,1,37,42,0
True,34896312,15999.99,0,2044.719,3.7592864,-0.15732595,13.796402,0.27127814,-0.12949592,13.22849,0.00822503,0.34718168,0.011939524,1.420598,-0.014582967,0.0012397545,0.18502977,0.1723956,0.33240244,0.32101187,0.7337461,3.1948416,1.0559185,1.8643467,44.387333,51.511593,46.262753,47.39376,0,0,0,0,0,0,0,0,0,0,0,0,0.25209406,0.28562555,0.10774212,0.12131863,0.7758446,3.207584,1.061401,1.86829,-0.009969447,-0.0115192365,0.010627598,0.0092733465,164,6,231,2,0,-2066.545,198.47623,-907.8555,13.231903,329988.7,1546.6406,103.064926,100.35718,97.771255,97.771255,0,1,-50.20733,0,0,0.9821842,0.9821841,0,7,255,0,0,0,1,0,41,0
