IsRaceOn,TimestampMS,EngineMaxRpm,EngineIdleRpm,CurrentEngineRpm,AccelerationX,AccelerationY,AccelerationZ,VelocityX,VelocityY,VelocityZ,AngularVelocityX,AngularVelocityY,AngularVelocityZ,Yaw,Pitch,Roll,NormalizedSuspensionTravelFrontLeft,NormalizedSuspensionTravelFrontRight,NormalizedSuspensionTravelRearLeft,NormalizedSuspensionTravelRearRight,TireSlipRatioFrontLeft,TireSlipRatioFrontRight,TireSlipRatioRearLeft,TireSlipRatioRearRight,WheelRotationSpeedFrontLeft,WheelRotationSpeedFrontRight,WheelRotationSpeedRearLeft,WheelRotationSpeedRearRight,WheelOnRumbleStripFrontLeft,WheelOnRumbleStripFrontRight,WheelOnRumbleStripRearLeft,WheelOnRumbleStripRearRight,WheelInPuddleDepthFrontLeft,WheelInPuddleDepthFrontRight,WheelInPuddleDepthRearLeft,WheelInPuddleDepthRearRight,SurfaceRumbleFrontLeft,SurfaceRumbleFrontRight,SurfaceRumbleRearLeft,SurfaceRumbleRearRight,TireSlipAngleFrontLeft,TireSlipAngleFrontRight,TireSlipAngleRearLeft,TireSlipAngleRearRight,TireCombinedSlipFrontLeft,TireCombinedSlipFrontRight,TireCombinedSlipRearLeft,TireCombinedSlipRearRight,SuspensionTravelMetersFrontLeft,SuspensionTravelMetersFrontRight,SuspensionTravelMetersRearLeft,SuspensionTravelMetersRearRight,CarOrdinal,CarClass,CarPerformanceIndex,DrivetrainType,NumCylinders,PositionX,PositionY,PositionZ,Speed,Power,Torque,TireTempFl,TireTempFr,TireTempRl,TireTempRr,Boost,Fuel,Distance,BestLapTime,LastLapTime,CurrentLapTime,CurrentRaceTime,Lap,RacePosition,Accelerator,Brake,Clutch,Handbrake,Gear,Steer,NormalDrivingLine,NormalAiBrakeDifference
True,25185500,15999.99,0,5.1084783E-23,0.17038028,-0.0034978879,-0.49771404,-0.00752624,-0.0001584453,-0.0023126358,0.0007411152,0.0022175333,-0.00015772633,-2.8435092,-0.0018390819,0.00010669672,0.2757997,0.25567943,0.24410388,0.24266519,0.00057891716,0.00090472435,-0.021739043,0.037052438,-0.0071687405,-0.0071687405,-0.0071687405,-0.0071687405,0,0,0,0,0,0,0,0,0,0,0,0,0.03704103,0.026943015,-0.007928321,-0.007815249,0.037045553,0.026958201,0.023139669,0.03786768,0.001164969,-0.0013031103,0.00012955442,-4.149601E-05,164,6,231,2,0,167.02553,705.80237,4705.6943,0.00787513,-0,-6.2459655E-25,128.91084,129.90764,131.30986,131.30986,-14.7,1,0,0,0,0,363.81033,0,0,0,0,0,255,1,-127,0,0
True,25221234,15999.99,0,100.53658,0.25961924,-0.021415044,4.4989066,0.0047053024,-0.0035950881,0.4961224,-0.024209185,-0.00081803347,-0.00971601,1.4514496,0.020331683,-0.018506771,0.25884825,0.26348132,0.24810895,0.25200576,1.0213025,0.94081974,0.073659115,-0.034095857,1.3626941,1.4270576,2.4868522,3.159503,0,0,0,0,0,0,0,0,0,0,0,0,0.00026211675,0.00031476043,-0.0061682668,-0.0061195237,1.0213026,0.9408198,0.07391693,0.03464067,-0.0009144023,-0.00034607947,0.0006057285,0.0010690279,164,6,231,2,0,79.6272,407.37897,4699.4014,0.49615768,6579.782,698.561,100.00653,100.17757,102.112686,102.112686,0,1,-69.42697,0,0,0.09041637,0.09041637,0,8,255,0,0,0,1,0,53,0
True,25221359,15999.99,0,337.32727,-0.36027336,-0.14318383,12.119985,0.0054210424,-0.017505135,1.9409437,-0.039851222,-0.004249749,-0.021055583,1.451471,0.016668033,-0.020308366,0.21328,0.22973679,0.25951955,0.27107382,2.3181772,0.4568681,0.9626256,0.5675332,10.108138,6.6462407,7.7717714,7.1743503,0,0,0,0,0,0,0,0,0,0,0,0,0.028047211,0.028533135,-0.021758327,-0.019996535,2.318347,0.45775825,0.9628715,0.56788534,-0.0065040924,-0.0044853985,0.0019623637,0.0033360794,164,6,231,2,0,79.759735,407.37564,4699.417,1.9410303,53303.258,1546.6406,100.20027,100.38806,102.30017,102.30017,0,1,-69.311104,0,0,0.20444654,0.20444655,0,7,255,0,0,0,1,0,53,0
True,25221468,15999.99,0,467.7795,1.8845032,-0.19207598,12.795525,0.20582165,-0.047242332,3.2719145,-0.022522548,0.15612355,0.0099065555,1.4559115,0.013700321,-0.021223543,0.17357928,0.19521403,0.27115986,0.2872349,1.3062843,2.1709604,0.48429608,0.66535366,11.753101,12.651184,10.409482,9.683551,0,0,0,0,0,0,0,0,0,0,0,0,1.0243461,1.2930204,-0.038308743,-0.040019408,1.6600192,2.52685,0.48580888,0.6665561,-0.011374038,-0.008720182,0.0033463128,0.0052575096,164,6,231,2,0,80.0263,407.36783,4699.442,3.2787223,7395.0225,138.78638,102.39592,100.792336,102.755844,102.755844,0,1,-69.07873,0,0,0.30675206,0.3067521,0,7,255,0,0,0,1,127,53,0
True,25221578,15999.99,0,774.6064,5.617985,0.12406225,9.464584,0.7432934,-0.027453579,4.346982,-0.0027469317,0.6147053,0.023402803,1.5013037,0.014594222,-0.017373752,0.194249,0.21513776,0.29378492,0.2961421,0.68942046,2.8564208,2.0144365,3.0833037,16.793104,17.868702,18.64837,17.733793,0,0,0,0,0,0,0,0,0,0,0,0,0.43757737,0.6898358,0.040048253,0.0519181,0.8165626,2.9385393,2.0148346,3.0837407,-0.008838557,-0.006276209,0.0060362592,0.0063165165,164,6,231,2,0,80.4779,407.35617,4699.4272,4.410158,123996.484,1546.6406,103.25429,104.39516,103.02571,103.02571,0,1,-68.69067,0,0,0.4247938,0.42479378,0,7,255,0,0,0,1,27,51,0
True,25221687,15999.99,0,1375.3318,1.0573573,-0.28667742,13.163588,0.4789831,-0.06266907,6.014373,-0.0014708834,0.5589539,-0.029215625,1.5728135,0.014969703,-0.01788669,0.16585167,0.18317528,0.2980228,0.29465628,8.864124,5.882438,6.8959584,6.982932,35.701748,27.49329,33.837486,29.86635,0,0,0,0,0,0,0,0,0,0,0,0,-2.09939,-2.285978,0.35157958,0.40924004,9.109344,6.3110046,6.904915,6.9949136,-0.012321958,-0.010196932,0.006540116,0.0061398633,164,6,231,2,0,81.08193,407.34137,4699.3696,6.033741,219606.17,1546.6406,107.611885,111.998055,108.04482,108.04482,0,1,-68.1754,0,0,0.5397223,0.53972226,0,7,255,0,0,0,1,0,49,0
True,25221796,15999.99,0,2056.8628,-0.42935926,-0.008222807,13.654074,0.07639924,-0.061421186,7.571289,-0.0051148944,0.38287175,0.014904623,1.6258345,0.015472071,-0.017922979,0.16002911,0.20643657,0.2879222,0.32723448,16.809486,4.86356,10.469936,10.947767,60.68552,32.852848,48.515484,47.281948,0,0,0,0,0,0,0,0,0,0,0,0,-1.2009635,-1.2571234,0.51210195,0.52913004,16.852333,5.023403,10.482452,10.9605465,-0.01303619,-0.007343553,0.0053392313,0.010013167,164,6,231,2,0,81.85078,407.32193,4699.3154,7.5719233,330571.4,1546.6406,115.516785,120.44055,117.68903,117.68903,0,1,-67.51765,0,0,0.65288836,0.65288836,0,7,255,0,0,0,1,-32,46,0
True,25221906,15999.99,0,2798.2559,-1.1483467,-0.24831705,13.016997,-0.24996674,-0.08904383,8.981676,-0.004043863,0.251008,0.020509094,1.6599022,0.015907789,-0.01562271,0.15249,0.20658201,0.28765345,0.3149495,15.880105,12.269507,13.558447,14.800659,67.985214,57.759495,65.44949,65.69434,0,0,0,0,0,0,0,0,0,0,0,0,-1.2389686,-1.1291441,0.61010057,0.6395129,15.928364,12.321355,13.572166,14.814469,-0.0139609855,-0.0073257126,0.005307272,0.008552577,164,6,231,2,0,82.74953,407.30002,4699.2593,8.985594,450305.56,1546.6406,123.34018,127.81525,126.29632,126.29632,0,1,-66.74805,0,0,0.7613455,0.7613455,0,7,255,0,0,0,1,-75,42,0
True,25222015,15999.99,0,3415.445,-0.19674993,0.011914946,13.6761465,-0.42926627,-0.08249235,10.42774,0.008655285,0.20710161,0.0063055605,1.6828327,0.016371282,-0.012905514,0.16985476,0.18658976,0.313676,0.3233637,14.585933,17.211544,14.01205,15.992272,76.192825,80.40336,78.12979,80.25364,0,0,0,0,0,0,0,0,0,0,0,0,0.14557825,0.15569462,0.6281684,0.6739449,14.586659,17.212248,14.026123,16.006466,-0.011830911,-0.00977809,0.008401163,0.009552959,164,6,231,2,0,83.78012,407.27454,4699.192,10.436898,550471.3,1546.6406,130.87035,134.97028,134.88235,134.88235,0,1,-65.86586,0,0,0.8676476,0.8676475,0,7,255,0,0,0,1,0,38,0
True,25222140,15999.99,0,4093.7764,0.18330812,-0.19410236,13.339772,-0.60183007,-0.100415245,11.832251,0.002732167,0.18394226,0.015948726,1.703836,0.017174141,-0.011077451,0.17600375,0.18372102,0.29784703,0.3178061,16.039967,18.415602,16.371824,16.548695,91.67251,95.37186,94.79447,95.39812,0,0,0,0,0,0,0,0,0,0,0,0,-0.13322464,-0.11813973,0.69262975,0.6878482,16.04052,18.415981,16.386469,16.562984,-0.011076637,-0.010129988,0.006519217,0.008892201,164,6,231,2,0,84.959755,407.2455,4699.101,11.847971,660605.7,1546.6406,138.07822,142.08667,143.44524,143.44524,0,1,-64.857414,0,0,0.9737036,0.97370356,0,7,255,0,0,0,1,-44,33,0
