IsRaceOn,TimestampMS,EngineMaxRpm,EngineIdleRpm,CurrentEngineRpm,AccelerationX,AccelerationY,AccelerationZ,VelocityX,VelocityY,VelocityZ,AngularVelocityX,AngularVelocityY,AngularVelocityZ,Yaw,Pitch,Roll,NormalizedSuspensionTravelFrontLeft,NormalizedSuspensionTravelFrontRight,NormalizedSuspensionTravelRearLeft,NormalizedSuspensionTravelRearRight,TireSlipRatioFrontLeft,TireSlipRatioFrontRight,TireSlipRatioRearLeft,TireSlipRatioRearRight,WheelRotationSpeedFrontLeft,WheelRotationSpeedFrontRight,WheelRotationSpeedRearLeft,WheelRotationSpeedRearRight,WheelOnRumbleStripFrontLeft,WheelOnRumbleStripFrontRight,WheelOnRumbleStripRearLeft,WheelOnRumbleStripRearRight,WheelInPuddleDepthFrontLeft,WheelInPuddleDepthFrontRight,WheelInPuddleDepthRearLeft,WheelInPuddleDepthRearRight,SurfaceRumbleFrontLeft,SurfaceRumbleFrontRight,SurfaceRumbleRearLeft,SurfaceRumbleRearRight,TireSlipAngleFrontLeft,TireSlipAngleFrontRight,TireSlipAngleRearLeft,TireSlipAngleRearRight,TireCombinedSlipFrontLeft,TireCombinedSlipFrontRight,TireCombinedSlipRearLeft,TireCombinedSlipRearRight,SuspensionTravelMetersFrontLeft,SuspensionTravelMetersFrontRight,SuspensionTravelMetersRearLeft,SuspensionTravelMetersRearRight,CarOrdinal,CarClass,CarPerformanceIndex,DrivetrainType,NumCylinders,PositionX,PositionY,PositionZ,Speed,Power,Torque,TireTempFl,TireTempFr,TireTempRl,TireTempRr,Boost,Fuel,Distance,BestLapTime,LastLapTime,CurrentLapTime,CurrentRaceTime,Lap,RacePosition,Accelerator,Brake,Clutch,Handbrake,Gear,Steer,NormalDrivingLine,NormalAiBrakeDifference
True,10602859,10999.993,999.9994,520.56805,37.96405,1.1798898,-61.68927,-13.371931,0.07549022,-9.357182,0.028926034,1.1515851,-0.067378886,-0.49659845,-0.022797715,-0.06895231,0.89612097,0.83510303,0.91954553,0.8422641,1.4706795,3.287329,5.7120175,17.634909,-18.885689,-19.29338,-5.180981,26.893377,0,0,0,0,0,0,0,0,0,0,0,0,8.575009,8.770172,7.378632,8.369933,8.700212,9.366026,9.331203,19.520393,0.029413532,0.024687082,0.03162454,0.02601923,36,6,231,2,6,5199.612,112.6246,491.23434,16.320877,113.3273,1.8332468,225.38155,222.59996,237.70517,237.70517,-9.8213005,1,-1712.1797,0,0,48.69073,52.649586,0,10,0,0,0,0,1,0,215,47
True,10662734,10999.993,999.9994,1733.1901,-0.0388691,0.01922148,-0.15677296,0.001115957,-0.00038398462,-0.010240408,0.00033790618,0.00073276483,-0.0035575263,-0.24434331,-0.0133811245,0.014630561,0.52440923,0.5064479,0.47626716,0.49161085,-0.00016333399,0.0010588458,-0.0002341629,0.0006046661,-0.028539902,-0.032703616,-0.029783113,-0.02847848,0,0,0,0,0,0,0,0,0,0,0,0,0.0154915,0.01278695,-0.0003837641,-0.0020602103,0.015492361,0.012830715,0.0004495633,0.0021471116,0.0006207414,-0.00077054463,-0.0005269721,0.00058592483,36,6,231,2,6,5729.1807,102.82874,391.42963,0.010308189,42333.895,236.32907,83.85568,84.10152,97.17543,97.17543,-11.0250025,1,-132.76393,0,0,0.09752857,0.09752857,0,8,255,0,0,0,1,0,49,0
True,10662843,10999.993,999.9994,3677.379,-0.27005908,0.008700341,-0.0041150153,0.0020919475,-0.0006409455,-0.020291429,0.00011551229,-0.00039908048,-0.007126633,-0.24419805,-0.013360359,0.0140655795,0.52163243,0.511438,0.47232267,0.4962288,0.00044880365,0.0003232308,0.00042008737,0.0002780966,-0.061001934,-0.059060637,-0.05758611,-0.05581391,0,0,0,0,0,0,0,0,0,0,0,0,0.002316532,-0.0004596213,0.0039479057,0.0022301977,0.002359607,0.00056189846,0.003970193,0.0022474695,0.000405645,-0.0003840085,-0.0008130707,0.0009208694,36,6,231,2,6,5729.181,102.828674,391.4282,0.020409044,183313.83,481.48627,83.82349,84.068794,97.12918,97.12918,-8.687584,1,-132.76607,0,0,0.19780134,0.19780132,0,8,255,0,0,0,1,0,49,0
True,10662968,10999.993,999.9994,7185.8184,0.07929681,-0.0009917789,0.5264941,0.0017411156,-0.00013042314,0.012408053,-0.003719201,5.602809E-05,-0.005377134,-0.24422583,-0.01338004,0.013182827,0.5149871,0.51918274,0.46608374,0.50420815,0.04841329,0.045745887,0.13545437,0.11872266,0.19891092,0.19263868,0.43939328,0.40806383,0,0,0,0,0,0,0,0,0,0,0,0,0.0038831355,0.0010312459,0.0029270118,0.0011727973,0.04856877,0.04575751,0.13548599,0.11872846,-0.00010909699,0.00021589361,-0.0012655891,0.0014996193,36,6,231,2,6,5729.182,102.828575,391.42538,0.012530292,440981.06,589.3624,83.78349,84.027306,97.07299,97.07299,16.114155,1,-132.77068,0,0,0.32122543,0.32122543,0,8,255,0,0,0,1,0,49,0
True,10663062,10999.993,999.9994,7221.12,0.4760325,0.15762892,11.820924,-0.0026842952,0.011509547,1.3642569,-0.044873193,-0.018269783,-0.011318679,-0.24489623,-0.017011495,0.012321374,0.46800545,0.48175916,0.51483315,0.565143,17.734632,15.068799,23.42762,22.16361,33.8379,29.99829,47.22688,46.413094,0,0,0,0,0,0,0,0,0,0,0,0,0.26617062,0.25755855,-0.09313094,-0.08653458,17.73663,15.071,23.427805,22.163778,-0.0037482958,-0.0026829354,0.0022702664,0.0059193,36,6,231,2,6,5729.1665,102.82977,391.48865,1.3643081,816158.8,1077.6055,85.84717,85.89597,101.38387,101.38387,32.252613,1,-132.67592,0,0,0.4208054,0.4208054,0,8,255,0,0,0,1,0,49,0
True,10663187,10999.993,999.9994,7311.714,0.041011333,-0.2928145,13.299744,-0.00993979,-0.014128134,2.938118,0.0012740577,-0.03358165,-0.0182086,-0.24865207,-0.019477127,0.0111888135,0.37239295,0.38941687,0.57232153,0.5893436,33.36241,28.861668,29.53637,29.462313,61.308834,55.227535,60.927612,60.698692,0,0,0,0,0,0,0,0,0,0,0,0,0.253592,0.24741237,-0.06802973,-0.06418812,33.363377,28.862728,29.536448,29.462383,-0.011154441,-0.009835768,0.006439969,0.007674597,36,6,231,2,6,5729.103,102.83555,391.7361,2.9381685,0,0,94.99446,95.09695,112.9079,112.9079,35.725266,1,-132.30472,0,0,0.53721035,0.53721035,0,8,255,0,0,0,1,0,49,0
True,10663281,10999.993,999.9994,7681.33,-0.15094376,-0.35549352,12.956125,-0.0063129663,-0.05116773,4.168153,-0.005631547,-0.056416664,-0.00039238,-0.2530103,-0.019590905,0.010986358,0.36407298,0.4015975,0.5523703,0.5876847,34.469986,25.424425,30.210638,29.223145,66.92205,53.606865,64.56597,63.741886,0,0,0,0,0,0,0,0,0,0,0,0,0.24416684,0.24016133,-0.12540302,-0.118016355,34.47085,25.425558,30.2109,29.223383,-0.011798908,-0.008892257,0.00499288,0.007554274,36,6,231,2,6,5729.0156,102.839005,392.07434,4.1684723,83165.23,102.98101,102.3137,102.69574,121.7397,121.7397,36.387096,1,-131.79723,0,0,0.63502514,0.63502514,0,8,255,0,0,0,1,0,49,0
True,10663390,10999.993,999.9994,7399.674,-0.11744404,0.17574328,13.71655,0.012382746,-0.03832487,5.6845593,-0.004802161,-0.07594046,0.013701416,-0.2602762,-0.01974292,0.011845167,0.40295142,0.42259952,0.58589077,0.6241111,27.782618,24.336275,26.048231,24.293514,62.118343,56.8138,61.933987,60.87635,0,0,0,0,0,0,0,0,0,0,0,0,0.18582094,0.18854165,-0.16463678,-0.15175699,27.78324,24.337004,26.04875,24.293987,-0.008787381,-0.007265443,0.007424161,0.010196328,36,6,231,2,6,5728.8735,102.84371,392.61646,5.684702,375767.8,484.46335,110.552734,110.864235,131.34714,131.34714,36.68614,1,-130.98347,0,0,0.7490001,0.749,0,8,255,0,0,0,1,0,49,0
True,10663500,10999.993,999.9994,7830.6377,0.9589186,-0.17935199,12.91387,0.042119026,-0.056509428,6.9598794,0.006442603,-0.0738529,-0.018773768,-0.26765645,-0.019716056,0.011487614,0.3753998,0.39530942,0.5860518,0.57539606,24.599087,21.2418,21.684404,21.778187,65.502144,61.91244,64.52725,64.99874,0,0,0,0,0,0,0,0,0,0,0,0,0.12167495,0.11926565,-0.15462013,-0.15153779,24.599388,21.242136,21.684956,21.778713,-0.010921532,-0.00937933,0.0074358433,0.006662965,36,6,231,2,6,5728.7173,102.851776,393.20517,6.9602356,825295.44,1009.6675,116.9743,117.23096,139.0102,139.0102,36.735294,1,-130.09839,0,0,0.8449012,0.84490114,0,8,255,0,0,0,1,0,49,0
True,10663625,10999.993,999.9994,9115.177,1.0374563,-0.21201399,13.419602,0.12536716,-0.07536342,8.583457,-0.0038552932,-0.076873615,-0.008959044,-0.27801284,-0.019986322,0.01196264,0.3907203,0.37907884,0.581978,0.58336836,21.59196,21.319422,19.764233,20.095304,73.860504,74.37084,75.140175,75.65697,0,0,0,0,0,0,0,0,0,0,0,0,1.3925883,1.515605,-0.21708952,-0.2159901,21.636822,21.373226,19.765425,20.096466,-0.009734806,-0.010636553,0.0071403645,0.007241208,36,6,231,2,6,5728.474,102.863,394.1061,8.5847025,856892.56,899.5814,124.711136,124.9381,148.05348,148.05348,36.74325,1,-128.74307,0,0,0.9645456,0.96454555,0,8,255,0,0,0,1,127,50,0
