IsRaceOn,TimestampMS,EngineMaxRpm,EngineIdleRpm,CurrentEngineRpm,AccelerationX,AccelerationY,AccelerationZ,VelocityX,VelocityY,VelocityZ,AngularVelocityX,AngularVelocityY,AngularVelocityZ,Yaw,Pitch,Roll,NormalizedSuspensionTravelFrontLeft,NormalizedSuspensionTravelFrontRight,NormalizedSuspensionTravelRearLeft,NormalizedSuspensionTravelRearRight,TireSlipRatioFrontLeft,TireSlipRatioFrontRight,TireSlipRatioRearLeft,TireSlipRatioRearRight,WheelRotationSpeedFrontLeft,WheelRotationSpeedFrontRight,WheelRotationSpeedRearLeft,WheelRotationSpeedRearRight,WheelOnRumbleStripFrontLeft,WheelOnRumbleStripFrontRight,WheelOnRumbleStripRearLeft,WheelOnRumbleStripRearRight,WheelInPuddleDepthFrontLeft,WheelInPuddleDepthFrontRight,WheelInPuddleDepthRearLeft,WheelInPuddleDepthRearRight,SurfaceRumbleFrontLeft,SurfaceRumbleFrontRight,SurfaceRumbleRearLeft,SurfaceRumbleRearRight,TireSlipAngleFrontLeft,TireSlipAngleFrontRight,TireSlipAngleRearLeft,TireSlipAngleRearRight,TireCombinedSlipFrontLeft,TireCombinedSlipFrontRight,TireCombinedSlipRearLeft,TireCombinedSlipRearRight,SuspensionTravelMetersFrontLeft,SuspensionTravelMetersFrontRight,SuspensionTravelMetersRearLeft,SuspensionTravelMetersRearRight,CarOrdinal,CarClass,CarPerformanceIndex,DrivetrainType,NumCylinders,PositionX,PositionY,PositionZ,Speed,Power,Torque,TireTempFl,TireTempFr,TireTempRl,TireTempRr,Boost,Fuel,Distance,BestLapTime,LastLapTime,CurrentLapTime,CurrentRaceTime,Lap,RacePosition,Accelerator,Brake,Clutch,Handbrake,Gear,Steer,NormalDrivingLine,NormalAiBrakeDifference
True,8989000,10999.993,999.9994,1000.0058,-0.021332802,-0.0016051749,-0.016936198,-0.01118185,7.720947E-05,-0.0041258154,-0.00046345356,-5.0779865E-05,-0.0007603329,-2.0027065,-0.0021915536,0.00046987852,0.5224333,0.50653356,0.48841846,0.48071295,0.00062938704,0.0004156918,-0.03134358,0.009934286,-0.012222827,-0.012222827,-0.011540742,-0.011540742,0,0,0,0,0,0,0,0,0,0,0,0,0.017633505,0.013507631,-0.0022477678,-0.0032849903,0.017644733,0.013514026,0.03142407,0.010463326,0.00046767853,-0.00076390617,0.0003543757,-0.00020451471,36,6,231,2,6,2822.8936,720.3866,3721.265,0.01191898,-0.026642496,-0.00025441562,184.88531,189.06813,193.11935,193.11935,-11.024998,1,0,0,0,0,225.54733,0,0,0,0,0,255,1,-127,0,0
True,9015078,10999.993,999.9994,1707.3601,0.00047460952,-8.8747565E-06,0.0001832154,0.0012271818,-0.00036610386,-0.0021396722,0.00017401972,-1.7053884E-05,-0.0037577958,1.9392503,-0.003803217,0.05555081,0.5154813,0.51560175,0.48768225,0.47868448,0.00010333743,0.000106157524,9.10621E-05,9.712184E-05,-0.0065419166,-0.006462804,-0.00622685,-0.006119145,0,0,0,0,0,0,0,0,0,0,0,0,0.013689962,0.013408639,0.009763925,0.00987902,0.013690352,0.013409059,0.00976435,0.009879498,-7.081777E-05,-6.148778E-05,0.00030097738,-0.00035164133,36,6,231,2,6,2336.03,434.48074,3778.0908,0.0024936325,44119.18,251.65846,99.85556,99.91148,100.27225,100.27225,-11.024998,1,-55.77385,0,0,0.090376034,0.090376034,0,8,255,0,0,0,1,0,49,0
True,9015187,10999.993,999.9994,4234.436,-0.018744506,0.03499994,0.00404109,0.0025454701,-0.00057474663,-0.00480288,-1.4192192E-05,5.3229014E-06,-0.008028987,1.9392517,-0.003798124,0.0548269,0.51123804,0.5220266,0.4830948,0.48485342,0.00011349431,0.000100964666,0.00010130397,9.560993E-05,-0.014272338,-0.014338204,-0.013507019,-0.013515331,0,0,0,0,0,0,0,0,0,0,0,0,0.013253771,0.01287993,0.0095172115,0.009571428,0.013254257,0.012880326,0.009517751,0.009571906,-0.00039949827,0.00043617934,-3.1754375E-05,9.5799565E-05,36,6,231,2,6,2336.0295,434.48068,3778.0906,0.0054660225,247866.8,568.61664,99.7968,99.852646,100.21268,100.21268,-6.710106,1,-55.77406,0,0,0.20398894,0.20398894,0,8,255,0,0,0,1,0,49,0
True,9015281,10999.993,999.9994,7115.719,-0.0071052434,0.007417742,0.009764682,0.0017648863,-0.000119582655,-0.007048351,-4.737894E-05,1.578858E-05,-0.0055629527,1.9392526,-0.003800731,0.054121047,0.5060391,0.52849597,0.47795168,0.49097303,0.00011444054,9.795075E-05,0.000101607635,9.198289E-05,-0.02085722,-0.020969663,-0.019718727,-0.019780504,0,0,0,0,0,0,0,0,0,0,0,0,0.012794345,0.012358911,0.00921011,0.009227009,0.012794856,0.0123593,0.00921067,0.009227468,-0.00080221146,0.00093729794,-0.00040479377,0.00053966045,36,6,231,2,6,2336.029,434.48065,3778.0906,0.0072669373,434998.7,589.3624,99.7471,99.8029,100.1623,100.1623,14.021073,1,-55.77432,0,0,0.30003187,0.30003187,0,8,255,0,0,0,1,0,49,0
True,9015390,10999.993,999.9994,7372.8237,0.32600546,-0.3203504,11.521672,-0.031888217,-0.025334511,1.1960047,-0.049969025,-0.015555793,-0.019962061,1.9384474,-0.007672585,0.052808337,0.4591543,0.48341867,0.50418884,0.53658897,22.414461,20.322168,28.634521,27.53334,47.761414,44.161392,62.33848,61.731636,0,0,0,0,0,0,0,0,0,0,0,0,0.45272633,0.4392701,0.1315376,0.12657933,22.419033,20.326916,28.634823,27.533632,-0.0044339094,-0.0025543906,0.0014982186,0.0038482398,36,6,231,2,6,2336.088,434.47983,3778.0693,1.196698,824271.75,1082.5138,100.670975,100.57866,101.7103,101.7103,32.75859,1,-55.73618,0,0,0.41417584,0.41417584,0,8,255,0,0,0,1,0,49,0
True,9015515,10999.993,999.9994,8253.136,-0.4931209,0.03452918,11.701855,-0.07370049,-0.011373162,2.58801,-0.0070458055,-0.04895753,0.0015881249,1.934225,-0.010678401,0.05291655,0.36586127,0.43136737,0.5211508,0.5831105,33.25762,28.259148,29.460001,28.621523,71.52486,62.556404,68.65944,67.91346,0,0,0,0,0,0,0,0,0,0,0,0,0.512753,0.4966577,0.050936308,0.050538562,33.261574,28.263512,29.460045,28.621569,-0.011660387,-0.0065862816,0.002728492,0.0072225034,36,6,231,2,6,2336.2888,434.4809,3777.9988,2.5890841,128674.26,148.44957,103.32637,103.33478,105.065735,105.065735,36.01643,1,-55.606327,0,0,0.52486014,0.52486014,0,8,255,0,0,0,1,0,49,0
True,9015625,10999.993,999.9994,8928.107,-1.366899,0.20581861,13.807488,-0.061591506,-0.019924015,3.9484067,-0.00018328894,-0.03336564,0.017809607,1.9292842,-0.011474878,0.05434172,0.37111905,0.40962756,0.5554023,0.6051781,31.999037,30.18609,28.532871,28.613165,73.69903,70.93975,73.86849,73.988464,0,0,0,0,0,0,0,0,0,0,0,0,1.2781549,1.3420874,0.03098775,0.03316795,32.024555,30.215912,28.532888,28.613184,-0.011253119,-0.008270249,0.0052127913,0.008823097,36,6,231,2,6,2336.6343,434.4813,3777.8772,3.948937,857570.44,920.80457,106.009,105.97963,108.19336,108.19336,36.618763,1,-55.382957,0,0,0.6372681,0.63726825,0,8,255,0,0,0,1,42,49,0
True,9015734,10999.993,999.9994,9246.112,-0.2115717,-0.19508824,11.060707,-0.07258296,-0.050132178,5.2748494,-0.008042861,-0.02230881,0.012772905,1.9268681,-0.01126096,0.05454577,0.3853484,0.41890538,0.5331431,0.589053,28.863983,29.23002,28.649197,27.754496,72.85447,73.59204,77.31382,76.74877,0,0,0,0,0,0,0,0,0,0,0,0,0.1669314,0.16910988,0.05886559,0.060059294,28.864466,29.23051,28.649258,27.75456,-0.010150911,-0.00755159,0.00359831,0.0076535195,36,6,231,2,6,2337.1294,434.48245,3777.6995,5.2755866,743356.56,769.2806,108.5318,108.48828,111.13962,111.13962,36.727,1,-55.06213,0,0,0.7509799,0.75098,0,8,255,0,0,0,1,0,50,0
True,9015828,10999.993,999.9994,9263.943,-0.2707107,0.09641664,12.13496,-0.09629512,-0.03799007,6.1948037,0.009245627,-0.03053659,-0.0021222741,1.9248029,-0.01105015,0.05515088,0.37202027,0.39499164,0.5576287,0.57971424,30.883194,28.12326,26.33848,27.182371,78.99693,74.6639,75.781075,76.631775,0,0,0,0,0,0,0,0,0,0,0,0,0.20563082,0.20574035,0.072047524,0.075570785,30.883879,28.124014,26.33858,27.182476,-0.011183308,-0.009403949,0.005374279,0.0069761686,36,6,231,2,6,2337.5227,434.4842,3777.5598,6.1956687,503706.7,519.55597,110.03688,110.04905,113.05052,113.05052,36.7424,1,-54.807575,0,0,0.8233998,0.82339984,0,8,255,0,0,0,1,0,50,0
True,9015953,10999.993,999.9994,10198.24,-0.48606062,0.016661346,13.327974,-0.12340379,-0.052787185,7.58824,0.007099275,-0.04569901,0.0052984124,1.9207374,-0.010519787,0.054743934,0.37396035,0.3851111,0.5518076,0.58813787,25.826073,24.555567,23.152578,22.605303,84.5691,83.13731,84.20488,83.986946,0,0,0,0,0,0,0,0,0,0,0,0,0.22333822,0.221155,0.06736878,0.06818091,25.827038,24.556562,23.152676,22.605406,-0.011033032,-0.010169295,0.0049520656,0.007587146,36,6,231,2,6,2338.2803,434.48523,3777.2952,7.589428,-434721.1,-404.9406,112.39114,112.37314,115.76303,115.76303,36.74548,1,-54.318275,0,0,0.940009,0.9400091,0,8,255,0,0,0,1,0,50,0
